N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
29         IO1        2     16         1          20         1          0.000001700000  0.000001050000  0.62       61.76     %
30         IO1        2     32         1          20         1          0.000006600001  0.000004900001  0.74       74.24     %
31         IO1        2     64         1          20         1          0.000017650005  0.000012799998  0.73       72.52     %
32         IO1        2     128        1          20         1          0.000068550005  0.000041849988  0.61       61.05     %
33         IO1        2     256        1          20         1          0.000300299987  0.000212600018  0.71       70.80     %
34         IO1        2     512        1          20         1          0.000895200006  0.000808350102  0.90       90.30     %
35         IO1        2     1024       1          20         1          0.004898899235  0.011289250106  2.30       230.44    %
36         IO1        2     2048       1          20         1          0.036410350353  0.050799839199  1.40       139.52    %
37         IO1        2     4096       1          20         1          0.157876610756  0.223198652267  1.41       141.38    %
38         IO2        2     16         1          20         1          0.000000800000  0.000001050000  1.31       131.25    %
39         IO2        2     32         1          20         1          0.000003450000  0.000004900001  1.42       142.03    %
40         IO2        2     64         1          20         1          0.000011699998  0.000012799998  1.09       109.40    %
41         IO2        2     128        1          20         1          0.000037850001  0.000041849988  1.11       110.57    %
42         IO2        2     256        1          20         1          0.000205849996  0.000212600018  1.03       103.28    %
43         IO2        2     512        1          20         1          0.000670399982  0.000808350102  1.21       120.58    %
44         IO2        2     1024       1          20         1          0.006494100206  0.011289250106  1.74       173.84    %
45         IO2        2     2048       1          20         1          0.038854353130  0.050799839199  1.31       130.74    %
46         IO2        2     4096       1          20         1          0.163603499532  0.223198652267  1.36       136.43    %
47         IO2M       2     16         1          20         1          0.000000600000  0.000001050000  1.75       175.00    %
48         IO2M       2     32         1          20         1          0.000003850001  0.000004900001  1.27       127.27    %
49         IO2M       2     64         1          20         1          0.000010000001  0.000012799998  1.28       128.00    %
50         IO2M       2     128        1          20         1          0.000041049996  0.000041849988  1.02       101.95    %
51         IO2M       2     256        1          20         1          0.000187550017  0.000212600018  1.13       113.36    %
52         IO2M       2     512        1          20         1          0.000926950015  0.000808350102  0.87       87.21     %
53         IO2M       2     1024       1          20         1          0.005554249976  0.011289250106  2.03       203.25    %
54         IO2M       2     2048       1          20         1          0.035572599620  0.050799839199  1.43       142.81    %
55         IO2M       2     4096       1          20         1          0.158623144031  0.223198652267  1.41       140.71    %
56         IO2FUN     2     16         1          20         1          0.000000950000  0.000001050000  1.11       110.53    %
57         IO2FUN     2     32         1          20         1          0.000004750001  0.000004900001  1.03       103.16    %
58         IO2FUN     2     64         1          20         1          0.000013600000  0.000012799998  0.94       94.12     %
59         IO2FUN     2     128        1          20         1          0.000055399993  0.000041849988  0.76       75.54     %
60         IO2FUN     2     256        1          20         1          0.000228650009  0.000212600018  0.93       92.98     %
61         IO2FUN     2     512        1          20         1          0.002631949726  0.000808350102  0.31       30.71     %
62         IO2FUN     2     1024       1          20         1          0.009791449644  0.011289250106  1.15       115.30    %
63         IO2FUN     2     2048       1          20         1          0.043527398258  0.050799839199  1.17       116.71    %
64         IO2FUN     2     4096       1          20         1          0.161081805825  0.223198652267  1.39       138.56    %
65         IO2PLA     2     16         1          20         1          0.000000600000  0.000001050000  1.75       175.00    %
66         IO2PLA     2     32         1          20         1          0.000003250000  0.000004900001  1.51       150.77    %
67         IO2PLA     2     64         1          20         1          0.000011399999  0.000012799998  1.12       112.28    %
68         IO2PLA     2     128        1          20         1          0.000046999990  0.000041849988  0.89       89.04     %
69         IO2PLA     2     256        1          20         1          0.000258999993  0.000212600018  0.82       82.08     %
70         IO2PLA     2     512        1          20         1          0.000790049962  0.000808350102  1.02       102.32    %
71         IO2PLA     2     1024       1          20         1          0.005494949874  0.011289250106  2.05       205.45    %
72         IO2PLA     2     2048       1          20         1          0.042014651000  0.050799839199  1.21       120.91    %
73         IO2PLA     2     4096       1          20         1          0.146401762962  0.223198652267  1.52       152.46    %
74         IO2FTV     2     16         1          20         1          0.000001650000  0.000001050000  0.64       63.64     %
75         IO2FTV     2     32         1          20         1          0.000004700001  0.000004900001  1.04       104.26    %
76         IO2FTV     2     64         1          20         1          0.000011699997  0.000012799998  1.09       109.40    %
77         IO2FTV     2     128        1          20         1          0.000054299999  0.000041849988  0.77       77.07     %
78         IO2FTV     2     256        1          20         1          0.000258349988  0.000212600018  0.82       82.29     %
79         IO2FTV     2     512        1          20         1          0.000645049964  0.000808350102  1.25       125.32    %
80         IO2FTV     2     1024       1          20         1          0.009091399610  0.011289250106  1.24       124.18    %
81         IO2FTV     2     2048       1          20         1          0.037418648601  0.050799839199  1.36       135.76    %
82         IO2FTV     2     4096       1          20         1          0.175372987986  0.223198652267  1.27       127.27    %
83         IO2FM      2     16         1          20         1          0.000001500000  0.000001050000  0.70       70.00     %
84         IO2FM      2     32         1          20         1          0.000004600001  0.000004900001  1.07       106.52    %
85         IO2FM      2     64         1          20         1          0.000013950000  0.000012799998  0.92       91.76     %
86         IO2FM      2     128        1          20         1          0.000053649994  0.000041849988  0.78       78.01     %
87         IO2FM      2     256        1          20         1          0.000298849947  0.000212600018  0.71       71.14     %
88         IO2FM      2     512        1          20         1          0.000830699981  0.000808350102  0.97       97.31     %
89         IO2FM      2     1024       1          20         1          0.005591150373  0.011289250106  2.02       201.91    %
90         IO2FM      2     2048       1          20         1          0.038256447762  0.050799839199  1.33       132.79    %
91         IO2FM      2     4096       1          20         1          0.154148206115  0.223198652267  1.45       144.79    %
92         IO2FL      2     16         1          20         1          0.000001700000  0.000001050000  0.62       61.76     %
93         IO2FL      2     32         1          20         1          0.000006450000  0.000004900001  0.76       75.97     %
94         IO2FL      2     64         1          20         1          0.000017500004  0.000012799998  0.73       73.14     %
95         IO2FL      2     128        1          20         1          0.000064250002  0.000041849988  0.65       65.14     %
96         IO2FL      2     256        1          20         1          0.000318350008  0.000212600018  0.67       66.78     %
97         IO2FL      2     512        1          20         1          0.000779249996  0.000808350102  1.04       103.73    %
98         IO2FL      2     1024       1          20         1          0.008661950007  0.011289250106  1.30       130.33    %
99         IO2FL      2     2048       1          20         1          0.034473199397  0.050799839199  1.47       147.36    %
100        IO2FL      2     4096       1          20         1          0.139682859182  0.223198652267  1.60       159.79    %
101        IO2FA      2     16         1          20         1          0.000002250000  0.000001050000  0.47       46.67     %
102        IO2FA      2     32         1          20         1          0.000007350000  0.000004900001  0.67       66.67     %
103        IO2FA      2     64         1          20         1          0.000020099997  0.000012799998  0.64       63.68     %
