N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
452        MON01      7     16         1          20         1          0.000026049995  0.000001050000  0.04       4.03      %
453        MON01      7     32         1          20         1          0.000101049976  0.000004900001  0.05       4.85      %
454        MON01      7     64         1          20         1          0.000447100028  0.000012799998  0.03       2.86      %
455        MON01      7     128        1          20         1          0.000873500016  0.000041849988  0.05       4.79      %
456        MON01      7     256        1          20         1          0.002783100121  0.000212600018  0.08       7.64      %
457        MON01      7     512        1          20         1          0.011223849840  0.000808350102  0.07       7.20      %
458        MON01      7     1024       1          20         1          0.044782351702  0.011289250106  0.25       25.21     %
459        MON01      7     2048       1          20         1          0.183619946241  0.050799839199  0.28       27.67     %
460        MON01      7     4096       1          20         1          0.747238039970  0.223198652267  0.30       29.87     %
461        MONO2      7     16         1          20         1          0.000030150000  0.000001050000  0.03       3.48      %
462        MONO2      7     32         1          20         1          0.000123599981  0.000004900001  0.04       3.96      %
463        MONO2      7     64         1          20         1          0.000387899956  0.000012799998  0.03       3.30      %
464        MONO2      7     128        1          20         1          0.000866100076  0.000041849988  0.05       4.83      %
465        MONO2      7     256        1          20         1          0.002889950061  0.000212600018  0.07       7.36      %
466        MONO2      7     512        1          20         1          0.011326249689  0.000808350102  0.07       7.14      %
467        MONO2      7     1024       1          20         1          0.045864451677  0.011289250106  0.25       24.61     %
468        MONO2      7     2048       1          20         1          0.183130264282  0.050799839199  0.28       27.74     %
469        MONO2      7     4096       1          20         1          0.740672707558  0.223198652267  0.30       30.13     %
470        MONO2M     7     16         1          20         1          0.000005100001  0.000001050000  0.21       20.59     %
471        MONO2M     7     32         1          20         1          0.000057999998  0.000004900001  0.08       8.45      %
472        MONO2M     7     64         1          20         1          0.000176200003  0.000012799998  0.07       7.26      %
473        MONO2M     7     128        1          20         1          0.000295200065  0.000041849988  0.14       14.18     %
474        MONO2M     7     256        1          20         1          0.001524649793  0.000212600018  0.14       13.94     %
475        MONO2M     7     512        1          20         1          0.005291199777  0.000808350102  0.15       15.28     %
476        MONO2M     7     1024       1          20         1          0.022724300623  0.011289250106  0.50       49.68     %
477        MONO2M     7     2048       1          20         1          0.095600560308  0.050799839199  0.53       53.14     %
478        MONO2M     7     4096       1          20         1          0.385736018419  0.223198652267  0.58       57.86     %
479        MONO2FUN   7     16         1          20         1          0.000003150000  0.000001050000  0.33       33.33     %
480        MONO2FUN   7     32         1          20         1          0.000016000002  0.000004900001  0.31       30.63     %
481        MONO2FUN   7     64         1          20         1          0.000063500003  0.000012799998  0.20       20.16     %
482        MONO2FUN   7     128        1          20         1          0.000234900013  0.000041849988  0.18       17.82     %
483        MONO2FUN   7     256        1          20         1          0.000548299984  0.000212600018  0.39       38.77     %
484        MONO2FUN   7     512        1          20         1          0.003168150084  0.000808350102  0.26       25.51     %
485        MONO2FUN   7     1024       1          20         1          0.008698649704  0.011289250106  1.30       129.78    %
486        MONO2FUN   7     2048       1          20         1          0.044919449836  0.050799839199  1.13       113.09    %
487        MONO2FUN   7     4096       1          20         1          0.187516286969  0.223198652267  1.19       119.03    %
488        MONO2PLA   7     16         1          20         1          0.000002050000  0.000001050000  0.51       51.22     %
489        MONO2PLA   7     32         1          20         1          0.000005900001  0.000004900001  0.83       83.05     %
490        MONO2PLA   7     64         1          20         1          0.000032950004  0.000012799998  0.39       38.85     %
491        MONO2PLA   7     128        1          20         1          0.000148899999  0.000041849988  0.28       28.11     %
492        MONO2PLA   7     256        1          20         1          0.000488549995  0.000212600018  0.44       43.52     %
493        MONO2PLA   7     512        1          20         1          0.002001350047  0.000808350102  0.40       40.39     %
494        MONO2PLA   7     1024       1          20         1          0.009993249550  0.011289250106  1.13       112.97    %
495        MONO2PLA   7     2048       1          20         1          0.044633299112  0.050799839199  1.14       113.82    %
496        MONO2PLA   7     4096       1          20         1          0.188005164266  0.223198652267  1.19       118.72    %
497        MONO2FTV   7     16         1          20         1          0.000030200001  0.000001050000  0.03       3.48      %
498        MONO2FTV   7     32         1          20         1          0.000124599988  0.000004900001  0.04       3.93      %
499        MONO2FTV   7     64         1          20         1          0.000450049993  0.000012799998  0.03       2.84      %
500        MONO2FTV   7     128        1          20         1          0.000871100114  0.000041849988  0.05       4.80      %
501        MONO2FTV   7     256        1          20         1          0.002888249932  0.000212600018  0.07       7.36      %
502        MONO2FTV   7     512        1          20         1          0.011023050174  0.000808350102  0.07       7.33      %
