N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
389        OMP32      6     16         1          20         1          0.000006554648  0.000001050000  0.16       16.02     %
390        OMP32      6     16         1          20         2          0.000004150346  0.000001050000  0.25       12.65     %
391        OMP32      6     16         1          20         4          0.019136410207  0.000001050000  0.00       0.00      %
392        OMP32      6     16         1          20         8          0.020372999832  0.000001050000  0.00       0.00      %
393        OMP32      6     16         1          20         16         0.037384677678  0.000001050000  0.00       0.00      %
394        OMP32      6     16         1          20         32         0.063380464911  0.000001050000  0.00       0.00      %
395        OMP32      6     16         1          20         64         0.048596896231  0.000001050000  0.00       0.00      %
396        OMP32      6     32         1          20         1          0.000003201328  0.000004900001  1.53       153.06    %
397        OMP32      6     32         1          20         2          0.000005704351  0.000004900001  0.86       42.95     %
398        OMP32      6     32         1          20         4          0.018170399591  0.000004900001  0.00       0.01      %
399        OMP32      6     32         1          20         8          0.020467612892  0.000004900001  0.00       0.00      %
400        OMP32      6     32         1          20         16         0.014797223732  0.000004900001  0.00       0.00      %
401        OMP32      6     32         1          20         32         0.033806722611  0.000004900001  0.00       0.00      %
402        OMP32      6     32         1          20         64         0.055523537099  0.000004900001  0.00       0.00      %
403        OMP32      6     64         1          20         1          0.000010842085  0.000012799998  1.18       118.06    %
404        OMP32      6     64         1          20         2          0.000018567778  0.000012799998  0.69       34.47     %
405        OMP32      6     64         1          20         4          0.003330548760  0.000012799998  0.00       0.10      %
406        OMP32      6     64         1          20         8          0.000035350211  0.000012799998  0.36       4.53      %
407        OMP32      6     64         1          20         16         0.000627122819  0.000012799998  0.02       0.13      %
408        OMP32      6     64         1          20         32         0.009358188137  0.000012799998  0.00       0.00      %
409        OMP32      6     64         1          20         64         0.064499065280  0.000012799998  0.00       0.00      %
410        OMP32      6     128        1          20         1          0.000028288177  0.000041849988  1.48       147.94    %
411        OMP32      6     128        1          20         2          0.000033543816  0.000041849988  1.25       62.38     %
412        OMP32      6     128        1          20         4          0.018179956824  0.000041849988  0.00       0.06      %
413        OMP32      6     128        1          20         8          0.018910095096  0.000041849988  0.00       0.03      %
414        OMP32      6     128        1          20         16         0.037331398576  0.000041849988  0.00       0.01      %
415        OMP32      6     128        1          20         32         0.064936935902  0.000041849988  0.00       0.00      %
416        OMP32      6     128        1          20         64         0.066376969218  0.000041849988  0.00       0.00      %
417        OMP32      6     256        1          20         1          0.000220797767  0.000212600018  0.96       96.29     %
418        OMP32      6     256        1          20         2          0.019956206903  0.000212600018  0.01       0.53      %
419        OMP32      6     256        1          20         4          0.021434906870  0.000212600018  0.01       0.25      %
420        OMP32      6     256        1          20         8          0.026963341981  0.000212600018  0.01       0.10      %
421        OMP32      6     256        1          20         16         0.003694751067  0.000212600018  0.06       0.36      %
422        OMP32      6     256        1          20         32         0.004072712734  0.000212600018  0.05       0.16      %
423        OMP32      6     256        1          20         64         0.061845146120  0.000212600018  0.00       0.01      %
424        OMP32      6     512        1          20         1          0.000708817504  0.000808350102  1.14       114.04    %
425        OMP32      6     512        1          20         2          0.000832613208  0.000808350102  0.97       48.54     %
426        OMP32      6     512        1          20         4          0.015917453915  0.000808350102  0.05       1.27      %
427        OMP32      6     512        1          20         8          0.021680243313  0.000808350102  0.04       0.47      %
428        OMP32      6     512        1          20         16         0.040462866426  0.000808350102  0.02       0.12      %
429        OMP32      6     512        1          20         32         0.060993451625  0.000808350102  0.01       0.04      %
