N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
2          SO1        1     16         1          20         1          0.000001050000  0.000001050000  1.00       100.00    %
3          SO1        1     32         1          20         1          0.000004900001  0.000004900001  1.00       100.00    %
4          SO1        1     64         1          20         1          0.000012799998  0.000012799998  1.00       100.00    %
5          SO1        1     128        1          20         1          0.000041849988  0.000041849988  1.00       100.00    %
6          SO1        1     256        1          20         1          0.000212600018  0.000212600018  1.00       100.00    %
7          SO1        1     512        1          20         1          0.000808350102  0.000808350102  1.00       100.00    %
8          SO1        1     1024       1          20         1          0.011289250106  0.011289250106  1.00       100.00    %
9          SO1        1     2048       1          20         1          0.050799839199  0.050799839199  1.00       100.00    %
10         SO1        1     4096       1          20         1          0.223198652267  0.223198652267  1.00       100.00    %
11         SO2        1     16         1          20         1          0.000001500000  0.000001500000  1.00       100.00    %
12         SO2        1     32         1          20         1          0.000004800001  0.000004800001  1.00       100.00    %
13         SO2        1     64         1          20         1          0.000014199999  0.000014199999  1.00       100.00    %
14         SO2        1     128        1          20         1          0.000052399992  0.000052399992  1.00       100.00    %
15         SO2        1     256        1          20         1          0.000224150019  0.000224150019  1.00       100.00    %
16         SO2        1     512        1          20         1          0.000680400000  0.000680400000  1.00       100.00    %
17         SO2        1     1024       1          20         1          0.006889899727  0.006889899727  1.00       100.00    %
18         SO2        1     2048       1          20         1          0.044203050435  0.044203050435  1.00       100.00    %
19         SO2        1     4096       1          20         1          0.202302649617  0.202302649617  1.00       100.00    %
20         SO3        1     16         1          20         1          0.000001550000  0.000001550000  1.00       100.00    %
21         SO3        1     32         1          20         1          0.000004650001  0.000004650001  1.00       100.00    %
22         SO3        1     64         1          20         1          0.000013350002  0.000013350002  1.00       100.00    %
23         SO3        1     128        1          20         1          0.000055799996  0.000055799996  1.00       100.00    %
24         SO3        1     256        1          20         1          0.000232799997  0.000232799997  1.00       100.00    %
25         SO3        1     512        1          20         1          0.000681849953  0.000681849953  1.00       100.00    %
26         SO3        1     1024       1          20         1          0.003763700603  0.003763700603  1.00       100.00    %
27         SO3        1     2048       1          20         1          0.046169154346  0.046169154346  1.00       100.00    %
28         SO3        1     4096       1          20         1          0.204016610980  0.204016610980  1.00       100.00    %
623        SO1        1     16         2          20         1          0.000000300000  0.000000300000  1.00       100.00    %
624        SO1        1     32         2          20         1          0.000001450000  0.000001450000  1.00       100.00    %
625        SO1        1     64         2          20         1          0.000005750001  0.000005750001  1.00       100.00    %
626        SO1        1     128        2          20         1          0.000019400000  0.000019400000  1.00       100.00    %
627        SO1        1     256        2          20         1          0.000055349996  0.000055349996  1.00       100.00    %
628        SO1        1     512        2          20         1          0.000195549990  0.000195549990  1.00       100.00    %
629        SO1        1     1024       2          20         1          0.002127399901  0.002127399901  1.00       100.00    %
630        SO1        1     2048       2          20         1          0.013809549622  0.013809549622  1.00       100.00    %
631        SO1        1     4096       2          20         1          0.066174603999  0.066174603999  1.00       100.00    %
632        SO2        1     16         2          20         1          0.000000600000  0.000000600000  1.00       100.00    %
633        SO2        1     32         2          20         1          0.000002250000  0.000002250000  1.00       100.00    %
634        SO2        1     64         2          20         1          0.000009249999  0.000009249999  1.00       100.00    %
