N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
2          SO1        1     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
3          SO1        1     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
4          SO1        1     64         1          1          1          0.000028000000  0.000028000000  1.00       100.00    %
5          SO1        1     128        1          1          1          0.000066000001  0.000066000001  1.00       100.00    %
6          SO1        1     256        1          1          1          0.000381999998  0.000381999998  1.00       100.00    %
7          SO1        1     512        1          1          1          0.001972000115  0.001972000115  1.00       100.00    %
8          SO1        1     1024       1          1          1          0.004970999900  0.004970999900  1.00       100.00    %
9          SO1        1     2048       1          1          1          0.032124999911  0.032124999911  1.00       100.00    %
10         SO1        1     4096       1          1          1          0.137330994010  0.137330994010  1.00       100.00    %
11         SO2        1     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
12         SO2        1     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
13         SO2        1     64         1          1          1          0.000029999999  0.000029999999  1.00       100.00    %
14         SO2        1     128        1          1          1          0.000075999997  0.000075999997  1.00       100.00    %
15         SO2        1     256        1          1          1          0.000436000002  0.000436000002  1.00       100.00    %
16         SO2        1     512        1          1          1          0.001883000019  0.001883000019  1.00       100.00    %
17         SO2        1     1024       1          1          1          0.004040000029  0.004040000029  1.00       100.00    %
18         SO2        1     2048       1          1          1          0.029524000362  0.029524000362  1.00       100.00    %
19         SO2        1     4096       1          1          1          0.123856998980  0.123856998980  1.00       100.00    %
20         SO3        1     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
21         SO3        1     32         1          1          1          0.000008000000  0.000008000000  1.00       100.00    %
22         SO3        1     64         1          1          1          0.000028000000  0.000028000000  1.00       100.00    %
23         SO3        1     128        1          1          1          0.000114000002  0.000114000002  1.00       100.00    %
24         SO3        1     256        1          1          1          0.000456000009  0.000456000009  1.00       100.00    %
25         SO3        1     512        1          1          1          0.001902000047  0.001902000047  1.00       100.00    %
26         SO3        1     1024       1          1          1          0.004745000042  0.004745000042  1.00       100.00    %
27         SO3        1     2048       1          1          1          0.029503000900  0.029503000900  1.00       100.00    %
28         SO3        1     4096       1          1          1          0.123375996947  0.123375996947  1.00       100.00    %
623        SO1        1     16         2          1          1          0.000001000000  0.000001000000  1.00       100.00    %
624        SO1        1     32         2          1          1          0.000003000000  0.000003000000  1.00       100.00    %
625        SO1        1     64         2          1          1          0.000008000000  0.000008000000  1.00       100.00    %
626        SO1        1     128        2          1          1          0.000023000001  0.000023000001  1.00       100.00    %
627        SO1        1     256        2          1          1          0.000077999997  0.000077999997  1.00       100.00    %
628        SO1        1     512        2          1          1          0.000394000002  0.000394000002  1.00       100.00    %
629        SO1        1     1024       2          1          1          0.001479999977  0.001479999977  1.00       100.00    %
630        SO1        1     2048       2          1          1          0.007286000066  0.007286000066  1.00       100.00    %
631        SO1        1     4096       2          1          1          0.042148999870  0.042148999870  1.00       100.00    %
632        SO2        1     16         2          1          1          0.000001000000  0.000001000000  1.00       100.00    %
633        SO2        1     32         2          1          1          0.000003000000  0.000003000000  1.00       100.00    %
634        SO2        1     64         2          1          1          0.000010000000  0.000010000000  1.00       100.00    %
635        SO2        1     128        2          1          1          0.000036000001  0.000036000001  1.00       100.00    %
636        SO2        1     256        2          1          1          0.000136999995  0.000136999995  1.00       100.00    %
637        SO2        1     512        2          1          1          0.000538999971  0.000538999971  1.00       100.00    %
638        SO2        1     1024       2          1          1          0.001885000034  0.001885000034  1.00       100.00    %
639        SO2        1     2048       2          1          1          0.007687999867  0.007687999867  1.00       100.00    %
640        SO2        1     4096       2          1          1          0.042998999357  0.042998999357  1.00       100.00    %
641        SO3        1     16         2          1          1          0.000001000000  0.000001000000  1.00       100.00    %
642        SO3        1     32         2          1          1          0.000002000000  0.000002000000  1.00       100.00    %
643        SO3        1     64         2          1          1          0.000008000000  0.000008000000  1.00       100.00    %
644        SO3        1     128        2          1          1          0.000022000000  0.000022000000  1.00       100.00    %
645        SO3        1     256        2          1          1          0.000078999998  0.000078999998  1.00       100.00    %
646        SO3        1     512        2          1          1          0.000399999990  0.000399999990  1.00       100.00    %
647        SO3        1     1024       2          1          1          0.001985999988  0.001985999988  1.00       100.00    %
648        SO3        1     2048       2          1          1          0.007402999792  0.007402999792  1.00       100.00    %
649        SO3        1     4096       2          1          1          0.043108999729  0.043108999729  1.00       100.00    %
1244       SO1        1     16         3          1          1          0.000004000000  0.000004000000  1.00       100.00    %
1245       SO1        1     32         3          1          1          0.000012000000  0.000012000000  1.00       100.00    %
1246       SO1        1     64         3          1          1          0.000037999998  0.000037999998  1.00       100.00    %
1247       SO1        1     128        3          1          1          0.000140999997  0.000140999997  1.00       100.00    %
1248       SO1        1     256        3          1          1          0.000543000002  0.000543000002  1.00       100.00    %
1249       SO1        1     512        3          1          1          0.002356000012  0.002356000012  1.00       100.00    %
1250       SO1        1     1024       3          1          1          0.008252000436  0.008252000436  1.00       100.00    %
1251       SO1        1     2048       3          1          1          0.037765000015  0.037765000015  1.00       100.00    %
1252       SO1        1     4096       3          1          1          0.171843007207  0.171843007207  1.00       100.00    %
1253       SO2        1     16         3          1          1          0.000003000000  0.000003000000  1.00       100.00    %
1254       SO2        1     32         3          1          1          0.000011000000  0.000011000000  1.00       100.00    %
1255       SO2        1     64         3          1          1          0.000038999999  0.000038999999  1.00       100.00    %
1256       SO2        1     128        3          1          1          0.000151999993  0.000151999993  1.00       100.00    %
1257       SO2        1     256        3          1          1          0.000592999975  0.000592999975  1.00       100.00    %
1258       SO2        1     512        3          1          1          0.002515000058  0.002515000058  1.00       100.00    %
1259       SO2        1     1024       3          1          1          0.006068000104  0.006068000104  1.00       100.00    %
1260       SO2        1     2048       3          1          1          0.037032999098  0.037032999098  1.00       100.00    %
1261       SO2        1     4096       3          1          1          0.167451992631  0.167451992631  1.00       100.00    %
1262       SO3        1     16         3          1          1          0.000004000000  0.000004000000  1.00       100.00    %
1263       SO3        1     32         3          1          1          0.000012000000  0.000012000000  1.00       100.00    %
1264       SO3        1     64         3          1          1          0.000036000001  0.000036000001  1.00       100.00    %
1265       SO3        1     128        3          1          1          0.000138999996  0.000138999996  1.00       100.00    %
1266       SO3        1     256        3          1          1          0.000539999979  0.000539999979  1.00       100.00    %
1267       SO3        1     512        3          1          1          0.002406999934  0.002406999934  1.00       100.00    %
1268       SO3        1     1024       3          1          1          0.006140999962  0.006140999962  1.00       100.00    %
1269       SO3        1     2048       3          1          1          0.035996999592  0.035996999592  1.00       100.00    %
1270       SO3        1     4096       3          1          1          0.166495993733  0.166495993733  1.00       100.00    %
