N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
380        OMPGLBBB   7     16         1          25         1          0.000047211350  0.000000521541  0.01       1.10      %
381        OMPGLBBB   7     16         1          25         2          0.000017510354  0.000000521541  0.03       1.49      %
382        OMPGLBBB   7     16         1          25         4          0.000017458200  0.000000521541  0.03       0.75      %
383        OMPGLBBB   7     16         1          25         8          0.000019182266  0.000000521541  0.03       0.34      %
384        OMPGLBBB   7     16         1          25         16         0.000028412043  0.000000521541  0.02       0.11      %
385        OMPGLBBB   7     16         1          25         32         0.000052291154  0.000000521541  0.01       0.03      %
386        OMPGLBBB   7     16         1          25         64         0.000122834739  0.000000521541  0.00       0.01      %
387        OMPGLBBB   7     32         1          25         1          0.000049158931  0.000001730025  0.04       3.52      %
388        OMPGLBBB   7     32         1          25         2          0.000025887788  0.000001730025  0.07       3.34      %
389        OMPGLBBB   7     32         1          25         4          0.000018145143  0.000001730025  0.10       2.38      %
390        OMPGLBBB   7     32         1          25         8          0.000019630790  0.000001730025  0.09       1.10      %
391        OMPGLBBB   7     32         1          25         16         0.000027905404  0.000001730025  0.06       0.39      %
392        OMPGLBBB   7     32         1          25         32         0.000053502619  0.000001730025  0.03       0.10      %
393        OMPGLBBB   7     32         1          25         64         0.000123117861  0.000001730025  0.01       0.02      %
394        OMPGLBBB   7     64         1          25         1          0.000038781764  0.000005583465  0.14       14.40     %
395        OMPGLBBB   7     64         1          25         2          0.000056388973  0.000005583465  0.10       4.95      %
396        OMPGLBBB   7     64         1          25         4          0.000056688488  0.000005583465  0.10       2.46      %
397        OMPGLBBB   7     64         1          25         8          0.000020888448  0.000005583465  0.27       3.34      %
398        OMPGLBBB   7     64         1          25         16         0.000028723478  0.000005583465  0.19       1.21      %
399        OMPGLBBB   7     64         1          25         32         0.000053177773  0.000005583465  0.10       0.33      %
400        OMPGLBBB   7     64         1          25         64         0.000120332836  0.000005583465  0.05       0.07      %
401        OMPGLBBB   7     128        1          25         1          0.000066125394  0.000028602779  0.43       43.26     %
402        OMPGLBBB   7     128        1          25         2          0.000047485530  0.000028602779  0.60       30.12     %
403        OMPGLBBB   7     128        1          25         4          0.000027474762  0.000028602779  1.04       26.03     %
404        OMPGLBBB   7     128        1          25         8          0.000025966763  0.000028602779  1.10       13.77     %
405        OMPGLBBB   7     128        1          25         16         0.000031481683  0.000028602779  0.91       5.68      %
406        OMPGLBBB   7     128        1          25         32         0.000056356192  0.000028602779  0.51       1.59      %
407        OMPGLBBB   7     128        1          25         64         0.000124810642  0.000028602779  0.23       0.36      %
408        OMPGLBBB   7     256        1          25         1          0.000058850645  0.000158025330  2.69       268.52    %
409        OMPGLBBB   7     256        1          25         2          0.000058886410  0.000158025330  2.68       134.18    %
410        OMPGLBBB   7     256        1          25         4          0.000059013069  0.000158025330  2.68       66.95     %
411        OMPGLBBB   7     256        1          25         8          0.000048847498  0.000158025330  3.24       40.44     %
412        OMPGLBBB   7     256        1          25         16         0.000038830934  0.000158025330  4.07       25.43     %
