N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
191        OMPLOCWS   4     16         1          25         1          0.000010851026  0.000000521541  0.05       4.81      %
192        OMPLOCWS   4     16         1          25         2          0.000005756318  0.000000521541  0.09       4.53      %
193        OMPLOCWS   4     16         1          25         4          0.000008925796  0.000000521541  0.06       1.46      %
194        OMPLOCWS   4     16         1          25         8          0.000014431775  0.000000521541  0.04       0.45      %
195        OMPLOCWS   4     16         1          25         16         0.000021654367  0.000000521541  0.02       0.15      %
196        OMPLOCWS   4     16         1          25         32         0.000050280989  0.000000521541  0.01       0.03      %
197        OMPLOCWS   4     16         1          25         64         0.000123476988  0.000000521541  0.00       0.01      %
198        OMPLOCWS   4     32         1          25         1          0.000012528896  0.000001730025  0.14       13.81     %
199        OMPLOCWS   4     32         1          25         2          0.000006122887  0.000001730025  0.28       14.13     %
200        OMPLOCWS   4     32         1          25         4          0.000009351968  0.000001730025  0.18       4.62      %
201        OMPLOCWS   4     32         1          25         8          0.000014591217  0.000001730025  0.12       1.48      %
202        OMPLOCWS   4     32         1          25         16         0.000022071599  0.000001730025  0.08       0.49      %
203        OMPLOCWS   4     32         1          25         32         0.000049580634  0.000001730025  0.03       0.11      %
204        OMPLOCWS   4     32         1          25         64         0.000124542421  0.000001730025  0.01       0.02      %
205        OMPLOCWS   4     64         1          25         1          0.000015765429  0.000005583465  0.35       35.42     %
206        OMPLOCWS   4     64         1          25         2          0.000007557869  0.000005583465  0.74       36.94     %
207        OMPLOCWS   4     64         1          25         4          0.000010628998  0.000005583465  0.53       13.13     %
208        OMPLOCWS   4     64         1          25         8          0.000016000868  0.000005583465  0.35       4.36      %
209        OMPLOCWS   4     64         1          25         16         0.000025130808  0.000005583465  0.22       1.39      %
210        OMPLOCWS   4     64         1          25         32         0.000059591235  0.000005583465  0.09       0.29      %
211        OMPLOCWS   4     64         1          25         64         0.000122410056  0.000005583465  0.05       0.07      %
212        OMPLOCWS   4     128        1          25         1          0.000037275255  0.000028602779  0.77       76.73     %
213        OMPLOCWS   4     128        1          25         2          0.000012496113  0.000028602779  2.29       114.45    %
214        OMPLOCWS   4     128        1          25         4          0.000013868511  0.000028602779  2.06       51.56     %
215        OMPLOCWS   4     128        1          25         8          0.000017851591  0.000028602779  1.60       20.03     %
216        OMPLOCWS   4     128        1          25         16         0.000024656951  0.000028602779  1.16       7.25      %
217        OMPLOCWS   4     128        1          25         32         0.000052253901  0.000028602779  0.55       1.71      %
218        OMPLOCWS   4     128        1          25         64         0.000121690333  0.000028602779  0.24       0.37      %
219        OMPLOCWS   4     256        1          25         1          0.000042007865  0.000158025330  3.76       376.18    %
220        OMPLOCWS   4     256        1          25         2          0.000034041703  0.000158025330  4.64       232.11    %
221        OMPLOCWS   4     256        1          25         4          0.000025634468  0.000158025330  6.16       154.11    %
222        OMPLOCWS   4     256        1          25         8          0.000029896200  0.000158025330  5.29       66.07     %
223        OMPLOCWS   4     256        1          25         16         0.000033602118  0.000158025330  4.70       29.39     %
224        OMPLOCWS   4     256        1          25         32         0.000061938168  0.000158025330  2.55       7.97      %
225        OMPLOCWS   4     256        1          25         64         0.000127813226  0.000158025330  1.24       1.93      %
226        OMPLOCWS   4     512        1          25         1          0.000203782314  0.000298035156  1.46       146.25    %
227        OMPLOCWS   4     512        1          25         2          0.000115387142  0.000298035156  2.58       129.15    %
228        OMPLOCWS   4     512        1          25         4          0.000077645484  0.000298035156  3.84       95.96     %
229        OMPLOCWS   4     512        1          25         8          0.000073486568  0.000298035156  4.06       50.70     %
230        OMPLOCWS   4     512        1          25         16         0.000080765785  0.000298035156  3.69       23.06     %
231        OMPLOCWS   4     512        1          25         32         0.000115105511  0.000298035156  2.59       8.09      %
232        OMPLOCWS   4     512        1          25         64         0.000182642048  0.000298035156  1.63       2.55      %
233        OMPLOCWS   4     1024       1          25         1          0.000885301852  0.001366454409  1.54       154.35    %
234        OMPLOCWS   4     1024       1          25         2          0.000451648230  0.001366454409  3.03       151.27    %
235        OMPLOCWS   4     1024       1          25         4          0.000237379965  0.001366454409  5.76       143.91    %
236        OMPLOCWS   4     1024       1          25         8          0.000142879784  0.001366454409  9.56       119.55    %
237        OMPLOCWS   4     1024       1          25         16         0.000127655265  0.001366454409  10.70      66.90     %
238        OMPLOCWS   4     1024       1          25         32         0.000273786485  0.001366454409  4.99       15.60     %
239        OMPLOCWS   4     1024       1          25         64         0.000314541161  0.001366454409  4.34       6.79      %
240        OMPLOCWS   4     2048       1          25         1          0.017476808280  0.020654620603  1.18       118.18    %
241        OMPLOCWS   4     2048       1          25         2          0.008822007105  0.020654620603  2.34       117.06    %
242        OMPLOCWS   4     2048       1          25         4          0.004432848189  0.020654620603  4.66       116.49    %
243        OMPLOCWS   4     2048       1          25         8          0.002265110612  0.020654620603  9.12       113.98    %
244        OMPLOCWS   4     2048       1          25         16         0.001202298678  0.020654620603  17.18      107.37    %
245        OMPLOCWS   4     2048       1          25         32         0.001042459859  0.020654620603  19.81      61.92     %
246        OMPLOCWS   4     2048       1          25         64         0.001219326281  0.020654620603  16.94      26.47     %
247        OMPLOCWS   4     4096       1          25         1          0.085645861924  0.094484351575  1.10       110.32    %
248        OMPLOCWS   4     4096       1          25         2          0.043936349452  0.094484351575  2.15       107.52    %
249        OMPLOCWS   4     4096       1          25         4          0.022212743759  0.094484351575  4.25       106.34    %
250        OMPLOCWS   4     4096       1          25         8          0.011537380517  0.094484351575  8.19       102.37    %
251        OMPLOCWS   4     4096       1          25         16         0.006904041860  0.094484351575  13.69      85.53     %
252        OMPLOCWS   4     4096       1          25         32         0.005604894366  0.094484351575  16.86      52.68     %
253        OMPLOCWS   4     4096       1          25         64         0.006808182690  0.094484351575  13.88      21.68     %
542        OMPLOCWS   4     16         2          25         1          0.000007073581  0.000000616908  0.09       8.72      %
543        OMPLOCWS   4     16         2          25         2          0.000005185604  0.000000616908  0.12       5.95      %
544        OMPLOCWS   4     16         2          25         4          0.000008150935  0.000000616908  0.08       1.89      %
545        OMPLOCWS   4     16         2          25         8          0.000013220310  0.000000616908  0.05       0.58      %
546        OMPLOCWS   4     16         2          25         16         0.000019273162  0.000000616908  0.03       0.20      %
547        OMPLOCWS   4     16         2          25         32         0.000042235850  0.000000616908  0.01       0.05      %
548        OMPLOCWS   4     16         2          25         64         0.000106342137  0.000000616908  0.01       0.01      %
549        OMPLOCWS   4     32         2          25         1          0.000008983910  0.000003753602  0.42       41.78     %
550        OMPLOCWS   4     32         2          25         2          0.000006233156  0.000003753602  0.60       30.11     %
551        OMPLOCWS   4     32         2          25         4          0.000009699166  0.000003753602  0.39       9.68      %
552        OMPLOCWS   4     32         2          25         8          0.000013576448  0.000003753602  0.28       3.46      %
553        OMPLOCWS   4     32         2          25         16         0.000021080672  0.000003753602  0.18       1.11      %
554        OMPLOCWS   4     32         2          25         32         0.000042921303  0.000003753602  0.09       0.27      %
555        OMPLOCWS   4     32         2          25         64         0.000111821297  0.000003753602  0.03       0.05      %
556        OMPLOCWS   4     64         2          25         1          0.000013162196  0.000002609193  0.20       19.82     %
557        OMPLOCWS   4     64         2          25         2          0.000007605553  0.000002609193  0.34       17.15     %
558        OMPLOCWS   4     64         2          25         4          0.000011943281  0.000002609193  0.22       5.46      %
559        OMPLOCWS   4     64         2          25         8          0.000014968216  0.000002609193  0.17       2.18      %
560        OMPLOCWS   4     64         2          25         16         0.000022637843  0.000002609193  0.12       0.72      %
561        OMPLOCWS   4     64         2          25         32         0.000050567091  0.000002609193  0.05       0.16      %
562        OMPLOCWS   4     64         2          25         64         0.000113657115  0.000002609193  0.02       0.04      %
563        OMPLOCWS   4     128        2          25         1          0.000022932887  0.000020067393  0.88       87.50     %
564        OMPLOCWS   4     128        2          25         2          0.000012260675  0.000020067393  1.64       81.84     %
565        OMPLOCWS   4     128        2          25         4          0.000013804436  0.000020067393  1.45       36.34     %
566        OMPLOCWS   4     128        2          25         8          0.000017656386  0.000020067393  1.14       14.21     %
567        OMPLOCWS   4     128        2          25         16         0.000023727120  0.000020067393  0.85       5.29      %
568        OMPLOCWS   4     128        2          25         32         0.000047096612  0.000020067393  0.43       1.33      %
569        OMPLOCWS   4     128        2          25         64         0.000112822650  0.000020067393  0.18       0.28      %
570        OMPLOCWS   4     256        2          25         1          0.000024068355  0.000019524992  0.81       81.12     %
571        OMPLOCWS   4     256        2          25         2          0.000029142200  0.000019524992  0.67       33.50     %
572        OMPLOCWS   4     256        2          25         4          0.000026841462  0.000019524992  0.73       18.19     %
573        OMPLOCWS   4     256        2          25         8          0.000029791892  0.000019524992  0.66       8.19      %
