N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
9452       OMPGLBBB   7     16         1          25         1          0.000054508448 
9453       OMPGLBBB   7     16         1          25         1          0.000059686601 
9454       OMPGLBBB   7     16         1          25         1          0.000060699880 
9455       OMPGLBBB   7     16         1          25         1          0.000021710992 
9456       OMPGLBBB   7     16         1          25         1          0.000058986247 
9457       OMPGLBBB   7     16         1          25         1          0.000022061169 
9458       OMPGLBBB   7     16         1          25         1          0.000059366226 
9459       OMPGLBBB   7     16         1          25         1          0.000059030950 
9460       OMPGLBBB   7     16         1          25         1          0.000059127808 
9461       OMPGLBBB   7     16         1          25         1          0.000021614134 
9462       OMPGLBBB   7     16         1          25         1          0.000087596476 
9463       OMPGLBBB   7     16         1          25         1          0.000021822751 
9464       OMPGLBBB   7     16         1          25         1          0.000021189451 
9465       OMPGLBBB   7     16         1          25         1          0.000067941844 
9466       OMPGLBBB   7     16         1          25         1          0.000058911741 
9467       OMPGLBBB   7     16         1          25         1          0.000059232116 
9468       OMPGLBBB   7     16         1          25         1          0.000059485435 
9469       OMPGLBBB   7     16         1          25         1          0.000021450222 
9470       OMPGLBBB   7     16         1          25         1          0.000021629035 
9471       OMPGLBBB   7     16         1          25         1          0.000059418380 
9472       OMPGLBBB   7     16         1          25         1          0.000059738755 
9473       OMPGLBBB   7     16         1          25         1          0.000059582293 
9474       OMPGLBBB   7     16         1          25         1          0.000022001565 
9475       OMPGLBBB   7     16         1          25         1          0.000059179962 
9476       OMPGLBBB   7     16         1          25         1          0.000058874488 
9477       OMPGLBBB   7     16         1          25         2          0.000016979873 
9478       OMPGLBBB   7     16         1          25         2          0.000060148537 
9479       OMPGLBBB   7     16         1          25         2          0.000021234155 
9480       OMPGLBBB   7     16         1          25         2          0.000059448183 
9481       OMPGLBBB   7     16         1          25         2          0.000021502376 
9482       OMPGLBBB   7     16         1          25         2          0.000021390617 
9483       OMPGLBBB   7     16         1          25         2          0.000026479363 
9484       OMPGLBBB   7     16         1          25         2          0.000021792948 
9485       OMPGLBBB   7     16         1          25         2          0.000021487474 
9486       OMPGLBBB   7     16         1          25         2          0.000059068203 
9487       OMPGLBBB   7     16         1          25         2          0.000058636069 
9488       OMPGLBBB   7     16         1          25         2          0.000058650970 
9489       OMPGLBBB   7     16         1          25         2          0.000058993697 
9490       OMPGLBBB   7     16         1          25         2          0.000059098005 
9491       OMPGLBBB   7     16         1          25         2          0.000021599233 
9492       OMPGLBBB   7     16         1          25         2          0.000059157610 
9493       OMPGLBBB   7     16         1          25         2          0.000021591783 
9494       OMPGLBBB   7     16         1          25         2          0.000058539212 
9495       OMPGLBBB   7     16         1          25         2          0.000021412969 
9496       OMPGLBBB   7     16         1          25         2          0.000021643937 
9497       OMPGLBBB   7     16         1          25         2          0.000021710992 
9498       OMPGLBBB   7     16         1          25         2          0.000022023916 
9499       OMPGLBBB   7     16         1          25         2          0.000025525689 
9500       OMPGLBBB   7     16         1          25         2          0.000022023916 
9501       OMPGLBBB   7     16         1          25         2          0.000021703541 
9502       OMPGLBBB   7     16         1          25         4          0.000049084425 
9503       OMPGLBBB   7     16         1          25         4          0.000022046268 
9504       OMPGLBBB   7     16         1          25         4          0.000021658838 
9505       OMPGLBBB   7     16         1          25         4          0.000021867454 
9506       OMPGLBBB   7     16         1          25         4          0.000021770597 
9507       OMPGLBBB   7     16         1          25         4          0.000021733344 
9508       OMPGLBBB   7     16         1          25         4          0.000058993697 
9509       OMPGLBBB   7     16         1          25         4          0.000021614134 
9510       OMPGLBBB   7     16         1          25         4          0.000022001565 
9511       OMPGLBBB   7     16         1          25         4          0.000021629035 
9512       OMPGLBBB   7     16         1          25         4          0.000021405518 
9513       OMPGLBBB   7     16         1          25         4          0.000021465123 
9514       OMPGLBBB   7     16         1          25         4          0.000021919608 
9515       OMPGLBBB   7     16         1          25         4          0.000060014427 
9516       OMPGLBBB   7     16         1          25         4          0.000021621585 
9517       OMPGLBBB   7     16         1          25         4          0.000021532178 
9518       OMPGLBBB   7     16         1          25         4          0.000059001148 
9519       OMPGLBBB   7     16         1          25         4          0.000021733344 
9520       OMPGLBBB   7     16         1          25         4          0.000059314072 
9521       OMPGLBBB   7     16         1          25         4          0.000021584332 
9522       OMPGLBBB   7     16         1          25         4          0.000071004033 
9523       OMPGLBBB   7     16         1          25         4          0.000071182847 
9524       OMPGLBBB   7     16         1          25         4          0.000021919608 
9525       OMPGLBBB   7     16         1          25         4          0.000059731305 
