N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000001233071 
3          SO0        1     16         1          25         1          0.000001087785 
4          SO0        1     16         1          25         1          0.000001203269 
5          SO0        1     16         1          25         1          0.000001080334 
6          SO0        1     16         1          25         1          0.000001281500 
7          SO0        1     16         1          25         1          0.000001538545 
8          SO0        1     16         1          25         1          0.000001110137 
9          SO0        1     16         1          25         1          0.000001013279 
10         SO0        1     16         1          25         1          0.000001102686 
11         SO0        1     16         1          25         1          0.000001233071 
12         SO0        1     16         1          25         1          0.000001195818 
13         SO0        1     16         1          25         1          0.000001255423 
14         SO0        1     16         1          25         1          0.000001259148 
15         SO0        1     16         1          25         1          0.000001266599 
16         SO0        1     16         1          25         1          0.000001098961 
17         SO0        1     16         1          25         1          0.000001061708 
18         SO0        1     16         1          25         1          0.000001084059 
19         SO0        1     16         1          25         1          0.000001206994 
20         SO0        1     16         1          25         1          0.000001102686 
21         SO0        1     16         1          25         1          0.000001091510 
22         SO0        1     16         1          25         1          0.000001367182 
23         SO0        1     16         1          25         1          0.000001087785 
24         SO0        1     16         1          25         1          0.000001061708 
25         SO0        1     16         1          25         1          0.000001247972 
26         SO0        1     16         1          25         1          0.000001110137 
27         SO0        1     32         1          25         1          0.000003397465 
28         SO0        1     32         1          25         1          0.000003304332 
29         SO0        1     32         1          25         1          0.000003743917 
30         SO0        1     32         1          25         1          0.000003412366 
31         SO0        1     32         1          25         1          0.000003285706 
32         SO0        1     32         1          25         1          0.000003334135 
33         SO0        1     32         1          25         1          0.000003386289 
34         SO0        1     32         1          25         1          0.000003390014 
35         SO0        1     32         1          25         1          0.000003498048 
36         SO0        1     32         1          25         1          0.000003278255 
37         SO0        1     32         1          25         1          0.000003512949 
38         SO0        1     32         1          25         1          0.000003706664 
39         SO0        1     32         1          25         1          0.000003892928 
40         SO0        1     32         1          25         1          0.000003423542 
41         SO0        1     32         1          25         1          0.000003743917 
42         SO0        1     32         1          25         1          0.000003281981 
43         SO0        1     32         1          25         1          0.000003315508 
44         SO0        1     32         1          25         1          0.000003378838 
45         SO0        1     32         1          25         1          0.000003557652 
46         SO0        1     32         1          25         1          0.000003337860 
47         SO0        1     32         1          25         1          0.000003412366 
48         SO0        1     32         1          25         1          0.000003512949 
49         SO0        1     32         1          25         1          0.000003382564 
50         SO0        1     32         1          25         1          0.000003654510 
51         SO0        1     32         1          25         1          0.000003356487 
52         SO0        1     64         1          25         1          0.000011365861 
53         SO0        1     64         1          25         1          0.000011693686 
54         SO0        1     64         1          25         1          0.000011328608 
55         SO0        1     64         1          25         1          0.000011734664 
56         SO0        1     64         1          25         1          0.000011961907 
57         SO0        1     64         1          25         1          0.000011652708 
58         SO0        1     64         1          25         1          0.000011589378 
59         SO0        1     64         1          25         1          0.000011254102 
60         SO0        1     64         1          25         1          0.000011354685 
61         SO0        1     64         1          25         1          0.000011887401 
62         SO0        1     64         1          25         1          0.000011961907 
63         SO0        1     64         1          25         1          0.000011727214 
64         SO0        1     64         1          25         1          0.000011432916 
65         SO0        1     64         1          25         1          0.000011473894 
66         SO0        1     64         1          25         1          0.000011444092 
67         SO0        1     64         1          25         1          0.000011302531 
68         SO0        1     64         1          25         1          0.000011596829 
69         SO0        1     64         1          25         1          0.000011950731 
70         SO0        1     64         1          25         1          0.000011879951 
71         SO0        1     64         1          25         1          0.000012110919 
72         SO0        1     64         1          25         1          0.000011496246 
73         SO0        1     64         1          25         1          0.000012356788 
74         SO0        1     64         1          25         1          0.000011514872 
75         SO0        1     64         1          25         1          0.000012293458 
76         SO0        1     64         1          25         1          0.000011280179 
77         SO0        1     128        1          25         1          0.000038839877 
78         SO0        1     128        1          25         1          0.000049911439 
79         SO0        1     128        1          25         1          0.000050555915 
80         SO0        1     128        1          25         1          0.000049151480 
81         SO0        1     128        1          25         1          0.000048425049 
82         SO0        1     128        1          25         1          0.000049356371 
83         SO0        1     128        1          25         1          0.000050615519 
84         SO0        1     128        1          25         1          0.000051163137 
85         SO0        1     128        1          25         1          0.000049393624 
86         SO0        1     128        1          25         1          0.000050306320 
87         SO0        1     128        1          25         1          0.000050008297 
88         SO0        1     128        1          25         1          0.000050373375 
89         SO0        1     128        1          25         1          0.000049389899 
90         SO0        1     128        1          25         1          0.000049937516 
91         SO0        1     128        1          25         1          0.000051040202 
92         SO0        1     128        1          25         1          0.000047605485 
93         SO0        1     128        1          25         1          0.000049918890 
94         SO0        1     128        1          25         1          0.000050641596 
95         SO0        1     128        1          25         1          0.000048197806 
96         SO0        1     128        1          25         1          0.000049766153 
97         SO0        1     128        1          25         1          0.000048607588 
98         SO0        1     128        1          25         1          0.000053543597 
99         SO0        1     128        1          25         1          0.000048849732 
100        SO0        1     128        1          25         1          0.000048972666 
101        SO0        1     128        1          25         1          0.000052116811 
102        SO0        1     256        1          25         1          0.000151310116 
103        SO0        1     256        1          25         1          0.000220049173 
104        SO0        1     256        1          25         1          0.000225432217 
105        SO0        1     256        1          25         1          0.000218205154 
106        SO0        1     256        1          25         1          0.000224787742 
107        SO0        1     256        1          25         1          0.000228319317 
108        SO0        1     256        1          25         1          0.000224754214 
109        SO0        1     256        1          25         1          0.000223584473 
110        SO0        1     256        1          25         1          0.000226259232 
111        SO0        1     256        1          25         1          0.000225219876 
112        SO0        1     256        1          25         1          0.000218305737 
113        SO0        1     256        1          25         1          0.000241752714 
114        SO0        1     256        1          25         1          0.000221464783 
115        SO0        1     256        1          25         1          0.000222742558 
116        SO0        1     256        1          25         1          0.000224016607 
117        SO0        1     256        1          25         1          0.000220596790 
118        SO0        1     256        1          25         1          0.000221453607 
119        SO0        1     256        1          25         1          0.000220768154 
120        SO0        1     256        1          25         1          0.000215783715 
121        SO0        1     256        1          25         1          0.000217724591 
122        SO0        1     256        1          25         1          0.000226739794 
123        SO0        1     256        1          25         1          0.000216782093 
124        SO0        1     256        1          25         1          0.000222336501 
125        SO0        1     256        1          25         1          0.000248067081 
126        SO0        1     256        1          25         1          0.000222556293 
127        SO0        1     512        1          25         1          0.000655494630 
128        SO0        1     512        1          25         1          0.000705961138 
129        SO0        1     512        1          25         1          0.000656619668 
130        SO0        1     512        1          25         1          0.000660125166 
131        SO0        1     512        1          25         1          0.000691268593 
132        SO0        1     512        1          25         1          0.000657849014 
133        SO0        1     512        1          25         1          0.000655453652 
134        SO0        1     512        1          25         1          0.000671721995 
135        SO0        1     512        1          25         1          0.000658333302 
136        SO0        1     512        1          25         1          0.000652894378 
137        SO0        1     512        1          25         1          0.000651113689 
138        SO0        1     512        1          25         1          0.000686045736 
139        SO0        1     512        1          25         1          0.000657897443 
140        SO0        1     512        1          25         1          0.000659659505 
141        SO0        1     512        1          25         1          0.000678282231 
142        SO0        1     512        1          25         1          0.000652801245 
143        SO0        1     512        1          25         1          0.000655800104 
144        SO0        1     512        1          25         1          0.000688698143 
145        SO0        1     512        1          25         1          0.000655550510 
146        SO0        1     512        1          25         1          0.000656053424 
147        SO0        1     512        1          25         1          0.000684559345 
148        SO0        1     512        1          25         1          0.000658605248 
149        SO0        1     512        1          25         1          0.000657282770 
150        SO0        1     512        1          25         1          0.000672470778 
151        SO0        1     512        1          25         1          0.000646628439 
152        SO0        1     1024       1          25         1          0.003012925386 
153        SO0        1     1024       1          25         1          0.003099549562 
154        SO0        1     1024       1          25         1          0.003491118550 
155        SO0        1     1024       1          25         1          0.003026843071 
156        SO0        1     1024       1          25         1          0.003064781427 
157        SO0        1     1024       1          25         1          0.003374863416 
158        SO0        1     1024       1          25         1          0.003023233265 
159        SO0        1     1024       1          25         1          0.003078643233 
160        SO0        1     1024       1          25         1          0.003430377692 
161        SO0        1     1024       1          25         1          0.003012787551 
162        SO0        1     1024       1          25         1          0.003018975258 
163        SO0        1     1024       1          25         1          0.003078550100 
164        SO0        1     1024       1          25         1          0.003442507237 
165        SO0        1     1024       1          25         1          0.003034133464 
166        SO0        1     1024       1          25         1          0.003064222634 
