N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          SO0        1     16         1          25         1          0.000001881272 
2          SO0        1     16         1          25         1          0.000001043081 
3          SO0        1     16         1          25         1          0.000001158565 
4          SO0        1     16         1          25         1          0.000001020730 
5          SO0        1     16         1          25         1          0.000001251698 
6          SO0        1     16         1          25         1          0.000001009554 
7          SO0        1     16         1          25         1          0.000001024455 
8          SO0        1     16         1          25         1          0.000001013279 
9          SO0        1     16         1          25         1          0.000000935048 
10         SO0        1     16         1          25         1          0.000001009554 
11         SO0        1     16         1          25         1          0.000000998378 
12         SO0        1     16         1          25         1          0.000001113862 
13         SO0        1     16         1          25         1          0.000001031905 
14         SO0        1     16         1          25         1          0.000000938773 
15         SO0        1     16         1          25         1          0.000001106411 
16         SO0        1     16         1          25         1          0.000001031905 
17         SO0        1     16         1          25         1          0.000000949949 
18         SO0        1     16         1          25         1          0.000001035631 
19         SO0        1     16         1          25         1          0.000001039356 
20         SO0        1     16         1          25         1          0.000001020730 
21         SO0        1     16         1          25         1          0.000001020730 
22         SO0        1     16         1          25         1          0.000000990927 
23         SO0        1     16         1          25         1          0.000000976026 
24         SO0        1     16         1          25         1          0.000000946224 
25         SO0        1     16         1          25         1          0.000001024455 
26         SO0        1     32         1          25         1          0.000003177673 
27         SO0        1     32         1          25         1          0.000003710389 
28         SO0        1     32         1          25         1          0.000003453344 
29         SO0        1     32         1          25         1          0.000002931803 
30         SO0        1     32         1          25         1          0.000003404915 
31         SO0        1     32         1          25         1          0.000003084540 
32         SO0        1     32         1          25         1          0.000003173947 
33         SO0        1     32         1          25         1          0.000003613532 
34         SO0        1     32         1          25         1          0.000003650784 
35         SO0        1     32         1          25         1          0.000003706664 
36         SO0        1     32         1          25         1          0.000003948808 
37         SO0        1     32         1          25         1          0.000003274530 
38         SO0        1     32         1          25         1          0.000003438443 
39         SO0        1     32         1          25         1          0.000003460795 
40         SO0        1     32         1          25         1          0.000003300607 
41         SO0        1     32         1          25         1          0.000003706664 
42         SO0        1     32         1          25         1          0.000003255904 
43         SO0        1     32         1          25         1          0.000003062189 
44         SO0        1     32         1          25         1          0.000003349036 
45         SO0        1     32         1          25         1          0.000003091991 
46         SO0        1     32         1          25         1          0.000003371388 
47         SO0        1     32         1          25         1          0.000003356487 
48         SO0        1     32         1          25         1          0.000003535300 
49         SO0        1     32         1          25         1          0.000003490597 
50         SO0        1     32         1          25         1          0.000003352761 
51         SO0        1     64         1          25         1          0.000010389835 
52         SO0        1     64         1          25         1          0.000012092292 
53         SO0        1     64         1          25         1          0.000012103468 
54         SO0        1     64         1          25         1          0.000010851771 
55         SO0        1     64         1          25         1          0.000011626631 
56         SO0        1     64         1          25         1          0.000011581928 
57         SO0        1     64         1          25         1          0.000010199845 
58         SO0        1     64         1          25         1          0.000011444092 
59         SO0        1     64         1          25         1          0.000011857599 
60         SO0        1     64         1          25         1          0.000010341406 
61         SO0        1     64         1          25         1          0.000012226403 
62         SO0        1     64         1          25         1          0.000012010336 
63         SO0        1     64         1          25         1          0.000011164695 
64         SO0        1     64         1          25         1          0.000011999160 
65         SO0        1     64         1          25         1          0.000011779368 
66         SO0        1     64         1          25         1          0.000011857599 
67         SO0        1     64         1          25         1          0.000011548400 
68         SO0        1     64         1          25         1          0.000010509044 
69         SO0        1     64         1          25         1          0.000011414289 
70         SO0        1     64         1          25         1          0.000011738390 
71         SO0        1     64         1          25         1          0.000010613352 
72         SO0        1     64         1          25         1          0.000011391938 
73         SO0        1     64         1          25         1          0.000011626631 
74         SO0        1     64         1          25         1          0.000010058284 
75         SO0        1     64         1          25         1          0.000011898577 
76         SO0        1     128        1          25         1          0.000038411468 
77         SO0        1     128        1          25         1          0.000051993877 
78         SO0        1     128        1          25         1          0.000043813139 
79         SO0        1     128        1          25         1          0.000048540533 
80         SO0        1     128        1          25         1          0.000052690506 
81         SO0        1     128        1          25         1          0.000043544918 
82         SO0        1     128        1          25         1          0.000047575682 
83         SO0        1     128        1          25         1          0.000049743801 
84         SO0        1     128        1          25         1          0.000046256930 
85         SO0        1     128        1          25         1          0.000049926341 
86         SO0        1     128        1          25         1          0.000048194081 
87         SO0        1     128        1          25         1          0.000043816864 
88         SO0        1     128        1          25         1          0.000050488859 
89         SO0        1     128        1          25         1          0.000048011541 
90         SO0        1     128        1          25         1          0.000047430396 
91         SO0        1     128        1          25         1          0.000049408525 
92         SO0        1     128        1          25         1          0.000044096261 
93         SO0        1     128        1          25         1          0.000049855560 
94         SO0        1     128        1          25         1          0.000049568713 
95         SO0        1     128        1          25         1          0.000046007335 
96         SO0        1     128        1          25         1          0.000049713999 
97         SO0        1     128        1          25         1          0.000051062554 
98         SO0        1     128        1          25         1          0.000044453889 
99         SO0        1     128        1          25         1          0.000048350543 
100        SO0        1     128        1          25         1          0.000049613416 
101        SO0        1     256        1          25         1          0.000151570886 
102        SO0        1     256        1          25         1          0.000231523067 
103        SO0        1     256        1          25         1          0.000221215189 
104        SO0        1     256        1          25         1          0.000191491097 
105        SO0        1     256        1          25         1          0.000229787081 
106        SO0        1     256        1          25         1          0.000221937895 
107        SO0        1     256        1          25         1          0.000191226602 
108        SO0        1     256        1          25         1          0.000217061490 
109        SO0        1     256        1          25         1          0.000192049891 
110        SO0        1     256        1          25         1          0.000225026160 
111        SO0        1     256        1          25         1          0.000221811235 
112        SO0        1     256        1          25         1          0.000190902501 
113        SO0        1     256        1          25         1          0.000191703439 
114        SO0        1     256        1          25         1          0.000225976110 
115        SO0        1     256        1          25         1          0.000223491341 
116        SO0        1     256        1          25         1          0.000191323459 
117        SO0        1     256        1          25         1          0.000227712095 
118        SO0        1     256        1          25         1          0.000220205635 
119        SO0        1     256        1          25         1          0.000214923173 
120        SO0        1     256        1          25         1          0.000196386129 
121        SO0        1     256        1          25         1          0.000228583813 
122        SO0        1     256        1          25         1          0.000218868256 
123        SO0        1     256        1          25         1          0.000190205872 
124        SO0        1     256        1          25         1          0.000227499753 
125        SO0        1     256        1          25         1          0.000227276236 
126        SO0        1     512        1          25         1          0.000647578388 
