N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2477       R2         3     16         1          25         1          0.000000901520 
2478       R2         3     16         1          25         1          0.000001728535 
2479       R2         3     16         1          25         1          0.000001896173 
2480       R2         3     16         1          25         1          0.000012334436 
2481       R2         3     16         1          25         1          0.000001695007 
2482       R2         3     16         1          25         1          0.000001717359 
2483       R2         3     16         1          25         1          0.000001549721 
2484       R2         3     16         1          25         1          0.000001680106 
2485       R2         3     16         1          25         1          0.000001695007 
2486       R2         3     16         1          25         1          0.000001519918 
2487       R2         3     16         1          25         1          0.000001586974 
2488       R2         3     16         1          25         1          0.000000674278 
2489       R2         3     16         1          25         1          0.000001572073 
2490       R2         3     16         1          25         1          0.000001221895 
2491       R2         3     16         1          25         1          0.000001635402 
2492       R2         3     16         1          25         1          0.000001646578 
2493       R2         3     16         1          25         1          0.000001654029 
2494       R2         3     16         1          25         1          0.000001631677 
2495       R2         3     16         1          25         1          0.000001642853 
2496       R2         3     16         1          25         1          0.000001572073 
2497       R2         3     16         1          25         1          0.000001583248 
2498       R2         3     16         1          25         1          0.000001713634 
2499       R2         3     16         1          25         1          0.000001609325 
2500       R2         3     16         1          25         1          0.000001654029 
2501       R2         3     16         1          25         1          0.000000584871 
2502       R2         3     32         1          25         1          0.000001005828 
2503       R2         3     32         1          25         1          0.000003021210 
2504       R2         3     32         1          25         1          0.000002566725 
2505       R2         3     32         1          25         1          0.000003181398 
2506       R2         3     32         1          25         1          0.000003352761 
2507       R2         3     32         1          25         1          0.000002618879 
2508       R2         3     32         1          25         1          0.000003077090 
2509       R2         3     32         1          25         1          0.000002946705 
2510       R2         3     32         1          25         1          0.000002622604 
2511       R2         3     32         1          25         1          0.000002954155 
2512       R2         3     32         1          25         1          0.000002641231 
2513       R2         3     32         1          25         1          0.000002469867 
2514       R2         3     32         1          25         1          0.000002462417 
2515       R2         3     32         1          25         1          0.000003069639 
2516       R2         3     32         1          25         1          0.000002849847 
2517       R2         3     32         1          25         1          0.000003330410 
2518       R2         3     32         1          25         1          0.000001437962 
2519       R2         3     32         1          25         1          0.000002473593 
2520       R2         3     32         1          25         1          0.000003010035 
2521       R2         3     32         1          25         1          0.000002592802 
2522       R2         3     32         1          25         1          0.000002626330 
2523       R2         3     32         1          25         1          0.000003363937 
2524       R2         3     32         1          25         1          0.000002864748 
2525       R2         3     32         1          25         1          0.000001471490 
2526       R2         3     32         1          25         1          0.000002644956 
2527       R2         3     64         1          25         1          0.000001635402 
2528       R2         3     64         1          25         1          0.000005021691 
2529       R2         3     64         1          25         1          0.000001557171 
2530       R2         3     64         1          25         1          0.000004962087 
2531       R2         3     64         1          25         1          0.000004939735 
2532       R2         3     64         1          25         1          0.000001501292 
2533       R2         3     64         1          25         1          0.000004671514 
2534       R2         3     64         1          25         1          0.000004936010 
2535       R2         3     64         1          25         1          0.000004958361 
2536       R2         3     64         1          25         1          0.000005070120 
2537       R2         3     64         1          25         1          0.000004984438 
2538       R2         3     64         1          25         1          0.000005010515 
2539       R2         3     64         1          25         1          0.000004999340 
2540       R2         3     64         1          25         1          0.000004980713 
2541       R2         3     64         1          25         1          0.000004891306 
2542       R2         3     64         1          25         1          0.000005133450 
2543       R2         3     64         1          25         1          0.000005133450 
2544       R2         3     64         1          25         1          0.000004615635 
2545       R2         3     64         1          25         1          0.000005099922 
2546       R2         3     64         1          25         1          0.000005230308 
2547       R2         3     64         1          25         1          0.000004988164 
2548       R2         3     64         1          25         1          0.000004962087 
2549       R2         3     64         1          25         1          0.000005085021 
2550       R2         3     64         1          25         1          0.000004988164 
2551       R2         3     64         1          25         1          0.000005017966 
2552       R2         3     128        1          25         1          0.000002887100 
2553       R2         3     128        1          25         1          0.000008989125 
2554       R2         3     128        1          25         1          0.000009253621 
2555       R2         3     128        1          25         1          0.000008944422 
2556       R2         3     128        1          25         1          0.000002861023 
2557       R2         3     128        1          25         1          0.000002667308 
2558       R2         3     128        1          25         1          0.000002708286 
2559       R2         3     128        1          25         1          0.000002618879 
2560       R2         3     128        1          25         1          0.000002712011 
2561       R2         3     128        1          25         1          0.000008687377 
2562       R2         3     128        1          25         1          0.000008203089 
2563       R2         3     128        1          25         1          0.000002671033 
2564       R2         3     128        1          25         1          0.000002846122 
2565       R2         3     128        1          25         1          0.000008996576 
2566       R2         3     128        1          25         1          0.000008571893 
2567       R2         3     128        1          25         1          0.000002745539 
2568       R2         3     128        1          25         1          0.000002671033 
2569       R2         3     128        1          25         1          0.000002622604 
2570       R2         3     128        1          25         1          0.000002738088 
2571       R2         3     128        1          25         1          0.000002667308 
2572       R2         3     128        1          25         1          0.000008825213 
2573       R2         3     128        1          25         1          0.000002846122 
2574       R2         3     128        1          25         1          0.000008966774 
2575       R2         3     128        1          25         1          0.000002596527 
2576       R2         3     128        1          25         1          0.000009171665 
2577       R2         3     256        1          25         1          0.000006690621 
2578       R2         3     256        1          25         1          0.000007621944 
2579       R2         3     256        1          25         1          0.000004988164 
2580       R2         3     256        1          25         1          0.000006396323 
2581       R2         3     256        1          25         1          0.000006224960 
2582       R2         3     256        1          25         1          0.000005640090 
2583       R2         3     256        1          25         1          0.000004686415 
2584       R2         3     256        1          25         1          0.000006351620 
2585       R2         3     256        1          25         1          0.000009745359 
2586       R2         3     256        1          25         1          0.000004842877 
2587       R2         3     256        1          25         1          0.000004876405 
2588       R2         3     256        1          25         1          0.000005152076 
2589       R2         3     256        1          25         1          0.000005859882 
2590       R2         3     256        1          25         1          0.000006552786 
2591       R2         3     256        1          25         1          0.000006590039 
2592       R2         3     256        1          25         1          0.000004872680 
2593       R2         3     256        1          25         1          0.000005979091 
2594       R2         3     256        1          25         1          0.000006563962 
2595       R2         3     256        1          25         1          0.000005740672 
2596       R2         3     256        1          25         1          0.000005878508 
2597       R2         3     256        1          25         1          0.000006888062 
2598       R2         3     256        1          25         1          0.000004824251 
2599       R2         3     256        1          25         1          0.000004794449 
2600       R2         3     256        1          25         1          0.000005636364 
2601       R2         3     256        1          25         1          0.000005986542 
2602       R2         3     512        1          25         1          0.000015657395 
2603       R2         3     512        1          25         1          0.000017698854 
2604       R2         3     512        1          25         1          0.000015139580 
2605       R2         3     512        1          25         1          0.000016529113 
2606       R2         3     512        1          25         1          0.000017426908 
2607       R2         3     512        1          25         1          0.000014763325 
2608       R2         3     512        1          25         1          0.000023640692 
2609       R2         3     512        1          25         1          0.000015765429 
2610       R2         3     512        1          25         1          0.000014752150 
2611       R2         3     512        1          25         1          0.000018551946 
2612       R2         3     512        1          25         1          0.000016614795 
2613       R2         3     512        1          25         1          0.000014934689 
2614       R2         3     512        1          25         1          0.000016264617 
2615       R2         3     512        1          25         1          0.000016745180 
2616       R2         3     512        1          25         1          0.000014957041 
2617       R2         3     512        1          25         1          0.000016231090 
2618       R2         3     512        1          25         1          0.000016707927 
2619       R2         3     512        1          25         1          0.000014696270 
2620       R2         3     512        1          25         1          0.000016152859 
2621       R2         3     512        1          25         1          0.000016264617 
2622       R2         3     512        1          25         1          0.000014692545 
2623       R2         3     512        1          25         1          0.000016439706 
2624       R2         3     512        1          25         1          0.000016823411 
2625       R2         3     512        1          25         1          0.000014651567 
2626       R2         3     512        1          25         1          0.000016059726 
2627       R2         3     1024       1          25         1          0.000306826085 
2628       R2         3     1024       1          25         1          0.000316344202 
2629       R2         3     1024       1          25         1          0.000298753381 
2630       R2         3     1024       1          25         1          0.000327270478 
2631       R2         3     1024       1          25         1          0.000320091844 
2632       R2         3     1024       1          25         1          0.000274140388 
2633       R2         3     1024       1          25         1          0.000318702310 
2634       R2         3     1024       1          25         1          0.000309582800 
2635       R2         3     1024       1          25         1          0.000272784382 
2636       R2         3     1024       1          25         1          0.000322032720 
2637       R2         3     1024       1          25         1          0.000304732472 
2638       R2         3     1024       1          25         1          0.000279128551 
2639       R2         3     1024       1          25         1          0.000311244279 
2640       R2         3     1024       1          25         1          0.000314675272 
2641       R2         3     1024       1          25         1          0.000276234001 
2642       R2         3     1024       1          25         1          0.000311821699 
2643       R2         3     1024       1          25         1          0.000294025987 
2644       R2         3     1024       1          25         1          0.000287033617 
2645       R2         3     1024       1          25         1          0.000294011086 
2646       R2         3     1024       1          25         1          0.000312037766 
2647       R2         3     1024       1          25         1          0.000285156071 
2648       R2         3     1024       1          25         1          0.000309050083 
2649       R2         3     1024       1          25         1          0.000299979001 
2650       R2         3     1024       1          25         1          0.000276613981 
2651       R2         3     1024       1          25         1          0.000310033560 
2652       R2         3     2048       1          25         1          0.000715255737 
2653       R2         3     2048       1          25         1          0.000713195652 
2654       R2         3     2048       1          25         1          0.000602532178 
2655       R2         3     2048       1          25         1          0.000629678369 
2656       R2         3     2048       1          25         1          0.000716254115 
2657       R2         3     2048       1          25         1          0.000575590879 
2658       R2         3     2048       1          25         1          0.000661812723 
2659       R2         3     2048       1          25         1          0.000689130276 
2660       R2         3     2048       1          25         1          0.000579774380 
2661       R2         3     2048       1          25         1          0.000688444823 
2662       R2         3     2048       1          25         1          0.000699196011 
2663       R2         3     2048       1          25         1          0.000581342727 
2664       R2         3     2048       1          25         1          0.000554636121 
2665       R2         3     2048       1          25         1          0.000663958490 
2666       R2         3     2048       1          25         1          0.000701539218 
2667       R2         3     2048       1          25         1          0.000558640808 
2668       R2         3     2048       1          25         1          0.000678081065 
2669       R2         3     2048       1          25         1          0.000667553395 
