N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
7877       OMPLOCBB   6     16         1          25         1          0.000006504357 
7878       OMPLOCBB   6     16         1          25         1          0.000013440847 
7879       OMPLOCBB   6     16         1          25         1          0.000013291836 
7880       OMPLOCBB   6     16         1          25         1          0.000013273209 
7881       OMPLOCBB   6     16         1          25         1          0.000004351139 
7882       OMPLOCBB   6     16         1          25         1          0.000013384968 
7883       OMPLOCBB   6     16         1          25         1          0.000004414469 
7884       OMPLOCBB   6     16         1          25         1          0.000013384968 
7885       OMPLOCBB   6     16         1          25         1          0.000013228506 
7886       OMPLOCBB   6     16         1          25         1          0.000004332513 
7887       OMPLOCBB   6     16         1          25         1          0.000013176352 
7888       OMPLOCBB   6     16         1          25         1          0.000013288110 
7889       OMPLOCBB   6     16         1          25         1          0.000004395843 
7890       OMPLOCBB   6     16         1          25         1          0.000004310161 
7891       OMPLOCBB   6     16         1          25         1          0.000004354864 
7892       OMPLOCBB   6     16         1          25         1          0.000013422221 
7893       OMPLOCBB   6     16         1          25         1          0.000004351139 
7894       OMPLOCBB   6     16         1          25         1          0.000004347414 
7895       OMPLOCBB   6     16         1          25         1          0.000004373491 
7896       OMPLOCBB   6     16         1          25         1          0.000004291534 
7897       OMPLOCBB   6     16         1          25         1          0.000013276935 
7898       OMPLOCBB   6     16         1          25         1          0.000004276633 
7899       OMPLOCBB   6     16         1          25         1          0.000013399869 
7900       OMPLOCBB   6     16         1          25         1          0.000004194677 
7901       OMPLOCBB   6     16         1          25         1          0.000004358590 
7902       OMPLOCBB   6     16         1          25         2          0.000006508082 
7903       OMPLOCBB   6     16         1          25         2          0.000009644777 
7904       OMPLOCBB   6     16         1          25         2          0.000008929521 
7905       OMPLOCBB   6     16         1          25         2          0.000008869916 
7906       OMPLOCBB   6     16         1          25         2          0.000008694828 
7907       OMPLOCBB   6     16         1          25         2          0.000008709729 
7908       OMPLOCBB   6     16         1          25         2          0.000008802861 
7909       OMPLOCBB   6     16         1          25         2          0.000008650124 
7910       OMPLOCBB   6     16         1          25         2          0.000008672476 
7911       OMPLOCBB   6     16         1          25         2          0.000008627772 
7912       OMPLOCBB   6     16         1          25         2          0.000008635223 
7913       OMPLOCBB   6     16         1          25         2          0.000008597970 
7914       OMPLOCBB   6     16         1          25         2          0.000008843839 
7915       OMPLOCBB   6     16         1          25         2          0.000008791685 
7916       OMPLOCBB   6     16         1          25         2          0.000008735806 
7917       OMPLOCBB   6     16         1          25         2          0.000008676201 
7918       OMPLOCBB   6     16         1          25         2          0.000008665025 
7919       OMPLOCBB   6     16         1          25         2          0.000008698553 
7920       OMPLOCBB   6     16         1          25         2          0.000008642673 
7921       OMPLOCBB   6     16         1          25         2          0.000008597970 
7922       OMPLOCBB   6     16         1          25         2          0.000008497387 
7923       OMPLOCBB   6     16         1          25         2          0.000008795410 
7924       OMPLOCBB   6     16         1          25         2          0.000008761883 
7925       OMPLOCBB   6     16         1          25         2          0.000008810312 
7926       OMPLOCBB   6     16         1          25         2          0.000008780509 
7927       OMPLOCBB   6     16         1          25         4          0.000020530075 
7928       OMPLOCBB   6     16         1          25         4          0.000007238239 
7929       OMPLOCBB   6     16         1          25         4          0.000008132309 
7930       OMPLOCBB   6     16         1          25         4          0.000007804483 
7931       OMPLOCBB   6     16         1          25         4          0.000007838011 
7932       OMPLOCBB   6     16         1          25         4          0.000007849187 
7933       OMPLOCBB   6     16         1          25         4          0.000007901341 
7934       OMPLOCBB   6     16         1          25         4          0.000007852912 
7935       OMPLOCBB   6     16         1          25         4          0.000007875264 
7936       OMPLOCBB   6     16         1          25         4          0.000008020550 
7937       OMPLOCBB   6     16         1          25         4          0.000007744879 
7938       OMPLOCBB   6     16         1          25         4          0.000007640570 
7939       OMPLOCBB   6     16         1          25         4          0.000007882714 
7940       OMPLOCBB   6     16         1          25         4          0.000007864088 
7941       OMPLOCBB   6     16         1          25         4          0.000007860363 
7942       OMPLOCBB   6     16         1          25         4          0.000007808208 
7943       OMPLOCBB   6     16         1          25         4          0.000007938594 
7944       OMPLOCBB   6     16         1          25         4          0.000007707626 
7945       OMPLOCBB   6     16         1          25         4          0.000007983297 
7946       OMPLOCBB   6     16         1          25         4          0.000007960945 
7947       OMPLOCBB   6     16         1          25         4          0.000007852912 
7948       OMPLOCBB   6     16         1          25         4          0.000008028001 
7949       OMPLOCBB   6     16         1          25         4          0.000007927418 
7950       OMPLOCBB   6     16         1          25         4          0.000007893890 
7951       OMPLOCBB   6     16         1          25         4          0.000007867813 
7952       OMPLOCBB   6     16         1          25         8          0.000010952353 
7953       OMPLOCBB   6     16         1          25         8          0.000007253140 
7954       OMPLOCBB   6     16         1          25         8          0.000008057803 
7955       OMPLOCBB   6     16         1          25         8          0.000007860363 
7956       OMPLOCBB   6     16         1          25         8          0.000007908791 
7957       OMPLOCBB   6     16         1          25         8          0.000007774681 
7958       OMPLOCBB   6     16         1          25         8          0.000008039176 
7959       OMPLOCBB   6     16         1          25         8          0.000007912517 
7960       OMPLOCBB   6     16         1          25         8          0.000007823110 
7961       OMPLOCBB   6     16         1          25         8          0.000007826835 
7962       OMPLOCBB   6     16         1          25         8          0.000007793307 
7963       OMPLOCBB   6     16         1          25         8          0.000007744879 
7964       OMPLOCBB   6     16         1          25         8          0.000007804483 
7965       OMPLOCBB   6     16         1          25         8          0.000007666647 
7966       OMPLOCBB   6     16         1          25         8          0.000007785857 
7967       OMPLOCBB   6     16         1          25         8          0.000007774681 
7968       OMPLOCBB   6     16         1          25         8          0.000007726252 
7969       OMPLOCBB   6     16         1          25         8          0.000007845461 
7970       OMPLOCBB   6     16         1          25         8          0.000007957220 
7971       OMPLOCBB   6     16         1          25         8          0.000007759780 
7972       OMPLOCBB   6     16         1          25         8          0.000008076429 
7973       OMPLOCBB   6     16         1          25         8          0.000007990748 
7974       OMPLOCBB   6     16         1          25         8          0.000007849187 
7975       OMPLOCBB   6     16         1          25         8          0.000007934868 
7976       OMPLOCBB   6     16         1          25         8          0.000007707626 
7977       OMPLOCBB   6     16         1          25         16         0.000013031065 
7978       OMPLOCBB   6     16         1          25         16         0.000009380281 
7979       OMPLOCBB   6     16         1          25         16         0.000009045005 
7980       OMPLOCBB   6     16         1          25         16         0.000008743256 
7981       OMPLOCBB   6     16         1          25         16         0.000009063631 
7982       OMPLOCBB   6     16         1          25         16         0.000008888543 
7983       OMPLOCBB   6     16         1          25         16         0.000008966774 
7984       OMPLOCBB   6     16         1          25         16         0.000009190291 
7985       OMPLOCBB   6     16         1          25         16         0.000009026378 
7986       OMPLOCBB   6     16         1          25         16         0.000009149313 
7987       OMPLOCBB   6     16         1          25         16         0.000008851290 
7988       OMPLOCBB   6     16         1          25         16         0.000009138137 
7989       OMPLOCBB   6     16         1          25         16         0.000009112060 
7990       OMPLOCBB   6     16         1          25         16         0.000009123236 
7991       OMPLOCBB   6     16         1          25         16         0.000008992851 
7992       OMPLOCBB   6     16         1          25         16         0.000009201467 
7993       OMPLOCBB   6     16         1          25         16         0.000008884817 
7994       OMPLOCBB   6     16         1          25         16         0.000009074807 
7995       OMPLOCBB   6     16         1          25         16         0.000008907169 
7996       OMPLOCBB   6     16         1          25         16         0.000008717179 
7997       OMPLOCBB   6     16         1          25         16         0.000008717179 
7998       OMPLOCBB   6     16         1          25         16         0.000009220093 
7999       OMPLOCBB   6     16         1          25         16         0.000008821487 
8000       OMPLOCBB   6     16         1          25         16         0.000009000301 
8001       OMPLOCBB   6     16         1          25         16         0.000008754432 
8002       OMPLOCBB   6     16         1          25         32         0.000029142946 
8003       OMPLOCBB   6     16         1          25         32         0.000007163733 
8004       OMPLOCBB   6     16         1          25         32         0.000008925796 
8005       OMPLOCBB   6     16         1          25         32         0.000008866191 
8006       OMPLOCBB   6     16         1          25         32         0.000008951873 
8007       OMPLOCBB   6     16         1          25         32         0.000009045005 
8008       OMPLOCBB   6     16         1          25         32         0.000009108335 
8009       OMPLOCBB   6     16         1          25         32         0.000009130687 
8010       OMPLOCBB   6     16         1          25         32         0.000008936971 
8011       OMPLOCBB   6     16         1          25         32         0.000009048730 
8012       OMPLOCBB   6     16         1          25         32         0.000008936971 
8013       OMPLOCBB   6     16         1          25         32         0.000008787960 
8014       OMPLOCBB   6     16         1          25         32         0.000008806586 
8015       OMPLOCBB   6     16         1          25         32         0.000008903444 
8016       OMPLOCBB   6     16         1          25         32         0.000008966774 
8017       OMPLOCBB   6     16         1          25         32         0.000009033829 
8018       OMPLOCBB   6     16         1          25         32         0.000008843839 
8019       OMPLOCBB   6     16         1          25         32         0.000008843839 
8020       OMPLOCBB   6     16         1          25         32         0.000008963048 
8021       OMPLOCBB   6     16         1          25         32         0.000009227544 
8022       OMPLOCBB   6     16         1          25         32         0.000008981675 
8023       OMPLOCBB   6     16         1          25         32         0.000009164214 
8024       OMPLOCBB   6     16         1          25         32         0.000009056181 
8025       OMPLOCBB   6     16         1          25         32         0.000009037554 
8026       OMPLOCBB   6     16         1          25         32         0.000008903444 
8027       OMPLOCBB   6     16         1          25         64         0.000039055943 
8028       OMPLOCBB   6     16         1          25         64         0.000008817762 
8029       OMPLOCBB   6     16         1          25         64         0.000008568168 
8030       OMPLOCBB   6     16         1          25         64         0.000007998198 
8031       OMPLOCBB   6     16         1          25         64         0.000007826835 
8032       OMPLOCBB   6     16         1          25         64         0.000008020550 
8033       OMPLOCBB   6     16         1          25         64         0.000008057803 
8034       OMPLOCBB   6     16         1          25         64         0.000007931143 
8035       OMPLOCBB   6     16         1          25         64         0.000008046627 
8036       OMPLOCBB   6     16         1          25         64         0.000007871538 
8037       OMPLOCBB   6     16         1          25         64         0.000008031726 
8038       OMPLOCBB   6     16         1          25         64         0.000007923692 
8039       OMPLOCBB   6     16         1          25         64         0.000008001924 
8040       OMPLOCBB   6     16         1          25         64         0.000007946044 
