N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        R2         3     16         1          25         1          0.000001338497  0.000001061335  0.79       79.29     %
102        R2         3     32         1          25         1          0.000003492460  0.000002609566  0.75       74.72     %
103        R2         3     64         1          25         1          0.000010278821  0.000009484962  0.92       92.28     %
104        R2         3     128        1          25         1          0.000041041152  0.000038004666  0.93       92.60     %
105        R2         3     256        1          25         1          0.000154933339  0.000150788197  0.97       97.32     %
106        R2         3     512        1          25         1          0.000696812931  0.000645950437  0.93       92.70     %
107        R2         3     1024       1          25         1          0.001715531223  0.002793712076  1.63       162.85    %
108        R2         3     2048       1          25         1          0.007643441670  0.023141423240  3.03       302.76    %
109        R2         3     4096       1          25         1          0.046891383827  0.116403877735  2.48       248.24    %
110        R2M        3     16         1          25         1          0.000001345575  0.000001061335  0.79       78.88     %
111        R2M        3     32         1          25         1          0.000003461167  0.000002609566  0.75       75.40     %
112        R2M        3     64         1          25         1          0.000009854138  0.000009484962  0.96       96.25     %
113        R2M        3     128        1          25         1          0.000041006133  0.000038004666  0.93       92.68     %
114        R2M        3     256        1          25         1          0.000153939429  0.000150788197  0.98       97.95     %
115        R2M        3     512        1          25         1          0.000692575413  0.000645950437  0.93       93.27     %
116        R2M        3     1024       1          25         1          0.001662231982  0.002793712076  1.68       168.07    %
117        R2M        3     2048       1          25         1          0.007636433933  0.023141423240  3.03       303.04    %
118        R2M        3     4096       1          25         1          0.046935863793  0.116403877735  2.48       248.01    %
119        R2FTV      3     16         1          25         1          0.000001317635  0.000001061335  0.81       80.55     %
120        R2FTV      3     32         1          25         1          0.000003499538  0.000002609566  0.75       74.57     %
121        R2FTV      3     64         1          25         1          0.000010201707  0.000009484962  0.93       92.97     %
122        R2FTV      3     128        1          25         1          0.000040946528  0.000038004666  0.93       92.82     %
123        R2FTV      3     256        1          25         1          0.000155285379  0.000150788197  0.97       97.10     %
124        R2FTV      3     512        1          25         1          0.000700783741  0.000645950437  0.92       92.18     %
125        R2FTV      3     1024       1          25         1          0.001631044550  0.002793712076  1.71       171.28    %
126        R2FTV      3     2048       1          25         1          0.007652160712  0.023141423240  3.02       302.42    %
127        R2FTV      3     4096       1          25         1          0.047101628035  0.116403877735  2.47       247.13    %
128        R2FUN      3     16         1          25         1          0.000001398474  0.000001061335  0.76       75.89     %
129        R2FUN      3     32         1          25         1          0.000003238395  0.000002609566  0.81       80.58     %
130        R2FUN      3     64         1          25         1          0.000008948147  0.000009484962  1.06       106.00    %
131        R2FUN      3     128        1          25         1          0.000040228664  0.000038004666  0.94       94.47     %
132        R2FUN      3     256        1          25         1          0.000142817575  0.000150788197  1.06       105.58    %
133        R2FUN      3     512        1          25         1          0.000647749403  0.000645950437  1.00       99.72     %
134        R2FUN      3     1024       1          25         1          0.001532490947  0.002793712076  1.82       182.30    %
135        R2FUN      3     2048       1          25         1          0.007389924023  0.023141423240  3.13       313.15    %
136        R2FUN      3     4096       1          25         1          0.045858174562  0.116403877735  2.54       253.83    %
137        R2PLA      3     16         1          25         1          0.000001361966  0.000001061335  0.78       77.93     %
138        R2PLA      3     32         1          25         1          0.000003563613  0.000002609566  0.73       73.23     %
139        R2PLA      3     64         1          25         1          0.000010230020  0.000009484962  0.93       92.72     %
140        R2PLA      3     128        1          25         1          0.000041221829  0.000038004666  0.92       92.20     %
141        R2PLA      3     256        1          25         1          0.000154377893  0.000150788197  0.98       97.67     %
142        R2PLA      3     512        1          25         1          0.000698371616  0.000645950437  0.92       92.49     %
143        R2PLA      3     1024       1          25         1          0.001691215090  0.002793712076  1.65       165.19    %
144        R2PLA      3     2048       1          25         1          0.007598112337  0.023141423240  3.05       304.57    %
145        R2PLA      3     4096       1          25         1          0.047016672790  0.116403877735  2.48       247.58    %
146        R2FTVFUN   3     16         1          25         1          0.000001347438  0.000001061335  0.79       78.77     %
147        R2FTVFUN   3     32         1          25         1          0.000003239140  0.000002609566  0.81       80.56     %
148        R2FTVFUN   3     64         1          25         1          0.000008924306  0.000009484962  1.06       106.28    %
149        R2FTVFUN   3     128        1          25         1          0.000040126964  0.000038004666  0.95       94.71     %
150        R2FTVFUN   3     256        1          25         1          0.000142666322  0.000150788197  1.06       105.69    %
151        R2FTVFUN   3     512        1          25         1          0.000646643341  0.000645950437  1.00       99.89     %
