N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          SO0        1     16         1          25         1          0.000001194514  0.000001194514  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000003150664  0.000003150664  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000010981411  0.000010981411  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000044574961  0.000044574961  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000194833061  0.000194833061  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000711995177  0.000711995177  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.003481955500  0.003481955500  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.028155576438  0.028155576438  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.139284461737  0.139284461737  1.00       100.00    %
443        SO0        1     16         2          25         1          0.000001246110  0.000001246110  1.00       100.00    %
444        SO0        1     32         2          25         1          0.000002791546  0.000002791546  1.00       100.00    %
445        SO0        1     64         2          25         1          0.000007526577  0.000007526577  1.00       100.00    %
446        SO0        1     128        2          25         1          0.000025033951  0.000025033951  1.00       100.00    %
447        SO0        1     256        2          25         1          0.000093113820  0.000093113820  1.00       100.00    %
448        SO0        1     512        2          25         1          0.000488893129  0.000488893129  1.00       100.00    %
449        SO0        1     1024       2          25         1          0.002840146190  0.002840146190  1.00       100.00    %
450        SO0        1     2048       2          25         1          0.013091802597  0.013091802597  1.00       100.00    %
451        SO0        1     4096       2          25         1          0.065018810332  0.065018810332  1.00       100.00    %
794        SO0        1     16         3          25         1          0.000001641922  0.000001641922  1.00       100.00    %
795        SO0        1     32         3          25         1          0.000004793145  0.000004793145  1.00       100.00    %
796        SO0        1     64         3          25         1          0.000017145649  0.000017145649  1.00       100.00    %
797        SO0        1     128        3          25         1          0.000067678651  0.000067678651  1.00       100.00    %
798        SO0        1     256        3          25         1          0.000296549697  0.000296549697  1.00       100.00    %
799        SO0        1     512        3          25         1          0.001177988248  0.001177988248  1.00       100.00    %
800        SO0        1     1024       3          25         1          0.005711781792  0.005711781792  1.00       100.00    %
801        SO0        1     2048       3          25         1          0.038932695985  0.038932695985  1.00       100.00    %
802        SO0        1     4096       3          25         1          0.188240185380  0.188240185380  1.00       100.00    %
