N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
6302       OMPGLBWS   5     16         1          25         1          0.000002721325 
6303       OMPGLBWS   5     16         1          25         1          0.000003624707 
6304       OMPGLBWS   5     16         1          25         1          0.000003289431 
6305       OMPGLBWS   5     16         1          25         1          0.000003229827 
6306       OMPGLBWS   5     16         1          25         1          0.000003224239 
6307       OMPGLBWS   5     16         1          25         1          0.000003244728 
6308       OMPGLBWS   5     16         1          25         1          0.000003226101 
6309       OMPGLBWS   5     16         1          25         1          0.000003227964 
6310       OMPGLBWS   5     16         1          25         1          0.000003231689 
6311       OMPGLBWS   5     16         1          25         1          0.000003132969 
6312       OMPGLBWS   5     16         1          25         1          0.000003155321 
6313       OMPGLBWS   5     16         1          25         1          0.000003248453 
6314       OMPGLBWS   5     16         1          25         1          0.000003201887 
6315       OMPGLBWS   5     16         1          25         1          0.000003205612 
6316       OMPGLBWS   5     16         1          25         1          0.000003155321 
6317       OMPGLBWS   5     16         1          25         1          0.000003281981 
6318       OMPGLBWS   5     16         1          25         1          0.000003194436 
6319       OMPGLBWS   5     16         1          25         1          0.000003168359 
6320       OMPGLBWS   5     16         1          25         1          0.000003205612 
6321       OMPGLBWS   5     16         1          25         1          0.000003272668 
6322       OMPGLBWS   5     16         1          25         1          0.000003265217 
6323       OMPGLBWS   5     16         1          25         1          0.000003157184 
6324       OMPGLBWS   5     16         1          25         1          0.000003162771 
6325       OMPGLBWS   5     16         1          25         1          0.000003160909 
6326       OMPGLBWS   5     16         1          25         1          0.000003233552 
6327       OMPGLBWS   5     16         1          25         2          0.000003742054 
6328       OMPGLBWS   5     16         1          25         2          0.000007551163 
6329       OMPGLBWS   5     16         1          25         2          0.000006746501 
6330       OMPGLBWS   5     16         1          25         2          0.000007044524 
6331       OMPGLBWS   5     16         1          25         2          0.000006673858 
6332       OMPGLBWS   5     16         1          25         2          0.000006593764 
6333       OMPGLBWS   5     16         1          25         2          0.000006411225 
6334       OMPGLBWS   5     16         1          25         2          0.000006865710 
6335       OMPGLBWS   5     16         1          25         2          0.000007269904 
6336       OMPGLBWS   5     16         1          25         2          0.000006938353 
6337       OMPGLBWS   5     16         1          25         2          0.000006908551 
6338       OMPGLBWS   5     16         1          25         2          0.000006504357 
