N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
380        OMPGLBBB   7     16         1          25         1          0.000003091060  0.000000956282  0.31       30.94     %
381        OMPGLBBB   7     16         1          25         2          0.000007043593  0.000000956282  0.14       6.79      %
382        OMPGLBBB   7     16         1          25         4          0.000009736419  0.000000956282  0.10       2.46      %
383        OMPGLBBB   7     16         1          25         8          0.000016330556  0.000000956282  0.06       0.73      %
384        OMPGLBBB   7     16         1          25         16         0.000028584898  0.000000956282  0.03       0.21      %
385        OMPGLBBB   7     16         1          25         32         0.020265799016  0.000000956282  0.00       0.00      %
386        OMPGLBBB   7     16         1          25         64         0.033918518573  0.000000956282  0.00       0.00      %
387        OMPGLBBB   7     32         1          25         1          0.000004936755  0.000002892874  0.59       58.60     %
388        OMPGLBBB   7     32         1          25         2          0.000007010251  0.000002892874  0.41       20.63     %
389        OMPGLBBB   7     32         1          25         4          0.000009895116  0.000002892874  0.29       7.31      %
390        OMPGLBBB   7     32         1          25         8          0.000016128644  0.000002892874  0.18       2.24      %
391        OMPGLBBB   7     32         1          25         16         0.000028130040  0.000002892874  0.10       0.64      %
392        OMPGLBBB   7     32         1          25         32         0.028956267983  0.000002892874  0.00       0.00      %
393        OMPGLBBB   7     32         1          25         64         0.035783149302  0.000002892874  0.00       0.00      %
394        OMPGLBBB   7     64         1          25         1          0.000005888566  0.000010793470  1.83       183.30    %
395        OMPGLBBB   7     64         1          25         2          0.000009210035  0.000010793470  1.17       58.60     %
396        OMPGLBBB   7     64         1          25         4          0.000011229329  0.000010793470  0.96       24.03     %
397        OMPGLBBB   7     64         1          25         8          0.000017521530  0.000010793470  0.62       7.70      %
398        OMPGLBBB   7     64         1          25         16         0.000028690882  0.000010793470  0.38       2.35      %
399        OMPGLBBB   7     64         1          25         32         0.009228209965  0.000010793470  0.00       0.00      %
400        OMPGLBBB   7     64         1          25         64         0.032777830958  0.000010793470  0.00       0.00      %
401        OMPGLBBB   7     128        1          25         1          0.000020157919  0.000042410196  2.10       210.39    %
402        OMPGLBBB   7     128        1          25         2          0.000017650053  0.000042410196  2.40       120.14    %
403        OMPGLBBB   7     128        1          25         4          0.000017140806  0.000042410196  2.47       61.86     %
404        OMPGLBBB   7     128        1          25         8          0.000023380480  0.000042410196  1.81       22.67     %
405        OMPGLBBB   7     128        1          25         16         0.000035357847  0.000042410196  1.20       7.50      %
406        OMPGLBBB   7     128        1          25         32         0.026039039716  0.000042410196  0.00       0.01      %
407        OMPGLBBB   7     128        1          25         64         0.039152834564  0.000042410196  0.00       0.00      %
408        OMPGLBBB   7     256        1          25         1          0.000055009499  0.000177191760  3.22       322.11    %
409        OMPGLBBB   7     256        1          25         2          0.000041733125  0.000177191760  4.25       212.29    %
410        OMPGLBBB   7     256        1          25         4          0.000032210908  0.000177191760  5.50       137.52    %
