N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
254        OMPGLBWS   5     16         1          25         1          0.000002856553  0.000000917912  0.32       32.13     %
255        OMPGLBWS   5     16         1          25         2          0.000012962520  0.000000917912  0.07       3.54      %
256        OMPGLBWS   5     16         1          25         4          0.000018692017  0.000000917912  0.05       1.23      %
257        OMPGLBWS   5     16         1          25         8          0.000024588406  0.000000917912  0.04       0.47      %
258        OMPGLBWS   5     16         1          25         16         0.000037609039  0.000000917912  0.02       0.15      %
259        OMPGLBWS   5     16         1          25         32         0.000065841523  0.000000917912  0.01       0.04      %
260        OMPGLBWS   5     16         1          25         64         0.004816798959  0.000000917912  0.00       0.00      %
261        OMPGLBWS   5     32         1          25         1          0.000004737824  0.000002764165  0.58       58.34     %
262        OMPGLBWS   5     32         1          25         2          0.000014180690  0.000002764165  0.19       9.75      %
263        OMPGLBWS   5     32         1          25         4          0.000021617860  0.000002764165  0.13       3.20      %
264        OMPGLBWS   5     32         1          25         8          0.000027111173  0.000002764165  0.10       1.27      %
265        OMPGLBWS   5     32         1          25         16         0.000037190319  0.000002764165  0.07       0.46      %
266        OMPGLBWS   5     32         1          25         32         0.000065134467  0.000002764165  0.04       0.13      %
267        OMPGLBWS   5     32         1          25         64         0.004167549312  0.000002764165  0.00       0.00      %
268        OMPGLBWS   5     64         1          25         1          0.000006441027  0.000011796505  1.83       183.15    %
269        OMPGLBWS   5     64         1          25         2          0.000019156932  0.000011796505  0.62       30.79     %
270        OMPGLBWS   5     64         1          25         4          0.000024685263  0.000011796505  0.48       11.95     %
271        OMPGLBWS   5     64         1          25         8          0.000028721988  0.000011796505  0.41       5.13      %
272        OMPGLBWS   5     64         1          25         16         0.000039327890  0.000011796505  0.30       1.87      %
273        OMPGLBWS   5     64         1          25         32         0.000065016000  0.000011796505  0.18       0.57      %
274        OMPGLBWS   5     64         1          25         64         0.029660195112  0.000011796505  0.00       0.00      %
275        OMPGLBWS   5     128        1          25         1          0.000018708408  0.000045389683  2.43       242.62    %
276        OMPGLBWS   5     128        1          25         2          0.000035260618  0.000045389683  1.29       64.36     %
277        OMPGLBWS   5     128        1          25         4          0.000039938092  0.000045389683  1.14       28.41     %
278        OMPGLBWS   5     128        1          25         8          0.000038598479  0.000045389683  1.18       14.70     %
279        OMPGLBWS   5     128        1          25         16         0.000043348969  0.000045389683  1.05       6.54      %
280        OMPGLBWS   5     128        1          25         32         0.000068309157  0.000045389683  0.66       2.08      %
281        OMPGLBWS   5     128        1          25         64         0.004703114741  0.000045389683  0.01       0.02      %
282        OMPGLBWS   5     256        1          25         1          0.000076528639  0.000212807208  2.78       278.08    %
283        OMPGLBWS   5     256        1          25         2          0.000088645516  0.000212807208  2.40       120.03    %
284        OMPGLBWS   5     256        1          25         4          0.000082997976  0.000212807208  2.56       64.10     %
285        OMPGLBWS   5     256        1          25         8          0.000069297850  0.000212807208  3.07       38.39     %
286        OMPGLBWS   5     256        1          25         16         0.000065102431  0.000212807208  3.27       20.43     %
287        OMPGLBWS   5     256        1          25         32         0.000079292062  0.000212807208  2.68       8.39      %
288        OMPGLBWS   5     256        1          25         64         0.004670378752  0.000212807208  0.05       0.07      %
289        OMPGLBWS   5     512        1          25         1          0.000316843390  0.000681367528  2.15       215.05    %
290        OMPGLBWS   5     512        1          25         2          0.000304472458  0.000681367528  2.24       111.89    %
291        OMPGLBWS   5     512        1          25         4          0.000185644632  0.000681367528  3.67       91.76     %
292        OMPGLBWS   5     512        1          25         8          0.000125184655  0.000681367528  5.44       68.04     %
293        OMPGLBWS   5     512        1          25         16         0.000126171115  0.000681367528  5.40       33.75     %
294        OMPGLBWS   5     512        1          25         32         0.000137963885  0.000681367528  4.94       15.43     %
295        OMPGLBWS   5     512        1          25         64         0.017155155540  0.000681367528  0.04       0.06      %
296        OMPGLBWS   5     1024       1          25         1          0.001589450287  0.003383189440  2.13       212.85    %
297        OMPGLBWS   5     1024       1          25         2          0.001387845026  0.003383189440  2.44       121.89    %
298        OMPGLBWS   5     1024       1          25         4          0.000728657120  0.003383189440  4.64       116.08    %
299        OMPGLBWS   5     1024       1          25         8          0.000414560724  0.003383189440  8.16       102.01    %
300        OMPGLBWS   5     1024       1          25         16         0.000266329938  0.003383189440  12.70      79.39     %
