N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
227        I2         2     16         1          25         1          0.000000491738 
228        I2         2     16         1          25         1          0.000000305474 
229        I2         2     16         1          25         1          0.000000253320 
230        I2         2     16         1          25         1          0.000000253320 
231        I2         2     16         1          25         1          0.000000193715 
232        I2         2     16         1          25         1          0.000000283122 
233        I2         2     16         1          25         1          0.000000230968 
234        I2         2     16         1          25         1          0.000000290573 
235        I2         2     16         1          25         1          0.000000216067 
236        I2         2     16         1          25         1          0.000000268221 
237        I2         2     16         1          25         1          0.000000268221 
238        I2         2     16         1          25         1          0.000000275671 
239        I2         2     16         1          25         1          0.000000223517 
240        I2         2     16         1          25         1          0.000000193715 
241        I2         2     16         1          25         1          0.000000208616 
242        I2         2     16         1          25         1          0.000000283122 
243        I2         2     16         1          25         1          0.000000208616 
244        I2         2     16         1          25         1          0.000000283122 
245        I2         2     16         1          25         1          0.000000230968 
246        I2         2     16         1          25         1          0.000000230968 
247        I2         2     16         1          25         1          0.000000283122 
248        I2         2     16         1          25         1          0.000000193715 
249        I2         2     16         1          25         1          0.000000283122 
250        I2         2     16         1          25         1          0.000000223517 
251        I2         2     16         1          25         1          0.000000223517 
252        I2         2     32         1          25         1          0.000001080334 
253        I2         2     32         1          25         1          0.000001057982 
254        I2         2     32         1          25         1          0.000000804663 
255        I2         2     32         1          25         1          0.000000797212 
256        I2         2     32         1          25         1          0.000000730157 
257        I2         2     32         1          25         1          0.000000767410 
258        I2         2     32         1          25         1          0.000000752509 
259        I2         2     32         1          25         1          0.000000737607 
260        I2         2     32         1          25         1          0.000000759959 
261        I2         2     32         1          25         1          0.000000774860 
262        I2         2     32         1          25         1          0.000000730157 
263        I2         2     32         1          25         1          0.000000752509 
264        I2         2     32         1          25         1          0.000000722706 
265        I2         2     32         1          25         1          0.000000737607 
266        I2         2     32         1          25         1          0.000000752509 
267        I2         2     32         1          25         1          0.000000737607 
268        I2         2     32         1          25         1          0.000000722706 
269        I2         2     32         1          25         1          0.000000730157 
270        I2         2     32         1          25         1          0.000000752509 
271        I2         2     32         1          25         1          0.000000745058 
272        I2         2     32         1          25         1          0.000000722706 
273        I2         2     32         1          25         1          0.000000737607 
274        I2         2     32         1          25         1          0.000000730157 
275        I2         2     32         1          25         1          0.000000730157 
276        I2         2     32         1          25         1          0.000000722706 
277        I2         2     64         1          25         1          0.000003069639 
278        I2         2     64         1          25         1          0.000002980232 
279        I2         2     64         1          25         1          0.000002972782 
280        I2         2     64         1          25         1          0.000002942979 
281        I2         2     64         1          25         1          0.000002965331 
282        I2         2     64         1          25         1          0.000002928078 
283        I2         2     64         1          25         1          0.000002928078 
284        I2         2     64         1          25         1          0.000002905726 
285        I2         2     64         1          25         1          0.000002913177 
286        I2         2     64         1          25         1          0.000002950430 
287        I2         2     64         1          25         1          0.000002965331 
288        I2         2     64         1          25         1          0.000002905726 
289        I2         2     64         1          25         1          0.000002898276 
290        I2         2     64         1          25         1          0.000002890825 
291        I2         2     64         1          25         1          0.000002913177 
292        I2         2     64         1          25         1          0.000002913177 
293        I2         2     64         1          25         1          0.000002920628 
294        I2         2     64         1          25         1          0.000002942979 
295        I2         2     64         1          25         1          0.000002935529 
296        I2         2     64         1          25         1          0.000002913177 
297        I2         2     64         1          25         1          0.000002942979 
298        I2         2     64         1          25         1          0.000002898276 
299        I2         2     64         1          25         1          0.000002920628 
300        I2         2     64         1          25         1          0.000002942979 
301        I2         2     64         1          25         1          0.000002920628 
302        I2         2     128        1          25         1          0.000012598932 
303        I2         2     128        1          25         1          0.000012598932 
304        I2         2     128        1          25         1          0.000020980835 
305        I2         2     128        1          25         1          0.000012837350 
306        I2         2     128        1          25         1          0.000012747943 
307        I2         2     128        1          25         1          0.000012636185 
308        I2         2     128        1          25         1          0.000012733042 
309        I2         2     128        1          25         1          0.000012688339 
310        I2         2     128        1          25         1          0.000012896955 
311        I2         2     128        1          25         1          0.000012800097 
312        I2         2     128        1          25         1          0.000012807548 
313        I2         2     128        1          25         1          0.000012814999 
314        I2         2     128        1          25         1          0.000012762845 
315        I2         2     128        1          25         1          0.000018380582 
316        I2         2     128        1          25         1          0.000012733042 
317        I2         2     128        1          25         1          0.000012703240 
318        I2         2     128        1          25         1          0.000012755394 
319        I2         2     128        1          25         1          0.000012867153 
320        I2         2     128        1          25         1          0.000012777746 
321        I2         2     128        1          25         1          0.000012822449 
322        I2         2     128        1          25         1          0.000012852252 
323        I2         2     128        1          25         1          0.000012867153 
324        I2         2     128        1          25         1          0.000012829900 
325        I2         2     128        1          25         1          0.000012688339 
326        I2         2     128        1          25         1          0.000012695789 
327        I2         2     256        1          25         1          0.000046715140 
328        I2         2     256        1          25         1          0.000048086047 
329        I2         2     256        1          25         1          0.000047743320 
330        I2         2     256        1          25         1          0.000046946108 
331        I2         2     256        1          25         1          0.000046707690 
332        I2         2     256        1          25         1          0.000047571957 
333        I2         2     256        1          25         1          0.000053405762 
