N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
191        OMPLOCWS   4     16         1          25         1          0.000009059906  0.000001043081  0.12       11.51     %
192        OMPLOCWS   4     16         1          25         2          0.000021563843  0.000001043081  0.05       2.42      %
193        OMPLOCWS   4     16         1          25         4          0.000033439697  0.000001043081  0.03       0.78      %
194        OMPLOCWS   4     16         1          25         8          0.000026633963  0.000001043081  0.04       0.49      %
195        OMPLOCWS   4     16         1          25         16         0.000034632907  0.000001043081  0.03       0.19      %
196        OMPLOCWS   4     16         1          25         32         0.000061786544  0.000001043081  0.02       0.05      %
197        OMPLOCWS   4     16         1          25         64         0.016027811915  0.000001043081  0.00       0.00      %
198        OMPLOCWS   4     32         1          25         1          0.000015190989  0.000002877042  0.19       18.94     %
199        OMPLOCWS   4     32         1          25         2          0.000019803270  0.000002877042  0.15       7.26      %
200        OMPLOCWS   4     32         1          25         4          0.000035688652  0.000002877042  0.08       2.02      %
201        OMPLOCWS   4     32         1          25         8          0.000028290971  0.000002877042  0.10       1.27      %
202        OMPLOCWS   4     32         1          25         16         0.000038366765  0.000002877042  0.07       0.47      %
203        OMPLOCWS   4     32         1          25         32         0.000070291011  0.000002877042  0.04       0.13      %
204        OMPLOCWS   4     32         1          25         64         0.015659954399  0.000002877042  0.00       0.00      %
205        OMPLOCWS   4     64         1          25         1          0.000023728237  0.000009578466  0.40       40.37     %
206        OMPLOCWS   4     64         1          25         2          0.000018236042  0.000009578466  0.53       26.26     %
207        OMPLOCWS   4     64         1          25         4          0.000031472744  0.000009578466  0.30       7.61      %
208        OMPLOCWS   4     64         1          25         8          0.000034620614  0.000009578466  0.28       3.46      %
209        OMPLOCWS   4     64         1          25         16         0.000035585836  0.000009578466  0.27       1.68      %
210        OMPLOCWS   4     64         1          25         32         0.000061510502  0.000009578466  0.16       0.49      %
211        OMPLOCWS   4     64         1          25         64         0.010679133236  0.000009578466  0.00       0.00      %
212        OMPLOCWS   4     128        1          25         1          0.000025947764  0.000035949422  1.39       138.55    %
213        OMPLOCWS   4     128        1          25         2          0.000043751301  0.000035949422  0.82       41.08     %
214        OMPLOCWS   4     128        1          25         4          0.000050814077  0.000035949422  0.71       17.69     %
215        OMPLOCWS   4     128        1          25         8          0.000036066027  0.000035949422  1.00       12.46     %
216        OMPLOCWS   4     128        1          25         16         0.000040672348  0.000035949422  0.88       5.52      %
217        OMPLOCWS   4     128        1          25         32         0.000064603242  0.000035949422  0.56       1.74      %
218        OMPLOCWS   4     128        1          25         64         0.000754560519  0.000035949422  0.05       0.07      %
219        OMPLOCWS   4     256        1          25         1          0.000068543479  0.000151203203  2.21       220.59    %
220        OMPLOCWS   4     256        1          25         2          0.000076077507  0.000151203203  1.99       99.37     %
221        OMPLOCWS   4     256        1          25         4          0.000078759345  0.000151203203  1.92       48.00     %
222        OMPLOCWS   4     256        1          25         8          0.000050435588  0.000151203203  3.00       37.47     %
223        OMPLOCWS   4     256        1          25         16         0.000064912812  0.000151203203  2.33       14.56     %
224        OMPLOCWS   4     256        1          25         32         0.000101348756  0.000151203203  1.49       4.66      %
225        OMPLOCWS   4     256        1          25         64         0.018922504038  0.000151203203  0.01       0.01      %
226        OMPLOCWS   4     512        1          25         1          0.000282819936  0.000611929980  2.16       216.37    %
227        OMPLOCWS   4     512        1          25         2          0.000258779532  0.000611929980  2.36       118.23    %
228        OMPLOCWS   4     512        1          25         4          0.000182358926  0.000611929980  3.36       83.89     %
229        OMPLOCWS   4     512        1          25         8          0.000183869895  0.000611929980  3.33       41.60     %
230        OMPLOCWS   4     512        1          25         16         0.000133867565  0.000611929980  4.57       28.57     %
231        OMPLOCWS   4     512        1          25         32         0.000150120264  0.000611929980  4.08       12.74     %
232        OMPLOCWS   4     512        1          25         64         0.015892269090  0.000611929980  0.04       0.06      %
233        OMPLOCWS   4     1024       1          25         1          0.001389564946  0.002666610526  1.92       191.90    %
234        OMPLOCWS   4     1024       1          25         2          0.001086284639  0.002666610526  2.45       122.74    %
235        OMPLOCWS   4     1024       1          25         4          0.000655118376  0.002666610526  4.07       101.76    %
236        OMPLOCWS   4     1024       1          25         8          0.000394032890  0.002666610526  6.77       84.59     %
237        OMPLOCWS   4     1024       1          25         16         0.000351721421  0.002666610526  7.58       47.38     %
238        OMPLOCWS   4     1024       1          25         32         0.000392289076  0.002666610526  6.80       21.24     %
239        OMPLOCWS   4     1024       1          25         64         0.006762343459  0.002666610526  0.39       0.62      %
240        OMPLOCWS   4     2048       1          25         1          0.022391747683  0.023472638801  1.05       104.83    %
241        OMPLOCWS   4     2048       1          25         2          0.012554116547  0.023472638801  1.87       93.49     %
242        OMPLOCWS   4     2048       1          25         4          0.006176878233  0.023472638801  3.80       95.00     %
243        OMPLOCWS   4     2048       1          25         8          0.003111597151  0.023472638801  7.54       94.29     %
244        OMPLOCWS   4     2048       1          25         16         0.001930564991  0.023472638801  12.16      75.99     %
245        OMPLOCWS   4     2048       1          25         32         0.001503375592  0.023472638801  15.61      48.79     %
246        OMPLOCWS   4     2048       1          25         64         0.012831801549  0.023472638801  1.83       2.86      %
247        OMPLOCWS   4     4096       1          25         1          0.116241775453  0.113203920424  0.97       97.39     %
248        OMPLOCWS   4     4096       1          25         2          0.068598531187  0.113203920424  1.65       82.51     %
249        OMPLOCWS   4     4096       1          25         4          0.032853491604  0.113203920424  3.45       86.14     %
250        OMPLOCWS   4     4096       1          25         8          0.016407046467  0.113203920424  6.90       86.25     %
251        OMPLOCWS   4     4096       1          25         16         0.009205115959  0.113203920424  12.30      76.86     %
252        OMPLOCWS   4     4096       1          25         32         0.006707661785  0.113203920424  16.88      52.74     %
253        OMPLOCWS   4     4096       1          25         64         0.012496201321  0.113203920424  9.06       14.15     %
542        OMPLOCWS   4     16         2          25         1          0.000007541105  0.000001678988  0.22       22.26     %
