N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          SO0        1     16         1          25         1          0.000001009367  0.000001009367  1.00       100.00    %
2          SO0        1     32         1          25         1          0.000003153086  0.000003153086  1.00       100.00    %
3          SO0        1     64         1          25         1          0.000010996871  0.000010996871  1.00       100.00    %
4          SO0        1     128        1          25         1          0.000044816174  0.000044816174  1.00       100.00    %
5          SO0        1     256        1          25         1          0.000194984488  0.000194984488  1.00       100.00    %
6          SO0        1     512        1          25         1          0.000705112878  0.000705112878  1.00       100.00    %
7          SO0        1     1024       1          25         1          0.003521691542  0.003521691542  1.00       100.00    %
8          SO0        1     2048       1          25         1          0.027816709131  0.027816709131  1.00       100.00    %
9          SO0        1     4096       1          25         1          0.129667788744  0.129667788744  1.00       100.00    %
10         I2         2     16         1          25         1          0.000000251643  0.000001009367  4.01       401.11    %
11         I2         2     32         1          25         1          0.000000779703  0.000003153086  4.04       404.40    %
12         I2         2     64         1          25         1          0.000002926402  0.000010996871  3.76       375.78    %
13         I2         2     128        1          25         1          0.000012598745  0.000044816174  3.56       355.72    %
14         I2         2     256        1          25         1          0.000046284498  0.000194984488  4.21       421.27    %
15         I2         2     512        1          25         1          0.000212515151  0.000705112878  3.32       331.79    %
16         I2         2     1024       1          25         1          0.001092228806  0.003521691542  3.22       322.43    %
17         I2         2     2048       1          25         1          0.009301776066  0.027816709131  2.99       299.05    %
18         I2         2     4096       1          25         1          0.047230843455  0.129667788744  2.75       274.54    %
19         I2M        2     16         1          25         1          0.000000214204  0.000001009367  4.71       471.22    %
20         I2M        2     32         1          25         1          0.000000816397  0.000003153086  3.86       386.22    %
21         I2M        2     64         1          25         1          0.000002866797  0.000010996871  3.84       383.59    %
22         I2M        2     128        1          25         1          0.000012807921  0.000044816174  3.50       349.91    %
23         I2M        2     256        1          25         1          0.000046259538  0.000194984488  4.22       421.50    %
24         I2M        2     512        1          25         1          0.000210073587  0.000705112878  3.36       335.65    %
25         I2M        2     1024       1          25         1          0.001092025079  0.003521691542  3.22       322.49    %
26         I2M        2     2048       1          25         1          0.009412789717  0.027816709131  2.96       295.52    %
27         I2M        2     4096       1          25         1          0.046782456338  0.129667788744  2.77       277.17    %
28         I2FTV      2     16         1          25         1          0.000000227056  0.000001009367  4.45       444.54    %
29         I2FTV      2     32         1          25         1          0.000000775978  0.000003153086  4.06       406.34    %
30         I2FTV      2     64         1          25         1          0.000002937578  0.000010996871  3.74       374.35    %
31         I2FTV      2     128        1          25         1          0.000012800656  0.000044816174  3.50       350.11    %
32         I2FTV      2     256        1          25         1          0.000046361052  0.000194984488  4.21       420.58    %
33         I2FTV      2     512        1          25         1          0.000212394822  0.000705112878  3.32       331.98    %
34         I2FTV      2     1024       1          25         1          0.001083841315  0.003521691542  3.25       324.93    %
35         I2FTV      2     2048       1          25         1          0.009321853518  0.027816709131  2.98       298.40    %
36         I2FTV      2     4096       1          25         1          0.047186791897  0.129667788744  2.75       274.80    %
37         I2FUN      2     16         1          25         1          0.000000247918  0.000001009367  4.07       407.14    %
38         I2FUN      2     32         1          25         1          0.000000618398  0.000003153086  5.10       509.88    %
39         I2FUN      2     64         1          25         1          0.000002507493  0.000010996871  4.39       438.56    %
40         I2FUN      2     128        1          25         1          0.000012494437  0.000044816174  3.59       358.69    %
41         I2FUN      2     256        1          25         1          0.000042087398  0.000194984488  4.63       463.28    %
42         I2FUN      2     512        1          25         1          0.000194269232  0.000705112878  3.63       362.96    %
43         I2FUN      2     1024       1          25         1          0.001018029638  0.003521691542  3.46       345.93    %
44         I2FUN      2     2048       1          25         1          0.009058964439  0.027816709131  3.07       307.06    %
45         I2FUN      2     4096       1          25         1          0.045853875577  0.129667788744  2.83       282.78    %
46         I2PLA      2     16         1          25         1          0.000000263564  0.000001009367  3.83       382.97    %
47         I2PLA      2     32         1          25         1          0.000000834092  0.000003153086  3.78       378.03    %
48         I2PLA      2     64         1          25         1          0.000002975576  0.000010996871  3.70       369.57    %
49         I2PLA      2     128        1          25         1          0.000013150088  0.000044816174  3.41       340.81    %
50         I2PLA      2     256        1          25         1          0.000046362729  0.000194984488  4.21       420.56    %
51         I2PLA      2     512        1          25         1          0.000212578103  0.000705112878  3.32       331.70    %
52         I2PLA      2     1024       1          25         1          0.001104434719  0.003521691542  3.19       318.87    %
53         I2PLA      2     2048       1          25         1          0.008920030668  0.027816709131  3.12       311.85    %
54         I2PLA      2     4096       1          25         1          0.047337897122  0.129667788744  2.74       273.92    %
55         I2FTVFUN   2     16         1          25         1          0.000000235625  0.000001009367  4.28       428.38    %
56         I2FTVFUN   2     32         1          25         1          0.000000657700  0.000003153086  4.79       479.41    %
57         I2FTVFUN   2     64         1          25         1          0.000002485514  0.000010996871  4.42       442.44    %
58         I2FTVFUN   2     128        1          25         1          0.000012439489  0.000044816174  3.60       360.27    %
59         I2FTVFUN   2     256        1          25         1          0.000042182764  0.000194984488  4.62       462.24    %
60         I2FTVFUN   2     512        1          25         1          0.000194447857  0.000705112878  3.63       362.62    %
61         I2FTVFUN   2     1024       1          25         1          0.001057711779  0.003521691542  3.33       332.95    %
62         I2FTVFUN   2     2048       1          25         1          0.009232672863  0.027816709131  3.01       301.29    %
63         I2FTVFUN   2     4096       1          25         1          0.046257846057  0.129667788744  2.80       280.32    %
64         I2FM       2     16         1          25         1          0.000000263378  0.000001009367  3.83       383.24    %
65         I2FM       2     32         1          25         1          0.000000779331  0.000003153086  4.05       404.59    %
66         I2FM       2     64         1          25         1          0.000002974272  0.000010996871  3.70       369.73    %
67         I2FM       2     128        1          25         1          0.000012774765  0.000044816174  3.51       350.82    %
68         I2FM       2     256        1          25         1          0.000046317466  0.000194984488  4.21       420.97    %
69         I2FM       2     512        1          25         1          0.000210569240  0.000705112878  3.35       334.86    %
70         I2FM       2     1024       1          25         1          0.001137449057  0.003521691542  3.10       309.61    %
71         I2FM       2     2048       1          25         1          0.009572985582  0.027816709131  2.91       290.58    %
