N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4727       OMPLOCWS   4     16         1          25         1          0.000004185364 
4728       OMPLOCWS   4     16         1          25         1          0.000005243346 
4729       OMPLOCWS   4     16         1          25         1          0.000005152076 
4730       OMPLOCWS   4     16         1          25         1          0.000004738569 
4731       OMPLOCWS   4     16         1          25         1          0.000004358590 
4732       OMPLOCWS   4     16         1          25         1          0.000004336238 
4733       OMPLOCWS   4     16         1          25         1          0.000004418194 
4734       OMPLOCWS   4     16         1          25         1          0.000004535541 
4735       OMPLOCWS   4     16         1          25         1          0.000004503876 
4736       OMPLOCWS   4     16         1          25         1          0.000004205853 
4737       OMPLOCWS   4     16         1          25         1          0.000004328787 
4738       OMPLOCWS   4     16         1          25         1          0.000004393980 
4739       OMPLOCWS   4     16         1          25         1          0.000003952533 
4740       OMPLOCWS   4     16         1          25         1          0.000004004687 
4741       OMPLOCWS   4     16         1          25         1          0.000004271045 
4742       OMPLOCWS   4     16         1          25         1          0.000004073605 
4743       OMPLOCWS   4     16         1          25         1          0.000003952533 
4744       OMPLOCWS   4     16         1          25         1          0.000003959984 
4745       OMPLOCWS   4     16         1          25         1          0.000003864989 
4746       OMPLOCWS   4     16         1          25         1          0.000003619120 
4747       OMPLOCWS   4     16         1          25         1          0.000003548339 
4748       OMPLOCWS   4     16         1          25         1          0.000003837049 
4749       OMPLOCWS   4     16         1          25         1          0.000003481284 
4750       OMPLOCWS   4     16         1          25         1          0.000003492460 
4751       OMPLOCWS   4     16         1          25         1          0.000003429130 
4752       OMPLOCWS   4     16         1          25         2          0.000021781772 
4753       OMPLOCWS   4     16         1          25         2          0.000021489337 
4754       OMPLOCWS   4     16         1          25         2          0.000019298866 
4755       OMPLOCWS   4     16         1          25         2          0.000016922131 
4756       OMPLOCWS   4     16         1          25         2          0.000018320978 
4757       OMPLOCWS   4     16         1          25         2          0.000023290515 
4758       OMPLOCWS   4     16         1          25         2          0.000019213185 
4759       OMPLOCWS   4     16         1          25         2          0.000016944483 
4760       OMPLOCWS   4     16         1          25         2          0.000016618520 
4761       OMPLOCWS   4     16         1          25         2          0.000016855076 
4762       OMPLOCWS   4     16         1          25         2          0.000016111881 
4763       OMPLOCWS   4     16         1          25         2          0.000015094876 
4764       OMPLOCWS   4     16         1          25         2          0.000016767532 
4765       OMPLOCWS   4     16         1          25         2          0.000016026199 
4766       OMPLOCWS   4     16         1          25         2          0.000016799197 
4767       OMPLOCWS   4     16         1          25         2          0.000015798956 
4768       OMPLOCWS   4     16         1          25         2          0.000015756115 
4769       OMPLOCWS   4     16         1          25         2          0.000017756596 
4770       OMPLOCWS   4     16         1          25         2          0.000015471131 
4771       OMPLOCWS   4     16         1          25         2          0.000016897917 
4772       OMPLOCWS   4     16         1          25         2          0.000015230849 
4773       OMPLOCWS   4     16         1          25         2          0.000016808510 
4774       OMPLOCWS   4     16         1          25         2          0.000017466024 
4775       OMPLOCWS   4     16         1          25         2          0.000016067177 
4776       OMPLOCWS   4     16         1          25         2          0.000015813857 
4777       OMPLOCWS   4     16         1          25         4          0.000017367303 
4778       OMPLOCWS   4     16         1          25         4          0.000028908253 
4779       OMPLOCWS   4     16         1          25         4          0.000024290755 
4780       OMPLOCWS   4     16         1          25         4          0.000021560118 
4781       OMPLOCWS   4     16         1          25         4          0.000025054440 
4782       OMPLOCWS   4     16         1          25         4          0.000020356849 
4783       OMPLOCWS   4     16         1          25         4          0.000022513792 
4784       OMPLOCWS   4     16         1          25         4          0.000023165718 
