N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
29         IO1        2     16         1          1          1          0.000003000000  0.000002000000  0.67       66.67     %
30         IO1        2     32         1          1          1          0.000010000000  0.000009000000  0.90       90.00     %
31         IO1        2     64         1          1          1          0.000046000001  0.000029999999  0.65       65.22     %
32         IO1        2     128        1          1          1          0.000045000001  0.000106000000  2.36       235.56    %
33         IO1        2     256        1          1          1          0.000243000002  0.000407000014  1.67       167.49    %
34         IO1        2     512        1          1          1          0.000948000001  0.001404999988  1.48       148.21    %
35         IO1        2     1024       1          1          1          0.003670000006  0.004662000109  1.27       127.03    %
36         IO1        2     2048       1          1          1          0.022028999403  0.032005999237  1.45       145.29    %
37         IO1        2     4096       1          1          1          0.088086001575  0.153172001243  1.74       173.89    %
38         IO2        2     16         1          1          1          0.000001000000  0.000002000000  2.00       200.00    %
39         IO2        2     32         1          1          1          0.000004000000  0.000009000000  2.25       225.00    %
40         IO2        2     64         1          1          1          0.000013000000  0.000029999999  2.31       230.77    %
41         IO2        2     128        1          1          1          0.000123999998  0.000106000000  0.85       85.48     %
42         IO2        2     256        1          1          1          0.000469999999  0.000407000014  0.87       86.60     %
43         IO2        2     512        1          1          1          0.002213000087  0.001404999988  0.63       63.49     %
44         IO2        2     1024       1          1          1          0.006064000074  0.004662000109  0.77       76.88     %
45         IO2        2     2048       1          1          1          0.021911999211  0.032005999237  1.46       146.07    %
46         IO2        2     4096       1          1          1          0.086044996977  0.153172001243  1.78       178.01    %
47         IO2M       2     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
48         IO2M       2     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
49         IO2M       2     64         1          1          1          0.000029000001  0.000029999999  1.03       103.45    %
50         IO2M       2     128        1          1          1          0.000117000003  0.000106000000  0.91       90.60     %
51         IO2M       2     256        1          1          1          0.000540999987  0.000407000014  0.75       75.23     %
52         IO2M       2     512        1          1          1          0.000797000015  0.001404999988  1.76       176.29    %
53         IO2M       2     1024       1          1          1          0.004007999785  0.004662000109  1.16       116.32    %
54         IO2M       2     2048       1          1          1          0.021787000820  0.032005999237  1.47       146.90    %
55         IO2M       2     4096       1          1          1          0.103137001395  0.153172001243  1.49       148.51    %
56         IO2FUN     2     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
57         IO2FUN     2     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
58         IO2FUN     2     64         1          1          1          0.000013000000  0.000029999999  2.31       230.77    %
59         IO2FUN     2     128        1          1          1          0.000098999997  0.000106000000  1.07       107.07    %
60         IO2FUN     2     256        1          1          1          0.000456000009  0.000407000014  0.89       89.25     %
61         IO2FUN     2     512        1          1          1          0.000822999980  0.001404999988  1.71       170.72    %
62         IO2FUN     2     1024       1          1          1          0.004228999838  0.004662000109  1.10       110.24    %
63         IO2FUN     2     2048       1          1          1          0.014936000109  0.032005999237  2.14       214.29    %
64         IO2FUN     2     4096       1          1          1          0.075208999217  0.153172001243  2.04       203.66    %
65         IO2PLA     2     16         1          1          1          0.000001000000  0.000002000000  2.00       200.00    %
66         IO2PLA     2     32         1          1          1          0.000004000000  0.000009000000  2.25       225.00    %
67         IO2PLA     2     64         1          1          1          0.000016000000  0.000029999999  1.88       187.50    %
68         IO2PLA     2     128        1          1          1          0.000108000000  0.000106000000  0.98       98.15     %
69         IO2PLA     2     256        1          1          1          0.000429000007  0.000407000014  0.95       94.87     %
70         IO2PLA     2     512        1          1          1          0.001710999990  0.001404999988  0.82       82.12     %
71         IO2PLA     2     1024       1          1          1          0.003133000107  0.004662000109  1.49       148.80    %
72         IO2PLA     2     2048       1          1          1          0.014252999797  0.032005999237  2.25       224.56    %
73         IO2PLA     2     4096       1          1          1          0.075011000037  0.153172001243  2.04       204.20    %
74         IO2FTV     2     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
75         IO2FTV     2     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
76         IO2FTV     2     64         1          1          1          0.000028000000  0.000029999999  1.07       107.14    %
77         IO2FTV     2     128        1          1          1          0.000112000002  0.000106000000  0.95       94.64     %
78         IO2FTV     2     256        1          1          1          0.000437999988  0.000407000014  0.93       92.92     %
79         IO2FTV     2     512        1          1          1          0.001642000047  0.001404999988  0.86       85.57     %
80         IO2FTV     2     1024       1          1          1          0.003784999950  0.004662000109  1.23       123.17    %
81         IO2FTV     2     2048       1          1          1          0.019154999405  0.032005999237  1.67       167.09    %
82         IO2FTV     2     4096       1          1          1          0.076020002365  0.153172001243  2.01       201.49    %
83         IO2FM      2     16         1          1          1          0.000001000000  0.000002000000  2.00       200.00    %
84         IO2FM      2     32         1          1          1          0.000008000000  0.000009000000  1.12       112.50    %
85         IO2FM      2     64         1          1          1          0.000028000000  0.000029999999  1.07       107.14    %
86         IO2FM      2     128        1          1          1          0.000110000001  0.000106000000  0.96       96.36     %
87         IO2FM      2     256        1          1          1          0.000414999988  0.000407000014  0.98       98.07     %
88         IO2FM      2     512        1          1          1          0.001526999986  0.001404999988  0.92       92.01     %
89         IO2FM      2     1024       1          1          1          0.003986999858  0.004662000109  1.17       116.93    %
90         IO2FM      2     2048       1          1          1          0.016328999773  0.032005999237  1.96       196.01    %
91         IO2FM      2     4096       1          1          1          0.075994998217  0.153172001243  2.02       201.56    %
92         IO2FL      2     16         1          1          1          0.000001000000  0.000002000000  2.00       200.00    %
93         IO2FL      2     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
94         IO2FL      2     64         1          1          1          0.000023000001  0.000029999999  1.30       130.43    %
95         IO2FL      2     128        1          1          1          0.000119999997  0.000106000000  0.88       88.33     %
96         IO2FL      2     256        1          1          1          0.000345000008  0.000407000014  1.18       117.97    %
97         IO2FL      2     512        1          1          1          0.001451999997  0.001404999988  0.97       96.76     %
98         IO2FL      2     1024       1          1          1          0.003759999992  0.004662000109  1.24       123.99    %
99         IO2FL      2     2048       1          1          1          0.027258999646  0.032005999237  1.17       117.41    %
100        IO2FL      2     4096       1          1          1          0.078179001808  0.153172001243  1.96       195.92    %
101        IO2FA      2     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
102        IO2FA      2     32         1          1          1          0.000011000000  0.000009000000  0.82       81.82     %
103        IO2FA      2     64         1          1          1          0.000037999998  0.000029999999  0.79       78.95     %
104        IO2FA      2     128        1          1          1          0.000176000001  0.000106000000  0.60       60.23     %
105        IO2FA      2     256        1          1          1          0.000354999996  0.000407000014  1.15       114.65    %
106        IO2FA      2     512        1          1          1          0.002300000051  0.001404999988  0.61       61.09     %
107        IO2FA      2     1024       1          1          1          0.015000999905  0.004662000109  0.31       31.08     %
108        IO2FA      2     2048       1          1          1          0.021516999230  0.032005999237  1.49       148.75    %
109        IO2FA      2     4096       1          1          1          0.112250998616  0.153172001243  1.36       136.45    %
110        IO2DEF     2     16         1          1          1          0.000001000000  0.000002000000  2.00       200.00    %
111        IO2DEF     2     32         1          1          1          0.000004000000  0.000009000000  2.25       225.00    %
112        IO2DEF     2     64         1          1          1          0.000014000000  0.000029999999  2.14       214.29    %
113        IO2DEF     2     128        1          1          1          0.000087000000  0.000106000000  1.22       121.84    %
114        IO2DEF     2     256        1          1          1          0.000243999995  0.000407000014  1.67       166.80    %
115        IO2DEF     2     512        1          1          1          0.000903000007  0.001404999988  1.56       155.59    %
116        IO2DEF     2     1024       1          1          1          0.005102999974  0.004662000109  0.91       91.36     %
117        IO2DEF     2     2048       1          1          1          0.031791001558  0.032005999237  1.01       100.68    %
118        IO2DEF     2     4096       1          1          1          0.076888002455  0.153172001243  1.99       199.21    %
119        IO3        2     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
120        IO3        2     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
121        IO3        2     64         1          1          1          0.000034000001  0.000029999999  0.88       88.24     %
122        IO3        2     128        1          1          1          0.000138999996  0.000106000000  0.76       76.26     %
123        IO3        2     256        1          1          1          0.000576000020  0.000407000014  0.71       70.66     %
124        IO3        2     512        1          1          1          0.002882000059  0.001404999988  0.49       48.75     %
125        IO3        2     1024       1          1          1          0.006901999936  0.004662000109  0.68       67.55     %
126        IO3        2     2048       1          1          1          0.024157999083  0.032005999237  1.32       132.49    %
127        IO3        2     4096       1          1          1          0.077085003257  0.153172001243  1.99       198.71    %
128        IO3M       2     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
129        IO3M       2     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
130        IO3M       2     64         1          1          1          0.000032000000  0.000029999999  0.94       93.75     %
131        IO3M       2     128        1          1          1          0.000132000001  0.000106000000  0.80       80.30     %
132        IO3M       2     256        1          1          1          0.000214000000  0.000407000014  1.90       190.19    %
133        IO3M       2     512        1          1          1          0.001166000031  0.001404999988  1.20       120.50    %
134        IO3M       2     1024       1          1          1          0.004951999988  0.004662000109  0.94       94.14     %
135        IO3M       2     2048       1          1          1          0.034986000508  0.032005999237  0.91       91.48     %
136        IO3M       2     4096       1          1          1          0.076039001346  0.153172001243  2.01       201.44    %
137        IO3FUN     2     16         1          1          1          0.000005000000  0.000002000000  0.40       40.00     %
138        IO3FUN     2     32         1          1          1          0.000012000000  0.000009000000  0.75       75.00     %
139        IO3FUN     2     64         1          1          1          0.000035000001  0.000029999999  0.86       85.71     %
140        IO3FUN     2     128        1          1          1          0.000067000001  0.000106000000  1.58       158.21    %
141        IO3FUN     2     256        1          1          1          0.000239999994  0.000407000014  1.70       169.58    %
142        IO3FUN     2     512        1          1          1          0.001325999969  0.001404999988  1.06       105.96    %
143        IO3FUN     2     1024       1          1          1          0.006589000113  0.004662000109  0.71       70.75     %
144        IO3FUN     2     2048       1          1          1          0.016495000571  0.032005999237  1.94       194.03    %
145        IO3FUN     2     4096       1          1          1          0.075358003378  0.153172001243  2.03       203.26    %
