N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
293        OMPLOCBB   6     16         1          50         1          0.000010058657  0.000001232699  0.12       12.26     %
294        OMPLOCBB   6     16         1          50         2          0.000020273030  0.000001232699  0.06       3.04      %
295        OMPLOCBB   6     16         1          50         4          0.000029695406  0.000001232699  0.04       1.04      %
296        OMPLOCBB   6     16         1          50         8          0.000027683749  0.000001232699  0.04       0.56      %
297        OMPLOCBB   6     16         1          50         16         0.000040366129  0.000001232699  0.03       0.19      %
298        OMPLOCBB   6     16         1          50         32         0.000081617756  0.000001232699  0.02       0.05      %
299        OMPLOCBB   6     16         1          50         64         0.000670820125  0.000001232699  0.00       0.00      %
300        OMPLOCBB   6     32         1          50         1          0.000008967147  0.000002915040  0.33       32.51     %
301        OMPLOCBB   6     32         1          50         2          0.000017694012  0.000002915040  0.16       8.24      %
302        OMPLOCBB   6     32         1          50         4          0.000028126688  0.000002915040  0.10       2.59      %
303        OMPLOCBB   6     32         1          50         8          0.000028754026  0.000002915040  0.10       1.27      %
304        OMPLOCBB   6     32         1          50         16         0.000040477513  0.000002915040  0.07       0.45      %
305        OMPLOCBB   6     32         1          50         32         0.000081572311  0.000002915040  0.04       0.11      %
306        OMPLOCBB   6     32         1          50         64         0.000625758257  0.000002915040  0.00       0.01      %
307        OMPLOCBB   6     64         1          50         1          0.000011773407  0.000007892400  0.67       67.04     %
308        OMPLOCBB   6     64         1          50         2          0.000022088736  0.000007892400  0.36       17.87     %
309        OMPLOCBB   6     64         1          50         4          0.000033339486  0.000007892400  0.24       5.92      %
310        OMPLOCBB   6     64         1          50         8          0.000030702726  0.000007892400  0.26       3.21      %
311        OMPLOCBB   6     64         1          50         16         0.000041442738  0.000007892400  0.19       1.19      %
312        OMPLOCBB   6     64         1          50         32         0.000084746629  0.000007892400  0.09       0.29      %
313        OMPLOCBB   6     64         1          50         64         0.000691807247  0.000007892400  0.01       0.02      %
314        OMPLOCBB   6     128        1          50         1          0.000016277656  0.000033155455  2.04       203.69    %
315        OMPLOCBB   6     128        1          50         2          0.000024516135  0.000033155455  1.35       67.62     %
316        OMPLOCBB   6     128        1          50         4          0.000046609341  0.000033155455  0.71       17.78     %
317        OMPLOCBB   6     128        1          50         8          0.000030280276  0.000033155455  1.09       13.69     %
318        OMPLOCBB   6     128        1          50         16         0.000037090107  0.000033155455  0.89       5.59      %
319        OMPLOCBB   6     128        1          50         32         0.000069811198  0.000033155455  0.47       1.48      %
320        OMPLOCBB   6     128        1          50         64         0.000652391813  0.000033155455  0.05       0.08      %
321        OMPLOCBB   6     256        1          50         1          0.000044169275  0.000115566698  2.62       261.64    %
322        OMPLOCBB   6     256        1          50         2          0.000049429760  0.000115566698  2.34       116.90    %
323        OMPLOCBB   6     256        1          50         4          0.000062295047  0.000115566698  1.86       46.38     %
324        OMPLOCBB   6     256        1          50         8          0.000038412585  0.000115566698  3.01       37.61     %
325        OMPLOCBB   6     256        1          50         16         0.000044387951  0.000115566698  2.60       16.27     %
326        OMPLOCBB   6     256        1          50         32         0.000074250624  0.000115566698  1.56       4.86      %
327        OMPLOCBB   6     256        1          50         64         0.000443049154  0.000115566698  0.26       0.41      %
328        OMPLOCBB   6     512        1          50         1          0.000153202564  0.001450625481  9.47       946.87    %
329        OMPLOCBB   6     512        1          50         2          0.000248919794  0.001450625481  5.83       291.38    %
330        OMPLOCBB   6     512        1          50         4          0.000214658678  0.001450625481  6.76       168.95    %
331        OMPLOCBB   6     512        1          50         8          0.000115948918  0.001450625481  12.51      156.39    %
332        OMPLOCBB   6     512        1          50         16         0.000096124037  0.001450625481  15.09      94.32     %
333        OMPLOCBB   6     512        1          50         32         0.000107507782  0.001450625481  13.49      42.17     %
334        OMPLOCBB   6     512        1          50         64         0.000470960891  0.001450625481  3.08       4.81      %
335        OMPLOCBB   6     1024       1          50         1          0.000877350220  0.003478998784  3.97       396.53    %
336        OMPLOCBB   6     1024       1          50         2          0.001150399446  0.003478998784  3.02       151.21    %
337        OMPLOCBB   6     1024       1          50         4          0.000845026982  0.003478998784  4.12       102.93    %
338        OMPLOCBB   6     1024       1          50         8          0.000546977273  0.003478998784  6.36       79.51     %
339        OMPLOCBB   6     1024       1          50         16         0.000498517591  0.003478998784  6.98       43.62     %
340        OMPLOCBB   6     1024       1          50         32         0.000558656058  0.003478998784  6.23       19.46     %
341        OMPLOCBB   6     1024       1          50         64         0.000775313354  0.003478998784  4.49       7.01      %
342        OMPLOCBB   6     2048       1          50         1          0.006839095149  0.034479748458  5.04       504.16    %
343        OMPLOCBB   6     2048       1          50         2          0.006850187667  0.034479748458  5.03       251.67    %
344        OMPLOCBB   6     2048       1          50         4          0.006468781270  0.034479748458  5.33       133.25    %
345        OMPLOCBB   6     2048       1          50         8          0.004371751565  0.034479748458  7.89       98.59     %
346        OMPLOCBB   6     2048       1          50         16         0.002945967019  0.034479748458  11.70      73.15     %
347        OMPLOCBB   6     2048       1          50         32         0.002479789779  0.034479748458  13.90      43.45     %
348        OMPLOCBB   6     2048       1          50         64         0.003037079005  0.034479748458  11.35      17.74     %
349        OMPLOCBB   6     4096       1          50         1          0.047474116087  0.181555524468  3.82       382.43    %
350        OMPLOCBB   6     4096       1          50         2          0.043306171894  0.181555524468  4.19       209.62    %
351        OMPLOCBB   6     4096       1          50         4          0.031746916473  0.181555524468  5.72       142.97    %
352        OMPLOCBB   6     4096       1          50         8          0.017640918493  0.181555524468  10.29      128.65    %
353        OMPLOCBB   6     4096       1          50         16         0.011977017857  0.181555524468  15.16      94.74     %
354        OMPLOCBB   6     4096       1          50         32         0.008170329034  0.181555524468  22.22      69.44     %
355        OMPLOCBB   6     4096       1          50         64         0.010886889882  0.181555524468  16.68      26.06     %
644        OMPLOCBB   6     16         2          50         1          0.000003538281  0.000001310557  0.37       37.04     %
645        OMPLOCBB   6     16         2          50         2          0.000010834262  0.000001310557  0.12       6.05      %
646        OMPLOCBB   6     16         2          50         4          0.000023271143  0.000001310557  0.06       1.41      %
647        OMPLOCBB   6     16         2          50         8          0.000022246317  0.000001310557  0.06       0.74      %
648        OMPLOCBB   6     16         2          50         16         0.000033186003  0.000001310557  0.04       0.25      %
649        OMPLOCBB   6     16         2          50         32         0.000063676758  0.000001310557  0.02       0.06      %
650        OMPLOCBB   6     16         2          50         64         0.000437657174  0.000001310557  0.00       0.00      %
651        OMPLOCBB   6     32         2          50         1          0.000005672499  0.000002671778  0.47       47.10     %
652        OMPLOCBB   6     32         2          50         2          0.000012157858  0.000002671778  0.22       10.99     %
653        OMPLOCBB   6     32         2          50         4          0.000030857325  0.000002671778  0.09       2.16      %
654        OMPLOCBB   6     32         2          50         8          0.000027871132  0.000002671778  0.10       1.20      %
655        OMPLOCBB   6     32         2          50         16         0.000036049263  0.000002671778  0.07       0.46      %
656        OMPLOCBB   6     32         2          50         32         0.000068019333  0.000002671778  0.04       0.12      %
657        OMPLOCBB   6     32         2          50         64         0.000432155270  0.000002671778  0.01       0.01      %
658        OMPLOCBB   6     64         2          50         1          0.000006582216  0.000007187203  1.09       109.19    %
659        OMPLOCBB   6     64         2          50         2          0.000016822294  0.000007187203  0.43       21.36     %
660        OMPLOCBB   6     64         2          50         4          0.000038973241  0.000007187203  0.18       4.61      %
661        OMPLOCBB   6     64         2          50         8          0.000034461169  0.000007187203  0.21       2.61      %
662        OMPLOCBB   6     64         2          50         16         0.000042351334  0.000007187203  0.17       1.06      %
663        OMPLOCBB   6     64         2          50         32         0.000073649731  0.000007187203  0.10       0.30      %
664        OMPLOCBB   6     64         2          50         64         0.000433434179  0.000007187203  0.02       0.03      %
665        OMPLOCBB   6     128        2          50         1          0.000014133378  0.000023954362  1.69       169.49    %
666        OMPLOCBB   6     128        2          50         2          0.000031172858  0.000023954362  0.77       38.42     %
667        OMPLOCBB   6     128        2          50         4          0.000058301164  0.000023954362  0.41       10.27     %
668        OMPLOCBB   6     128        2          50         8          0.000039463117  0.000023954362  0.61       7.59      %
669        OMPLOCBB   6     128        2          50         16         0.000040240215  0.000023954362  0.60       3.72      %
670        OMPLOCBB   6     128        2          50         32         0.000073073803  0.000023954362  0.33       1.02      %
671        OMPLOCBB   6     128        2          50         64         0.000425300386  0.000023954362  0.06       0.09      %
672        OMPLOCBB   6     256        2          50         1          0.000039316343  0.000089100751  2.27       226.63    %
673        OMPLOCBB   6     256        2          50         2          0.000072367118  0.000089100751  1.23       61.56     %
674        OMPLOCBB   6     256        2          50         4          0.000088052082  0.000089100751  1.01       25.30     %
675        OMPLOCBB   6     256        2          50         8          0.000055884942  0.000089100751  1.59       19.93     %
676        OMPLOCBB   6     256        2          50         16         0.000061503422  0.000089100751  1.45       9.05      %
677        OMPLOCBB   6     256        2          50         32         0.000070584567  0.000089100751  1.26       3.94      %
678        OMPLOCBB   6     256        2          50         64         0.000430201733  0.000089100751  0.21       0.32      %
679        OMPLOCBB   6     512        2          50         1          0.000146489969  0.000449951738  3.07       307.16    %
680        OMPLOCBB   6     512        2          50         2          0.000264392409  0.000449951738  1.70       85.09     %
681        OMPLOCBB   6     512        2          50         4          0.000224152958  0.000449951738  2.01       50.18     %
682        OMPLOCBB   6     512        2          50         8          0.000122569123  0.000449951738  3.67       45.89     %
683        OMPLOCBB   6     512        2          50         16         0.000106258318  0.000449951738  4.23       26.47     %
684        OMPLOCBB   6     512        2          50         32         0.000117769836  0.000449951738  3.82       11.94     %
685        OMPLOCBB   6     512        2          50         64         0.000450807071  0.000449951738  1.00       1.56      %
686        OMPLOCBB   6     1024       2          50         1          0.000816476357  0.002661511768  3.26       325.98    %
687        OMPLOCBB   6     1024       2          50         2          0.001096351072  0.002661511768  2.43       121.38    %
688        OMPLOCBB   6     1024       2          50         4          0.000843862072  0.002661511768  3.15       78.85     %
689        OMPLOCBB   6     1024       2          50         8          0.000578733918  0.002661511768  4.60       57.49     %
690        OMPLOCBB   6     1024       2          50         16         0.000475411478  0.002661511768  5.60       34.99     %
691        OMPLOCBB   6     1024       2          50         32         0.000470669562  0.002661511768  5.65       17.67     %
692        OMPLOCBB   6     1024       2          50         64         0.000776095665  0.002661511768  3.43       5.36      %
693        OMPLOCBB   6     2048       2          50         1          0.006113043986  0.012421426363  2.03       203.20    %
694        OMPLOCBB   6     2048       2          50         2          0.006080470514  0.012421426363  2.04       102.14    %
695        OMPLOCBB   6     2048       2          50         4          0.005057451315  0.012421426363  2.46       61.40     %
696        OMPLOCBB   6     2048       2          50         8          0.003159928368  0.012421426363  3.93       49.14     %
697        OMPLOCBB   6     2048       2          50         16         0.002001223620  0.012421426363  6.21       38.79     %
698        OMPLOCBB   6     2048       2          50         32         0.001434306032  0.012421426363  8.66       27.06     %
699        OMPLOCBB   6     2048       2          50         64         0.001674449421  0.012421426363  7.42       11.59     %
700        OMPLOCBB   6     4096       2          50         1          0.048334389925  0.065406039357  1.35       135.32    %
701        OMPLOCBB   6     4096       2          50         2          0.044044394046  0.065406039357  1.49       74.25     %
702        OMPLOCBB   6     4096       2          50         4          0.027077859268  0.065406039357  2.42       60.39     %
703        OMPLOCBB   6     4096       2          50         8          0.013621610589  0.065406039357  4.80       60.02     %
704        OMPLOCBB   6     4096       2          50         16         0.008135787211  0.065406039357  8.04       50.25     %
705        OMPLOCBB   6     4096       2          50         32         0.005317263771  0.065406039357  12.30      38.44     %
706        OMPLOCBB   6     4096       2          50         64         0.005027571693  0.065406039357  13.01      20.33     %
995        OMPLOCBB   6     16         3          50         1          0.000009671971  0.000002134219  0.22       22.07     %
996        OMPLOCBB   6     16         3          50         2          0.000013347715  0.000002134219  0.16       7.99      %
997        OMPLOCBB   6     16         3          50         4          0.000024829060  0.000002134219  0.09       2.15      %
998        OMPLOCBB   6     16         3          50         8          0.000028143451  0.000002134219  0.08       0.95      %
999        OMPLOCBB   6     16         3          50         16         0.000042009353  0.000002134219  0.05       0.32      %
1000       OMPLOCBB   6     16         3          50         32         0.000082616883  0.000002134219  0.03       0.08      %
1001       OMPLOCBB   6     16         3          50         64         0.000660949969  0.000002134219  0.00       0.01      %
1002       OMPLOCBB   6     32         3          50         1          0.000006410852  0.000005312264  0.83       82.86     %
1003       OMPLOCBB   6     32         3          50         2          0.000016356260  0.000005312264  0.32       16.24     %
1004       OMPLOCBB   6     32         3          50         4          0.000039081649  0.000005312264  0.14       3.40      %
1005       OMPLOCBB   6     32         3          50         8          0.000029288978  0.000005312264  0.18       2.27      %
1006       OMPLOCBB   6     32         3          50         16         0.000043151529  0.000005312264  0.12       0.77      %
1007       OMPLOCBB   6     32         3          50         32         0.000084113701  0.000005312264  0.06       0.20      %
1008       OMPLOCBB   6     32         3          50         64         0.000677565462  0.000005312264  0.01       0.01      %
1009       OMPLOCBB   6     64         3          50         1          0.000009066612  0.000018273295  2.02       201.54    %
1010       OMPLOCBB   6     64         3          50         2          0.000025139376  0.000018273295  0.73       36.34     %
1011       OMPLOCBB   6     64         3          50         4          0.000047681853  0.000018273295  0.38       9.58      %
1012       OMPLOCBB   6     64         3          50         8          0.000033225118  0.000018273295  0.55       6.87      %
