N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
452        MON01      7     16         1          1          1          0.000031000000  0.000002000000  0.06       6.45      %
453        MON01      7     32         1          1          1          0.000127000007  0.000009000000  0.07       7.09      %
454        MON01      7     64         1          1          1          0.000510999991  0.000028000000  0.05       5.48      %
455        MON01      7     128        1          1          1          0.002038999926  0.000116000003  0.06       5.69      %
456        MON01      7     256        1          1          1          0.002739999909  0.000444000005  0.16       16.20     %
457        MON01      7     512        1          1          1          0.017369000241  0.001968000084  0.11       11.33     %
458        MON01      7     1024       1          1          1          0.044890999794  0.005390000064  0.12       12.01     %
459        MON01      7     2048       1          1          1          0.174117997289  0.034028001130  0.20       19.54     %
460        MON01      7     4096       1          1          1          0.697483003139  0.141761004925  0.20       20.32     %
461        MONO2      7     16         1          1          1          0.000049999999  0.000002000000  0.04       4.00      %
462        MONO2      7     32         1          1          1          0.000125000006  0.000009000000  0.07       7.20      %
463        MONO2      7     64         1          1          1          0.000495999993  0.000028000000  0.06       5.65      %
464        MONO2      7     128        1          1          1          0.002015999984  0.000116000003  0.06       5.75      %
465        MONO2      7     256        1          1          1          0.006881000008  0.000444000005  0.06       6.45      %
466        MONO2      7     512        1          1          1          0.017169000581  0.001968000084  0.11       11.46     %
467        MONO2      7     1024       1          1          1          0.045761998743  0.005390000064  0.12       11.78     %
468        MONO2      7     2048       1          1          1          0.175999999046  0.034028001130  0.19       19.33     %
469        MONO2      7     4096       1          1          1          0.701131999493  0.141761004925  0.20       20.22     %
470        MONO2M     7     16         1          1          1          0.000006000000  0.000002000000  0.33       33.33     %
471        MONO2M     7     32         1          1          1          0.000059999998  0.000009000000  0.15       15.00     %
472        MONO2M     7     64         1          1          1          0.000171000007  0.000028000000  0.16       16.37     %
473        MONO2M     7     128        1          1          1          0.000989999971  0.000116000003  0.12       11.72     %
474        MONO2M     7     256        1          1          1          0.003848999972  0.000444000005  0.12       11.54     %
475        MONO2M     7     512        1          1          1          0.008355000056  0.001968000084  0.24       23.55     %
476        MONO2M     7     1024       1          1          1          0.023238999769  0.005390000064  0.23       23.19     %
477        MONO2M     7     2048       1          1          1          0.085684001446  0.034028001130  0.40       39.71     %
478        MONO2M     7     4096       1          1          1          0.335431993008  0.141761004925  0.42       42.26     %
479        MONO2FUN   7     16         1          1          1          0.000004000000  0.000002000000  0.50       50.00     %
480        MONO2FUN   7     32         1          1          1          0.000014000000  0.000009000000  0.64       64.29     %
481        MONO2FUN   7     64         1          1          1          0.000057000001  0.000028000000  0.49       49.12     %
482        MONO2FUN   7     128        1          1          1          0.000356000004  0.000116000003  0.33       32.58     %
483        MONO2FUN   7     256        1          1          1          0.001371999970  0.000444000005  0.32       32.36     %
484        MONO2FUN   7     512        1          1          1          0.003694999963  0.001968000084  0.53       53.26     %
485        MONO2FUN   7     1024       1          1          1          0.007869999856  0.005390000064  0.68       68.49     %
486        MONO2FUN   7     2048       1          1          1          0.032852001488  0.034028001130  1.04       103.58    %
487        MONO2FUN   7     4096       1          1          1          0.129333004355  0.141761004925  1.10       109.61    %
488        MONO2PLA   7     16         1          1          1          0.000004000000  0.000002000000  0.50       50.00     %
489        MONO2PLA   7     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
490        MONO2PLA   7     64         1          1          1          0.000091000002  0.000028000000  0.31       30.77     %
491        MONO2PLA   7     128        1          1          1          0.000302000000  0.000116000003  0.38       38.41     %
492        MONO2PLA   7     256        1          1          1          0.001151000033  0.000444000005  0.39       38.58     %
