N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
398        OMP32      6     16         1          20         1          0.000005380623  0.000001650000  0.31       30.67     %
399        OMP32      6     16         1          20         2          0.000015496835  0.000001650000  0.11       5.32      %
400        OMP32      6     16         1          20         4          0.000019035117  0.000001650000  0.09       2.17      %
401        OMP32      6     16         1          20         8          0.000041121431  0.000001650000  0.04       0.50      %
402        OMP32      6     16         1          20         16         0.000084862484  0.000001650000  0.02       0.12      %
403        OMP32      6     16         1          20         32         0.000172985165  0.000001650000  0.01       0.03      %
404        OMP32      6     16         1          20         64         0.000358551362  0.000001650000  0.00       0.01      %
405        OMP32      6     32         1          20         1          0.000003036484  0.000004550001  1.50       149.84    %
406        OMP32      6     32         1          20         2          0.000009824895  0.000004550001  0.46       23.16     %
407        OMP32      6     32         1          20         4          0.000021079182  0.000004550001  0.22       5.40      %
408        OMP32      6     32         1          20         8          0.000043638422  0.000004550001  0.10       1.30      %
409        OMP32      6     32         1          20         16         0.000085609223  0.000004550001  0.05       0.33      %
410        OMP32      6     32         1          20         32         0.000173682347  0.000004550001  0.03       0.08      %
411        OMP32      6     32         1          20         64         0.000359961210  0.000004550001  0.01       0.02      %
412        OMP32      6     64         1          20         1          0.000010472164  0.000016350003  1.56       156.13    %
413        OMP32      6     64         1          20         2          0.000016652979  0.000016350003  0.98       49.09     %
414        OMP32      6     64         1          20         4          0.000027910060  0.000016350003  0.59       14.65     %
415        OMP32      6     64         1          20         8          0.000048521160  0.000016350003  0.34       4.21      %
416        OMP32      6     64         1          20         16         0.000094398856  0.000016350003  0.17       1.08      %
417        OMP32      6     64         1          20         32         0.000181748721  0.000016350003  0.09       0.28      %
418        OMP32      6     64         1          20         64         0.000369878864  0.000016350003  0.04       0.07      %
419        OMP32      6     128        1          20         1          0.000042583793  0.000057049998  1.34       133.97    %
420        OMP32      6     128        1          20         2          0.000047931448  0.000057049998  1.19       59.51     %
421        OMP32      6     128        1          20         4          0.000057880581  0.000057049998  0.99       24.64     %
422        OMP32      6     128        1          20         8          0.000079357807  0.000057049998  0.72       8.99      %
423        OMP32      6     128        1          20         16         0.000123783393  0.000057049998  0.46       2.88      %
424        OMP32      6     128        1          20         32         0.000212385872  0.000057049998  0.27       0.84      %
425        OMP32      6     128        1          20         64         0.000401467638  0.000057049998  0.14       0.22      %
426        OMP32      6     256        1          20         1          0.000187565020  0.000236349966  1.26       126.01    %
427        OMP32      6     256        1          20         2          0.000167444727  0.000236349966  1.41       70.58     %
428        OMP32      6     256        1          20         4          0.000178265938  0.000236349966  1.33       33.15     %
429        OMP32      6     256        1          20         8          0.000199117887  0.000236349966  1.19       14.84     %
430        OMP32      6     256        1          20         16         0.000245209027  0.000236349966  0.96       6.02      %
431        OMP32      6     256        1          20         32         0.000339595776  0.000236349966  0.70       2.17      %
432        OMP32      6     256        1          20         64         0.000552529295  0.000236349966  0.43       0.67      %
433        OMP32      6     512        1          20         1          0.000950477086  0.001125800074  1.18       118.45    %
434        OMP32      6     512        1          20         2          0.000943021267  0.001125800074  1.19       59.69     %
435        OMP32      6     512        1          20         4          0.000945428037  0.001125800074  1.19       29.77     %
436        OMP32      6     512        1          20         8          0.000958768651  0.001125800074  1.17       14.68     %
437        OMP32      6     512        1          20         16         0.001011129469  0.001125800074  1.11       6.96      %
438        OMP32      6     512        1          20         32         0.001105561270  0.001125800074  1.02       3.18      %
439        OMP32      6     512        1          20         64         0.001305666752  0.001125800074  0.86       1.35      %
440        OMP32      6     1024       1          20         1          0.004170095082  0.005516849458  1.32       132.30    %
441        OMP32      6     1024       1          20         2          0.004224278964  0.005516849458  1.31       65.30     %
442        OMP32      6     1024       1          20         4          0.004226127639  0.005516849458  1.31       32.64     %
443        OMP32      6     1024       1          20         8          0.004171134438  0.005516849458  1.32       16.53     %
