N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
254        OMPGLBWS   5     16         1          100        1          0.000004113465  0.000001224503  0.30       29.77     %
255        OMPGLBWS   5     16         1          100        2          0.000013844297  0.000001224503  0.09       4.42      %
256        OMPGLBWS   5     16         1          100        4          0.000019271858  0.000001224503  0.06       1.59      %
257        OMPGLBWS   5     16         1          100        8          0.000026518293  0.000001224503  0.05       0.58      %
258        OMPGLBWS   5     16         1          100        16         0.000042860956  0.000001224503  0.03       0.18      %
259        OMPGLBWS   5     16         1          100        32         0.000069056638  0.000001224503  0.02       0.06      %
260        OMPGLBWS   5     16         1          100        64         0.000147673854  0.000001224503  0.01       0.01      %
261        OMPGLBWS   5     32         1          100        1          0.000004722550  0.000003545545  0.75       75.08     %
262        OMPGLBWS   5     32         1          100        2          0.000015151873  0.000003545545  0.23       11.70     %
263        OMPGLBWS   5     32         1          100        4          0.000022762270  0.000003545545  0.16       3.89      %
264        OMPGLBWS   5     32         1          100        8          0.000028694421  0.000003545545  0.12       1.54      %
265        OMPGLBWS   5     32         1          100        16         0.000044025295  0.000003545545  0.08       0.50      %
266        OMPGLBWS   5     32         1          100        32         0.000075728822  0.000003545545  0.05       0.15      %
267        OMPGLBWS   5     32         1          100        64         0.000154167792  0.000003545545  0.02       0.04      %
268        OMPGLBWS   5     64         1          100        1          0.000009507686  0.000012075715  1.27       127.01    %
269        OMPGLBWS   5     64         1          100        2          0.000018838235  0.000012075715  0.64       32.05     %
270        OMPGLBWS   5     64         1          100        4          0.000023305975  0.000012075715  0.52       12.95     %
271        OMPGLBWS   5     64         1          100        8          0.000032686068  0.000012075715  0.37       4.62      %
272        OMPGLBWS   5     64         1          100        16         0.000045383535  0.000012075715  0.27       1.66      %
273        OMPGLBWS   5     64         1          100        32         0.000077017394  0.000012075715  0.16       0.49      %
274        OMPGLBWS   5     64         1          100        64         0.000156259164  0.000012075715  0.08       0.12      %
275        OMPGLBWS   5     128        1          100        1          0.000025411136  0.000050677358  1.99       199.43    %
276        OMPGLBWS   5     128        1          100        2          0.000031767599  0.000050677358  1.60       79.76     %
277        OMPGLBWS   5     128        1          100        4          0.000033630429  0.000050677358  1.51       37.67     %
278        OMPGLBWS   5     128        1          100        8          0.000037008711  0.000050677358  1.37       17.12     %
279        OMPGLBWS   5     128        1          100        16         0.000056391211  0.000050677358  0.90       5.62      %
280        OMPGLBWS   5     128        1          100        32         0.000073513016  0.000050677358  0.69       2.15      %
281        OMPGLBWS   5     128        1          100        64         0.000148290215  0.000050677358  0.34       0.53      %
282        OMPGLBWS   5     256        1          100        1          0.000085187334  0.000231884798  2.72       272.21    %
283        OMPGLBWS   5     256        1          100        2          0.000083904903  0.000231884798  2.76       138.18    %
284        OMPGLBWS   5     256        1          100        4          0.000078070720  0.000231884798  2.97       74.25     %
285        OMPGLBWS   5     256        1          100        8          0.000068807785  0.000231884798  3.37       42.13     %
286        OMPGLBWS   5     256        1          100        16         0.000072769632  0.000231884798  3.19       19.92     %
287        OMPGLBWS   5     256        1          100        32         0.000114190021  0.000231884798  2.03       6.35      %
288        OMPGLBWS   5     256        1          100        64         0.000168993138  0.000231884798  1.37       2.14      %
289        OMPGLBWS   5     512        1          100        1          0.000350329647  0.000710630789  2.03       202.85    %
290        OMPGLBWS   5     512        1          100        2          0.000284592243  0.000710630789  2.50       124.85    %
291        OMPGLBWS   5     512        1          100        4          0.000187053534  0.000710630789  3.80       94.98     %
292        OMPGLBWS   5     512        1          100        8          0.000143287514  0.000710630789  4.96       61.99     %
293        OMPGLBWS   5     512        1          100        16         0.000134957576  0.000710630789  5.27       32.91     %
294        OMPGLBWS   5     512        1          100        32         0.000142890582  0.000710630789  4.97       15.54     %
295        OMPGLBWS   5     512        1          100        64         0.000355241064  0.000710630789  2.00       3.13      %
296        OMPGLBWS   5     1024       1          100        1          0.001513838535  0.003203032538  2.12       211.58    %
297        OMPGLBWS   5     1024       1          100        2          0.001178360893  0.003203032538  2.72       135.91    %
298        OMPGLBWS   5     1024       1          100        4          0.000642706291  0.003203032538  4.98       124.59    %
299        OMPGLBWS   5     1024       1          100        8          0.000359761150  0.003203032538  8.90       111.29    %
300        OMPGLBWS   5     1024       1          100        16         0.000250276556  0.003203032538  12.80      79.99     %
301        OMPGLBWS   5     1024       1          100        32         0.000254524697  0.003203032538  12.58      39.33     %
302        OMPGLBWS   5     1024       1          100        64         0.000320711173  0.003203032538  9.99       15.61     %
303        OMPGLBWS   5     2048       1          100        1          0.024204418063  0.028332293034  1.17       117.05    %
304        OMPGLBWS   5     2048       1          100        2          0.014218489639  0.028332293034  1.99       99.63     %
305        OMPGLBWS   5     2048       1          100        4          0.006645251997  0.028332293034  4.26       106.59    %
306        OMPGLBWS   5     2048       1          100        8          0.003450118005  0.028332293034  8.21       102.65    %
307        OMPGLBWS   5     2048       1          100        16         0.001851684065  0.028332293034  15.30      95.63     %
308        OMPGLBWS   5     2048       1          100        32         0.001242226339  0.028332293034  22.81      71.27     %
309        OMPGLBWS   5     2048       1          100        64         0.001162045985  0.028332293034  24.38      38.10     %
310        OMPGLBWS   5     4096       1          100        1          0.114666894078  0.129099518061  1.13       112.59    %
311        OMPGLBWS   5     4096       1          100        2          0.066302247345  0.129099518061  1.95       97.36     %
312        OMPGLBWS   5     4096       1          100        4          0.032851353288  0.129099518061  3.93       98.25     %
