N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
317        OMPLOCBB   6     16         1          100        1          0.000022945180  0.000001224503  0.05       5.34      %
318        OMPLOCBB   6     16         1          100        2          0.000023130142  0.000001224503  0.05       2.65      %
319        OMPLOCBB   6     16         1          100        4          0.000023103505  0.000001224503  0.05       1.33      %
320        OMPLOCBB   6     16         1          100        8          0.000023185648  0.000001224503  0.05       0.66      %
321        OMPLOCBB   6     16         1          100        16         0.000023046881  0.000001224503  0.05       0.33      %
322        OMPLOCBB   6     16         1          100        32         0.000049059840  0.000001224503  0.02       0.08      %
323        OMPLOCBB   6     16         1          100        64         0.000115014802  0.000001224503  0.01       0.02      %
324        OMPLOCBB   6     32         1          100        1          0.000024669989  0.000003545545  0.14       14.37     %
325        OMPLOCBB   6     32         1          100        2          0.000024595483  0.000003545545  0.14       7.21      %
326        OMPLOCBB   6     32         1          100        4          0.000024877489  0.000003545545  0.14       3.56      %
327        OMPLOCBB   6     32         1          100        8          0.000024427845  0.000003545545  0.15       1.81      %
328        OMPLOCBB   6     32         1          100        16         0.000024854020  0.000003545545  0.14       0.89      %
329        OMPLOCBB   6     32         1          100        32         0.000053822809  0.000003545545  0.07       0.21      %
330        OMPLOCBB   6     32         1          100        64         0.000116708499  0.000003545545  0.03       0.05      %
331        OMPLOCBB   6     64         1          100        1          0.000034281238  0.000012075715  0.35       35.23     %
332        OMPLOCBB   6     64         1          100        2          0.000034132041  0.000012075715  0.35       17.69     %
333        OMPLOCBB   6     64         1          100        4          0.000034413115  0.000012075715  0.35       8.77      %
334        OMPLOCBB   6     64         1          100        8          0.000034327059  0.000012075715  0.35       4.40      %
335        OMPLOCBB   6     64         1          100        16         0.000034358167  0.000012075715  0.35       2.20      %
336        OMPLOCBB   6     64         1          100        32         0.000059371814  0.000012075715  0.20       0.64      %
337        OMPLOCBB   6     64         1          100        64         0.000120684505  0.000012075715  0.10       0.16      %
338        OMPLOCBB   6     128        1          100        1          0.000065548156  0.000050677358  0.77       77.31     %
339        OMPLOCBB   6     128        1          100        2          0.000065647066  0.000050677358  0.77       38.60     %
340        OMPLOCBB   6     128        1          100        4          0.000065766464  0.000050677358  0.77       19.26     %
341        OMPLOCBB   6     128        1          100        8          0.000065867978  0.000050677358  0.77       9.62      %
342        OMPLOCBB   6     128        1          100        16         0.000066182205  0.000050677358  0.77       4.79      %
343        OMPLOCBB   6     128        1          100        32         0.000069070797  0.000050677358  0.73       2.29      %
344        OMPLOCBB   6     128        1          100        64         0.000131288922  0.000050677358  0.39       0.60      %
345        OMPLOCBB   6     256        1          100        1          0.000183324330  0.000231884798  1.26       126.49    %
346        OMPLOCBB   6     256        1          100        2          0.000183024444  0.000231884798  1.27       63.35     %
347        OMPLOCBB   6     256        1          100        4          0.000183249445  0.000231884798  1.27       31.64     %
348        OMPLOCBB   6     256        1          100        8          0.000183272175  0.000231884798  1.27       15.82     %
349        OMPLOCBB   6     256        1          100        16         0.000183373500  0.000231884798  1.26       7.90      %
350        OMPLOCBB   6     256        1          100        32         0.000113748945  0.000231884798  2.04       6.37      %
351        OMPLOCBB   6     256        1          100        64         0.000144765901  0.000231884798  1.60       2.50      %
352        OMPLOCBB   6     512        1          100        1          0.000676004798  0.000710630789  1.05       105.12    %
353        OMPLOCBB   6     512        1          100        2          0.000677458011  0.000710630789  1.05       52.45     %
354        OMPLOCBB   6     512        1          100        4          0.000675288960  0.000710630789  1.05       26.31     %
355        OMPLOCBB   6     512        1          100        8          0.000686822110  0.000710630789  1.03       12.93     %
356        OMPLOCBB   6     512        1          100        16         0.000722243276  0.000710630789  0.98       6.15      %
357        OMPLOCBB   6     512        1          100        32         0.000271277677  0.000710630789  2.62       8.19      %
358        OMPLOCBB   6     512        1          100        64         0.000197416171  0.000710630789  3.60       5.62      %
359        OMPLOCBB   6     1024       1          100        1          0.002790807048  0.003203032538  1.15       114.77    %
360        OMPLOCBB   6     1024       1          100        2          0.002790198894  0.003203032538  1.15       57.40     %
361        OMPLOCBB   6     1024       1          100        4          0.002796883462  0.003203032538  1.15       28.63     %
362        OMPLOCBB   6     1024       1          100        8          0.002783512929  0.003203032538  1.15       14.38     %
363        OMPLOCBB   6     1024       1          100        16         0.002767080907  0.003203032538  1.16       7.23      %
364        OMPLOCBB   6     1024       1          100        32         0.001015910180  0.003203032538  3.15       9.85      %
365        OMPLOCBB   6     1024       1          100        64         0.001161858207  0.003203032538  2.76       4.31      %
366        OMPLOCBB   6     2048       1          100        1          0.017450805753  0.028332293034  1.62       162.36    %
367        OMPLOCBB   6     2048       1          100        2          0.018353901803  0.028332293034  1.54       77.18     %
368        OMPLOCBB   6     2048       1          100        4          0.018333848566  0.028332293034  1.55       38.63     %
369        OMPLOCBB   6     2048       1          100        8          0.018327634782  0.028332293034  1.55       19.32     %
370        OMPLOCBB   6     2048       1          100        16         0.018350038677  0.028332293034  1.54       9.65      %
371        OMPLOCBB   6     2048       1          100        32         0.006144512445  0.028332293034  4.61       14.41     %
372        OMPLOCBB   6     2048       1          100        64         0.011286677793  0.028332293034  2.51       3.92      %
373        OMPLOCBB   6     4096       1          100        1          0.079785756767  0.129099518061  1.62       161.81    %
374        OMPLOCBB   6     4096       1          100        2          0.079028055072  0.129099518061  1.63       81.68     %
375        OMPLOCBB   6     4096       1          100        4          0.079087428749  0.129099518061  1.63       40.81     %
376        OMPLOCBB   6     4096       1          100        8          0.079123929143  0.129099518061  1.63       20.40     %
377        OMPLOCBB   6     4096       1          100        16         0.079031266272  0.129099518061  1.63       10.21     %
378        OMPLOCBB   6     4096       1          100        32         0.026371743530  0.129099518061  4.90       15.30     %
379        OMPLOCBB   6     4096       1          100        64         0.065215431154  0.129099518061  1.98       3.09      %
668        OMPLOCBB   6     16         2          100        1          0.000017417780  0.000001463480  0.08       8.40      %
669        OMPLOCBB   6     16         2          100        2          0.000017133169  0.000001463480  0.09       4.27      %
670        OMPLOCBB   6     16         2          100        4          0.000017333403  0.000001463480  0.08       2.11      %
671        OMPLOCBB   6     16         2          100        8          0.000017438457  0.000001463480  0.08       1.05      %
672        OMPLOCBB   6     16         2          100        16         0.000017260387  0.000001463480  0.08       0.53      %
673        OMPLOCBB   6     16         2          100        32         0.000031994285  0.000001463480  0.05       0.14      %
674        OMPLOCBB   6     16         2          100        64         0.000079180114  0.000001463480  0.02       0.03      %
675        OMPLOCBB   6     32         2          100        1          0.000017980859  0.000002923794  0.16       16.26     %
676        OMPLOCBB   6     32         2          100        2          0.000017698481  0.000002923794  0.17       8.26      %
677        OMPLOCBB   6     32         2          100        4          0.000017860159  0.000002923794  0.16       4.09      %
678        OMPLOCBB   6     32         2          100        8          0.000017993525  0.000002923794  0.16       2.03      %
679        OMPLOCBB   6     32         2          100        16         0.000017860531  0.000002923794  0.16       1.02      %
680        OMPLOCBB   6     32         2          100        32         0.000035108813  0.000002923794  0.08       0.26      %
681        OMPLOCBB   6     32         2          100        64         0.000083338658  0.000002923794  0.04       0.05      %
682        OMPLOCBB   6     64         2          100        1          0.000021778978  0.000007285178  0.33       33.45     %
683        OMPLOCBB   6     64         2          100        2          0.000021332502  0.000007285178  0.34       17.08     %
684        OMPLOCBB   6     64         2          100        4          0.000021087752  0.000007285178  0.35       8.64      %
685        OMPLOCBB   6     64         2          100        8          0.000021150709  0.000007285178  0.34       4.31      %
686        OMPLOCBB   6     64         2          100        16         0.000021410360  0.000007285178  0.34       2.13      %
687        OMPLOCBB   6     64         2          100        32         0.000042402557  0.000007285178  0.17       0.54      %
688        OMPLOCBB   6     64         2          100        64         0.000090717338  0.000007285178  0.08       0.13      %
689        OMPLOCBB   6     128        2          100        1          0.000027652271  0.000024122744  0.87       87.24     %
690        OMPLOCBB   6     128        2          100        2          0.000027520768  0.000024122744  0.88       43.83     %
691        OMPLOCBB   6     128        2          100        4          0.000027447008  0.000024122744  0.88       21.97     %
692        OMPLOCBB   6     128        2          100        8          0.000027485938  0.000024122744  0.88       10.97     %
693        OMPLOCBB   6     128        2          100        16         0.000027534179  0.000024122744  0.88       5.48      %
694        OMPLOCBB   6     128        2          100        32         0.000047939458  0.000024122744  0.50       1.57      %
695        OMPLOCBB   6     128        2          100        64         0.000085437860  0.000024122744  0.28       0.44      %
696        OMPLOCBB   6     256        2          100        1          0.000046399608  0.000088078712  1.90       189.83    %
697        OMPLOCBB   6     256        2          100        2          0.000046676771  0.000088078712  1.89       94.35     %
698        OMPLOCBB   6     256        2          100        4          0.000046085937  0.000088078712  1.91       47.78     %
699        OMPLOCBB   6     256        2          100        8          0.000046873094  0.000088078712  1.88       23.49     %
700        OMPLOCBB   6     256        2          100        16         0.000046386198  0.000088078712  1.90       11.87     %
701        OMPLOCBB   6     256        2          100        32         0.000073148127  0.000088078712  1.20       3.76      %
702        OMPLOCBB   6     256        2          100        64         0.000099610348  0.000088078712  0.88       1.38      %
703        OMPLOCBB   6     512        2          100        1          0.000164372468  0.000432247471  2.63       262.97    %
704        OMPLOCBB   6     512        2          100        2          0.000163529447  0.000432247471  2.64       132.16    %
705        OMPLOCBB   6     512        2          100        4          0.000163836594  0.000432247471  2.64       65.96     %
706        OMPLOCBB   6     512        2          100        8          0.000163558492  0.000432247471  2.64       33.03     %
707        OMPLOCBB   6     512        2          100        16         0.000163559060  0.000432247471  2.64       16.52     %
708        OMPLOCBB   6     512        2          100        32         0.000162803757  0.000432247471  2.66       8.30      %
709        OMPLOCBB   6     512        2          100        64         0.000168516111  0.000432247471  2.57       4.01      %
710        OMPLOCBB   6     1024       2          100        1          0.000902759493  0.002457992639  2.72       272.28    %
711        OMPLOCBB   6     1024       2          100        2          0.000881442043  0.002457992639  2.79       139.43    %
712        OMPLOCBB   6     1024       2          100        4          0.000878536724  0.002457992639  2.80       69.95     %
713        OMPLOCBB   6     1024       2          100        8          0.000874949445  0.002457992639  2.81       35.12     %
714        OMPLOCBB   6     1024       2          100        16         0.000900321291  0.002457992639  2.73       17.06     %
715        OMPLOCBB   6     1024       2          100        32         0.000689068809  0.002457992639  3.57       11.15     %
716        OMPLOCBB   6     1024       2          100        64         0.000524403877  0.002457992639  4.69       7.32      %
717        OMPLOCBB   6     2048       2          100        1          0.006347948220  0.011634852737  1.83       183.29    %
718        OMPLOCBB   6     2048       2          100        2          0.006315855775  0.011634852737  1.84       92.11     %
719        OMPLOCBB   6     2048       2          100        4          0.006112193689  0.011634852737  1.90       47.59     %
720        OMPLOCBB   6     2048       2          100        8          0.006328132935  0.011634852737  1.84       22.98     %
721        OMPLOCBB   6     2048       2          100        16         0.006261612289  0.011634852737  1.86       11.61     %
722        OMPLOCBB   6     2048       2          100        32         0.004188462161  0.011634852737  2.78       8.68      %
723        OMPLOCBB   6     2048       2          100        64         0.001517207944  0.011634852737  7.67       11.98     %
724        OMPLOCBB   6     4096       2          100        1          0.043543845415  0.063562653959  1.46       145.97    %
725        OMPLOCBB   6     4096       2          100        2          0.043372802436  0.063562653959  1.47       73.27     %
726        OMPLOCBB   6     4096       2          100        4          0.044209748507  0.063562653959  1.44       35.94     %
727        OMPLOCBB   6     4096       2          100        8          0.043382056057  0.063562653959  1.47       18.31     %
728        OMPLOCBB   6     4096       2          100        16         0.044791083783  0.063562653959  1.42       8.87      %
729        OMPLOCBB   6     4096       2          100        32         0.018104020506  0.063562653959  3.51       10.97     %
730        OMPLOCBB   6     4096       2          100        64         0.005040694959  0.063562653959  12.61      19.70     %
1029       OMPLOCBB   6     16         3          100        1          0.000023918785  0.000001592003  0.07       6.66      %
1030       OMPLOCBB   6     16         3          100        2          0.000024330802  0.000001592003  0.07       3.27      %
1031       OMPLOCBB   6     16         3          100        4          0.000023643859  0.000001592003  0.07       1.68      %
1032       OMPLOCBB   6     16         3          100        8          0.000023996085  0.000001592003  0.07       0.83      %
1033       OMPLOCBB   6     16         3          100        16         0.000023997203  0.000001592003  0.07       0.41      %
1034       OMPLOCBB   6     16         3          100        32         0.000043006054  0.000001592003  0.04       0.12      %
1035       OMPLOCBB   6     16         3          100        64         0.000114435890  0.000001592003  0.01       0.02      %
1036       OMPLOCBB   6     32         3          100        1          0.000026209653  0.000004612468  0.18       17.60     %
1037       OMPLOCBB   6     32         3          100        2          0.000026379526  0.000004612468  0.17       8.74      %
1038       OMPLOCBB   6     32         3          100        4          0.000026110187  0.000004612468  0.18       4.42      %
1039       OMPLOCBB   6     32         3          100        8          0.000026733987  0.000004612468  0.17       2.16      %
1040       OMPLOCBB   6     32         3          100        16         0.000026022642  0.000004612468  0.18       1.11      %
1041       OMPLOCBB   6     32         3          100        32         0.000047855079  0.000004612468  0.10       0.30      %
1042       OMPLOCBB   6     32         3          100        64         0.000118003969  0.000004612468  0.04       0.06      %
1043       OMPLOCBB   6     64         3          100        1          0.000037893282  0.000017147697  0.45       45.25     %
1044       OMPLOCBB   6     64         3          100        2          0.000037823243  0.000017147697  0.45       22.67     %
1045       OMPLOCBB   6     64         3          100        4          0.000038035028  0.000017147697  0.45       11.27     %
1046       OMPLOCBB   6     64         3          100        8          0.000040273553  0.000017147697  0.43       5.32      %
1047       OMPLOCBB   6     64         3          100        16         0.000038260780  0.000017147697  0.45       2.80      %
1048       OMPLOCBB   6     64         3          100        32         0.000053366832  0.000017147697  0.32       1.00      %
1049       OMPLOCBB   6     64         3          100        64         0.000118881093  0.000017147697  0.14       0.23      %
1050       OMPLOCBB   6     128        3          100        1          0.000074875352  0.000068001078  0.91       90.82     %
1051       OMPLOCBB   6     128        3          100        2          0.000074195304  0.000068001078  0.92       45.83     %
1052       OMPLOCBB   6     128        3          100        4          0.000074855423  0.000068001078  0.91       22.71     %
1053       OMPLOCBB   6     128        3          100        8          0.000074786876  0.000068001078  0.91       11.37     %
1054       OMPLOCBB   6     128        3          100        16         0.000075013377  0.000068001078  0.91       5.67      %
1055       OMPLOCBB   6     128        3          100        32         0.000079918282  0.000068001078  0.85       2.66      %
1056       OMPLOCBB   6     128        3          100        64         0.000124384096  0.000068001078  0.55       0.85      %
1057       OMPLOCBB   6     256        3          100        1          0.000210315731  0.000289160002  1.37       137.49    %
1058       OMPLOCBB   6     256        3          100        2          0.000212571031  0.000289160002  1.36       68.01     %
1059       OMPLOCBB   6     256        3          100        4          0.000225930853  0.000289160002  1.28       32.00     %
1060       OMPLOCBB   6     256        3          100        8          0.000213636464  0.000289160002  1.35       16.92     %
1061       OMPLOCBB   6     256        3          100        16         0.000210633501  0.000289160002  1.37       8.58      %
1062       OMPLOCBB   6     256        3          100        32         0.000159621981  0.000289160002  1.81       5.66      %
