N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
11         I2         2     16         1          25         1          0.000000667572  0.000001072139  1.61       160.60    %
12         I2         2     32         1          25         1          0.000002235174  0.000002787262  1.25       124.70    %
13         I2         2     64         1          25         1          0.000008103251  0.000008933246  1.10       110.24    %
14         I2         2     128        1          25         1          0.000031754375  0.000032915919  1.04       103.66    %
15         I2         2     256        1          25         1          0.000035513938  0.000153575093  4.32       432.44    %
16         I2         2     512        1          25         1          0.000149866188  0.000493390136  3.29       329.22    %
17         I2         2     1024       1          25         1          0.000640413142  0.002349806484  3.67       366.92    %
18         I2         2     2048       1          25         1          0.007307439111  0.019230667502  2.63       263.17    %
19         I2         2     4096       1          25         1          0.039591025561  0.089998662472  2.27       227.32    %
20         I2M        2     16         1          25         1          0.000000690669  0.000001072139  1.55       155.23    %
21         I2M        2     32         1          25         1          0.000002246350  0.000002787262  1.24       124.08    %
22         I2M        2     64         1          25         1          0.000008294732  0.000008933246  1.08       107.70    %
23         I2M        2     128        1          25         1          0.000031666459  0.000032915919  1.04       103.95    %
24         I2M        2     256        1          25         1          0.000034733861  0.000153575093  4.42       442.15    %
25         I2M        2     512        1          25         1          0.000149754429  0.000493390136  3.29       329.47    %
26         I2M        2     1024       1          25         1          0.000639469188  0.002349806484  3.67       367.46    %
27         I2M        2     2048       1          25         1          0.007293368224  0.019230667502  2.64       263.67    %
28         I2M        2     4096       1          25         1          0.039136342704  0.089998662472  2.30       229.96    %
29         I2FTV      2     16         1          25         1          0.000000680983  0.000001072139  1.57       157.44    %
30         I2FTV      2     32         1          25         1          0.000002228469  0.000002787262  1.25       125.08    %
31         I2FTV      2     64         1          25         1          0.000008136779  0.000008933246  1.10       109.79    %
32         I2FTV      2     128        1          25         1          0.000031946598  0.000032915919  1.03       103.03    %
33         I2FTV      2     256        1          25         1          0.000034329296  0.000153575093  4.47       447.36    %
34         I2FTV      2     512        1          25         1          0.000149694082  0.000493390136  3.30       329.60    %
35         I2FTV      2     1024       1          25         1          0.000640089042  0.002349806484  3.67       367.11    %
36         I2FTV      2     2048       1          25         1          0.007301717997  0.019230667502  2.63       263.37    %
37         I2FTV      2     4096       1          25         1          0.039331793785  0.089998662472  2.29       228.82    %
38         I2FUN      2     16         1          25         1          0.000000732392  0.000001072139  1.46       146.39    %
39         I2FUN      2     32         1          25         1          0.000002153963  0.000002787262  1.29       129.40    %
40         I2FUN      2     64         1          25         1          0.000007699430  0.000008933246  1.16       116.02    %
41         I2FUN      2     128        1          25         1          0.000020216405  0.000032915919  1.63       162.82    %
42         I2FUN      2     256        1          25         1          0.000032614171  0.000153575093  4.71       470.88    %
43         I2FUN      2     512        1          25         1          0.000151736283  0.000493390136  3.25       325.16    %
44         I2FUN      2     1024       1          25         1          0.000683074468  0.002349806484  3.44       344.00    %
45         I2FUN      2     2048       1          25         1          0.008177934214  0.019230667502  2.35       235.15    %
46         I2FUN      2     4096       1          25         1          0.041451472789  0.089998662472  2.17       217.12    %
47         I2PLA      2     16         1          25         1          0.000000736117  0.000001072139  1.46       145.65    %
48         I2PLA      2     32         1          25         1          0.000002204627  0.000002787262  1.26       126.43    %
49         I2PLA      2     64         1          25         1          0.000008180737  0.000008933246  1.09       109.20    %
50         I2PLA      2     128        1          25         1          0.000031880289  0.000032915919  1.03       103.25    %
51         I2PLA      2     256        1          25         1          0.000034615397  0.000153575093  4.44       443.66    %
52         I2PLA      2     512        1          25         1          0.000149830434  0.000493390136  3.29       329.30    %
53         I2PLA      2     1024       1          25         1          0.000639575708  0.002349806484  3.67       367.40    %
54         I2PLA      2     2048       1          25         1          0.007304751780  0.019230667502  2.63       263.26    %
55         I2PLA      2     4096       1          25         1          0.039274379611  0.089998662472  2.29       229.15    %
56         I2FTVFUN   2     16         1          25         1          0.000000724942  0.000001072139  1.48       147.89    %
57         I2FTVFUN   2     32         1          25         1          0.000002246350  0.000002787262  1.24       124.08    %
58         I2FTVFUN   2     64         1          25         1          0.000007729232  0.000008933246  1.16       115.58    %
59         I2FTVFUN   2     128        1          25         1          0.000019058585  0.000032915919  1.73       172.71    %
60         I2FTVFUN   2     256        1          25         1          0.000032800435  0.000153575093  4.68       468.21    %
61         I2FTVFUN   2     512        1          25         1          0.000151699031  0.000493390136  3.25       325.24    %
62         I2FTVFUN   2     1024       1          25         1          0.000683230173  0.002349806484  3.44       343.93    %
63         I2FTVFUN   2     2048       1          25         1          0.008183185942  0.019230667502  2.35       235.00    %
64         I2FTVFUN   2     4096       1          25         1          0.041610389948  0.089998662472  2.16       216.29    %
65         I2FM       2     16         1          25         1          0.000000701100  0.000001072139  1.53       152.92    %
66         I2FM       2     32         1          25         1          0.000002220273  0.000002787262  1.26       125.54    %
67         I2FM       2     64         1          25         1          0.000008395315  0.000008933246  1.06       106.41    %
68         I2FM       2     128        1          25         1          0.000031547250  0.000032915919  1.04       104.34    %
69         I2FM       2     256        1          25         1          0.000035764278  0.000153575093  4.29       429.41    %
70         I2FM       2     512        1          25         1          0.000149086860  0.000493390136  3.31       330.94    %
71         I2FM       2     1024       1          25         1          0.000639639795  0.002349806484  3.67       367.36    %
72         I2FM       2     2048       1          25         1          0.007384060416  0.019230667502  2.60       260.43    %
73         I2FM       2     4096       1          25         1          0.039133809507  0.089998662472  2.30       229.98    %
74         I2FL       2     16         1          25         1          0.000000543147  0.000001072139  1.97       197.39    %
75         I2FL       2     32         1          25         1          0.000000508875  0.000002787262  5.48       547.73    %
76         I2FL       2     64         1          25         1          0.000006845593  0.000008933246  1.30       130.50    %
77         I2FL       2     128        1          25         1          0.000016967208  0.000032915919  1.94       194.00    %
78         I2FL       2     256        1          25         1          0.000028946251  0.000153575093  5.31       530.55    %
79         I2FL       2     512        1          25         1          0.000132977220  0.000493390136  3.71       371.03    %
80         I2FL       2     1024       1          25         1          0.000540556037  0.002349806484  4.35       434.70    %
81         I2FL       2     2048       1          25         1          0.007041645236  0.019230667502  2.73       273.10    %
82         I2FL       2     4096       1          25         1          0.038705281913  0.089998662472  2.33       232.52    %
83         I2FA       2     16         1          25         1          0.000000697374  0.000001072139  1.54       153.74    %
84         I2FA       2     32         1          25         1          0.000002160668  0.000002787262  1.29       129.00    %
85         I2FA       2     64         1          25         1          0.000008238107  0.000008933246  1.08       108.44    %
86         I2FA       2     128        1          25         1          0.000020327419  0.000032915919  1.62       161.93    %
87         I2FA       2     256        1          25         1          0.000034498422  0.000153575093  4.45       445.17    %
88         I2FA       2     512        1          25         1          0.000148916995  0.000493390136  3.31       331.32    %
89         I2FA       2     1024       1          25         1          0.000637169927  0.002349806484  3.69       368.79    %
90         I2FA       2     2048       1          25         1          0.007306049578  0.019230667502  2.63       263.22    %
91         I2FA       2     4096       1          25         1          0.039268951863  0.089998662472  2.29       229.19    %
92         I2DEF      2     16         1          25         1          0.000000525266  0.000001072139  2.04       204.11    %
93         I2DEF      2     32         1          25         1          0.000001792610  0.000002787262  1.55       155.49    %
94         I2DEF      2     64         1          25         1          0.000006404519  0.000008933246  1.39       139.48    %
95         I2DEF      2     128        1          25         1          0.000024764984  0.000032915919  1.33       132.91    %
96         I2DEF      2     256        1          25         1          0.000026675314  0.000153575093  5.76       575.72    %
97         I2DEF      2     512        1          25         1          0.000115974995  0.000493390136  4.25       425.43    %
98         I2DEF      2     1024       1          25         1          0.000511272985  0.002349806484  4.60       459.60    %
99         I2DEF      2     2048       1          25         1          0.006482261233  0.019230667502  2.97       296.67    %
100        I2DEF      2     4096       1          25         1          0.035929273814  0.089998662472  2.50       250.49    %
803        I2         2     16         3          25         1          0.000001457334  0.000001451373  1.00       99.59     %
804        I2M        2     16         3          25         1          0.000001212209  0.000001451373  1.20       119.73    %
805        I2FTV      2     16         3          25         1          0.000001225621  0.000001451373  1.18       118.42    %
806        I2FUN      2     16         3          25         1          0.000001490116  0.000001451373  0.97       97.40     %
807        I2PLA      2     16         3          25         1          0.000000762194  0.000001451373  1.90       190.42    %
808        I2FTVFUN   2     16         3          25         1          0.000001613796  0.000001451373  0.90       89.94     %
809        I2FM       2     16         3          25         1          0.000000765920  0.000001451373  1.89       189.49    %
810        I2FL       2     16         3          25         1          0.000000666082  0.000001451373  2.18       217.90    %
811        I2FA       2     16         3          25         1          0.000001544505  0.000001451373  0.94       93.97     %
812        I2DEF      2     16         3          25         1          0.000001017004  0.000001451373  1.43       142.71    %
