N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
2          SO0        1     16         1          25         1          0.000001072139  0.000001072139  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000002787262  0.000002787262  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000008933246  0.000008933246  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000032915919  0.000032915919  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000153575093  0.000153575093  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000493390136  0.000493390136  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.002349806484  0.002349806484  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.019230667502  0.019230667502  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.089998662472  0.089998662472  1.00       100.00    %
443        SO0        1     16         2          25         1          0.000001236051  0.000001236051  1.00       100.00    %
444        SO0        1     32         2          25         1          0.000002230704  0.000002230704  1.00       100.00    %
445        SO0        1     64         2          25         1          0.000005228817  0.000005228817  1.00       100.00    %
446        SO0        1     128        2          25         1          0.000016783923  0.000016783923  1.00       100.00    %
447        SO0        1     256        2          25         1          0.000060565770  0.000060565770  1.00       100.00    %
448        SO0        1     512        2          25         1          0.000319711107  0.000319711107  1.00       100.00    %
449        SO0        1     1024       2          25         1          0.001885852194  0.001885852194  1.00       100.00    %
450        SO0        1     2048       2          25         1          0.008612008765  0.008612008765  1.00       100.00    %
451        SO0        1     4096       2          25         1          0.045017372817  0.045017372817  1.00       100.00    %
794        SO0        1     16         3          25         1          0.000001451373  0.000001451373  1.00       100.00    %
795        SO0        1     32         3          25         1          0.000003879517  0.000003879517  1.00       100.00    %
796        SO0        1     64         3          25         1          0.000012432783  0.000012432783  1.00       100.00    %
797        SO0        1     128        3          25         1          0.000047326088  0.000047326088  1.00       100.00    %
798        SO0        1     256        3          25         1          0.000207994875  0.000207994875  1.00       100.00    %
799        SO0        1     512        3          25         1          0.000809222460  0.000809222460  1.00       100.00    %
800        SO0        1     1024       3          25         1          0.003907052334  0.003907052334  1.00       100.00    %
801        SO0        1     2048       3          25         1          0.027592968196  0.027592968196  1.00       100.00    %
802        SO0        1     4096       3          25         1          0.135125815868  0.135125815868  1.00       100.00    %
