N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
380        OMPGLBBB   7     16         1          50         1          0.000003030151  0.000001168251  0.39       38.55     %
381        OMPGLBBB   7     16         1          50         2          0.000014271587  0.000001168251  0.08       4.09      %
382        OMPGLBBB   7     16         1          50         4          0.000020749867  0.000001168251  0.06       1.41      %
383        OMPGLBBB   7     16         1          50         8          0.000026752427  0.000001168251  0.04       0.55      %
384        OMPGLBBB   7     16         1          50         16         0.000042993575  0.000001168251  0.03       0.17      %
385        OMPGLBBB   7     16         1          50         32         0.000069812313  0.000001168251  0.02       0.05      %
386        OMPGLBBB   7     16         1          50         64         0.000549260527  0.000001168251  0.00       0.00      %
387        OMPGLBBB   7     32         1          50         1          0.000005002320  0.000003339723  0.67       66.76     %
388        OMPGLBBB   7     32         1          50         2          0.000012768060  0.000003339723  0.26       13.08     %
389        OMPGLBBB   7     32         1          50         4          0.000019366667  0.000003339723  0.17       4.31      %
390        OMPGLBBB   7     32         1          50         8          0.000028498843  0.000003339723  0.12       1.46      %
391        OMPGLBBB   7     32         1          50         16         0.000044720620  0.000003339723  0.07       0.47      %
392        OMPGLBBB   7     32         1          50         32         0.000071242079  0.000003339723  0.05       0.15      %
393        OMPGLBBB   7     32         1          50         64         0.000535009056  0.000003339723  0.01       0.01      %
394        OMPGLBBB   7     64         1          50         1          0.000007444248  0.000011764094  1.58       158.03    %
395        OMPGLBBB   7     64         1          50         2          0.000017420948  0.000011764094  0.68       33.76     %
396        OMPGLBBB   7     64         1          50         4          0.000026914477  0.000011764094  0.44       10.93     %
397        OMPGLBBB   7     64         1          50         8          0.000030089170  0.000011764094  0.39       4.89      %
398        OMPGLBBB   7     64         1          50         16         0.000043841451  0.000011764094  0.27       1.68      %
399        OMPGLBBB   7     64         1          50         32         0.000071495399  0.000011764094  0.16       0.51      %
400        OMPGLBBB   7     64         1          50         64         0.000524895266  0.000011764094  0.02       0.04      %
401        OMPGLBBB   7     128        1          50         1          0.000016389787  0.000051698461  3.15       315.43    %
402        OMPGLBBB   7     128        1          50         2          0.000028593093  0.000051698461  1.81       90.40     %
403        OMPGLBBB   7     128        1          50         4          0.000032369047  0.000051698461  1.60       39.93     %
404        OMPGLBBB   7     128        1          50         8          0.000039829686  0.000051698461  1.30       16.22     %
405        OMPGLBBB   7     128        1          50         16         0.000049973652  0.000051698461  1.03       6.47      %
406        OMPGLBBB   7     128        1          50         32         0.000073257834  0.000051698461  0.71       2.21      %
407        OMPGLBBB   7     128        1          50         64         0.000536292046  0.000051698461  0.10       0.15      %
408        OMPGLBBB   7     256        1          50         1          0.000056920573  0.000233716890  4.11       410.60    %
409        OMPGLBBB   7     256        1          50         2          0.000069556385  0.000233716890  3.36       168.01    %
410        OMPGLBBB   7     256        1          50         4          0.000054913759  0.000233716890  4.26       106.40    %
411        OMPGLBBB   7     256        1          50         8          0.000060110539  0.000233716890  3.89       48.60     %
412        OMPGLBBB   7     256        1          50         16         0.000062655658  0.000233716890  3.73       23.31     %
413        OMPGLBBB   7     256        1          50         32         0.000083987787  0.000233716890  2.78       8.70      %
414        OMPGLBBB   7     256        1          50         64         0.000528087094  0.000233716890  0.44       0.69      %
415        OMPGLBBB   7     512        1          50         1          0.000241512805  0.000731409714  3.03       302.85    %
416        OMPGLBBB   7     512        1          50         2          0.000280665234  0.000731409714  2.61       130.30    %
417        OMPGLBBB   7     512        1          50         4          0.000180019811  0.000731409714  4.06       101.57    %
418        OMPGLBBB   7     512        1          50         8          0.000134981051  0.000731409714  5.42       67.73     %
419        OMPGLBBB   7     512        1          50         16         0.000130427629  0.000731409714  5.61       35.05     %
420        OMPGLBBB   7     512        1          50         32         0.000131283328  0.000731409714  5.57       17.41     %
421        OMPGLBBB   7     512        1          50         64         0.000523458421  0.000731409714  1.40       2.18      %
