N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
191        OMPLOCWS   4     16         1          50         1          0.000003601238  0.000001168251  0.32       32.44     %
192        OMPLOCWS   4     16         1          50         2          0.000012208149  0.000001168251  0.10       4.78      %
193        OMPLOCWS   4     16         1          50         4          0.000020461157  0.000001168251  0.06       1.43      %
194        OMPLOCWS   4     16         1          50         8          0.000028356537  0.000001168251  0.04       0.51      %
195        OMPLOCWS   4     16         1          50         16         0.000047001988  0.000001168251  0.02       0.16      %
196        OMPLOCWS   4     16         1          50         32         0.000072758645  0.000001168251  0.02       0.05      %
197        OMPLOCWS   4     16         1          50         64         0.000654593110  0.000001168251  0.00       0.00      %
198        OMPLOCWS   4     32         1          50         1          0.000005144626  0.000003339723  0.65       64.92     %
199        OMPLOCWS   4     32         1          50         2          0.000012428313  0.000003339723  0.27       13.44     %
200        OMPLOCWS   4     32         1          50         4          0.000024185702  0.000003339723  0.14       3.45      %
201        OMPLOCWS   4     32         1          50         8          0.000030974299  0.000003339723  0.11       1.35      %
202        OMPLOCWS   4     32         1          50         16         0.000048238784  0.000003339723  0.07       0.43      %
203        OMPLOCWS   4     32         1          50         32         0.000076481700  0.000003339723  0.04       0.14      %
204        OMPLOCWS   4     32         1          50         64         0.000647707656  0.000003339723  0.01       0.01      %
205        OMPLOCWS   4     64         1          50         1          0.000008042157  0.000011764094  1.46       146.28    %
206        OMPLOCWS   4     64         1          50         2          0.000017981604  0.000011764094  0.65       32.71     %
207        OMPLOCWS   4     64         1          50         4          0.000028660521  0.000011764094  0.41       10.26     %
208        OMPLOCWS   4     64         1          50         8          0.000031964853  0.000011764094  0.37       4.60      %
209        OMPLOCWS   4     64         1          50         16         0.000049036369  0.000011764094  0.24       1.50      %
210        OMPLOCWS   4     64         1          50         32         0.000074071437  0.000011764094  0.16       0.50      %
211        OMPLOCWS   4     64         1          50         64         0.000638906285  0.000011764094  0.02       0.03      %
212        OMPLOCWS   4     128        1          50         1          0.000019916520  0.000051698461  2.60       259.58    %
213        OMPLOCWS   4     128        1          50         2          0.000026153401  0.000051698461  1.98       98.84     %
214        OMPLOCWS   4     128        1          50         4          0.000044811144  0.000051698461  1.15       28.84     %
215        OMPLOCWS   4     128        1          50         8          0.000038604811  0.000051698461  1.34       16.74     %
216        OMPLOCWS   4     128        1          50         16         0.000050340220  0.000051698461  1.03       6.42      %
217        OMPLOCWS   4     128        1          50         32         0.000071712583  0.000051698461  0.72       2.25      %
218        OMPLOCWS   4     128        1          50         64         0.000642489642  0.000051698461  0.08       0.13      %
219        OMPLOCWS   4     256        1          50         1          0.000070665404  0.000233716890  3.31       330.74    %
220        OMPLOCWS   4     256        1          50         2          0.000076320767  0.000233716890  3.06       153.11    %
