N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          SO0        1     16         1          50         1          0.000001168251  0.000001168251  1.00       100.00    %
3          SO0        1     32         1          50         1          0.000003339723  0.000003339723  1.00       100.00    %
4          SO0        1     64         1          50         1          0.000011764094  0.000011764094  1.00       100.00    %
5          SO0        1     128        1          50         1          0.000051698461  0.000051698461  1.00       100.00    %
6          SO0        1     256        1          50         1          0.000233716890  0.000233716890  1.00       100.00    %
7          SO0        1     512        1          50         1          0.000731409714  0.000731409714  1.00       100.00    %
8          SO0        1     1024       1          50         1          0.003523019701  0.003523019701  1.00       100.00    %
9          SO0        1     2048       1          50         1          0.027794191986  0.027794191986  1.00       100.00    %
10         SO0        1     4096       1          50         1          0.129715482518  0.129715482518  1.00       100.00    %
443        SO0        1     16         2          50         1          0.000001459569  0.000001459569  1.00       100.00    %
444        SO0        1     32         2          50         1          0.000002776459  0.000002776459  1.00       100.00    %
445        SO0        1     64         2          50         1          0.000007563084  0.000007563084  1.00       100.00    %
446        SO0        1     128        2          50         1          0.000025134906  0.000025134906  1.00       100.00    %
447        SO0        1     256        2          50         1          0.000093154982  0.000093154982  1.00       100.00    %
448        SO0        1     512        2          50         1          0.000469695777  0.000469695777  1.00       100.00    %
449        SO0        1     1024       2          50         1          0.002717882022  0.002717882022  1.00       100.00    %
450        SO0        1     2048       2          50         1          0.012510556355  0.012510556355  1.00       100.00    %
451        SO0        1     4096       2          50         1          0.063939208165  0.063939208165  1.00       100.00    %
794        SO0        1     16         3          50         1          0.000002015382  0.000002015382  1.00       100.00    %
795        SO0        1     32         3          50         1          0.000005271286  0.000005271286  1.00       100.00    %
796        SO0        1     64         3          50         1          0.000017828122  0.000017828122  1.00       100.00    %
797        SO0        1     128        3          50         1          0.000069441646  0.000069441646  1.00       100.00    %
798        SO0        1     256        3          50         1          0.000293976068  0.000293976068  1.00       100.00    %
799        SO0        1     512        3          50         1          0.001207471266  0.001207471266  1.00       100.00    %
800        SO0        1     1024       3          50         1          0.005876649171  0.005876649171  1.00       100.00    %
801        SO0        1     2048       3          50         1          0.040137689188  0.040137689188  1.00       100.00    %
802        SO0        1     4096       3          50         1          0.190458298102  0.190458298102  1.00       100.00    %
