N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
452        I2         2     16         1          50         1          0.000000618398 
453        I2         2     16         1          50         1          0.000000663102 
454        I2         2     16         1          50         1          0.000000923872 
455        I2         2     16         1          50         1          0.000000618398 
456        I2         2     16         1          50         1          0.000000759959 
457        I2         2     16         1          50         1          0.000000946224 
458        I2         2     16         1          50         1          0.000000610948 
459        I2         2     16         1          50         1          0.000000409782 
460        I2         2     16         1          50         1          0.000000484288 
461        I2         2     16         1          50         1          0.000000402331 
462        I2         2     16         1          50         1          0.000000834465 
463        I2         2     16         1          50         1          0.000000707805 
464        I2         2     16         1          50         1          0.000000521541 
465        I2         2     16         1          50         1          0.000000514090 
466        I2         2     16         1          50         1          0.000000633299 
467        I2         2     16         1          50         1          0.000000432134 
468        I2         2     16         1          50         1          0.000000461936 
469        I2         2     16         1          50         1          0.000000506639 
470        I2         2     16         1          50         1          0.000000558794 
471        I2         2     16         1          50         1          0.000000454485 
472        I2         2     16         1          50         1          0.000000484288 
473        I2         2     16         1          50         1          0.000000491738 
474        I2         2     16         1          50         1          0.000000648201 
475        I2         2     16         1          50         1          0.000000424683 
476        I2         2     16         1          50         1          0.000000499189 
477        I2         2     16         1          50         1          0.000000566244 
478        I2         2     16         1          50         1          0.000000514090 
479        I2         2     16         1          50         1          0.000000640750 
480        I2         2     16         1          50         1          0.000000588596 
481        I2         2     16         1          50         1          0.000000528991 
482        I2         2     16         1          50         1          0.000000551343 
483        I2         2     16         1          50         1          0.000000528991 
484        I2         2     16         1          50         1          0.000000581145 
485        I2         2     16         1          50         1          0.000000484288 
486        I2         2     16         1          50         1          0.000000461936 
487        I2         2     16         1          50         1          0.000000454485 
488        I2         2     16         1          50         1          0.000000469387 
489        I2         2     16         1          50         1          0.000000730157 
490        I2         2     16         1          50         1          0.000000454485 
491        I2         2     16         1          50         1          0.000000573695 
492        I2         2     16         1          50         1          0.000000655651 
493        I2         2     16         1          50         1          0.000000476837 
494        I2         2     16         1          50         1          0.000000528991 
495        I2         2     16         1          50         1          0.000000499189 
496        I2         2     16         1          50         1          0.000000596046 
497        I2         2     16         1          50         1          0.000000566244 
498        I2         2     16         1          50         1          0.000000491738 
499        I2         2     16         1          50         1          0.000000499189 
500        I2         2     16         1          50         1          0.000000484288 
501        I2         2     16         1          50         1          0.000000566244 
502        I2         2     32         1          50         1          0.000001192093 
503        I2         2     32         1          50         1          0.000003010035 
504        I2         2     32         1          50         1          0.000002630055 
505        I2         2     32         1          50         1          0.000002190471 
506        I2         2     32         1          50         1          0.000002436340 
507        I2         2     32         1          50         1          0.000003270805 
508        I2         2     32         1          50         1          0.000002197921 
509        I2         2     32         1          50         1          0.000002309680 
510        I2         2     32         1          50         1          0.000003010035 
511        I2         2     32         1          50         1          0.000002220273 
512        I2         2     32         1          50         1          0.000002354383 
513        I2         2     32         1          50         1          0.000003077090 
514        I2         2     32         1          50         1          0.000002115965 
515        I2         2     32         1          50         1          0.000002302229 
516        I2         2     32         1          50         1          0.000002913177 
517        I2         2     32         1          50         1          0.000002153218 
518        I2         2     32         1          50         1          0.000002384186 
519        I2         2     32         1          50         1          0.000002749264 
520        I2         2     32         1          50         1          0.000002548099 
521        I2         2     32         1          50         1          0.000002317131 
522        I2         2     32         1          50         1          0.000003434718 
523        I2         2     32         1          50         1          0.000002391636 
524        I2         2     32         1          50         1          0.000002250075 
525        I2         2     32         1          50         1          0.000002168119 
526        I2         2     32         1          50         1          0.000003330410 
527        I2         2     32         1          50         1          0.000002279878 
528        I2         2     32         1          50         1          0.000002160668 
529        I2         2     32         1          50         1          0.000003032386 
530        I2         2     32         1          50         1          0.000002138317 
531        I2         2     32         1          50         1          0.000002108514 
532        I2         2     32         1          50         1          0.000002846122 
533        I2         2     32         1          50         1          0.000002205372 
534        I2         2     32         1          50         1          0.000002250075 
535        I2         2     32         1          50         1          0.000002898276 
536        I2         2     32         1          50         1          0.000002279878 
537        I2         2     32         1          50         1          0.000002078712 
538        I2         2     32         1          50         1          0.000002786517 
539        I2         2     32         1          50         1          0.000002563000 
540        I2         2     32         1          50         1          0.000002197921 
541        I2         2     32         1          50         1          0.000002540648 
542        I2         2     32         1          50         1          0.000002741814 
543        I2         2     32         1          50         1          0.000002458692 
544        I2         2     32         1          50         1          0.000002369285 
545        I2         2     32         1          50         1          0.000003129244 
546        I2         2     32         1          50         1          0.000002346933 
547        I2         2     32         1          50         1          0.000002495944 
548        I2         2     32         1          50         1          0.000002905726 
549        I2         2     32         1          50         1          0.000002019107 
550        I2         2     32         1          50         1          0.000003084540 
551        I2         2     32         1          50         1          0.000002197921 
552        I2         2     64         1          50         1          0.000003255904 
553        I2         2     64         1          50         1          0.000005461276 
554        I2         2     64         1          50         1          0.000004425645 
555        I2         2     64         1          50         1          0.000003837049 
556        I2         2     64         1          50         1          0.000005014241 
557        I2         2     64         1          50         1          0.000004015863 
558        I2         2     64         1          50         1          0.000004336238 
559        I2         2     64         1          50         1          0.000004962087 
560        I2         2     64         1          50         1          0.000003993511 
561        I2         2     64         1          50         1          0.000005364418 
562        I2         2     64         1          50         1          0.000004477799 
563        I2         2     64         1          50         1          0.000004410744 
564        I2         2     64         1          50         1          0.000004075468 
565        I2         2     64         1          50         1          0.000005617738 
566        I2         2     64         1          50         1          0.000005424023 
567        I2         2     64         1          50         1          0.000004172325 
568        I2         2     64         1          50         1          0.000004060566 
569        I2         2     64         1          50         1          0.000006221235 
570        I2         2     64         1          50         1          0.000004172325 
571        I2         2     64         1          50         1          0.000004045665 
572        I2         2     64         1          50         1          0.000004753470 
573        I2         2     64         1          50         1          0.000004515052 
574        I2         2     64         1          50         1          0.000004380941 
575        I2         2     64         1          50         1          0.000005424023 
576        I2         2     64         1          50         1          0.000003866851 
577        I2         2     64         1          50         1          0.000003650784 
578        I2         2     64         1          50         1          0.000005908310 
579        I2         2     64         1          50         1          0.000003971159 
580        I2         2     64         1          50         1          0.000003769994 
581        I2         2     64         1          50         1          0.000004641712 
582        I2         2     64         1          50         1          0.000004291534 
583        I2         2     64         1          50         1          0.000003829598 
584        I2         2     64         1          50         1          0.000005178154 
585        I2         2     64         1          50         1          0.000003799796 
586        I2         2     64         1          50         1          0.000003501773 
587        I2         2     64         1          50         1          0.000005163252 
588        I2         2     64         1          50         1          0.000003978610 
589        I2         2     64         1          50         1          0.000004075468 
590        I2         2     64         1          50         1          0.000004649162 
591        I2         2     64         1          50         1          0.000003971159 
592        I2         2     64         1          50         1          0.000003665686 
593        I2         2     64         1          50         1          0.000006295741 
594        I2         2     64         1          50         1          0.000004023314 
595        I2         2     64         1          50         1          0.000003680587 
596        I2         2     64         1          50         1          0.000004343688 
597        I2         2     64         1          50         1          0.000003978610 
598        I2         2     64         1          50         1          0.000003561378 
599        I2         2     64         1          50         1          0.000006124377 
600        I2         2     64         1          50         1          0.000004984438 
601        I2         2     64         1          50         1          0.000003769994 
602        I2         2     128        1          50         1          0.000011704862 
603        I2         2     128        1          50         1          0.000015057623 
604        I2         2     128        1          50         1          0.000018216670 
605        I2         2     128        1          50         1          0.000014767051 
606        I2         2     128        1          50         1          0.000014521182 
607        I2         2     128        1          50         1          0.000021331012 
608        I2         2     128        1          50         1          0.000014439225 
609        I2         2     128        1          50         1          0.000016003847 
610        I2         2     128        1          50         1          0.000022314489 
611        I2         2     128        1          50         1          0.000015296042 
612        I2         2     128        1          50         1          0.000016018748 
613        I2         2     128        1          50         1          0.000022374094 
614        I2         2     128        1          50         1          0.000015199184 
615        I2         2     128        1          50         1          0.000016361475 
616        I2         2     128        1          50         1          0.000021912158 
617        I2         2     128        1          50         1          0.000015862286 
618        I2         2     128        1          50         1          0.000015735626 
619        I2         2     128        1          50         1          0.000021807849 
620        I2         2     128        1          50         1          0.000014021993 
621        I2         2     128        1          50         1          0.000015787780 
622        I2         2     128        1          50         1          0.000020578504 
623        I2         2     128        1          50         1          0.000015094876 
624        I2         2     128        1          50         1          0.000014871359 
625        I2         2     128        1          50         1          0.000018067658 
626        I2         2     128        1          50         1          0.000016346574 
627        I2         2     128        1          50         1          0.000022627413 
628        I2         2     128        1          50         1          0.000021196902 
629        I2         2     128        1          50         1          0.000015474856 
630        I2         2     128        1          50         1          0.000022813678 
631        I2         2     128        1          50         1          0.000015445054 
632        I2         2     128        1          50         1          0.000015348196 
633        I2         2     128        1          50         1          0.000022083521 
634        I2         2     128        1          50         1          0.000014424324 
635        I2         2     128        1          50         1          0.000015288591 
636        I2         2     128        1          50         1          0.000021025538 
637        I2         2     128        1          50         1          0.000013947487 
638        I2         2     128        1          50         1          0.000017412007 
639        I2         2     128        1          50         1          0.000022456050 
640        I2         2     128        1          50         1          0.000013947487 
641        I2         2     128        1          50         1          0.000015757978 
642        I2         2     128        1          50         1          0.000021420419 
643        I2         2     128        1          50         1          0.000013783574 
644        I2         2     128        1          50         1          0.000016078353 
645        I2         2     128        1          50         1          0.000021398067 
646        I2         2     128        1          50         1          0.000014625490 
647        I2         2     128        1          50         1          0.000015482306 
648        I2         2     128        1          50         1          0.000021949410 
649        I2         2     128        1          50         1          0.000014416873 
650        I2         2     128        1          50         1          0.000016331673 
651        I2         2     128        1          50         1          0.000021412969 
652        I2         2     256        1          50         1          0.000056609511 
653        I2         2     256        1          50         1          0.000045798719 
654        I2         2     256        1          50         1          0.000071659684 
655        I2         2     256        1          50         1          0.000058338046 
656        I2         2     256        1          50         1          0.000092722476 
657        I2         2     256        1          50         1          0.000063702464 
658        I2         2     256        1          50         1          0.000064343214 
659        I2         2     256        1          50         1          0.000097170472 
660        I2         2     256        1          50         1          0.000066287816 
661        I2         2     256        1          50         1          0.000069767237 
662        I2         2     256        1          50         1          0.000061750412 
663        I2         2     256        1          50         1          0.000089302659 
664        I2         2     256        1          50         1          0.000064477324 
665        I2         2     256        1          50         1          0.000066667795 
666        I2         2     256        1          50         1          0.000088065863 
667        I2         2     256        1          50         1          0.000071890652 
668        I2         2     256        1          50         1          0.000069156289 
669        I2         2     256        1          50         1          0.000060349703 
670        I2         2     256        1          50         1          0.000089064240 
671        I2         2     256        1          50         1          0.000068254769 
672        I2         2     256        1          50         1          0.000064373016 
673        I2         2     256        1          50         1          0.000087752938 
674        I2         2     256        1          50         1          0.000065572560 
675        I2         2     256        1          50         1          0.000073522329 
676        I2         2     256        1          50         1          0.000088088214 
677        I2         2     256        1          50         1          0.000064097345 
678        I2         2     256        1          50         1          0.000069677830 
679        I2         2     256        1          50         1          0.000093497336 
680        I2         2     256        1          50         1          0.000064373016 
681        I2         2     256        1          50         1          0.000069670379 
682        I2         2     256        1          50         1          0.000087969005 
683        I2         2     256        1          50         1          0.000064380467 
684        I2         2     256        1          50         1          0.000068925321 
685        I2         2     256        1          50         1          0.000092886388 
686        I2         2     256        1          50         1          0.000061959028 
687        I2         2     256        1          50         1          0.000066600740 
688        I2         2     256        1          50         1          0.000092491508 
689        I2         2     256        1          50         1          0.000062942505 
690        I2         2     256        1          50         1          0.000071480870 
691        I2         2     256        1          50         1          0.000088833272 
692        I2         2     256        1          50         1          0.000063978136 
693        I2         2     256        1          50         1          0.000068560243 
694        I2         2     256        1          50         1          0.000089168549 
695        I2         2     256        1          50         1          0.000064454973 
696        I2         2     256        1          50         1          0.000069327652 
697        I2         2     256        1          50         1          0.000058889389 
698        I2         2     256        1          50         1          0.000091679394 
699        I2         2     256        1          50         1          0.000060960650 
700        I2         2     256        1          50         1          0.000066101551 
701        I2         2     256        1          50         1          0.000087596476 
702        I2         2     512        1          50         1          0.000207677484 
703        I2         2     512        1          50         1          0.000208407640 
704        I2         2     512        1          50         1          0.000202707946 
705        I2         2     512        1          50         1          0.000200755894 
706        I2         2     512        1          50         1          0.000214412808 
707        I2         2     512        1          50         1          0.000205062330 
708        I2         2     512        1          50         1          0.000204339623 
709        I2         2     512        1          50         1          0.000207222998 
710        I2         2     512        1          50         1          0.000202722847 
711        I2         2     512        1          50         1          0.000198937953 
712        I2         2     512        1          50         1          0.000203691423 
713        I2         2     512        1          50         1          0.000215105712 
714        I2         2     512        1          50         1          0.000210456550 
715        I2         2     512        1          50         1          0.000212475657 
716        I2         2     512        1          50         1          0.000213697553 
717        I2         2     512        1          50         1          0.000203408301 
718        I2         2     512        1          50         1          0.000201240182 
719        I2         2     512        1          50         1          0.000202253461 
720        I2         2     512        1          50         1          0.000204779208 
721        I2         2     512        1          50         1          0.000201150775 
722        I2         2     512        1          50         1          0.000208623707 
723        I2         2     512        1          50         1          0.000201717019 
