N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
18902      OMPGLBBB   7     16         1          50         1          0.000002875924 
18903      OMPGLBBB   7     16         1          50         1          0.000003576279 
18904      OMPGLBBB   7     16         1          50         1          0.000003039837 
18905      OMPGLBBB   7     16         1          50         1          0.000003024936 
18906      OMPGLBBB   7     16         1          50         1          0.000003010035 
18907      OMPGLBBB   7     16         1          50         1          0.000003032386 
18908      OMPGLBBB   7     16         1          50         1          0.000003032386 
18909      OMPGLBBB   7     16         1          50         1          0.000010415912 
18910      OMPGLBBB   7     16         1          50         1          0.000002942979 
18911      OMPGLBBB   7     16         1          50         1          0.000003047287 
18912      OMPGLBBB   7     16         1          50         1          0.000002987683 
18913      OMPGLBBB   7     16         1          50         1          0.000003054738 
18914      OMPGLBBB   7     16         1          50         1          0.000010855496 
18915      OMPGLBBB   7     16         1          50         1          0.000002995133 
18916      OMPGLBBB   7     16         1          50         1          0.000003010035 
18917      OMPGLBBB   7     16         1          50         1          0.000002935529 
18918      OMPGLBBB   7     16         1          50         1          0.000002957880 
18919      OMPGLBBB   7     16         1          50         1          0.000003114343 
18920      OMPGLBBB   7     16         1          50         1          0.000003047287 
18921      OMPGLBBB   7     16         1          50         1          0.000002957880 
18922      OMPGLBBB   7     16         1          50         1          0.000003010035 
18923      OMPGLBBB   7     16         1          50         1          0.000002987683 
18924      OMPGLBBB   7     16         1          50         1          0.000002987683 
18925      OMPGLBBB   7     16         1          50         1          0.000003121793 
18926      OMPGLBBB   7     16         1          50         1          0.000003047287 
18927      OMPGLBBB   7     16         1          50         1          0.000002972782 
18928      OMPGLBBB   7     16         1          50         1          0.000003062189 
18929      OMPGLBBB   7     16         1          50         1          0.000002995133 
18930      OMPGLBBB   7     16         1          50         1          0.000003032386 
18931      OMPGLBBB   7     16         1          50         1          0.000003002584 
18932      OMPGLBBB   7     16         1          50         1          0.000002972782 
18933      OMPGLBBB   7     16         1          50         1          0.000002972782 
