N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        R2         3     16         1          25         1          0.000001084059  0.000000975654  0.90       90.00     %
102        R2         3     32         1          25         1          0.000002698228  0.000003175810  1.18       117.70    %
103        R2         3     64         1          25         1          0.000007724389  0.000011002645  1.42       142.44    %
104        R2         3     128        1          25         1          0.000015003979  0.000048556924  3.24       323.63    %
105        R2         3     256        1          25         1          0.000063978136  0.000219093263  3.42       342.45    %
106        R2         3     512        1          25         1          0.000186214224  0.000700453296  3.76       376.15    %
107        R2         3     1024       1          25         1          0.000727974996  0.003146624938  4.32       432.24    %
108        R2         3     2048       1          25         1          0.009313388914  0.025994496420  2.79       279.11    %
109        R2         3     4096       1          25         1          0.048276271299  0.121359904483  2.51       251.39    %
110        R2M        3     16         1          25         1          0.000001055375  0.000000975654  0.92       92.45     %
111        R2M        3     32         1          25         1          0.000001943484  0.000003175810  1.63       163.41    %
112        R2M        3     64         1          25         1          0.000006309152  0.000011002645  1.74       174.39    %
113        R2M        3     128        1          25         1          0.000017219782  0.000048556924  2.82       281.98    %
114        R2M        3     256        1          25         1          0.000064448640  0.000219093263  3.40       339.95    %
115        R2M        3     512        1          25         1          0.000184889883  0.000700453296  3.79       378.85    %
116        R2M        3     1024       1          25         1          0.000729572400  0.003146624938  4.31       431.30    %
117        R2M        3     2048       1          25         1          0.009012075141  0.025994496420  2.88       288.44    %
118        R2M        3     4096       1          25         1          0.047083191201  0.121359904483  2.58       257.76    %
119        R2FTV      3     16         1          25         1          0.000001036003  0.000000975654  0.94       94.17     %
120        R2FTV      3     32         1          25         1          0.000002268329  0.000003175810  1.40       140.01    %
121        R2FTV      3     64         1          25         1          0.000008644909  0.000011002645  1.27       127.27    %
122        R2FTV      3     128        1          25         1          0.000015204027  0.000048556924  3.19       319.37    %
123        R2FTV      3     256        1          25         1          0.000064939260  0.000219093263  3.37       337.38    %
124        R2FTV      3     512        1          25         1          0.000185368210  0.000700453296  3.78       377.87    %
125        R2FTV      3     1024       1          25         1          0.000731592625  0.003146624938  4.30       430.11    %
126        R2FTV      3     2048       1          25         1          0.009033015743  0.025994496420  2.88       287.77    %
127        R2FTV      3     4096       1          25         1          0.048209806532  0.121359904483  2.52       251.73    %
128        R2FUN      3     16         1          25         1          0.000001128018  0.000000975654  0.86       86.49     %
129        R2FUN      3     32         1          25         1          0.000002602488  0.000003175810  1.22       122.03    %
130        R2FUN      3     64         1          25         1          0.000006513670  0.000011002645  1.69       168.92    %
131        R2FUN      3     128        1          25         1          0.000015117973  0.000048556924  3.21       321.19    %
132        R2FUN      3     256        1          25         1          0.000063843653  0.000219093263  3.43       343.17    %
133        R2FUN      3     512        1          25         1          0.000174081326  0.000700453296  4.02       402.37    %
134        R2FUN      3     1024       1          25         1          0.000682347268  0.003146624938  4.61       461.15    %
135        R2FUN      3     2048       1          25         1          0.008773679659  0.025994496420  2.96       296.28    %
136        R2FUN      3     4096       1          25         1          0.049578349665  0.121359904483  2.45       244.78    %
137        R2PLA      3     16         1          25         1          0.000001066923  0.000000975654  0.91       91.45     %
138        R2PLA      3     32         1          25         1          0.000001995638  0.000003175810  1.59       159.14    %
139        R2PLA      3     64         1          25         1          0.000007366017  0.000011002645  1.49       149.37    %
140        R2PLA      3     128        1          25         1          0.000014905632  0.000048556924  3.26       325.76    %
141        R2PLA      3     256        1          25         1          0.000065528601  0.000219093263  3.34       334.35    %
142        R2PLA      3     512        1          25         1          0.000186787918  0.000700453296  3.75       375.00    %
143        R2PLA      3     1024       1          25         1          0.000730893388  0.003146624938  4.31       430.52    %
144        R2PLA      3     2048       1          25         1          0.008996320888  0.025994496420  2.89       288.95    %
145        R2PLA      3     4096       1          25         1          0.048671769351  0.121359904483  2.49       249.34    %
146        R2FTVFUN   3     16         1          25         1          0.000000850856  0.000000975654  1.15       114.67    %
147        R2FTVFUN   3     32         1          25         1          0.000002214313  0.000003175810  1.43       143.42    %
148        R2FTVFUN   3     64         1          25         1          0.000005326420  0.000011002645  2.07       206.57    %
149        R2FTVFUN   3     128        1          25         1          0.000017753989  0.000048556924  2.73       273.50    %
150        R2FTVFUN   3     256        1          25         1          0.000061485916  0.000219093263  3.56       356.33    %
151        R2FTVFUN   3     512        1          25         1          0.000173961744  0.000700453296  4.03       402.65    %
152        R2FTVFUN   3     1024       1          25         1          0.000679035857  0.003146624938  4.63       463.40    %
153        R2FTVFUN   3     2048       1          25         1          0.008870109543  0.025994496420  2.93       293.06    %
154        R2FTVFUN   3     4096       1          25         1          0.047711993381  0.121359904483  2.54       254.36    %
155        R2FM       3     16         1          25         1          0.000001081452  0.000000975654  0.90       90.22     %
156        R2FM       3     32         1          25         1          0.000002453849  0.000003175810  1.29       129.42    %
157        R2FM       3     64         1          25         1          0.000005154684  0.000011002645  2.13       213.45    %
158        R2FM       3     128        1          25         1          0.000015375391  0.000048556924  3.16       315.81    %
159        R2FM       3     256        1          25         1          0.000064602122  0.000219093263  3.39       339.14    %
160        R2FM       3     512        1          25         1          0.000185442716  0.000700453296  3.78       377.72    %
161        R2FM       3     1024       1          25         1          0.000729036331  0.003146624938  4.32       431.61    %
162        R2FM       3     2048       1          25         1          0.009339603037  0.025994496420  2.78       278.33    %
163        R2FM       3     4096       1          25         1          0.051763227209  0.121359904483  2.34       234.45    %
