N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
317        OMPLOCBB   6     16         1          25         1          0.000007539988  0.000000975654  0.13       12.94     %
318        OMPLOCBB   6     16         1          25         2          0.000017235056  0.000000975654  0.06       2.83      %
319        OMPLOCBB   6     16         1          25         4          0.000024076551  0.000000975654  0.04       1.01      %
320        OMPLOCBB   6     16         1          25         8          0.000027722865  0.000000975654  0.04       0.44      %
321        OMPLOCBB   6     16         1          25         16         0.000037821382  0.000000975654  0.03       0.16      %
322        OMPLOCBB   6     16         1          25         32         0.000083347037  0.000000975654  0.01       0.04      %
323        OMPLOCBB   6     16         1          25         64         0.001068729907  0.000000975654  0.00       0.00      %
324        OMPLOCBB   6     32         1          25         1          0.000011313707  0.000003175810  0.28       28.07     %
325        OMPLOCBB   6     32         1          25         2          0.000018818676  0.000003175810  0.17       8.44      %
326        OMPLOCBB   6     32         1          25         4          0.000024325773  0.000003175810  0.13       3.26      %
327        OMPLOCBB   6     32         1          25         8          0.000029517710  0.000003175810  0.11       1.34      %
328        OMPLOCBB   6     32         1          25         16         0.000037721545  0.000003175810  0.08       0.53      %
329        OMPLOCBB   6     32         1          25         32         0.000080857426  0.000003175810  0.04       0.12      %
330        OMPLOCBB   6     32         1          25         64         0.001070997119  0.000003175810  0.00       0.00      %
331        OMPLOCBB   6     64         1          25         1          0.000008562580  0.000011002645  1.28       128.50    %
332        OMPLOCBB   6     64         1          25         2          0.000020151958  0.000011002645  0.55       27.30     %
333        OMPLOCBB   6     64         1          25         4          0.000028825924  0.000011002645  0.38       9.54      %
334        OMPLOCBB   6     64         1          25         8          0.000030570105  0.000011002645  0.36       4.50      %
335        OMPLOCBB   6     64         1          25         16         0.000039984286  0.000011002645  0.28       1.72      %
336        OMPLOCBB   6     64         1          25         32         0.000081534311  0.000011002645  0.13       0.42      %
337        OMPLOCBB   6     64         1          25         64         0.001018876955  0.000011002645  0.01       0.02      %
338        OMPLOCBB   6     128        1          25         1          0.000015974045  0.000048556924  3.04       303.97    %
339        OMPLOCBB   6     128        1          25         2          0.000030723587  0.000048556924  1.58       79.02     %
340        OMPLOCBB   6     128        1          25         4          0.000029949844  0.000048556924  1.62       40.53     %
341        OMPLOCBB   6     128        1          25         8          0.000035920739  0.000048556924  1.35       16.90     %
342        OMPLOCBB   6     128        1          25         16         0.000044072047  0.000048556924  1.10       6.89      %
343        OMPLOCBB   6     128        1          25         32         0.000085398555  0.000048556924  0.57       1.78      %
344        OMPLOCBB   6     128        1          25         64         0.000889697671  0.000048556924  0.05       0.09      %
345        OMPLOCBB   6     256        1          25         1          0.000050243735  0.000219093263  4.36       436.06    %
346        OMPLOCBB   6     256        1          25         2          0.000072108209  0.000219093263  3.04       151.92    %
347        OMPLOCBB   6     256        1          25         4          0.000049858540  0.000219093263  4.39       109.86    %
348        OMPLOCBB   6     256        1          25         8          0.000048437342  0.000219093263  4.52       56.54     %
349        OMPLOCBB   6     256        1          25         16         0.000052296743  0.000219093263  4.19       26.18     %
350        OMPLOCBB   6     256        1          25         32         0.000090057030  0.000219093263  2.43       7.60      %
351        OMPLOCBB   6     256        1          25         64         0.000964664668  0.000219093263  0.23       0.35      %
352        OMPLOCBB   6     512        1          25         1          0.000212626904  0.000700453296  3.29       329.43    %
