N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
6302       OMPGLBWS   5     16         1          25         1          0.000009320676 
6303       OMPGLBWS   5     16         1          25         1          0.000009603798 
6304       OMPGLBWS   5     16         1          25         1          0.000009670854 
6305       OMPGLBWS   5     16         1          25         1          0.000003527850 
6306       OMPGLBWS   5     16         1          25         1          0.000009521842 
6307       OMPGLBWS   5     16         1          25         1          0.000009693205 
6308       OMPGLBWS   5     16         1          25         1          0.000003539026 
6309       OMPGLBWS   5     16         1          25         1          0.000009737909 
6310       OMPGLBWS   5     16         1          25         1          0.000003527850 
6311       OMPGLBWS   5     16         1          25         1          0.000009771436 
6312       OMPGLBWS   5     16         1          25         1          0.000009819865 
6313       OMPGLBWS   5     16         1          25         1          0.000003550202 
6314       OMPGLBWS   5     16         1          25         1          0.000003561378 
6315       OMPGLBWS   5     16         1          25         1          0.000003617257 
6316       OMPGLBWS   5     16         1          25         1          0.000009667128 
6317       OMPGLBWS   5     16         1          25         1          0.000009667128 
6318       OMPGLBWS   5     16         1          25         1          0.000009618700 
6319       OMPGLBWS   5     16         1          25         1          0.000009663403 
6320       OMPGLBWS   5     16         1          25         1          0.000003576279 
6321       OMPGLBWS   5     16         1          25         1          0.000003512949 
6322       OMPGLBWS   5     16         1          25         1          0.000003572553 
6323       OMPGLBWS   5     16         1          25         1          0.000009540468 
6324       OMPGLBWS   5     16         1          25         1          0.000003542751 
6325       OMPGLBWS   5     16         1          25         1          0.000003639609 
6326       OMPGLBWS   5     16         1          25         1          0.000009540468 
6327       OMPGLBWS   5     16         1          25         2          0.000014230609 
6328       OMPGLBWS   5     16         1          25         2          0.000020820647 
6329       OMPGLBWS   5     16         1          25         2          0.000018682331 
6330       OMPGLBWS   5     16         1          25         2          0.000011693686 
6331       OMPGLBWS   5     16         1          25         2          0.000017534941 
6332       OMPGLBWS   5     16         1          25         2          0.000018045306 
6333       OMPGLBWS   5     16         1          25         2          0.000017877668 
6334       OMPGLBWS   5     16         1          25         2          0.000011540949 
6335       OMPGLBWS   5     16         1          25         2          0.000011309981 
6336       OMPGLBWS   5     16         1          25         2          0.000017963350 
6337       OMPGLBWS   5     16         1          25         2          0.000012092292 
6338       OMPGLBWS   5     16         1          25         2          0.000018671155 
6339       OMPGLBWS   5     16         1          25         2          0.000011838973 
6340       OMPGLBWS   5     16         1          25         2          0.000018049031 
6341       OMPGLBWS   5     16         1          25         2          0.000012230128 
6342       OMPGLBWS   5     16         1          25         2          0.000018086284 
6343       OMPGLBWS   5     16         1          25         2          0.000012502074 
6344       OMPGLBWS   5     16         1          25         2          0.000012114644 
6345       OMPGLBWS   5     16         1          25         2          0.000012140721 
6346       OMPGLBWS   5     16         1          25         2          0.000012118369 
6347       OMPGLBWS   5     16         1          25         2          0.000018164515 
6348       OMPGLBWS   5     16         1          25         2          0.000018067658 
6349       OMPGLBWS   5     16         1          25         2          0.000012066215 
6350       OMPGLBWS   5     16         1          25         2          0.000013273209 
6351       OMPGLBWS   5     16         1          25         2          0.000012189150 
6352       OMPGLBWS   5     16         1          25         4          0.000009585172 
6353       OMPGLBWS   5     16         1          25         4          0.000020015985 
6354       OMPGLBWS   5     16         1          25         4          0.000018201768 
6355       OMPGLBWS   5     16         1          25         4          0.000030364841 
6356       OMPGLBWS   5     16         1          25         4          0.000030077994 
6357       OMPGLBWS   5     16         1          25         4          0.000017605722 
6358       OMPGLBWS   5     16         1          25         4          0.000017344952 
6359       OMPGLBWS   5     16         1          25         4          0.000029206276 
6360       OMPGLBWS   5     16         1          25         4          0.000017933547 
6361       OMPGLBWS   5     16         1          25         4          0.000030066818 
6362       OMPGLBWS   5     16         1          25         4          0.000029340386 
