N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4727       OMPLOCWS   4     16         1          25         1          0.000013321638 
4728       OMPLOCWS   4     16         1          25         1          0.000011544675 
4729       OMPLOCWS   4     16         1          25         1          0.000004041940 
4730       OMPLOCWS   4     16         1          25         1          0.000004105270 
4731       OMPLOCWS   4     16         1          25         1          0.000004082918 
4732       OMPLOCWS   4     16         1          25         1          0.000004071742 
4733       OMPLOCWS   4     16         1          25         1          0.000004135072 
4734       OMPLOCWS   4     16         1          25         1          0.000004194677 
4735       OMPLOCWS   4     16         1          25         1          0.000004090369 
4736       OMPLOCWS   4     16         1          25         1          0.000004015863 
4737       OMPLOCWS   4     16         1          25         1          0.000004049391 
4738       OMPLOCWS   4     16         1          25         1          0.000011082739 
4739       OMPLOCWS   4     16         1          25         1          0.000004056841 
4740       OMPLOCWS   4     16         1          25         1          0.000004097819 
4741       OMPLOCWS   4     16         1          25         1          0.000011406839 
4742       OMPLOCWS   4     16         1          25         1          0.000011477619 
4743       OMPLOCWS   4     16         1          25         1          0.000011328608 
4744       OMPLOCWS   4     16         1          25         1          0.000011432916 
4745       OMPLOCWS   4     16         1          25         1          0.000004060566 
4746       OMPLOCWS   4     16         1          25         1          0.000011350960 
4747       OMPLOCWS   4     16         1          25         1          0.000011317432 
4748       OMPLOCWS   4     16         1          25         1          0.000011458993 
4749       OMPLOCWS   4     16         1          25         1          0.000011324883 
4750       OMPLOCWS   4     16         1          25         1          0.000004056841 
4751       OMPLOCWS   4     16         1          25         1          0.000004030764 
4752       OMPLOCWS   4     16         1          25         2          0.000018708408 
4753       OMPLOCWS   4     16         1          25         2          0.000023618340 
4754       OMPLOCWS   4     16         1          25         2          0.000014320016 
4755       OMPLOCWS   4     16         1          25         2          0.000014360994 
4756       OMPLOCWS   4     16         1          25         2          0.000020626932 
4757       OMPLOCWS   4     16         1          25         2          0.000016082078 
4758       OMPLOCWS   4     16         1          25         2          0.000014372170 
4759       OMPLOCWS   4     16         1          25         2          0.000014156103 
4760       OMPLOCWS   4     16         1          25         2          0.000019490719 
4761       OMPLOCWS   4     16         1          25         2          0.000013694167 
4762       OMPLOCWS   4     16         1          25         2          0.000018838793 
4763       OMPLOCWS   4     16         1          25         2          0.000013250858 
4764       OMPLOCWS   4     16         1          25         2          0.000014111400 
4765       OMPLOCWS   4     16         1          25         2          0.000013384968 
4766       OMPLOCWS   4     16         1          25         2          0.000020895153 
4767       OMPLOCWS   4     16         1          25         2          0.000021077693 
4768       OMPLOCWS   4     16         1          25         2          0.000019706786 
4769       OMPLOCWS   4     16         1          25         2          0.000013794750 
4770       OMPLOCWS   4     16         1          25         2          0.000019863248 
4771       OMPLOCWS   4     16         1          25         2          0.000013660640 
4772       OMPLOCWS   4     16         1          25         2          0.000019706786 
4773       OMPLOCWS   4     16         1          25         2          0.000019360334 
4774       OMPLOCWS   4     16         1          25         2          0.000012952834 
4775       OMPLOCWS   4     16         1          25         2          0.000019241124 
4776       OMPLOCWS   4     16         1          25         2          0.000013705343 
4777       OMPLOCWS   4     16         1          25         4          0.000019554049 
4778       OMPLOCWS   4     16         1          25         4          0.000034675002 
4779       OMPLOCWS   4     16         1          25         4          0.000030923635 
4780       OMPLOCWS   4     16         1          25         4          0.000030770898 
4781       OMPLOCWS   4     16         1          25         4          0.000032145530 
4782       OMPLOCWS   4     16         1          25         4          0.000021040440 
4783       OMPLOCWS   4     16         1          25         4          0.000020314008 
4784       OMPLOCWS   4     16         1          25         4          0.000031314790 
