N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000001039356 
3          SO0        1     16         1          25         1          0.000000976026 
4          SO0        1     16         1          25         1          0.000000957400 
5          SO0        1     16         1          25         1          0.000001061708 
6          SO0        1     16         1          25         1          0.000000957400 
7          SO0        1     16         1          25         1          0.000000972301 
8          SO0        1     16         1          25         1          0.000001017004 
9          SO0        1     16         1          25         1          0.000001039356 
10         SO0        1     16         1          25         1          0.000000964850 
11         SO0        1     16         1          25         1          0.000000968575 
12         SO0        1     16         1          25         1          0.000000946224 
13         SO0        1     16         1          25         1          0.000000961125 
14         SO0        1     16         1          25         1          0.000000994653 
15         SO0        1     16         1          25         1          0.000001009554 
16         SO0        1     16         1          25         1          0.000000976026 
17         SO0        1     16         1          25         1          0.000000864267 
18         SO0        1     16         1          25         1          0.000000957400 
19         SO0        1     16         1          25         1          0.000000957400 
20         SO0        1     16         1          25         1          0.000000968575 
21         SO0        1     16         1          25         1          0.000001009554 
22         SO0        1     16         1          25         1          0.000000990927 
23         SO0        1     16         1          25         1          0.000001005828 
24         SO0        1     16         1          25         1          0.000000979751 
25         SO0        1     16         1          25         1          0.000000990927 
26         SO0        1     16         1          25         1          0.000000968575 
27         SO0        1     32         1          25         1          0.000003576279 
28         SO0        1     32         1          25         1          0.000003278255 
29         SO0        1     32         1          25         1          0.000003200024 
30         SO0        1     32         1          25         1          0.000002857298 
31         SO0        1     32         1          25         1          0.000003162771 
32         SO0        1     32         1          25         1          0.000003181398 
33         SO0        1     32         1          25         1          0.000003181398 
34         SO0        1     32         1          25         1          0.000003274530 
35         SO0        1     32         1          25         1          0.000003185123 
36         SO0        1     32         1          25         1          0.000003024936 
37         SO0        1     32         1          25         1          0.000003166497 
38         SO0        1     32         1          25         1          0.000003289431 
39         SO0        1     32         1          25         1          0.000002872199 
40         SO0        1     32         1          25         1          0.000003151596 
41         SO0        1     32         1          25         1          0.000003542751 
42         SO0        1     32         1          25         1          0.000003099442 
43         SO0        1     32         1          25         1          0.000003155321 
44         SO0        1     32         1          25         1          0.000003207475 
45         SO0        1     32         1          25         1          0.000002861023 
46         SO0        1     32         1          25         1          0.000003252178 
47         SO0        1     32         1          25         1          0.000003203750 
48         SO0        1     32         1          25         1          0.000003162771 
49         SO0        1     32         1          25         1          0.000003170222 
50         SO0        1     32         1          25         1          0.000003192574 
51         SO0        1     32         1          25         1          0.000002846122 
52         SO0        1     64         1          25         1          0.000010531396 
53         SO0        1     64         1          25         1          0.000011153519 
54         SO0        1     64         1          25         1          0.000011362135 
55         SO0        1     64         1          25         1          0.000010024756 
56         SO0        1     64         1          25         1          0.000011090189 
57         SO0        1     64         1          25         1          0.000011857599 
58         SO0        1     64         1          25         1          0.000010326505 
59         SO0        1     64         1          25         1          0.000010911375 
60         SO0        1     64         1          25         1          0.000011041760 
61         SO0        1     64         1          25         1          0.000010497868 
62         SO0        1     64         1          25         1          0.000010821968 
63         SO0        1     64         1          25         1          0.000011131167 
64         SO0        1     64         1          25         1          0.000010222197 
65         SO0        1     64         1          25         1          0.000011146069 
66         SO0        1     64         1          25         1          0.000011943281 
67         SO0        1     64         1          25         1          0.000011123717 
68         SO0        1     64         1          25         1          0.000010870397 
69         SO0        1     64         1          25         1          0.000011112541 
70         SO0        1     64         1          25         1          0.000011056662 
71         SO0        1     64         1          25         1          0.000010918826 
72         SO0        1     64         1          25         1          0.000012163073 
73         SO0        1     64         1          25         1          0.000010091811 
74         SO0        1     64         1          25         1          0.000011079013 
75         SO0        1     64         1          25         1          0.000011283904 
76         SO0        1     64         1          25         1          0.000010091811 
77         SO0        1     128        1          25         1          0.000037185848 
78         SO0        1     128        1          25         1          0.000048503280 
79         SO0        1     128        1          25         1          0.000049717724 
80         SO0        1     128        1          25         1          0.000043183565 
81         SO0        1     128        1          25         1          0.000048413873 
82         SO0        1     128        1          25         1          0.000059723854 
83         SO0        1     128        1          25         1          0.000044014305 
84         SO0        1     128        1          25         1          0.000049382448 
85         SO0        1     128        1          25         1          0.000051703304 
86         SO0        1     128        1          25         1          0.000043198466 
87         SO0        1     128        1          25         1          0.000049017370 
88         SO0        1     128        1          25         1          0.000049378723 
89         SO0        1     128        1          25         1          0.000049516559 
90         SO0        1     128        1          25         1          0.000054970384 
91         SO0        1     128        1          25         1          0.000049717724 
92         SO0        1     128        1          25         1          0.000051517040 
93         SO0        1     128        1          25         1          0.000044513494 
94         SO0        1     128        1          25         1          0.000048398972 
95         SO0        1     128        1          25         1          0.000043392181 
96         SO0        1     128        1          25         1          0.000064507127 
97         SO0        1     128        1          25         1          0.000049095601 
98         SO0        1     128        1          25         1          0.000043921173 
99         SO0        1     128        1          25         1          0.000049348921 
100        SO0        1     128        1          25         1          0.000050570816 
101        SO0        1     128        1          25         1          0.000044301152 
102        SO0        1     256        1          25         1          0.000147923827 
103        SO0        1     256        1          25         1          0.000230107456 
104        SO0        1     256        1          25         1          0.000229123980 
105        SO0        1     256        1          25         1          0.000189598650 
106        SO0        1     256        1          25         1          0.000224497169 
107        SO0        1     256        1          25         1          0.000234186649 
108        SO0        1     256        1          25         1          0.000192198902 
109        SO0        1     256        1          25         1          0.000224161893 
110        SO0        1     256        1          25         1          0.000231515616 
111        SO0        1     256        1          25         1          0.000193513930 
112        SO0        1     256        1          25         1          0.000222481787 
113        SO0        1     256        1          25         1          0.000231966376 
114        SO0        1     256        1          25         1          0.000192094594 
115        SO0        1     256        1          25         1          0.000228613615 
116        SO0        1     256        1          25         1          0.000225193799 
117        SO0        1     256        1          25         1          0.000236965716 
118        SO0        1     256        1          25         1          0.000190574676 
119        SO0        1     256        1          25         1          0.000225257128 
120        SO0        1     256        1          25         1          0.000194862485 
121        SO0        1     256        1          25         1          0.000223908573 
122        SO0        1     256        1          25         1          0.000239234418 
123        SO0        1     256        1          25         1          0.000191450119 
124        SO0        1     256        1          25         1          0.000228442252 
125        SO0        1     256        1          25         1          0.000235620886 
126        SO0        1     256        1          25         1          0.000188559294 
127        SO0        1     512        1          25         1          0.000661317259 
128        SO0        1     512        1          25         1          0.000695753843 
129        SO0        1     512        1          25         1          0.000736251473 
130        SO0        1     512        1          25         1          0.000698518008 
131        SO0        1     512        1          25         1          0.000703491271 
132        SO0        1     512        1          25         1          0.000742867589 
133        SO0        1     512        1          25         1          0.000694051385 
134        SO0        1     512        1          25         1          0.000702496618 
135        SO0        1     512        1          25         1          0.000748306513 
136        SO0        1     512        1          25         1          0.000686917454 
137        SO0        1     512        1          25         1          0.000701781362 
138        SO0        1     512        1          25         1          0.000729978085 
139        SO0        1     512        1          25         1          0.000688590109 
140        SO0        1     512        1          25         1          0.000703163445 
141        SO0        1     512        1          25         1          0.000729940832 
142        SO0        1     512        1          25         1          0.000691857189 
143        SO0        1     512        1          25         1          0.000695772469 
144        SO0        1     512        1          25         1          0.000747647136 
145        SO0        1     512        1          25         1          0.000696633011 
146        SO0        1     512        1          25         1          0.000692285597 
147        SO0        1     512        1          25         1          0.000742964447 
148        SO0        1     512        1          25         1          0.000700540841 
149        SO0        1     512        1          25         1          0.000706382096 
150        SO0        1     512        1          25         1          0.000752493739 
151        SO0        1     512        1          25         1          0.000694751740 
152        SO0        1     1024       1          25         1          0.003331977874 
153        SO0        1     1024       1          25         1          0.003463443369 
154        SO0        1     1024       1          25         1          0.003121208400 
155        SO0        1     1024       1          25         1          0.003107350320 
156        SO0        1     1024       1          25         1          0.003473084420 
157        SO0        1     1024       1          25         1          0.003076978028 
158        SO0        1     1024       1          25         1          0.003077287227 
159        SO0        1     1024       1          25         1          0.003092374653 
160        SO0        1     1024       1          25         1          0.003072436899 
161        SO0        1     1024       1          25         1          0.003435552120 
162        SO0        1     1024       1          25         1          0.003066733479 
163        SO0        1     1024       1          25         1          0.003042668104 
164        SO0        1     1024       1          25         1          0.003465663642 
165        SO0        1     1024       1          25         1          0.003063432872 
166        SO0        1     1024       1          25         1          0.003068450838 
167        SO0        1     1024       1          25         1          0.003481831402 
168        SO0        1     1024       1          25         1          0.003061823547 
