N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
11         I2         2     16         1          25         1          0.000001218170  0.000000976771  0.80       80.18     %
12         I2         2     32         1          25         1          0.000002914667  0.000003053620  1.05       104.77    %
13         I2         2     64         1          25         1          0.000008613989  0.000010679290  1.24       123.98    %
14         I2         2     128        1          25         1          0.000015085936  0.000047537312  3.15       315.11    %
15         I2         2     256        1          25         1          0.000064864755  0.000221407786  3.41       341.34    %
16         I2         2     512        1          25         1          0.000182460248  0.000676047429  3.71       370.52    %
17         I2         2     1024       1          25         1          0.000771578029  0.003130791336  4.06       405.76    %
18         I2         2     2048       1          25         1          0.008821232617  0.025855134428  2.93       293.10    %
19         I2         2     4096       1          25         1          0.049559947848  0.121226964518  2.45       244.61    %
20         I2M        2     16         1          25         1          0.000001007691  0.000000976771  0.97       96.93     %
21         I2M        2     32         1          25         1          0.000002576038  0.000003053620  1.19       118.54    %
22         I2M        2     64         1          25         1          0.000008352101  0.000010679290  1.28       127.86    %
23         I2M        2     128        1          25         1          0.000016107783  0.000047537312  2.95       295.12    %
24         I2M        2     256        1          25         1          0.000061923265  0.000221407786  3.58       357.55    %
25         I2M        2     512        1          25         1          0.000181278586  0.000676047429  3.73       372.93    %
26         I2M        2     1024       1          25         1          0.000772447139  0.003130791336  4.05       405.31    %
27         I2M        2     2048       1          25         1          0.008961857855  0.025855134428  2.89       288.50    %
28         I2M        2     4096       1          25         1          0.049448210374  0.121226964518  2.45       245.16    %
29         I2FTV      2     16         1          25         1          0.000001211464  0.000000976771  0.81       80.63     %
30         I2FTV      2     32         1          25         1          0.000002942979  0.000003053620  1.04       103.76    %
31         I2FTV      2     64         1          25         1          0.000008634850  0.000010679290  1.24       123.68    %
32         I2FTV      2     128        1          25         1          0.000015370548  0.000047537312  3.09       309.28    %
33         I2FTV      2     256        1          25         1          0.000064057112  0.000221407786  3.46       345.64    %
34         I2FTV      2     512        1          25         1          0.000181366876  0.000676047429  3.73       372.75    %
35         I2FTV      2     1024       1          25         1          0.000771675259  0.003130791336  4.06       405.71    %
36         I2FTV      2     2048       1          25         1          0.009218864143  0.025855134428  2.80       280.46    %
37         I2FTV      2     4096       1          25         1          0.048010391369  0.121226964518  2.53       252.50    %
38         I2FUN      2     16         1          25         1          0.000000947341  0.000000976771  1.03       103.11    %
