N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          SO0        1     16         1          50         1          0.000001168251  0.000001168251  1.00       100.00    %
2          SO0        1     32         1          50         1          0.000003339723  0.000003339723  1.00       100.00    %
3          SO0        1     64         1          50         1          0.000011764094  0.000011764094  1.00       100.00    %
4          SO0        1     128        1          50         1          0.000051698461  0.000051698461  1.00       100.00    %
5          SO0        1     256        1          50         1          0.000233716890  0.000233716890  1.00       100.00    %
6          SO0        1     512        1          50         1          0.000731409714  0.000731409714  1.00       100.00    %
7          SO0        1     1024       1          50         1          0.003523019701  0.003523019701  1.00       100.00    %
8          SO0        1     2048       1          50         1          0.027794191986  0.027794191986  1.00       100.00    %
9          SO0        1     4096       1          50         1          0.129715482518  0.129715482518  1.00       100.00    %
10         I2         2     16         1          50         1          0.000000533834  0.000001168251  2.19       218.84    %
11         I2         2     32         1          50         1          0.000002412498  0.000003339723  1.38       138.43    %
12         I2         2     64         1          50         1          0.000004254282  0.000011764094  2.77       276.52    %
13         I2         2     128        1          50         1          0.000016344711  0.000051698461  3.16       316.30    %
14         I2         2     256        1          50         1          0.000068321824  0.000233716890  3.42       342.08    %
15         I2         2     512        1          50         1          0.000205968320  0.000731409714  3.55       355.11    %
16         I2         2     1024       1          50         1          0.000938656926  0.003523019701  3.75       375.33    %
17         I2         2     2048       1          50         1          0.008653628826  0.027794191986  3.21       321.19    %
18         I2         2     4096       1          50         1          0.045477163047  0.129715482518  2.85       285.23    %
19         I2M        2     16         1          50         1          0.000000600144  0.000001168251  1.95       194.66    %
20         I2M        2     32         1          50         1          0.000001357496  0.000003339723  2.46       246.02    %
21         I2M        2     64         1          50         1          0.000004102290  0.000011764094  2.87       286.77    %
22         I2M        2     128        1          50         1          0.000015459210  0.000051698461  3.34       334.42    %
23         I2M        2     256        1          50         1          0.000062983111  0.000233716890  3.71       371.08    %
24         I2M        2     512        1          50         1          0.000205417350  0.000731409714  3.56       356.06    %
25         I2M        2     1024       1          50         1          0.000960578769  0.003523019701  3.67       366.76    %
26         I2M        2     2048       1          50         1          0.008871962875  0.027794191986  3.13       313.28    %
27         I2M        2     4096       1          50         1          0.045560264587  0.129715482518  2.85       284.71    %
28         I2FTV      2     16         1          50         1          0.000000513718  0.000001168251  2.27       227.41    %
29         I2FTV      2     32         1          50         1          0.000001514703  0.000003339723  2.20       220.49    %
30         I2FTV      2     64         1          50         1          0.000004214793  0.000011764094  2.79       279.11    %
31         I2FTV      2     128        1          50         1          0.000015443191  0.000051698461  3.35       334.77    %
32         I2FTV      2     256        1          50         1          0.000070746243  0.000233716890  3.30       330.36    %
33         I2FTV      2     512        1          50         1          0.000203924254  0.000731409714  3.59       358.67    %
34         I2FTV      2     1024       1          50         1          0.000952997804  0.003523019701  3.70       369.68    %
35         I2FTV      2     2048       1          50         1          0.008690721169  0.027794191986  3.20       319.81    %
36         I2FTV      2     4096       1          50         1          0.045730890334  0.129715482518  2.84       283.65    %
37         I2FUN      2     16         1          50         1          0.000000565127  0.000001168251  2.07       206.72    %
38         I2FUN      2     32         1          50         1          0.000001386553  0.000003339723  2.41       240.87    %
39         I2FUN      2     64         1          50         1          0.000003598630  0.000011764094  3.27       326.90    %
40         I2FUN      2     128        1          50         1          0.000015114993  0.000051698461  3.42       342.03    %
41         I2FUN      2     256        1          50         1          0.000067491457  0.000233716890  3.46       346.29    %
42         I2FUN      2     512        1          50         1          0.000190418959  0.000731409714  3.84       384.11    %
43         I2FUN      2     1024       1          50         1          0.000876363367  0.003523019701  4.02       402.00    %
44         I2FUN      2     2048       1          50         1          0.008731676266  0.027794191986  3.18       318.31    %
45         I2FUN      2     4096       1          50         1          0.044746425748  0.129715482518  2.90       289.89    %
46         I2PLA      2     16         1          50         1          0.000000541285  0.000001168251  2.16       215.83    %
