N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        R2         3     16         1          50         1          0.000000655651  0.000001168251  1.78       178.18    %
102        R2         3     32         1          50         1          0.000001613051  0.000003339723  2.07       207.04    %
103        R2         3     64         1          50         1          0.000004476681  0.000011764094  2.63       262.79    %
104        R2         3     128        1          50         1          0.000015746802  0.000051698461  3.28       328.31    %
105        R2         3     256        1          50         1          0.000069398805  0.000233716890  3.37       336.77    %
106        R2         3     512        1          50         1          0.000209298357  0.000731409714  3.49       349.46    %
107        R2         3     1024       1          50         1          0.000905485451  0.003523019701  3.89       389.08    %
108        R2         3     2048       1          50         1          0.008594359457  0.027794191986  3.23       323.40    %
109        R2         3     4096       1          50         1          0.046144937351  0.129715482518  2.81       281.10    %
110        R2M        3     16         1          50         1          0.000000634417  0.000001168251  1.84       184.15    %
111        R2M        3     32         1          50         1          0.000001500919  0.000003339723  2.23       222.51    %
112        R2M        3     64         1          50         1          0.000004173815  0.000011764094  2.82       281.85    %
113        R2M        3     128        1          50         1          0.000015646592  0.000051698461  3.30       330.41    %
114        R2M        3     256        1          50         1          0.000071109831  0.000233716890  3.29       328.67    %
115        R2M        3     512        1          50         1          0.000204590708  0.000731409714  3.57       357.50    %
116        R2M        3     1024       1          50         1          0.000860837474  0.003523019701  4.09       409.25    %
117        R2M        3     2048       1          50         1          0.008661091328  0.027794191986  3.21       320.91    %
118        R2M        3     4096       1          50         1          0.046132581681  0.129715482518  2.81       281.18    %
119        R2FTV      3     16         1          50         1          0.000000656769  0.000001168251  1.78       177.88    %
120        R2FTV      3     32         1          50         1          0.000001533702  0.000003339723  2.18       217.76    %
121        R2FTV      3     64         1          50         1          0.000004623830  0.000011764094  2.54       254.42    %
122        R2FTV      3     128        1          50         1          0.000015848503  0.000051698461  3.26       326.20    %
123        R2FTV      3     256        1          50         1          0.000070117787  0.000233716890  3.33       333.32    %
124        R2FTV      3     512        1          50         1          0.000209130719  0.000731409714  3.50       349.74    %
125        R2FTV      3     1024       1          50         1          0.000890895352  0.003523019701  3.95       395.45    %
126        R2FTV      3     2048       1          50         1          0.008255890384  0.027794191986  3.37       336.66    %
127        R2FTV      3     4096       1          50         1          0.046118257195  0.129715482518  2.81       281.27    %
128        R2FUN      3     16         1          50         1          0.000000568479  0.000001168251  2.06       205.50    %
129        R2FUN      3     32         1          50         1          0.000001290068  0.000003339723  2.59       258.88    %
130        R2FUN      3     64         1          50         1          0.000003920496  0.000011764094  3.00       300.07    %
131        R2FUN      3     128        1          50         1          0.000015207008  0.000051698461  3.40       339.96    %
132        R2FUN      3     256        1          50         1          0.000069330633  0.000233716890  3.37       337.10    %
133        R2FUN      3     512        1          50         1          0.000195012614  0.000731409714  3.75       375.06    %
134        R2FUN      3     1024       1          50         1          0.000861930847  0.003523019701  4.09       408.74    %
135        R2FUN      3     2048       1          50         1          0.008589255810  0.027794191986  3.24       323.59    %
136        R2FUN      3     4096       1          50         1          0.045393541083  0.129715482518  2.86       285.76    %
137        R2PLA      3     16         1          50         1          0.000000639260  0.000001168251  1.83       182.75    %
138        R2PLA      3     32         1          50         1          0.000001519546  0.000003339723  2.20       219.78    %
139        R2PLA      3     64         1          50         1          0.000004308671  0.000011764094  2.73       273.03    %
140        R2PLA      3     128        1          50         1          0.000015636161  0.000051698461  3.31       330.63    %
141        R2PLA      3     256        1          50         1          0.000071311370  0.000233716890  3.28       327.74    %
142        R2PLA      3     512        1          50         1          0.000208460912  0.000731409714  3.51       350.86    %
143        R2PLA      3     1024       1          50         1          0.000887162238  0.003523019701  3.97       397.11    %
144        R2PLA      3     2048       1          50         1          0.008646177500  0.027794191986  3.21       321.46    %
145        R2PLA      3     4096       1          50         1          0.046121939644  0.129715482518  2.81       281.24    %
146        R2FTVFUN   3     16         1          50         1          0.000000656396  0.000001168251  1.78       177.98    %
147        R2FTVFUN   3     32         1          50         1          0.000001377240  0.000003339723  2.42       242.49    %
148        R2FTVFUN   3     64         1          50         1          0.000003764406  0.000011764094  3.13       312.51    %
149        R2FTVFUN   3     128        1          50         1          0.000015191734  0.000051698461  3.40       340.31    %
150        R2FTVFUN   3     256        1          50         1          0.000067094713  0.000233716890  3.48       348.34    %
151        R2FTVFUN   3     512        1          50         1          0.000193837658  0.000731409714  3.77       377.33    %
152        R2FTVFUN   3     1024       1          50         1          0.000847455114  0.003523019701  4.16       415.72    %
153        R2FTVFUN   3     2048       1          50         1          0.008398652449  0.027794191986  3.31       330.94    %
154        R2FTVFUN   3     4096       1          50         1          0.045217011496  0.129715482518  2.87       286.87    %
155        R2FM       3     16         1          50         1          0.000000667572  0.000001168251  1.75       175.00    %
156        R2FM       3     32         1          50         1          0.000001530722  0.000003339723  2.18       218.18    %
157        R2FM       3     64         1          50         1          0.000004174560  0.000011764094  2.82       281.80    %
158        R2FM       3     128        1          50         1          0.000016236678  0.000051698461  3.18       318.41    %
159        R2FM       3     256        1          50         1          0.000072369352  0.000233716890  3.23       322.95    %
160        R2FM       3     512        1          50         1          0.000208910555  0.000731409714  3.50       350.11    %
161        R2FM       3     1024       1          50         1          0.000884083658  0.003523019701  3.98       398.49    %
162        R2FM       3     2048       1          50         1          0.008724032715  0.027794191986  3.19       318.59    %
163        R2FM       3     4096       1          50         1          0.046148476005  0.129715482518  2.81       281.08    %
164        R2FL       3     16         1          50         1          0.000000640377  0.000001168251  1.82       182.43    %
165        R2FL       3     32         1          50         1          0.000001741201  0.000003339723  1.92       191.81    %
166        R2FL       3     64         1          50         1          0.000004610047  0.000011764094  2.55       255.18    %
