N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
11         I2         2     16         1          50         1          0.000000533834  0.000001168251  2.19       218.84    %
12         I2         2     32         1          50         1          0.000002412498  0.000003339723  1.38       138.43    %
13         I2         2     64         1          50         1          0.000004254282  0.000011764094  2.77       276.52    %
14         I2         2     128        1          50         1          0.000016344711  0.000051698461  3.16       316.30    %
15         I2         2     256        1          50         1          0.000068321824  0.000233716890  3.42       342.08    %
16         I2         2     512        1          50         1          0.000205968320  0.000731409714  3.55       355.11    %
17         I2         2     1024       1          50         1          0.000938656926  0.003523019701  3.75       375.33    %
18         I2         2     2048       1          50         1          0.008653628826  0.027794191986  3.21       321.19    %
19         I2         2     4096       1          50         1          0.045477163047  0.129715482518  2.85       285.23    %
20         I2M        2     16         1          50         1          0.000000600144  0.000001168251  1.95       194.66    %
21         I2M        2     32         1          50         1          0.000001357496  0.000003339723  2.46       246.02    %
22         I2M        2     64         1          50         1          0.000004102290  0.000011764094  2.87       286.77    %
23         I2M        2     128        1          50         1          0.000015459210  0.000051698461  3.34       334.42    %
24         I2M        2     256        1          50         1          0.000062983111  0.000233716890  3.71       371.08    %
25         I2M        2     512        1          50         1          0.000205417350  0.000731409714  3.56       356.06    %
26         I2M        2     1024       1          50         1          0.000960578769  0.003523019701  3.67       366.76    %
27         I2M        2     2048       1          50         1          0.008871962875  0.027794191986  3.13       313.28    %
28         I2M        2     4096       1          50         1          0.045560264587  0.129715482518  2.85       284.71    %
29         I2FTV      2     16         1          50         1          0.000000513718  0.000001168251  2.27       227.41    %
30         I2FTV      2     32         1          50         1          0.000001514703  0.000003339723  2.20       220.49    %
31         I2FTV      2     64         1          50         1          0.000004214793  0.000011764094  2.79       279.11    %
32         I2FTV      2     128        1          50         1          0.000015443191  0.000051698461  3.35       334.77    %
33         I2FTV      2     256        1          50         1          0.000070746243  0.000233716890  3.30       330.36    %
34         I2FTV      2     512        1          50         1          0.000203924254  0.000731409714  3.59       358.67    %
35         I2FTV      2     1024       1          50         1          0.000952997804  0.003523019701  3.70       369.68    %
36         I2FTV      2     2048       1          50         1          0.008690721169  0.027794191986  3.20       319.81    %
37         I2FTV      2     4096       1          50         1          0.045730890334  0.129715482518  2.84       283.65    %
38         I2FUN      2     16         1          50         1          0.000000565127  0.000001168251  2.07       206.72    %
39         I2FUN      2     32         1          50         1          0.000001386553  0.000003339723  2.41       240.87    %
40         I2FUN      2     64         1          50         1          0.000003598630  0.000011764094  3.27       326.90    %
41         I2FUN      2     128        1          50         1          0.000015114993  0.000051698461  3.42       342.03    %
42         I2FUN      2     256        1          50         1          0.000067491457  0.000233716890  3.46       346.29    %
43         I2FUN      2     512        1          50         1          0.000190418959  0.000731409714  3.84       384.11    %
44         I2FUN      2     1024       1          50         1          0.000876363367  0.003523019701  4.02       402.00    %
45         I2FUN      2     2048       1          50         1          0.008731676266  0.027794191986  3.18       318.31    %
46         I2FUN      2     4096       1          50         1          0.044746425748  0.129715482518  2.90       289.89    %
47         I2PLA      2     16         1          50         1          0.000000541285  0.000001168251  2.16       215.83    %
48         I2PLA      2     32         1          50         1          0.000001432002  0.000003339723  2.33       233.22    %
49         I2PLA      2     64         1          50         1          0.000004127249  0.000011764094  2.85       285.03    %
50         I2PLA      2     128        1          50         1          0.000015361235  0.000051698461  3.37       336.55    %
51         I2PLA      2     256        1          50         1          0.000069153309  0.000233716890  3.38       337.97    %
52         I2PLA      2     512        1          50         1          0.000208692998  0.000731409714  3.50       350.47    %
53         I2PLA      2     1024       1          50         1          0.000931509584  0.003523019701  3.78       378.21    %
54         I2PLA      2     2048       1          50         1          0.008675634488  0.027794191986  3.20       320.37    %
55         I2PLA      2     4096       1          50         1          0.045315347239  0.129715482518  2.86       286.25    %
56         I2FTVFUN   2     16         1          50         1          0.000000572577  0.000001168251  2.04       204.03    %
57         I2FTVFUN   2     32         1          50         1          0.000001347065  0.000003339723  2.48       247.93    %
58         I2FTVFUN   2     64         1          50         1          0.000003682449  0.000011764094  3.19       319.46    %
59         I2FTVFUN   2     128        1          50         1          0.000015228614  0.000051698461  3.39       339.48    %
60         I2FTVFUN   2     256        1          50         1          0.000063327327  0.000233716890  3.69       369.06    %
61         I2FTVFUN   2     512        1          50         1          0.000190031901  0.000731409714  3.85       384.89    %
62         I2FTVFUN   2     1024       1          50         1          0.000864483044  0.003523019701  4.08       407.53    %
63         I2FTVFUN   2     2048       1          50         1          0.008407165483  0.027794191986  3.31       330.60    %
64         I2FTVFUN   2     4096       1          50         1          0.044441475719  0.129715482518  2.92       291.88    %
65         I2FM       2     16         1          50         1          0.000000515208  0.000001168251  2.27       226.75    %
66         I2FM       2     32         1          50         1          0.000001362711  0.000003339723  2.45       245.08    %
67         I2FM       2     64         1          50         1          0.000004204735  0.000011764094  2.80       279.78    %
68         I2FM       2     128        1          50         1          0.000015576184  0.000051698461  3.32       331.91    %
69         I2FM       2     256        1          50         1          0.000067367777  0.000233716890  3.47       346.93    %
