N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          SO0        1     16         1          25         1          0.000000966340  0.000000966340  1.00       100.00    %
2          SO0        1     32         1          25         1          0.000003247708  0.000003247708  1.00       100.00    %
3          SO0        1     64         1          25         1          0.000010850281  0.000010850281  1.00       100.00    %
4          SO0        1     128        1          25         1          0.000047516823  0.000047516823  1.00       100.00    %
5          SO0        1     256        1          25         1          0.000218994915  0.000218994915  1.00       100.00    %
6          SO0        1     512        1          25         1          0.000664002448  0.000664002448  1.00       100.00    %
7          SO0        1     1024       1          25         1          0.003063218296  0.003063218296  1.00       100.00    %
8          SO0        1     2048       1          25         1          0.025305599719  0.025305599719  1.00       100.00    %
9          SO0        1     4096       1          25         1          0.121311741322  0.121311741322  1.00       100.00    %
10         I2         2     16         1          25         1          0.000001335144  0.000000966340  0.72       72.38     %
11         I2         2     32         1          25         1          0.000003339350  0.000003247708  0.97       97.26     %
12         I2         2     64         1          25         1          0.000008922815  0.000010850281  1.22       121.60    %
13         I2         2     128        1          25         1          0.000014602393  0.000047516823  3.25       325.40    %
14         I2         2     256        1          25         1          0.000065444410  0.000218994915  3.35       334.63    %
15         I2         2     512        1          25         1          0.000190658867  0.000664002448  3.48       348.27    %
16         I2         2     1024       1          25         1          0.000789213926  0.003063218296  3.88       388.14    %
17         I2         2     2048       1          25         1          0.008402057737  0.025305599719  3.01       301.18    %
18         I2         2     4096       1          25         1          0.045936899632  0.121311741322  2.64       264.08    %
19         I2M        2     16         1          25         1          0.000001195818  0.000000966340  0.81       80.81     %
20         I2M        2     32         1          25         1          0.000003277510  0.000003247708  0.99       99.09     %
21         I2M        2     64         1          25         1          0.000009813905  0.000010850281  1.11       110.56    %
22         I2M        2     128        1          25         1          0.000014974177  0.000047516823  3.17       317.33    %
23         I2M        2     256        1          25         1          0.000062285364  0.000218994915  3.52       351.60    %
24         I2M        2     512        1          25         1          0.000189714134  0.000664002448  3.50       350.00    %
25         I2M        2     1024       1          25         1          0.000798063725  0.003063218296  3.84       383.83    %
26         I2M        2     2048       1          25         1          0.008440804482  0.025305599719  3.00       299.80    %
27         I2M        2     4096       1          25         1          0.046013029665  0.121311741322  2.64       263.65    %
28         I2FTV      2     16         1          25         1          0.000001282245  0.000000966340  0.75       75.36     %
29         I2FTV      2     32         1          25         1          0.000003361702  0.000003247708  0.97       96.61     %
30         I2FTV      2     64         1          25         1          0.000010181963  0.000010850281  1.07       106.56    %
31         I2FTV      2     128        1          25         1          0.000018216670  0.000047516823  2.61       260.84    %
32         I2FTV      2     256        1          25         1          0.000067272037  0.000218994915  3.26       325.54    %
33         I2FTV      2     512        1          25         1          0.000191096961  0.000664002448  3.47       347.47    %
34         I2FTV      2     1024       1          25         1          0.000799194723  0.003063218296  3.83       383.29    %
35         I2FTV      2     2048       1          25         1          0.008442597091  0.025305599719  3.00       299.74    %
36         I2FTV      2     4096       1          25         1          0.046109339595  0.121311741322  2.63       263.10    %
37         I2FUN      2     16         1          25         1          0.000001291186  0.000000966340  0.75       74.84     %
38         I2FUN      2     32         1          25         1          0.000002985448  0.000003247708  1.09       108.78    %
