N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        R2         3     16         1          25         1          0.000001379848  0.000000966340  0.70       70.03     %
102        R2         3     32         1          25         1          0.000003533810  0.000003247708  0.92       91.90     %
103        R2         3     64         1          25         1          0.000010328740  0.000010850281  1.05       105.05    %
104        R2         3     128        1          25         1          0.000015367568  0.000047516823  3.09       309.20    %
105        R2         3     256        1          25         1          0.000068175048  0.000218994915  3.21       321.22    %
106        R2         3     512        1          25         1          0.000193895400  0.000664002448  3.42       342.45    %
107        R2         3     1024       1          25         1          0.000759336352  0.003063218296  4.03       403.41    %
108        R2         3     2048       1          25         1          0.008431515098  0.025305599719  3.00       300.13    %
109        R2         3     4096       1          25         1          0.046193410456  0.121311741322  2.63       262.62    %
110        R2M        3     16         1          25         1          0.000001317263  0.000000966340  0.73       73.36     %
111        R2M        3     32         1          25         1          0.000003421307  0.000003247708  0.95       94.93     %
112        R2M        3     64         1          25         1          0.000010033697  0.000010850281  1.08       108.14    %
113        R2M        3     128        1          25         1          0.000015389174  0.000047516823  3.09       308.77    %
114        R2M        3     256        1          25         1          0.000067351758  0.000218994915  3.25       325.15    %
115        R2M        3     512        1          25         1          0.000191554427  0.000664002448  3.47       346.64    %
116        R2M        3     1024       1          25         1          0.000759480894  0.003063218296  4.03       403.33    %
117        R2M        3     2048       1          25         1          0.008418516070  0.025305599719  3.01       300.59    %
118        R2M        3     4096       1          25         1          0.046285643429  0.121311741322  2.62       262.09    %
119        R2FTV      3     16         1          25         1          0.000001456589  0.000000966340  0.66       66.34     %
120        R2FTV      3     32         1          25         1          0.000003477931  0.000003247708  0.93       93.38     %
121        R2FTV      3     64         1          25         1          0.000010236353  0.000010850281  1.06       106.00    %
122        R2FTV      3     128        1          25         1          0.000015538931  0.000047516823  3.06       305.79    %
123        R2FTV      3     256        1          25         1          0.000069044530  0.000218994915  3.17       317.18    %
124        R2FTV      3     512        1          25         1          0.000193312019  0.000664002448  3.43       343.49    %
125        R2FTV      3     1024       1          25         1          0.000761129707  0.003063218296  4.02       402.46    %
126        R2FTV      3     2048       1          25         1          0.008403619379  0.025305599719  3.01       301.13    %
127        R2FTV      3     4096       1          25         1          0.046196752787  0.121311741322  2.63       262.60    %
128        R2FUN      3     16         1          25         1          0.000001391023  0.000000966340  0.69       69.47     %
129        R2FUN      3     32         1          25         1          0.000003173947  0.000003247708  1.02       102.32    %
130        R2FUN      3     64         1          25         1          0.000008561462  0.000010850281  1.27       126.73    %
131        R2FUN      3     128        1          25         1          0.000014148653  0.000047516823  3.36       335.84    %
132        R2FUN      3     256        1          25         1          0.000062703341  0.000218994915  3.49       349.26    %
133        R2FUN      3     512        1          25         1          0.000181379169  0.000664002448  3.66       366.09    %
134        R2FUN      3     1024       1          25         1          0.000705467910  0.003063218296  4.34       434.21    %
135        R2FUN      3     2048       1          25         1          0.008249623328  0.025305599719  3.07       306.75    %
136        R2FUN      3     4096       1          25         1          0.045604140311  0.121311741322  2.66       266.01    %
137        R2PLA      3     16         1          25         1          0.000001508743  0.000000966340  0.64       64.05     %
138        R2PLA      3     32         1          25         1          0.000003463775  0.000003247708  0.94       93.76     %
139        R2PLA      3     64         1          25         1          0.000010391325  0.000010850281  1.04       104.42    %
