N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
380        OMPGLBBB   7     16         1          25         1          0.000010662526  0.000000966340  0.09       9.06      %
381        OMPGLBBB   7     16         1          25         2          0.000019396096  0.000000966340  0.05       2.49      %
382        OMPGLBBB   7     16         1          25         4          0.000027928501  0.000000966340  0.03       0.87      %
383        OMPGLBBB   7     16         1          25         8          0.000026655942  0.000000966340  0.04       0.45      %
384        OMPGLBBB   7     16         1          25         16         0.000038140267  0.000000966340  0.03       0.16      %
385        OMPGLBBB   7     16         1          25         32         0.000080379844  0.000000966340  0.01       0.04      %
386        OMPGLBBB   7     16         1          25         64         0.000935623795  0.000000966340  0.00       0.00      %
387        OMPGLBBB   7     32         1          25         1          0.000012355298  0.000003247708  0.26       26.29     %
388        OMPGLBBB   7     32         1          25         2          0.000019335002  0.000003247708  0.17       8.40      %
389        OMPGLBBB   7     32         1          25         4          0.000033982843  0.000003247708  0.10       2.39      %
390        OMPGLBBB   7     32         1          25         8          0.000026901811  0.000003247708  0.12       1.51      %
391        OMPGLBBB   7     32         1          25         16         0.000038734823  0.000003247708  0.08       0.52      %
392        OMPGLBBB   7     32         1          25         32         0.000078850240  0.000003247708  0.04       0.13      %
393        OMPGLBBB   7     32         1          25         64         0.000970895588  0.000003247708  0.00       0.01      %
394        OMPGLBBB   7     64         1          25         1          0.000017725676  0.000010850281  0.61       61.21     %
395        OMPGLBBB   7     64         1          25         2          0.000016088784  0.000010850281  0.67       33.72     %
396        OMPGLBBB   7     64         1          25         4          0.000022849441  0.000010850281  0.47       11.87     %
397        OMPGLBBB   7     64         1          25         8          0.000029615313  0.000010850281  0.37       4.58      %
398        OMPGLBBB   7     64         1          25         16         0.000039280951  0.000010850281  0.28       1.73      %
399        OMPGLBBB   7     64         1          25         32         0.000081130862  0.000010850281  0.13       0.42      %
400        OMPGLBBB   7     64         1          25         64         0.000904998183  0.000010850281  0.01       0.02      %
401        OMPGLBBB   7     128        1          25         1          0.000016788393  0.000047516823  2.83       283.03    %
402        OMPGLBBB   7     128        1          25         2          0.000027821958  0.000047516823  1.71       85.39     %
403        OMPGLBBB   7     128        1          25         4          0.000029220432  0.000047516823  1.63       40.65     %
404        OMPGLBBB   7     128        1          25         8          0.000035040826  0.000047516823  1.36       16.95     %
405        OMPGLBBB   7     128        1          25         16         0.000043746829  0.000047516823  1.09       6.79      %
406        OMPGLBBB   7     128        1          25         32         0.000084622204  0.000047516823  0.56       1.75      %
407        OMPGLBBB   7     128        1          25         64         0.000825648010  0.000047516823  0.06       0.09      %
408        OMPGLBBB   7     256        1          25         1          0.000052316487  0.000218994915  4.19       418.60    %
409        OMPGLBBB   7     256        1          25         2          0.000068688393  0.000218994915  3.19       159.41    %
410        OMPGLBBB   7     256        1          25         4          0.000051761419  0.000218994915  4.23       105.77    %
411        OMPGLBBB   7     256        1          25         8          0.000048802793  0.000218994915  4.49       56.09     %
412        OMPGLBBB   7     256        1          25         16         0.000054667145  0.000218994915  4.01       25.04     %
413        OMPGLBBB   7     256        1          25         32         0.000091779232  0.000218994915  2.39       7.46      %
414        OMPGLBBB   7     256        1          25         64         0.000969029963  0.000218994915  0.23       0.35      %
415        OMPGLBBB   7     512        1          25         1          0.000217318535  0.000664002448  3.06       305.54    %
416        OMPGLBBB   7     512        1          25         2          0.000274449587  0.000664002448  2.42       120.97    %
417        OMPGLBBB   7     512        1          25         4          0.000166996568  0.000664002448  3.98       99.40     %
418        OMPGLBBB   7     512        1          25         8          0.000140953809  0.000664002448  4.71       58.88     %
419        OMPGLBBB   7     512        1          25         16         0.000117238611  0.000664002448  5.66       35.40     %
420        OMPGLBBB   7     512        1          25         32         0.000148208439  0.000664002448  4.48       14.00     %
421        OMPGLBBB   7     512        1          25         64         0.000979374349  0.000664002448  0.68       1.06      %
422        OMPGLBBB   7     1024       1          25         1          0.000978597254  0.003063218296  3.13       313.02    %
423        OMPGLBBB   7     1024       1          25         2          0.001056701690  0.003063218296  2.90       144.94    %
424        OMPGLBBB   7     1024       1          25         4          0.000629128516  0.003063218296  4.87       121.72    %
425        OMPGLBBB   7     1024       1          25         8          0.000476181507  0.003063218296  6.43       80.41     %
426        OMPGLBBB   7     1024       1          25         16         0.000313039869  0.003063218296  9.79       61.16     %
427        OMPGLBBB   7     1024       1          25         32         0.000373381376  0.003063218296  8.20       25.64     %
428        OMPGLBBB   7     1024       1          25         64         0.001111260802  0.003063218296  2.76       4.31      %
429        OMPGLBBB   7     2048       1          25         1          0.009354908764  0.025305599719  2.71       270.51    %
430        OMPGLBBB   7     2048       1          25         2          0.005658680946  0.025305599719  4.47       223.60    %
431        OMPGLBBB   7     2048       1          25         4          0.003763310611  0.025305599719  6.72       168.11    %
432        OMPGLBBB   7     2048       1          25         8          0.002218964696  0.025305599719  11.40      142.55    %
433        OMPGLBBB   7     2048       1          25         16         0.001601880789  0.025305599719  15.80      98.73     %
434        OMPGLBBB   7     2048       1          25         32         0.001503054798  0.025305599719  16.84      52.61     %
435        OMPGLBBB   7     2048       1          25         64         0.001885131747  0.025305599719  13.42      20.97     %
436        OMPGLBBB   7     4096       1          25         1          0.052556448430  0.121311741322  2.31       230.82    %
437        OMPGLBBB   7     4096       1          25         2          0.030974645168  0.121311741322  3.92       195.82    %
438        OMPGLBBB   7     4096       1          25         4          0.018331667781  0.121311741322  6.62       165.44    %
439        OMPGLBBB   7     4096       1          25         8          0.011236046255  0.121311741322  10.80      134.96    %
440        OMPGLBBB   7     4096       1          25         16         0.008008316904  0.121311741322  15.15      94.68     %
441        OMPGLBBB   7     4096       1          25         32         0.007030610740  0.121311741322  17.25      53.92     %
442        OMPGLBBB   7     4096       1          25         64         0.007384474576  0.121311741322  16.43      25.67     %
821        OMPGLBBB   7     16         2          25         1          0.000009355694  0.000001508743  0.16       16.13     %
822        OMPGLBBB   7     16         2          25         2          0.000014603883  0.000001508743  0.10       5.17      %
823        OMPGLBBB   7     16         2          25         4          0.000025283545  0.000001508743  0.06       1.49      %
824        OMPGLBBB   7     16         2          25         8          0.000023178756  0.000001508743  0.07       0.81      %
825        OMPGLBBB   7     16         2          25         16         0.000030861795  0.000001508743  0.05       0.31      %
826        OMPGLBBB   7     16         2          25         32         0.000068491697  0.000001508743  0.02       0.07      %
827        OMPGLBBB   7     16         2          25         64         0.000495976210  0.000001508743  0.00       0.00      %
828        OMPGLBBB   7     32         2          25         1          0.000016258657  0.000003513694  0.22       21.61     %
829        OMPGLBBB   7     32         2          25         2          0.000018470734  0.000003513694  0.19       9.51      %
830        OMPGLBBB   7     32         2          25         4          0.000030803680  0.000003513694  0.11       2.85      %
831        OMPGLBBB   7     32         2          25         8          0.000025697052  0.000003513694  0.14       1.71      %
832        OMPGLBBB   7     32         2          25         16         0.000034368783  0.000003513694  0.10       0.64      %
833        OMPGLBBB   7     32         2          25         32         0.000072398037  0.000003513694  0.05       0.15      %
834        OMPGLBBB   7     32         2          25         64         0.000583372265  0.000003513694  0.01       0.01      %
835        OMPGLBBB   7     64         2          25         1          0.000032087415  0.000010496378  0.33       32.71     %
836        OMPGLBBB   7     64         2          25         2          0.000024902821  0.000010496378  0.42       21.07     %
837        OMPGLBBB   7     64         2          25         4          0.000037175417  0.000010496378  0.28       7.06      %
838        OMPGLBBB   7     64         2          25         8          0.000030358136  0.000010496378  0.35       4.32      %
839        OMPGLBBB   7     64         2          25         16         0.000038488954  0.000010496378  0.27       1.70      %
840        OMPGLBBB   7     64         2          25         32         0.000076549500  0.000010496378  0.14       0.43      %
841        OMPGLBBB   7     64         2          25         64         0.000628315657  0.000010496378  0.02       0.03      %
842        OMPGLBBB   7     128        2          25         1          0.000038921833  0.000037443638  0.96       96.20     %
843        OMPGLBBB   7     128        2          25         2          0.000041048229  0.000037443638  0.91       45.61     %
844        OMPGLBBB   7     128        2          25         4          0.000035496056  0.000037443638  1.05       26.37     %
845        OMPGLBBB   7     128        2          25         8          0.000032073259  0.000037443638  1.17       14.59     %
846        OMPGLBBB   7     128        2          25         16         0.000038066506  0.000037443638  0.98       6.15      %
847        OMPGLBBB   7     128        2          25         32         0.000072195381  0.000037443638  0.52       1.62      %
848        OMPGLBBB   7     128        2          25         64         0.000497085601  0.000037443638  0.08       0.12      %
849        OMPGLBBB   7     256        2          25         1          0.000068814307  0.000142402947  2.07       206.94    %
850        OMPGLBBB   7     256        2          25         2          0.000081109256  0.000142402947  1.76       87.78     %
851        OMPGLBBB   7     256        2          25         4          0.000058702379  0.000142402947  2.43       60.65     %
852        OMPGLBBB   7     256        2          25         8          0.000050634891  0.000142402947  2.81       35.15     %
853        OMPGLBBB   7     256        2          25         16         0.000051534921  0.000142402947  2.76       17.27     %
854        OMPGLBBB   7     256        2          25         32         0.000078211725  0.000142402947  1.82       5.69      %
855        OMPGLBBB   7     256        2          25         64         0.000490051508  0.000142402947  0.29       0.45      %
856        OMPGLBBB   7     512        2          25         1          0.000273872912  0.000687656552  2.51       251.09    %
857        OMPGLBBB   7     512        2          25         2          0.000302474201  0.000687656552  2.27       113.67    %
858        OMPGLBBB   7     512        2          25         4          0.000192293525  0.000687656552  3.58       89.40     %
859        OMPGLBBB   7     512        2          25         8          0.000131998956  0.000687656552  5.21       65.12     %
860        OMPGLBBB   7     512        2          25         16         0.000107896328  0.000687656552  6.37       39.83     %
