N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
254        OMPGLBWS   5     16         1          25         1          0.000009702891  0.000000966340  0.10       9.96      %
255        OMPGLBWS   5     16         1          25         2          0.000015479326  0.000000966340  0.06       3.12      %
256        OMPGLBWS   5     16         1          25         4          0.000018594414  0.000000966340  0.05       1.30      %
257        OMPGLBWS   5     16         1          25         8          0.000026974082  0.000000966340  0.04       0.45      %
258        OMPGLBWS   5     16         1          25         16         0.000038447231  0.000000966340  0.03       0.16      %
259        OMPGLBWS   5     16         1          25         32         0.000086219609  0.000000966340  0.01       0.04      %
260        OMPGLBWS   5     16         1          25         64         0.005742324144  0.000000966340  0.00       0.00      %
261        OMPGLBWS   5     32         1          25         1          0.000018988550  0.000003247708  0.17       17.10     %
262        OMPGLBWS   5     32         1          25         2          0.000012578070  0.000003247708  0.26       12.91     %
263        OMPGLBWS   5     32         1          25         4          0.000030569732  0.000003247708  0.11       2.66      %
264        OMPGLBWS   5     32         1          25         8          0.000027189404  0.000003247708  0.12       1.49      %
265        OMPGLBWS   5     32         1          25         16         0.000038052350  0.000003247708  0.09       0.53      %
266        OMPGLBWS   5     32         1          25         32         0.000078667700  0.000003247708  0.04       0.13      %
267        OMPGLBWS   5     32         1          25         64         0.001000106335  0.000003247708  0.00       0.01      %
268        OMPGLBWS   5     64         1          25         1          0.000028834492  0.000010850281  0.38       37.63     %
269        OMPGLBWS   5     64         1          25         2          0.000022756308  0.000010850281  0.48       23.84     %
270        OMPGLBWS   5     64         1          25         4          0.000025389344  0.000010850281  0.43       10.68     %
271        OMPGLBWS   5     64         1          25         8          0.000029490888  0.000010850281  0.37       4.60      %
272        OMPGLBWS   5     64         1          25         16         0.000039411336  0.000010850281  0.28       1.72      %
273        OMPGLBWS   5     64         1          25         32         0.000079421699  0.000010850281  0.14       0.43      %
274        OMPGLBWS   5     64         1          25         64         0.001007789373  0.000010850281  0.01       0.02      %
275        OMPGLBWS   5     128        1          25         1          0.000028474629  0.000047516823  1.67       166.87    %
276        OMPGLBWS   5     128        1          25         2          0.000029734522  0.000047516823  1.60       79.90     %
277        OMPGLBWS   5     128        1          25         4          0.000030753016  0.000047516823  1.55       38.63     %
278        OMPGLBWS   5     128        1          25         8          0.000033672154  0.000047516823  1.41       17.64     %
279        OMPGLBWS   5     128        1          25         16         0.000042529404  0.000047516823  1.12       6.98      %
280        OMPGLBWS   5     128        1          25         32         0.000084412098  0.000047516823  0.56       1.76      %
281        OMPGLBWS   5     128        1          25         64         0.000761491060  0.000047516823  0.06       0.10      %
282        OMPGLBWS   5     256        1          25         1          0.000099501014  0.000218994915  2.20       220.09    %
283        OMPGLBWS   5     256        1          25         2          0.000083850324  0.000218994915  2.61       130.59    %
284        OMPGLBWS   5     256        1          25         4          0.000059643388  0.000218994915  3.67       91.79     %
285        OMPGLBWS   5     256        1          25         8          0.000054976344  0.000218994915  3.98       49.79     %
286        OMPGLBWS   5     256        1          25         16         0.000059723854  0.000218994915  3.67       22.92     %
287        OMPGLBWS   5     256        1          25         32         0.000098240376  0.000218994915  2.23       6.97      %
288        OMPGLBWS   5     256        1          25         64         0.000879862905  0.000218994915  0.25       0.39      %
289        OMPGLBWS   5     512        1          25         1          0.000387334824  0.000664002448  1.71       171.43    %
290        OMPGLBWS   5     512        1          25         2          0.000296336412  0.000664002448  2.24       112.04    %
291        OMPGLBWS   5     512        1          25         4          0.000175645947  0.000664002448  3.78       94.51     %
292        OMPGLBWS   5     512        1          25         8          0.000121966004  0.000664002448  5.44       68.05     %
293        OMPGLBWS   5     512        1          25         16         0.000121416897  0.000664002448  5.47       34.18     %
294        OMPGLBWS   5     512        1          25         32         0.000154474378  0.000664002448  4.30       13.43     %
295        OMPGLBWS   5     512        1          25         64         0.000869503617  0.000664002448  0.76       1.19      %
296        OMPGLBWS   5     1024       1          25         1          0.001592364162  0.003063218296  1.92       192.37    %
297        OMPGLBWS   5     1024       1          25         2          0.001147667319  0.003063218296  2.67       133.45    %
298        OMPGLBWS   5     1024       1          25         4          0.000628413260  0.003063218296  4.87       121.86    %
299        OMPGLBWS   5     1024       1          25         8          0.000392527133  0.003063218296  7.80       97.55     %
300        OMPGLBWS   5     1024       1          25         16         0.000327762961  0.003063218296  9.35       58.41     %
301        OMPGLBWS   5     1024       1          25         32         0.000373788178  0.003063218296  8.20       25.61     %
302        OMPGLBWS   5     1024       1          25         64         0.001067724079  0.003063218296  2.87       4.48      %
303        OMPGLBWS   5     2048       1          25         1          0.022053293884  0.025305599719  1.15       114.75    %
304        OMPGLBWS   5     2048       1          25         2          0.011427668482  0.025305599719  2.21       110.72    %
305        OMPGLBWS   5     2048       1          25         4          0.006393141299  0.025305599719  3.96       98.96     %
306        OMPGLBWS   5     2048       1          25         8          0.003579509258  0.025305599719  7.07       88.37     %
307        OMPGLBWS   5     2048       1          25         16         0.002112796903  0.025305599719  11.98      74.86     %
308        OMPGLBWS   5     2048       1          25         32         0.001738245785  0.025305599719  14.56      45.49     %
