N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
317        OMPLOCBB   6     16         1          25         1          0.000004501641  0.000000966340  0.21       21.47     %
318        OMPLOCBB   6     16         1          25         2          0.000014337897  0.000000966340  0.07       3.37      %
319        OMPLOCBB   6     16         1          25         4          0.000022620708  0.000000966340  0.04       1.07      %
320        OMPLOCBB   6     16         1          25         8          0.000030542910  0.000000966340  0.03       0.40      %
321        OMPLOCBB   6     16         1          25         16         0.000043685734  0.000000966340  0.02       0.14      %
322        OMPLOCBB   6     16         1          25         32         0.000092148781  0.000000966340  0.01       0.03      %
323        OMPLOCBB   6     16         1          25         64         0.012453906983  0.000000966340  0.00       0.00      %
324        OMPLOCBB   6     32         1          25         1          0.000018347055  0.000003247708  0.18       17.70     %
325        OMPLOCBB   6     32         1          25         2          0.000015453249  0.000003247708  0.21       10.51     %
326        OMPLOCBB   6     32         1          25         4          0.000021464378  0.000003247708  0.15       3.78      %
327        OMPLOCBB   6     32         1          25         8          0.000031599402  0.000003247708  0.10       1.28      %
328        OMPLOCBB   6     32         1          25         16         0.000042479485  0.000003247708  0.08       0.48      %
329        OMPLOCBB   6     32         1          25         32         0.000085883588  0.000003247708  0.04       0.12      %
330        OMPLOCBB   6     32         1          25         64         0.007230774313  0.000003247708  0.00       0.00      %
331        OMPLOCBB   6     64         1          25         1          0.000019557774  0.000010850281  0.55       55.48     %
332        OMPLOCBB   6     64         1          25         2          0.000020850450  0.000010850281  0.52       26.02     %
333        OMPLOCBB   6     64         1          25         4          0.000028732419  0.000010850281  0.38       9.44      %
334        OMPLOCBB   6     64         1          25         8          0.000031969696  0.000010850281  0.34       4.24      %
335        OMPLOCBB   6     64         1          25         16         0.000041033328  0.000010850281  0.26       1.65      %
336        OMPLOCBB   6     64         1          25         32         0.000085734576  0.000010850281  0.13       0.40      %
337        OMPLOCBB   6     64         1          25         64         0.005301601440  0.000010850281  0.00       0.00      %
338        OMPLOCBB   6     128        1          25         1          0.000016875565  0.000047516823  2.82       281.57    %
339        OMPLOCBB   6     128        1          25         2          0.000027839094  0.000047516823  1.71       85.34     %
340        OMPLOCBB   6     128        1          25         4          0.000030242652  0.000047516823  1.57       39.28     %
341        OMPLOCBB   6     128        1          25         8          0.000036907196  0.000047516823  1.29       16.09     %
342        OMPLOCBB   6     128        1          25         16         0.000045710802  0.000047516823  1.04       6.50      %
343        OMPLOCBB   6     128        1          25         32         0.000089986622  0.000047516823  0.53       1.65      %
344        OMPLOCBB   6     128        1          25         64         0.000949407369  0.000047516823  0.05       0.08      %
345        OMPLOCBB   6     256        1          25         1          0.000052392483  0.000218994915  4.18       417.99    %
346        OMPLOCBB   6     256        1          25         2          0.000075449795  0.000218994915  2.90       145.13    %
347        OMPLOCBB   6     256        1          25         4          0.000051560998  0.000218994915  4.25       106.18    %
348        OMPLOCBB   6     256        1          25         8          0.000050692260  0.000218994915  4.32       54.00     %
349        OMPLOCBB   6     256        1          25         16         0.000054943562  0.000218994915  3.99       24.91     %
350        OMPLOCBB   6     256        1          25         32         0.000096784532  0.000218994915  2.26       7.07      %
351        OMPLOCBB   6     256        1          25         64         0.000966488570  0.000218994915  0.23       0.35      %
352        OMPLOCBB   6     512        1          25         1          0.000215649605  0.000664002448  3.08       307.91    %
353        OMPLOCBB   6     512        1          25         2          0.000315970182  0.000664002448  2.10       105.07    %
354        OMPLOCBB   6     512        1          25         4          0.000179240853  0.000664002448  3.70       92.61     %
355        OMPLOCBB   6     512        1          25         8          0.000150883198  0.000664002448  4.40       55.01     %
356        OMPLOCBB   6     512        1          25         16         0.000118619949  0.000664002448  5.60       34.99     %
357        OMPLOCBB   6     512        1          25         32         0.000151338428  0.000664002448  4.39       13.71     %
358        OMPLOCBB   6     512        1          25         64         0.001015113294  0.000664002448  0.65       1.02      %
359        OMPLOCBB   6     1024       1          25         1          0.000987233967  0.003063218296  3.10       310.28    %
360        OMPLOCBB   6     1024       1          25         2          0.001184567064  0.003063218296  2.59       129.30    %
361        OMPLOCBB   6     1024       1          25         4          0.000647455454  0.003063218296  4.73       118.28    %
362        OMPLOCBB   6     1024       1          25         8          0.000450009108  0.003063218296  6.81       85.09     %
363        OMPLOCBB   6     1024       1          25         16         0.000340463221  0.003063218296  9.00       56.23     %
364        OMPLOCBB   6     1024       1          25         32         0.000379204750  0.003063218296  8.08       25.24     %
365        OMPLOCBB   6     1024       1          25         64         0.001288743317  0.003063218296  2.38       3.71      %
366        OMPLOCBB   6     2048       1          25         1          0.009341610968  0.025305599719  2.71       270.89    %
367        OMPLOCBB   6     2048       1          25         2          0.006945929676  0.025305599719  3.64       182.16    %
368        OMPLOCBB   6     2048       1          25         4          0.003842400014  0.025305599719  6.59       164.65    %
369        OMPLOCBB   6     2048       1          25         8          0.002302017808  0.025305599719  10.99      137.41    %
370        OMPLOCBB   6     2048       1          25         16         0.001588004827  0.025305599719  15.94      99.60     %
371        OMPLOCBB   6     2048       1          25         32         0.001518614590  0.025305599719  16.66      52.07     %
372        OMPLOCBB   6     2048       1          25         64         0.002054740489  0.025305599719  12.32      19.24     %
373        OMPLOCBB   6     4096       1          25         1          0.052643191069  0.121311741322  2.30       230.44    %
374        OMPLOCBB   6     4096       1          25         2          0.032347244024  0.121311741322  3.75       187.51    %
375        OMPLOCBB   6     4096       1          25         4          0.017610482872  0.121311741322  6.89       172.22    %
376        OMPLOCBB   6     4096       1          25         8          0.011419562995  0.121311741322  10.62      132.79    %
377        OMPLOCBB   6     4096       1          25         16         0.008139624447  0.121311741322  14.90      93.15     %
378        OMPLOCBB   6     4096       1          25         32         0.007123165578  0.121311741322  17.03      53.22     %
379        OMPLOCBB   6     4096       1          25         64         0.008663877845  0.121311741322  14.00      21.88     %
758        OMPLOCBB   6     16         2          25         1          0.000011376292  0.000001508743  0.13       13.26     %
759        OMPLOCBB   6     16         2          25         2          0.000016231835  0.000001508743  0.09       4.65      %
760        OMPLOCBB   6     16         2          25         4          0.000023068488  0.000001508743  0.07       1.64      %
761        OMPLOCBB   6     16         2          25         8          0.000024269521  0.000001508743  0.06       0.78      %
762        OMPLOCBB   6     16         2          25         16         0.000031956285  0.000001508743  0.05       0.30      %
763        OMPLOCBB   6     16         2          25         32         0.000071123987  0.000001508743  0.02       0.07      %
764        OMPLOCBB   6     16         2          25         64         0.000842274725  0.000001508743  0.00       0.00      %
765        OMPLOCBB   6     32         2          25         1          0.000019797683  0.000003513694  0.18       17.75     %
766        OMPLOCBB   6     32         2          25         2          0.000019297749  0.000003513694  0.18       9.10      %
767        OMPLOCBB   6     32         2          25         4          0.000032386184  0.000003513694  0.11       2.71      %
768        OMPLOCBB   6     32         2          25         8          0.000026596338  0.000003513694  0.13       1.65      %
769        OMPLOCBB   6     32         2          25         16         0.000034941733  0.000003513694  0.10       0.63      %
770        OMPLOCBB   6     32         2          25         32         0.000074733049  0.000003513694  0.05       0.15      %
771        OMPLOCBB   6     32         2          25         64         0.000864559412  0.000003513694  0.00       0.01      %
772        OMPLOCBB   6     64         2          25         1          0.000033176690  0.000010496378  0.32       31.64     %
773        OMPLOCBB   6     64         2          25         2          0.000028498471  0.000010496378  0.37       18.42     %
774        OMPLOCBB   6     64         2          25         4          0.000029422343  0.000010496378  0.36       8.92      %
775        OMPLOCBB   6     64         2          25         8          0.000032099336  0.000010496378  0.33       4.09      %
776        OMPLOCBB   6     64         2          25         16         0.000040449202  0.000010496378  0.26       1.62      %
777        OMPLOCBB   6     64         2          25         32         0.000078164786  0.000010496378  0.13       0.42      %
778        OMPLOCBB   6     64         2          25         64         0.000832637399  0.000010496378  0.01       0.02      %
779        OMPLOCBB   6     128        2          25         1          0.000049732625  0.000037443638  0.75       75.29     %
780        OMPLOCBB   6     128        2          25         2          0.000043413043  0.000037443638  0.86       43.12     %
781        OMPLOCBB   6     128        2          25         4          0.000043218583  0.000037443638  0.87       21.66     %
782        OMPLOCBB   6     128        2          25         8          0.000033573806  0.000037443638  1.12       13.94     %
783        OMPLOCBB   6     128        2          25         16         0.000040911138  0.000037443638  0.92       5.72      %
784        OMPLOCBB   6     128        2          25         32         0.000074340403  0.000037443638  0.50       1.57      %
785        OMPLOCBB   6     128        2          25         64         0.000754165649  0.000037443638  0.05       0.08      %
786        OMPLOCBB   6     256        2          25         1          0.000052528828  0.000142402947  2.71       271.09    %
787        OMPLOCBB   6     256        2          25         2          0.000076931715  0.000142402947  1.85       92.55     %
788        OMPLOCBB   6     256        2          25         4          0.000062929094  0.000142402947  2.26       56.57     %
789        OMPLOCBB   6     256        2          25         8          0.000055076182  0.000142402947  2.59       32.32     %
790        OMPLOCBB   6     256        2          25         16         0.000055468827  0.000142402947  2.57       16.05     %
791        OMPLOCBB   6     256        2          25         32         0.000086405128  0.000142402947  1.65       5.15      %
792        OMPLOCBB   6     256        2          25         64         0.000721031427  0.000142402947  0.20       0.31      %
793        OMPLOCBB   6     512        2          25         1          0.000212152302  0.000687656552  3.24       324.13    %
794        OMPLOCBB   6     512        2          25         2          0.000279024243  0.000687656552  2.46       123.23    %
795        OMPLOCBB   6     512        2          25         4          0.000174194574  0.000687656552  3.95       98.69     %
796        OMPLOCBB   6     512        2          25         8          0.000122425705  0.000687656552  5.62       70.21     %
797        OMPLOCBB   6     512        2          25         16         0.000103586912  0.000687656552  6.64       41.49     %
