N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
191        OMPLOCWS   4     16         1          25         1          0.000006119907  0.000000966340  0.16       15.79     %
192        OMPLOCWS   4     16         1          25         2          0.000012762100  0.000000966340  0.08       3.79      %
193        OMPLOCWS   4     16         1          25         4          0.000021764636  0.000000966340  0.04       1.11      %
194        OMPLOCWS   4     16         1          25         8          0.000030571967  0.000000966340  0.03       0.40      %
195        OMPLOCWS   4     16         1          25         16         0.000043350458  0.000000966340  0.02       0.14      %
196        OMPLOCWS   4     16         1          25         32         0.000090325624  0.000000966340  0.01       0.03      %
197        OMPLOCWS   4     16         1          25         64         0.017343658209  0.000000966340  0.00       0.00      %
198        OMPLOCWS   4     32         1          25         1          0.000006831437  0.000003247708  0.48       47.54     %
199        OMPLOCWS   4     32         1          25         2          0.000013020635  0.000003247708  0.25       12.47     %
200        OMPLOCWS   4     32         1          25         4          0.000022963434  0.000003247708  0.14       3.54      %
201        OMPLOCWS   4     32         1          25         8          0.000031168759  0.000003247708  0.10       1.30      %
202        OMPLOCWS   4     32         1          25         16         0.000041805208  0.000003247708  0.08       0.49      %
203        OMPLOCWS   4     32         1          25         32         0.000090101361  0.000003247708  0.04       0.11      %
204        OMPLOCWS   4     32         1          25         64         0.010137915611  0.000003247708  0.00       0.00      %
205        OMPLOCWS   4     64         1          25         1          0.000023133308  0.000010850281  0.47       46.90     %
206        OMPLOCWS   4     64         1          25         2          0.000016486645  0.000010850281  0.66       32.91     %
207        OMPLOCWS   4     64         1          25         4          0.000025232136  0.000010850281  0.43       10.75     %
208        OMPLOCWS   4     64         1          25         8          0.000033526868  0.000010850281  0.32       4.05      %
209        OMPLOCWS   4     64         1          25         16         0.000043977052  0.000010850281  0.25       1.54      %
210        OMPLOCWS   4     64         1          25         32         0.000090616196  0.000010850281  0.12       0.37      %
211        OMPLOCWS   4     64         1          25         64         0.014907757938  0.000010850281  0.00       0.00      %
212        OMPLOCWS   4     128        1          25         1          0.000028877705  0.000047516823  1.65       164.55    %
213        OMPLOCWS   4     128        1          25         2          0.000031764060  0.000047516823  1.50       74.80     %
214        OMPLOCWS   4     128        1          25         4          0.000032753497  0.000047516823  1.45       36.27     %
215        OMPLOCWS   4     128        1          25         8          0.000034824759  0.000047516823  1.36       17.06     %
216        OMPLOCWS   4     128        1          25         16         0.000047219545  0.000047516823  1.01       6.29      %
217        OMPLOCWS   4     128        1          25         32         0.000095545501  0.000047516823  0.50       1.55      %
218        OMPLOCWS   4     128        1          25         64         0.001084536314  0.000047516823  0.04       0.07      %
219        OMPLOCWS   4     256        1          25         1          0.000101386756  0.000218994915  2.16       216.00    %
