N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          SO0        1     16         1          25         1          0.000000966340  0.000000966340  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000003247708  0.000003247708  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000010850281  0.000010850281  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000047516823  0.000047516823  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000218994915  0.000218994915  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000664002448  0.000664002448  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.003063218296  0.003063218296  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.025305599719  0.025305599719  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.121311741322  0.121311741322  1.00       100.00    %
443        SO0        1     16         2          25         1          0.000001508743  0.000001508743  1.00       100.00    %
444        SO0        1     32         2          25         1          0.000003513694  0.000003513694  1.00       100.00    %
445        SO0        1     64         2          25         1          0.000010496378  0.000010496378  1.00       100.00    %
446        SO0        1     128        2          25         1          0.000037443638  0.000037443638  1.00       100.00    %
447        SO0        1     256        2          25         1          0.000142402947  0.000142402947  1.00       100.00    %
448        SO0        1     512        2          25         1          0.000687656552  0.000687656552  1.00       100.00    %
449        SO0        1     1024       2          25         1          0.004275337607  0.004275337607  1.00       100.00    %
450        SO0        1     2048       2          25         1          0.018748530000  0.018748530000  1.00       100.00    %
451        SO0        1     4096       2          25         1          0.082233271748  0.082233271748  1.00       100.00    %
884        SO0        1     16         3          25         1          0.000001728535  0.000001728535  1.00       100.00    %
885        SO0        1     32         3          25         1          0.000005432963  0.000005432963  1.00       100.00    %
886        SO0        1     64         3          25         1          0.000019841641  0.000019841641  1.00       100.00    %
887        SO0        1     128        3          25         1          0.000077294558  0.000077294558  1.00       100.00    %
888        SO0        1     256        3          25         1          0.000331019610  0.000331019610  1.00       100.00    %
889        SO0        1     512        3          25         1          0.001362206042  0.001362206042  1.00       100.00    %
890        SO0        1     1024       3          25         1          0.006955866516  0.006955866516  1.00       100.00    %
891        SO0        1     2048       3          25         1          0.043477707356  0.043477707356  1.00       100.00    %
892        SO0        1     4096       3          25         1          0.200415651500  0.200415651500  1.00       100.00    %
