N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          SO0        1     16         1          25         1          0.000001154840 
2          SO0        1     16         1          25         1          0.000001013279 
3          SO0        1     16         1          25         1          0.000000946224 
4          SO0        1     16         1          25         1          0.000000938773 
5          SO0        1     16         1          25         1          0.000000946224 
6          SO0        1     16         1          25         1          0.000000938773 
7          SO0        1     16         1          25         1          0.000000968575 
8          SO0        1     16         1          25         1          0.000000953674 
9          SO0        1     16         1          25         1          0.000000856817 
10         SO0        1     16         1          25         1          0.000001035631 
11         SO0        1     16         1          25         1          0.000000976026 
12         SO0        1     16         1          25         1          0.000000901520 
13         SO0        1     16         1          25         1          0.000000976026 
14         SO0        1     16         1          25         1          0.000001013279 
15         SO0        1     16         1          25         1          0.000000871718 
16         SO0        1     16         1          25         1          0.000000990927 
17         SO0        1     16         1          25         1          0.000000953674 
18         SO0        1     16         1          25         1          0.000000983477 
19         SO0        1     16         1          25         1          0.000000916421 
20         SO0        1     16         1          25         1          0.000001147389 
21         SO0        1     16         1          25         1          0.000000968575 
22         SO0        1     16         1          25         1          0.000001102686 
23         SO0        1     16         1          25         1          0.000001102686 
24         SO0        1     16         1          25         1          0.000001057982 
25         SO0        1     16         1          25         1          0.000000908971 
26         SO0        1     32         1          25         1          0.000002987683 
27         SO0        1     32         1          25         1          0.000003315508 
28         SO0        1     32         1          25         1          0.000003486872 
29         SO0        1     32         1          25         1          0.000002920628 
30         SO0        1     32         1          25         1          0.000003293157 
31         SO0        1     32         1          25         1          0.000003270805 
32         SO0        1     32         1          25         1          0.000002935529 
33         SO0        1     32         1          25         1          0.000003613532 
34         SO0        1     32         1          25         1          0.000003263354 
35         SO0        1     32         1          25         1          0.000003114343 
36         SO0        1     32         1          25         1          0.000003293157 
37         SO0        1     32         1          25         1          0.000003330410 
38         SO0        1     32         1          25         1          0.000003300607 
39         SO0        1     32         1          25         1          0.000003546476 
40         SO0        1     32         1          25         1          0.000003278255 
41         SO0        1     32         1          25         1          0.000002920628 
42         SO0        1     32         1          25         1          0.000002950430 
43         SO0        1     32         1          25         1          0.000002928078 
44         SO0        1     32         1          25         1          0.000003248453 
45         SO0        1     32         1          25         1          0.000003263354 
46         SO0        1     32         1          25         1          0.000002935529 
47         SO0        1     32         1          25         1          0.000003322959 
48         SO0        1     32         1          25         1          0.000003568828 
49         SO0        1     32         1          25         1          0.000003151596 
50         SO0        1     32         1          25         1          0.000003434718 
51         SO0        1     64         1          25         1          0.000010348856 
52         SO0        1     64         1          25         1          0.000010751188 
53         SO0        1     64         1          25         1          0.000010997057 
54         SO0        1     64         1          25         1          0.000010602176 
55         SO0        1     64         1          25         1          0.000010602176 
56         SO0        1     64         1          25         1          0.000011235476 
57         SO0        1     64         1          25         1          0.000011444092 
58         SO0        1     64         1          25         1          0.000010684133 
59         SO0        1     64         1          25         1          0.000011280179 
60         SO0        1     64         1          25         1          0.000011354685 
61         SO0        1     64         1          25         1          0.000010289252 
62         SO0        1     64         1          25         1          0.000011190772 
63         SO0        1     64         1          25         1          0.000010691583 
64         SO0        1     64         1          25         1          0.000010788441 
65         SO0        1     64         1          25         1          0.000010065734 
66         SO0        1     64         1          25         1          0.000011481345 
67         SO0        1     64         1          25         1          0.000011101365 
68         SO0        1     64         1          25         1          0.000010341406 
69         SO0        1     64         1          25         1          0.000010900199 
70         SO0        1     64         1          25         1          0.000010952353 
71         SO0        1     64         1          25         1          0.000010065734 
72         SO0        1     64         1          25         1          0.000011451542 
73         SO0        1     64         1          25         1          0.000011034310 
74         SO0        1     64         1          25         1          0.000009953976 
75         SO0        1     64         1          25         1          0.000011183321 
76         SO0        1     128        1          25         1          0.000037439167 
77         SO0        1     128        1          25         1          0.000049374998 
78         SO0        1     128        1          25         1          0.000049009919 
79         SO0        1     128        1          25         1          0.000043757260 
80         SO0        1     128        1          25         1          0.000050924718 
81         SO0        1     128        1          25         1          0.000047959387 
82         SO0        1     128        1          25         1          0.000042915344 
83         SO0        1     128        1          25         1          0.000051379204 
84         SO0        1     128        1          25         1          0.000060424209 
85         SO0        1     128        1          25         1          0.000043913722 
86         SO0        1     128        1          25         1          0.000049412251 
87         SO0        1     128        1          25         1          0.000048413873 
88         SO0        1     128        1          25         1          0.000042803586 
89         SO0        1     128        1          25         1          0.000049620867 
90         SO0        1     128        1          25         1          0.000046826899 
91         SO0        1     128        1          25         1          0.000044271350 
92         SO0        1     128        1          25         1          0.000051803887 
93         SO0        1     128        1          25         1          0.000047825277 
94         SO0        1     128        1          25         1          0.000042989850 
95         SO0        1     128        1          25         1          0.000052087009 
96         SO0        1     128        1          25         1          0.000047922134 
97         SO0        1     128        1          25         1          0.000046975911 
98         SO0        1     128        1          25         1          0.000043503940 
99         SO0        1     128        1          25         1          0.000061705709 
100        SO0        1     128        1          25         1          0.000046588480 
101        SO0        1     256        1          25         1          0.000148184597 
102        SO0        1     256        1          25         1          0.000226967037 
103        SO0        1     256        1          25         1          0.000229656696 
104        SO0        1     256        1          25         1          0.000183656812 
105        SO0        1     256        1          25         1          0.000222787261 
106        SO0        1     256        1          25         1          0.000220373273 
107        SO0        1     256        1          25         1          0.000223517418 
108        SO0        1     256        1          25         1          0.000188969076 
109        SO0        1     256        1          25         1          0.000228017569 
110        SO0        1     256        1          25         1          0.000223092735 
111        SO0        1     256        1          25         1          0.000224187970 
112        SO0        1     256        1          25         1          0.000184729695 
113        SO0        1     256        1          25         1          0.000217936933 
114        SO0        1     256        1          25         1          0.000225238502 
115        SO0        1     256        1          25         1          0.000183813274 
116        SO0        1     256        1          25         1          0.000223785639 
117        SO0        1     256        1          25         1          0.000222519040 
118        SO0        1     256        1          25         1          0.000190541148 
119        SO0        1     256        1          25         1          0.000224418938 
120        SO0        1     256        1          25         1          0.000224053860 
121        SO0        1     256        1          25         1          0.000188231468 
122        SO0        1     256        1          25         1          0.000223845243 
123        SO0        1     256        1          25         1          0.000224217772 
124        SO0        1     256        1          25         1          0.000185847282 
125        SO0        1     256        1          25         1          0.000221550465 
126        SO0        1     512        1          25         1          0.000642739236 
127        SO0        1     512        1          25         1          0.000669501722 
128        SO0        1     512        1          25         1          0.000677809119 
129        SO0        1     512        1          25         1          0.000661730766 
130        SO0        1     512        1          25         1          0.000669486821 
131        SO0        1     512        1          25         1          0.000662304461 
132        SO0        1     512        1          25         1          0.000666350126 
133        SO0        1     512        1          25         1          0.000668510795 
134        SO0        1     512        1          25         1          0.000658012927 
135        SO0        1     512        1          25         1          0.000660397112 
136        SO0        1     512        1          25         1          0.000669561327 
137        SO0        1     512        1          25         1          0.000666938722 
138        SO0        1     512        1          25         1          0.000656761229 
139        SO0        1     512        1          25         1          0.000661365688 
140        SO0        1     512        1          25         1          0.000667966902 
141        SO0        1     512        1          25         1          0.000664368272 
142        SO0        1     512        1          25         1          0.000660195947 
143        SO0        1     512        1          25         1          0.000669583678 
144        SO0        1     512        1          25         1          0.000661917031 
145        SO0        1     512        1          25         1          0.000660628080 
146        SO0        1     512        1          25         1          0.000665076077 
147        SO0        1     512        1          25         1          0.000666312873 
148        SO0        1     512        1          25         1          0.000663287938 
149        SO0        1     512        1          25         1          0.000667266548 
150        SO0        1     512        1          25         1          0.000661738217 
151        SO0        1     1024       1          25         1          0.003020957112 
152        SO0        1     1024       1          25         1          0.003044359386 
153        SO0        1     1024       1          25         1          0.003095619380 
154        SO0        1     1024       1          25         1          0.003031730652 
155        SO0        1     1024       1          25         1          0.003072828054 
156        SO0        1     1024       1          25         1          0.003094449639 
