N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2477       R2         3     16         1          25         1          0.000000715256 
2478       R2         3     16         1          25         1          0.000001676381 
2479       R2         3     16         1          25         1          0.000001452863 
2480       R2         3     16         1          25         1          0.000001363456 
2481       R2         3     16         1          25         1          0.000001288950 
2482       R2         3     16         1          25         1          0.000001139939 
2483       R2         3     16         1          25         1          0.000001437962 
2484       R2         3     16         1          25         1          0.000001408160 
2485       R2         3     16         1          25         1          0.000001385808 
2486       R2         3     16         1          25         1          0.000001288950 
2487       R2         3     16         1          25         1          0.000001400709 
2488       R2         3     16         1          25         1          0.000001572073 
2489       R2         3     16         1          25         1          0.000001356006 
2490       R2         3     16         1          25         1          0.000001050532 
2491       R2         3     16         1          25         1          0.000001646578 
2492       R2         3     16         1          25         1          0.000001482666 
2493       R2         3     16         1          25         1          0.000001087785 
2494       R2         3     16         1          25         1          0.000001423061 
2495       R2         3     16         1          25         1          0.000001415610 
2496       R2         3     16         1          25         1          0.000001192093 
2497       R2         3     16         1          25         1          0.000001400709 
2498       R2         3     16         1          25         1          0.000001460314 
2499       R2         3     16         1          25         1          0.000001356006 
2500       R2         3     16         1          25         1          0.000001423061 
2501       R2         3     16         1          25         1          0.000001221895 
2502       R2         3     32         1          25         1          0.000001199543 
2503       R2         3     32         1          25         1          0.000003576279 
2504       R2         3     32         1          25         1          0.000003784895 
2505       R2         3     32         1          25         1          0.000003464520 
2506       R2         3     32         1          25         1          0.000003576279 
2507       R2         3     32         1          25         1          0.000003613532 
2508       R2         3     32         1          25         1          0.000003658235 
2509       R2         3     32         1          25         1          0.000003390014 
2510       R2         3     32         1          25         1          0.000003583729 
2511       R2         3     32         1          25         1          0.000003531575 
2512       R2         3     32         1          25         1          0.000003628433 
2513       R2         3     32         1          25         1          0.000003166497 
2514       R2         3     32         1          25         1          0.000003486872 
2515       R2         3     32         1          25         1          0.000003643334 
2516       R2         3     32         1          25         1          0.000002995133 
2517       R2         3     32         1          25         1          0.000003583729 
2518       R2         3     32         1          25         1          0.000003516674 
2519       R2         3     32         1          25         1          0.000003531575 
2520       R2         3     32         1          25         1          0.000003032386 
2521       R2         3     32         1          25         1          0.000003643334 
2522       R2         3     32         1          25         1          0.000003792346 
2523       R2         3     32         1          25         1          0.000003486872 
2524       R2         3     32         1          25         1          0.000001229346 
2525       R2         3     32         1          25         1          0.000003196299 
2526       R2         3     32         1          25         1          0.000003591180 
2527       R2         3     64         1          25         1          0.000002987683 
2528       R2         3     64         1          25         1          0.000010631979 
2529       R2         3     64         1          25         1          0.000010229647 
2530       R2         3     64         1          25         1          0.000010259449 
2531       R2         3     64         1          25         1          0.000010535121 
2532       R2         3     64         1          25         1          0.000004157424 
2533       R2         3     64         1          25         1          0.000009909272 
2534       R2         3     64         1          25         1          0.000010326505 
2535       R2         3     64         1          25         1          0.000010490417 
2536       R2         3     64         1          25         1          0.000010222197 
2537       R2         3     64         1          25         1          0.000010319054 
2538       R2         3     64         1          25         1          0.000010423362 
2539       R2         3     64         1          25         1          0.000010073185 
2540       R2         3     64         1          25         1          0.000010378659 
2541       R2         3     64         1          25         1          0.000010669231 
2542       R2         3     64         1          25         1          0.000010356307 
2543       R2         3     64         1          25         1          0.000010602176 
2544       R2         3     64         1          25         1          0.000010415912 
2545       R2         3     64         1          25         1          0.000010281801 
2546       R2         3     64         1          25         1          0.000010348856 
2547       R2         3     64         1          25         1          0.000010371208 
2548       R2         3     64         1          25         1          0.000010222197 
2549       R2         3     64         1          25         1          0.000010661781 
2550       R2         3     64         1          25         1          0.000010572374 
2551       R2         3     64         1          25         1          0.000010229647 
2552       R2         3     128        1          25         1          0.000010967255 
2553       R2         3     128        1          25         1          0.000038430095 
2554       R2         3     128        1          25         1          0.000039190054 
2555       R2         3     128        1          25         1          0.000014342368 
2556       R2         3     128        1          25         1          0.000014081597 
2557       R2         3     128        1          25         1          0.000017270446 
2558       R2         3     128        1          25         1          0.000013887882 
2559       R2         3     128        1          25         1          0.000015199184 
2560       R2         3     128        1          25         1          0.000016324222 
