N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
227        I2         2     16         1          25         1          0.000000603497 
228        I2         2     16         1          25         1          0.000001467764 
229        I2         2     16         1          25         1          0.000001482666 
230        I2         2     16         1          25         1          0.000001378357 
231        I2         2     16         1          25         1          0.000001318753 
232        I2         2     16         1          25         1          0.000001378357 
233        I2         2     16         1          25         1          0.000001452863 
234        I2         2     16         1          25         1          0.000001356006 
235        I2         2     16         1          25         1          0.000001177192 
236        I2         2     16         1          25         1          0.000001348555 
237        I2         2     16         1          25         1          0.000000581145 
238        I2         2     16         1          25         1          0.000000998378 
239        I2         2     16         1          25         1          0.000001348555 
240        I2         2     16         1          25         1          0.000001333654 
241        I2         2     16         1          25         1          0.000001378357 
242        I2         2     16         1          25         1          0.000001326203 
243        I2         2     16         1          25         1          0.000001311302 
244        I2         2     16         1          25         1          0.000001400709 
245        I2         2     16         1          25         1          0.000001296401 
246        I2         2     16         1          25         1          0.000001296401 
247        I2         2     16         1          25         1          0.000001333654 
248        I2         2     16         1          25         1          0.000000551343 
249        I2         2     16         1          25         1          0.000000536442 
250        I2         2     16         1          25         1          0.000001385808 
251        I2         2     16         1          25         1          0.000001385808 
252        I2         2     32         1          25         1          0.000000961125 
253        I2         2     32         1          25         1          0.000003375113 
254        I2         2     32         1          25         1          0.000003330410 
255        I2         2     32         1          25         1          0.000003352761 
256        I2         2     32         1          25         1          0.000003114343 
257        I2         2     32         1          25         1          0.000003427267 
258        I2         2     32         1          25         1          0.000003345311 
259        I2         2     32         1          25         1          0.000003322959 
260        I2         2     32         1          25         1          0.000003337860 
261        I2         2     32         1          25         1          0.000003293157 
262        I2         2     32         1          25         1          0.000001229346 
263        I2         2     32         1          25         1          0.000003315508 
264        I2         2     32         1          25         1          0.000003367662 
265        I2         2     32         1          25         1          0.000003449619 
266        I2         2     32         1          25         1          0.000003390014 
267        I2         2     32         1          25         1          0.000003345311 
268        I2         2     32         1          25         1          0.000001341105 
269        I2         2     32         1          25         1          0.000003382564 
270        I2         2     32         1          25         1          0.000003337860 
271        I2         2     32         1          25         1          0.000003062189 
272        I2         2     32         1          25         1          0.000003375113 
273        I2         2     32         1          25         1          0.000003360212 
274        I2         2     32         1          25         1          0.000003345311 
275        I2         2     32         1          25         1          0.000003278255 
276        I2         2     32         1          25         1          0.000003486872 
277        I2         2     64         1          25         1          0.000002898276 
278        I2         2     64         1          25         1          0.000004120171 
279        I2         2     64         1          25         1          0.000003635883 
280        I2         2     64         1          25         1          0.000003561378 
281        I2         2     64         1          25         1          0.000010401011 
282        I2         2     64         1          25         1          0.000010080636 
283        I2         2     64         1          25         1          0.000010222197 
284        I2         2     64         1          25         1          0.000004000962 
285        I2         2     64         1          25         1          0.000003822148 
286        I2         2     64         1          25         1          0.000010043383 
287        I2         2     64         1          25         1          0.000010304153 
288        I2         2     64         1          25         1          0.000010065734 
289        I2         2     64         1          25         1          0.000010564923 
290        I2         2     64         1          25         1          0.000003889203 
291        I2         2     64         1          25         1          0.000003807247 
292        I2         2     64         1          25         1          0.000010319054 
293        I2         2     64         1          25         1          0.000010296702 
294        I2         2     64         1          25         1          0.000010073185 
295        I2         2     64         1          25         1          0.000010266900 
296        I2         2     64         1          25         1          0.000010415912 
297        I2         2     64         1          25         1          0.000010132790 
298        I2         2     64         1          25         1          0.000004425645 
299        I2         2     64         1          25         1          0.000010155141 
300        I2         2     64         1          25         1          0.000010132790 
301        I2         2     64         1          25         1          0.000009998679 
302        I2         2     128        1          25         1          0.000010967255 
303        I2         2     128        1          25         1          0.000011183321 
304        I2         2     128        1          25         1          0.000014953315 
305        I2         2     128        1          25         1          0.000015430152 
306        I2         2     128        1          25         1          0.000012829900 
307        I2         2     128        1          25         1          0.000014901161 
308        I2         2     128        1          25         1          0.000015489757 
309        I2         2     128        1          25         1          0.000038594007 
310        I2         2     128        1          25         1          0.000038444996 
311        I2         2     128        1          25         1          0.000015079975 
312        I2         2     128        1          25         1          0.000012911856 
313        I2         2     128        1          25         1          0.000013992190 
314        I2         2     128        1          25         1          0.000015452504 
315        I2         2     128        1          25         1          0.000012658536 
316        I2         2     128        1          25         1          0.000014528632 
317        I2         2     128        1          25         1          0.000014498830 
318        I2         2     128        1          25         1          0.000012643635 
319        I2         2     128        1          25         1          0.000038474798 
320        I2         2     128        1          25         1          0.000015474856 
321        I2         2     128        1          25         1          0.000012233853 
322        I2         2     128        1          25         1          0.000014275312 
323        I2         2     128        1          25         1          0.000015646219 
324        I2         2     128        1          25         1          0.000012055039 
325        I2         2     128        1          25         1          0.000038370490 
326        I2         2     128        1          25         1          0.000016406178 
327        I2         2     256        1          25         1          0.000042662024 
328        I2         2     256        1          25         1          0.000069797039 
329        I2         2     256        1          25         1          0.000075548887 
330        I2         2     256        1          25         1          0.000062435865 
331        I2         2     256        1          25         1          0.000070214272 
332        I2         2     256        1          25         1          0.000069178641 
333        I2         2     256        1          25         1          0.000059686601 
334        I2         2     256        1          25         1          0.000065378845 
335        I2         2     256        1          25         1          0.000071585178 
336        I2         2     256        1          25         1          0.000056490302 
337        I2         2     256        1          25         1          0.000065304339 
338        I2         2     256        1          25         1          0.000069975853 
339        I2         2     256        1          25         1          0.000056967139 
340        I2         2     256        1          25         1          0.000074379146 
341        I2         2     256        1          25         1          0.000069357455 
342        I2         2     256        1          25         1          0.000055745244 
343        I2         2     256        1          25         1          0.000063650310 
344        I2         2     256        1          25         1          0.000069245696 
345        I2         2     256        1          25         1          0.000054955482 
346        I2         2     256        1          25         1          0.000065334141 
347        I2         2     256        1          25         1          0.000069372356 
348        I2         2     256        1          25         1          0.000055149198 
349        I2         2     256        1          25         1          0.000064872205 
350        I2         2     256        1          25         1          0.000075377524 
351        I2         2     256        1          25         1          0.000059075654 
352        I2         2     512        1          25         1          0.000179931521 
353        I2         2     512        1          25         1          0.000197850168 
354        I2         2     512        1          25         1          0.000200673938 
355        I2         2     512        1          25         1          0.000192262232 
356        I2         2     512        1          25         1          0.000196702778 
357        I2         2     512        1          25         1          0.000191956758 
358        I2         2     512        1          25         1          0.000188827515 
359        I2         2     512        1          25         1          0.000195369124 
360        I2         2     512        1          25         1          0.000200130045 
361        I2         2     512        1          25         1          0.000188678503 
362        I2         2     512        1          25         1          0.000194422901 
363        I2         2     512        1          25         1          0.000191792846 
364        I2         2     512        1          25         1          0.000193610787 
365        I2         2     512        1          25         1          0.000191301107 
366        I2         2     512        1          25         1          0.000189766288 
367        I2         2     512        1          25         1          0.000193521380 
368        I2         2     512        1          25         1          0.000190697610 
