N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
9452       OMPGLBBB   7     16         1          25         1          0.000010088086 
9453       OMPGLBBB   7     16         1          25         1          0.000010959804 
9454       OMPGLBBB   7     16         1          25         1          0.000010855496 
9455       OMPGLBBB   7     16         1          25         1          0.000003583729 
9456       OMPGLBBB   7     16         1          25         1          0.000010766089 
9457       OMPGLBBB   7     16         1          25         1          0.000003419816 
9458       OMPGLBBB   7     16         1          25         1          0.000010997057 
9459       OMPGLBBB   7     16         1          25         1          0.000003486872 
9460       OMPGLBBB   7     16         1          25         1          0.000010944903 
9461       OMPGLBBB   7     16         1          25         1          0.000011131167 
9462       OMPGLBBB   7     16         1          25         1          0.000010661781 
9463       OMPGLBBB   7     16         1          25         1          0.000003516674 
9464       OMPGLBBB   7     16         1          25         1          0.000003516674 
9465       OMPGLBBB   7     16         1          25         1          0.000010848045 
9466       OMPGLBBB   7     16         1          25         1          0.000010721385 
9467       OMPGLBBB   7     16         1          25         1          0.000010930002 
9468       OMPGLBBB   7     16         1          25         1          0.000010862947 
9469       OMPGLBBB   7     16         1          25         1          0.000010468066 
9470       OMPGLBBB   7     16         1          25         1          0.000010721385 
9471       OMPGLBBB   7     16         1          25         1          0.000003613532 
9472       OMPGLBBB   7     16         1          25         1          0.000010676682 
9473       OMPGLBBB   7     16         1          25         1          0.000010907650 
9474       OMPGLBBB   7     16         1          25         1          0.000010848045 
9475       OMPGLBBB   7     16         1          25         1          0.000003419816 
9476       OMPGLBBB   7     16         1          25         1          0.000010825694 
9477       OMPGLBBB   7     16         1          25         2          0.000010758638 
9478       OMPGLBBB   7     16         1          25         2          0.000022336841 
9479       OMPGLBBB   7     16         1          25         2          0.000020153821 
9480       OMPGLBBB   7     16         1          25         2          0.000020064414 
9481       OMPGLBBB   7     16         1          25         2          0.000012926757 
9482       OMPGLBBB   7     16         1          25         2          0.000019714236 
9483       OMPGLBBB   7     16         1          25         2          0.000019550323 
9484       OMPGLBBB   7     16         1          25         2          0.000020354986 
9485       OMPGLBBB   7     16         1          25         2          0.000019811094 
9486       OMPGLBBB   7     16         1          25         2          0.000019393861 
9487       OMPGLBBB   7     16         1          25         2          0.000019930303 
9488       OMPGLBBB   7     16         1          25         2          0.000019408762 
9489       OMPGLBBB   7     16         1          25         2          0.000019744039 
9490       OMPGLBBB   7     16         1          25         2          0.000018835068 
9491       OMPGLBBB   7     16         1          25         2          0.000019036233 
9492       OMPGLBBB   7     16         1          25         2          0.000013053417 
9493       OMPGLBBB   7     16         1          25         2          0.000019483268 
