N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
6302       OMPGLBWS   5     16         1          25         1          0.000003464520 
6303       OMPGLBWS   5     16         1          25         1          0.000011317432 
6304       OMPGLBWS   5     16         1          25         1          0.000011168420 
6305       OMPGLBWS   5     16         1          25         1          0.000003680587 
6306       OMPGLBWS   5     16         1          25         1          0.000011354685 
6307       OMPGLBWS   5     16         1          25         1          0.000011101365 
6308       OMPGLBWS   5     16         1          25         1          0.000003665686 
6309       OMPGLBWS   5     16         1          25         1          0.000011384487 
6310       OMPGLBWS   5     16         1          25         1          0.000011183321 
6311       OMPGLBWS   5     16         1          25         1          0.000011585653 
6312       OMPGLBWS   5     16         1          25         1          0.000003755093 
6313       OMPGLBWS   5     16         1          25         1          0.000003732741 
6314       OMPGLBWS   5     16         1          25         1          0.000011347234 
6315       OMPGLBWS   5     16         1          25         1          0.000011198223 
6316       OMPGLBWS   5     16         1          25         1          0.000003606081 
6317       OMPGLBWS   5     16         1          25         1          0.000003717840 
6318       OMPGLBWS   5     16         1          25         1          0.000011213124 
6319       OMPGLBWS   5     16         1          25         1          0.000011235476 
6320       OMPGLBWS   5     16         1          25         1          0.000011213124 
6321       OMPGLBWS   5     16         1          25         1          0.000003784895 
6322       OMPGLBWS   5     16         1          25         1          0.000003546476 
6323       OMPGLBWS   5     16         1          25         1          0.000011347234 
6324       OMPGLBWS   5     16         1          25         1          0.000011347234 
6325       OMPGLBWS   5     16         1          25         1          0.000011220574 
6326       OMPGLBWS   5     16         1          25         1          0.000011190772 
6327       OMPGLBWS   5     16         1          25         2          0.000010728836 
6328       OMPGLBWS   5     16         1          25         2          0.000021658838 
6329       OMPGLBWS   5     16         1          25         2          0.000019147992 
6330       OMPGLBWS   5     16         1          25         2          0.000019095838 
6331       OMPGLBWS   5     16         1          25         2          0.000018879771 
6332       OMPGLBWS   5     16         1          25         2          0.000019900501 
6333       OMPGLBWS   5     16         1          25         2          0.000019326806 
6334       OMPGLBWS   5     16         1          25         2          0.000019200146 
6335       OMPGLBWS   5     16         1          25         2          0.000019595027 
6336       OMPGLBWS   5     16         1          25         2          0.000018216670 
