N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
7877       OMPLOCBB   6     16         1          25         1          0.000006005168 
7878       OMPLOCBB   6     16         1          25         1          0.000005483627 
7879       OMPLOCBB   6     16         1          25         1          0.000005096197 
7880       OMPLOCBB   6     16         1          25         1          0.000004917383 
7881       OMPLOCBB   6     16         1          25         1          0.000004962087 
7882       OMPLOCBB   6     16         1          25         1          0.000004827976 
7883       OMPLOCBB   6     16         1          25         1          0.000004440546 
7884       OMPLOCBB   6     16         1          25         1          0.000004485250 
7885       OMPLOCBB   6     16         1          25         1          0.000004529953 
7886       OMPLOCBB   6     16         1          25         1          0.000004418194 
7887       OMPLOCBB   6     16         1          25         1          0.000004626811 
7888       OMPLOCBB   6     16         1          25         1          0.000004462898 
7889       OMPLOCBB   6     16         1          25         1          0.000004440546 
7890       OMPLOCBB   6     16         1          25         1          0.000004582107 
7891       OMPLOCBB   6     16         1          25         1          0.000004567206 
7892       OMPLOCBB   6     16         1          25         1          0.000004440546 
7893       OMPLOCBB   6     16         1          25         1          0.000004619360 
7894       OMPLOCBB   6     16         1          25         1          0.000004425645 
7895       OMPLOCBB   6     16         1          25         1          0.000004567206 
7896       OMPLOCBB   6     16         1          25         1          0.000004380941 
7897       OMPLOCBB   6     16         1          25         1          0.000004477799 
7898       OMPLOCBB   6     16         1          25         1          0.000004410744 
7899       OMPLOCBB   6     16         1          25         1          0.000004418194 
7900       OMPLOCBB   6     16         1          25         1          0.000004462898 
7901       OMPLOCBB   6     16         1          25         1          0.000004433095 
7902       OMPLOCBB   6     16         1          25         2          0.000017926097 
7903       OMPLOCBB   6     16         1          25         2          0.000015772879 
7904       OMPLOCBB   6     16         1          25         2          0.000014998019 
7905       OMPLOCBB   6     16         1          25         2          0.000013157725 
7906       OMPLOCBB   6     16         1          25         2          0.000013269484 
7907       OMPLOCBB   6     16         1          25         2          0.000013977289 
7908       OMPLOCBB   6     16         1          25         2          0.000013045967 
7909       OMPLOCBB   6     16         1          25         2          0.000013150275 
7910       OMPLOCBB   6     16         1          25         2          0.000014744699 
7911       OMPLOCBB   6     16         1          25         2          0.000015459955 
7912       OMPLOCBB   6     16         1          25         2          0.000014916062 
7913       OMPLOCBB   6     16         1          25         2          0.000013127923 
7914       OMPLOCBB   6     16         1          25         2          0.000012993813 
7915       OMPLOCBB   6     16         1          25         2          0.000014707446 
7916       OMPLOCBB   6     16         1          25         2          0.000016301870 
7917       OMPLOCBB   6     16         1          25         2          0.000014275312 
7918       OMPLOCBB   6     16         1          25         2          0.000013902783 
7919       OMPLOCBB   6     16         1          25         2          0.000014431775 
7920       OMPLOCBB   6     16         1          25         2          0.000014200807 
7921       OMPLOCBB   6     16         1          25         2          0.000012636185 
7922       OMPLOCBB   6     16         1          25         2          0.000013984740 
7923       OMPLOCBB   6     16         1          25         2          0.000014729798 
7924       OMPLOCBB   6     16         1          25         2          0.000014424324 
7925       OMPLOCBB   6     16         1          25         2          0.000015690923 
7926       OMPLOCBB   6     16         1          25         2          0.000014893711 
7927       OMPLOCBB   6     16         1          25         4          0.000022821128 
7928       OMPLOCBB   6     16         1          25         4          0.000023283064 
7929       OMPLOCBB   6     16         1          25         4          0.000022761524 
7930       OMPLOCBB   6     16         1          25         4          0.000022381544 
7931       OMPLOCBB   6     16         1          25         4          0.000023268163 
7932       OMPLOCBB   6     16         1          25         4          0.000023312867 
7933       OMPLOCBB   6     16         1          25         4          0.000020183623 
7934       OMPLOCBB   6     16         1          25         4          0.000022649765 
7935       OMPLOCBB   6     16         1          25         4          0.000021941960 
7936       OMPLOCBB   6     16         1          25         4          0.000022880733 
7937       OMPLOCBB   6     16         1          25         4          0.000041246414 
7938       OMPLOCBB   6     16         1          25         4          0.000021822751 
7939       OMPLOCBB   6     16         1          25         4          0.000022783875 
7940       OMPLOCBB   6     16         1          25         4          0.000024989247 
7941       OMPLOCBB   6     16         1          25         4          0.000022791326 
7942       OMPLOCBB   6     16         1          25         4          0.000023059547 
7943       OMPLOCBB   6     16         1          25         4          0.000023007393 
7944       OMPLOCBB   6     16         1          25         4          0.000023007393 
7945       OMPLOCBB   6     16         1          25         4          0.000022046268 
7946       OMPLOCBB   6     16         1          25         4          0.000021666288 
7947       OMPLOCBB   6     16         1          25         4          0.000021956861 
7948       OMPLOCBB   6     16         1          25         4          0.000020757318 
7949       OMPLOCBB   6     16         1          25         4          0.000023297966 
7950       OMPLOCBB   6     16         1          25         4          0.000021614134 
7951       OMPLOCBB   6     16         1          25         4          0.000022083521 
7952       OMPLOCBB   6     16         1          25         8          0.000020064414 
7953       OMPLOCBB   6     16         1          25         8          0.000036098063 
7954       OMPLOCBB   6     16         1          25         8          0.000028990209 
7955       OMPLOCBB   6     16         1          25         8          0.000030256808 
7956       OMPLOCBB   6     16         1          25         8          0.000030949712 
7957       OMPLOCBB   6     16         1          25         8          0.000031188130 
7958       OMPLOCBB   6     16         1          25         8          0.000033244491 
7959       OMPLOCBB   6     16         1          25         8          0.000030875206 
7960       OMPLOCBB   6     16         1          25         8          0.000030681491 
7961       OMPLOCBB   6     16         1          25         8          0.000029683113 
7962       OMPLOCBB   6     16         1          25         8          0.000029198825 
7963       OMPLOCBB   6     16         1          25         8          0.000030115247 
7964       OMPLOCBB   6     16         1          25         8          0.000030882657 
7965       OMPLOCBB   6     16         1          25         8          0.000028416514 
7966       OMPLOCBB   6     16         1          25         8          0.000029705465 
7967       OMPLOCBB   6     16         1          25         8          0.000031203032 
7968       OMPLOCBB   6     16         1          25         8          0.000032216311 
7969       OMPLOCBB   6     16         1          25         8          0.000031948090 
7970       OMPLOCBB   6     16         1          25         8          0.000030867755 
7971       OMPLOCBB   6     16         1          25         8          0.000029437244 
7972       OMPLOCBB   6     16         1          25         8          0.000031113625 
7973       OMPLOCBB   6     16         1          25         8          0.000030003488 
7974       OMPLOCBB   6     16         1          25         8          0.000035502017 
7975       OMPLOCBB   6     16         1          25         8          0.000031091273 
7976       OMPLOCBB   6     16         1          25         8          0.000029474497 
7977       OMPLOCBB   6     16         1          25         16         0.000023439527 
7978       OMPLOCBB   6     16         1          25         16         0.000044941902 
7979       OMPLOCBB   6     16         1          25         16         0.000043638051 
7980       OMPLOCBB   6     16         1          25         16         0.000042594969 
7981       OMPLOCBB   6     16         1          25         16         0.000042170286 
7982       OMPLOCBB   6     16         1          25         16         0.000043034554 
7983       OMPLOCBB   6     16         1          25         16         0.000043556094 
7984       OMPLOCBB   6     16         1          25         16         0.000051327050 
