N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4727       OMPLOCWS   4     16         1          25         1          0.000005520880 
4728       OMPLOCWS   4     16         1          25         1          0.000006832182 
4729       OMPLOCWS   4     16         1          25         1          0.000006504357 
4730       OMPLOCWS   4     16         1          25         1          0.000006660819 
4731       OMPLOCWS   4     16         1          25         1          0.000006467104 
4732       OMPLOCWS   4     16         1          25         1          0.000005505979 
4733       OMPLOCWS   4     16         1          25         1          0.000006303191 
4734       OMPLOCWS   4     16         1          25         1          0.000006631017 
4735       OMPLOCWS   4     16         1          25         1          0.000044487417 
4736       OMPLOCWS   4     16         1          25         1          0.000006370246 
4737       OMPLOCWS   4     16         1          25         1          0.000006616116 
4738       OMPLOCWS   4     16         1          25         1          0.000006102026 
4739       OMPLOCWS   4     16         1          25         1          0.000005833805 
4740       OMPLOCWS   4     16         1          25         1          0.000005476177 
4741       OMPLOCWS   4     16         1          25         1          0.000006183982 
4742       OMPLOCWS   4     16         1          25         1          0.000006005168 
4743       OMPLOCWS   4     16         1          25         1          0.000006027520 
4744       OMPLOCWS   4     16         1          25         1          0.000006213784 
4745       OMPLOCWS   4     16         1          25         1          0.000005930662 
4746       OMPLOCWS   4     16         1          25         1          0.000005617738 
4747       OMPLOCWS   4     16         1          25         1          0.000005900860 
4748       OMPLOCWS   4     16         1          25         1          0.000006340444 
4749       OMPLOCWS   4     16         1          25         1          0.000006146729 
4750       OMPLOCWS   4     16         1          25         1          0.000005945563 
4751       OMPLOCWS   4     16         1          25         1          0.000005796552 
4752       OMPLOCWS   4     16         1          25         2          0.000010438263 
4753       OMPLOCWS   4     16         1          25         2          0.000018157065 
4754       OMPLOCWS   4     16         1          25         2          0.000013828278 
4755       OMPLOCWS   4     16         1          25         2          0.000012636185 
4756       OMPLOCWS   4     16         1          25         2          0.000011809170 
4757       OMPLOCWS   4     16         1          25         2          0.000012360513 
4758       OMPLOCWS   4     16         1          25         2          0.000012531877 
4759       OMPLOCWS   4     16         1          25         2          0.000013560057 
4760       OMPLOCWS   4     16         1          25         2          0.000011935830 
4761       OMPLOCWS   4     16         1          25         2          0.000014096498 
4762       OMPLOCWS   4     16         1          25         2          0.000012621284 
4763       OMPLOCWS   4     16         1          25         2          0.000013828278 
4764       OMPLOCWS   4     16         1          25         2          0.000011235476 
4765       OMPLOCWS   4     16         1          25         2          0.000012040138 
4766       OMPLOCWS   4     16         1          25         2          0.000013425946 
4767       OMPLOCWS   4     16         1          25         2          0.000012509525 
4768       OMPLOCWS   4     16         1          25         2          0.000012703240 
4769       OMPLOCWS   4     16         1          25         2          0.000013053417 
4770       OMPLOCWS   4     16         1          25         2          0.000013634562 
4771       OMPLOCWS   4     16         1          25         2          0.000013105571 
4772       OMPLOCWS   4     16         1          25         2          0.000013165176 
4773       OMPLOCWS   4     16         1          25         2          0.000013001263 
4774       OMPLOCWS   4     16         1          25         2          0.000011891127 
4775       OMPLOCWS   4     16         1          25         2          0.000012107193 
4776       OMPLOCWS   4     16         1          25         2          0.000013098121 
4777       OMPLOCWS   4     16         1          25         4          0.000021368265 
4778       OMPLOCWS   4     16         1          25         4          0.000023029745 
4779       OMPLOCWS   4     16         1          25         4          0.000022813678 
4780       OMPLOCWS   4     16         1          25         4          0.000021278858 
4781       OMPLOCWS   4     16         1          25         4          0.000019915402 
4782       OMPLOCWS   4     16         1          25         4          0.000025972724 
4783       OMPLOCWS   4     16         1          25         4          0.000022470951 
4784       OMPLOCWS   4     16         1          25         4          0.000022232533 
4785       OMPLOCWS   4     16         1          25         4          0.000022388995 
4786       OMPLOCWS   4     16         1          25         4          0.000021956861 
4787       OMPLOCWS   4     16         1          25         4          0.000021457672 
4788       OMPLOCWS   4     16         1          25         4          0.000021584332 
4789       OMPLOCWS   4     16         1          25         4          0.000020004809 
4790       OMPLOCWS   4     16         1          25         4          0.000020503998 
4791       OMPLOCWS   4     16         1          25         4          0.000021740794 
4792       OMPLOCWS   4     16         1          25         4          0.000021502376 
4793       OMPLOCWS   4     16         1          25         4          0.000022105873 
4794       OMPLOCWS   4     16         1          25         4          0.000023096800 
4795       OMPLOCWS   4     16         1          25         4          0.000022903085 
4796       OMPLOCWS   4     16         1          25         4          0.000020697713 
4797       OMPLOCWS   4     16         1          25         4          0.000019527972 
4798       OMPLOCWS   4     16         1          25         4          0.000022739172 
4799       OMPLOCWS   4     16         1          25         4          0.000023536384 
4800       OMPLOCWS   4     16         1          25         4          0.000020638108 
4801       OMPLOCWS   4     16         1          25         4          0.000021308661 
4802       OMPLOCWS   4     16         1          25         8          0.000019878149 
4803       OMPLOCWS   4     16         1          25         8          0.000032782555 
4804       OMPLOCWS   4     16         1          25         8          0.000031009316 
4805       OMPLOCWS   4     16         1          25         8          0.000031955540 
4806       OMPLOCWS   4     16         1          25         8          0.000030241907 
4807       OMPLOCWS   4     16         1          25         8          0.000031620264 
4808       OMPLOCWS   4     16         1          25         8          0.000030025840 
4809       OMPLOCWS   4     16         1          25         8          0.000031560659 
4810       OMPLOCWS   4     16         1          25         8          0.000031448901 
4811       OMPLOCWS   4     16         1          25         8          0.000032410026 
4812       OMPLOCWS   4     16         1          25         8          0.000032067299 
4813       OMPLOCWS   4     16         1          25         8          0.000030934811 
4814       OMPLOCWS   4     16         1          25         8          0.000029519200 
