N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000001154840 
3          SO0        1     16         1          25         1          0.000001013279 
4          SO0        1     16         1          25         1          0.000000946224 
5          SO0        1     16         1          25         1          0.000000938773 
6          SO0        1     16         1          25         1          0.000000946224 
7          SO0        1     16         1          25         1          0.000000938773 
8          SO0        1     16         1          25         1          0.000000968575 
9          SO0        1     16         1          25         1          0.000000953674 
10         SO0        1     16         1          25         1          0.000000856817 
11         SO0        1     16         1          25         1          0.000001035631 
12         SO0        1     16         1          25         1          0.000000976026 
13         SO0        1     16         1          25         1          0.000000901520 
14         SO0        1     16         1          25         1          0.000000976026 
15         SO0        1     16         1          25         1          0.000001013279 
16         SO0        1     16         1          25         1          0.000000871718 
17         SO0        1     16         1          25         1          0.000000990927 
18         SO0        1     16         1          25         1          0.000000953674 
19         SO0        1     16         1          25         1          0.000000983477 
20         SO0        1     16         1          25         1          0.000000916421 
21         SO0        1     16         1          25         1          0.000001147389 
22         SO0        1     16         1          25         1          0.000000968575 
23         SO0        1     16         1          25         1          0.000001102686 
24         SO0        1     16         1          25         1          0.000001102686 
25         SO0        1     16         1          25         1          0.000001057982 
26         SO0        1     16         1          25         1          0.000000908971 
27         SO0        1     32         1          25         1          0.000002987683 
28         SO0        1     32         1          25         1          0.000003315508 
29         SO0        1     32         1          25         1          0.000003486872 
30         SO0        1     32         1          25         1          0.000002920628 
31         SO0        1     32         1          25         1          0.000003293157 
32         SO0        1     32         1          25         1          0.000003270805 
33         SO0        1     32         1          25         1          0.000002935529 
34         SO0        1     32         1          25         1          0.000003613532 
35         SO0        1     32         1          25         1          0.000003263354 
36         SO0        1     32         1          25         1          0.000003114343 
37         SO0        1     32         1          25         1          0.000003293157 
38         SO0        1     32         1          25         1          0.000003330410 
39         SO0        1     32         1          25         1          0.000003300607 
40         SO0        1     32         1          25         1          0.000003546476 
41         SO0        1     32         1          25         1          0.000003278255 
42         SO0        1     32         1          25         1          0.000002920628 
43         SO0        1     32         1          25         1          0.000002950430 
44         SO0        1     32         1          25         1          0.000002928078 
45         SO0        1     32         1          25         1          0.000003248453 
46         SO0        1     32         1          25         1          0.000003263354 
47         SO0        1     32         1          25         1          0.000002935529 
48         SO0        1     32         1          25         1          0.000003322959 
49         SO0        1     32         1          25         1          0.000003568828 
50         SO0        1     32         1          25         1          0.000003151596 
51         SO0        1     32         1          25         1          0.000003434718 
52         SO0        1     64         1          25         1          0.000010348856 
53         SO0        1     64         1          25         1          0.000010751188 
54         SO0        1     64         1          25         1          0.000010997057 
55         SO0        1     64         1          25         1          0.000010602176 
56         SO0        1     64         1          25         1          0.000010602176 
57         SO0        1     64         1          25         1          0.000011235476 
58         SO0        1     64         1          25         1          0.000011444092 
59         SO0        1     64         1          25         1          0.000010684133 
60         SO0        1     64         1          25         1          0.000011280179 
61         SO0        1     64         1          25         1          0.000011354685 
62         SO0        1     64         1          25         1          0.000010289252 
63         SO0        1     64         1          25         1          0.000011190772 
64         SO0        1     64         1          25         1          0.000010691583 
65         SO0        1     64         1          25         1          0.000010788441 
66         SO0        1     64         1          25         1          0.000010065734 
67         SO0        1     64         1          25         1          0.000011481345 
68         SO0        1     64         1          25         1          0.000011101365 
69         SO0        1     64         1          25         1          0.000010341406 
70         SO0        1     64         1          25         1          0.000010900199 
71         SO0        1     64         1          25         1          0.000010952353 
72         SO0        1     64         1          25         1          0.000010065734 
73         SO0        1     64         1          25         1          0.000011451542 
74         SO0        1     64         1          25         1          0.000011034310 
75         SO0        1     64         1          25         1          0.000009953976 
76         SO0        1     64         1          25         1          0.000011183321 
77         SO0        1     128        1          25         1          0.000037439167 
78         SO0        1     128        1          25         1          0.000049374998 
79         SO0        1     128        1          25         1          0.000049009919 
80         SO0        1     128        1          25         1          0.000043757260 
81         SO0        1     128        1          25         1          0.000050924718 
82         SO0        1     128        1          25         1          0.000047959387 
83         SO0        1     128        1          25         1          0.000042915344 
84         SO0        1     128        1          25         1          0.000051379204 
85         SO0        1     128        1          25         1          0.000060424209 
86         SO0        1     128        1          25         1          0.000043913722 
87         SO0        1     128        1          25         1          0.000049412251 
88         SO0        1     128        1          25         1          0.000048413873 
89         SO0        1     128        1          25         1          0.000042803586 
90         SO0        1     128        1          25         1          0.000049620867 
91         SO0        1     128        1          25         1          0.000046826899 
92         SO0        1     128        1          25         1          0.000044271350 
93         SO0        1     128        1          25         1          0.000051803887 
94         SO0        1     128        1          25         1          0.000047825277 
95         SO0        1     128        1          25         1          0.000042989850 
96         SO0        1     128        1          25         1          0.000052087009 
97         SO0        1     128        1          25         1          0.000047922134 
98         SO0        1     128        1          25         1          0.000046975911 
99         SO0        1     128        1          25         1          0.000043503940 
100        SO0        1     128        1          25         1          0.000061705709 
101        SO0        1     128        1          25         1          0.000046588480 
102        SO0        1     256        1          25         1          0.000148184597 
103        SO0        1     256        1          25         1          0.000226967037 
104        SO0        1     256        1          25         1          0.000229656696 
105        SO0        1     256        1          25         1          0.000183656812 
106        SO0        1     256        1          25         1          0.000222787261 
107        SO0        1     256        1          25         1          0.000220373273 
108        SO0        1     256        1          25         1          0.000223517418 
109        SO0        1     256        1          25         1          0.000188969076 
110        SO0        1     256        1          25         1          0.000228017569 
111        SO0        1     256        1          25         1          0.000223092735 
112        SO0        1     256        1          25         1          0.000224187970 
113        SO0        1     256        1          25         1          0.000184729695 
114        SO0        1     256        1          25         1          0.000217936933 
115        SO0        1     256        1          25         1          0.000225238502 
116        SO0        1     256        1          25         1          0.000183813274 
117        SO0        1     256        1          25         1          0.000223785639 
118        SO0        1     256        1          25         1          0.000222519040 
119        SO0        1     256        1          25         1          0.000190541148 
120        SO0        1     256        1          25         1          0.000224418938 
121        SO0        1     256        1          25         1          0.000224053860 
122        SO0        1     256        1          25         1          0.000188231468 
123        SO0        1     256        1          25         1          0.000223845243 
124        SO0        1     256        1          25         1          0.000224217772 
125        SO0        1     256        1          25         1          0.000185847282 
126        SO0        1     256        1          25         1          0.000221550465 
127        SO0        1     512        1          25         1          0.000642739236 
128        SO0        1     512        1          25         1          0.000669501722 
129        SO0        1     512        1          25         1          0.000677809119 
130        SO0        1     512        1          25         1          0.000661730766 
131        SO0        1     512        1          25         1          0.000669486821 
132        SO0        1     512        1          25         1          0.000662304461 
133        SO0        1     512        1          25         1          0.000666350126 
134        SO0        1     512        1          25         1          0.000668510795 
135        SO0        1     512        1          25         1          0.000658012927 
136        SO0        1     512        1          25         1          0.000660397112 
137        SO0        1     512        1          25         1          0.000669561327 
138        SO0        1     512        1          25         1          0.000666938722 
139        SO0        1     512        1          25         1          0.000656761229 
140        SO0        1     512        1          25         1          0.000661365688 
141        SO0        1     512        1          25         1          0.000667966902 
142        SO0        1     512        1          25         1          0.000664368272 
143        SO0        1     512        1          25         1          0.000660195947 
144        SO0        1     512        1          25         1          0.000669583678 
145        SO0        1     512        1          25         1          0.000661917031 
146        SO0        1     512        1          25         1          0.000660628080 
147        SO0        1     512        1          25         1          0.000665076077 
148        SO0        1     512        1          25         1          0.000666312873 
149        SO0        1     512        1          25         1          0.000663287938 
