N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4952       R2         3     16         1          50         1          0.000001013279 
4953       R2         3     16         1          50         1          0.000000804663 
4954       R2         3     16         1          50         1          0.000000856817 
4955       R2         3     16         1          50         1          0.000000864267 
4956       R2         3     16         1          50         1          0.000000834465 
4957       R2         3     16         1          50         1          0.000000730157 
4958       R2         3     16         1          50         1          0.000000484288 
4959       R2         3     16         1          50         1          0.000000938773 
4960       R2         3     16         1          50         1          0.000000499189 
4961       R2         3     16         1          50         1          0.000000678003 
4962       R2         3     16         1          50         1          0.000000961125 
4963       R2         3     16         1          50         1          0.000000700355 
4964       R2         3     16         1          50         1          0.000000543892 
4965       R2         3     16         1          50         1          0.000000678003 
4966       R2         3     16         1          50         1          0.000000715256 
4967       R2         3     16         1          50         1          0.000000566244 
4968       R2         3     16         1          50         1          0.000000998378 
4969       R2         3     16         1          50         1          0.000000432134 
4970       R2         3     16         1          50         1          0.000000558794 
4971       R2         3     16         1          50         1          0.000000670552 
4972       R2         3     16         1          50         1          0.000000581145 
4973       R2         3     16         1          50         1          0.000000573695 
4974       R2         3     16         1          50         1          0.000000305474 
4975       R2         3     16         1          50         1          0.000000536442 
4976       R2         3     16         1          50         1          0.000000648201 
4977       R2         3     16         1          50         1          0.000000625849 
4978       R2         3     16         1          50         1          0.000000551343 
4979       R2         3     16         1          50         1          0.000000655651 
4980       R2         3     16         1          50         1          0.000000625849 
4981       R2         3     16         1          50         1          0.000000663102 
4982       R2         3     16         1          50         1          0.000000678003 
4983       R2         3     16         1          50         1          0.000000610948 
4984       R2         3     16         1          50         1          0.000000789762 
4985       R2         3     16         1          50         1          0.000000700355 
4986       R2         3     16         1          50         1          0.000000417233 
4987       R2         3     16         1          50         1          0.000000581145 
4988       R2         3     16         1          50         1          0.000000596046 
4989       R2         3     16         1          50         1          0.000000491738 
4990       R2         3     16         1          50         1          0.000000946224 
4991       R2         3     16         1          50         1          0.000001050532 
4992       R2         3     16         1          50         1          0.000000812113 
4993       R2         3     16         1          50         1          0.000000506639 
4994       R2         3     16         1          50         1          0.000001132488 
4995       R2         3     16         1          50         1          0.000000730157 
4996       R2         3     16         1          50         1          0.000000596046 
4997       R2         3     16         1          50         1          0.000000581145 
4998       R2         3     16         1          50         1          0.000000387430 
4999       R2         3     16         1          50         1          0.000000782311 
5000       R2         3     16         1          50         1          0.000000931323 
5001       R2         3     16         1          50         1          0.000000648201 
5002       R2         3     32         1          50         1          0.000001132488 
5003       R2         3     32         1          50         1          0.000002197921 
5004       R2         3     32         1          50         1          0.000001743436 
5005       R2         3     32         1          50         1          0.000001326203 
5006       R2         3     32         1          50         1          0.000001855195 
5007       R2         3     32         1          50         1          0.000001721084 
5008       R2         3     32         1          50         1          0.000001452863 
5009       R2         3     32         1          50         1          0.000001795590 
5010       R2         3     32         1          50         1          0.000001646578 
5011       R2         3     32         1          50         1          0.000001370907 
5012       R2         3     32         1          50         1          0.000001855195 
5013       R2         3     32         1          50         1          0.000001356006 
5014       R2         3     32         1          50         1          0.000001765788 
5015       R2         3     32         1          50         1          0.000001408160 
5016       R2         3     32         1          50         1          0.000002086163 
5017       R2         3     32         1          50         1          0.000001624227 
5018       R2         3     32         1          50         1          0.000001437962 
5019       R2         3     32         1          50         1          0.000002555549 
5020       R2         3     32         1          50         1          0.000001631677 
5021       R2         3     32         1          50         1          0.000001356006 
5022       R2         3     32         1          50         1          0.000002160668 
5023       R2         3     32         1          50         1          0.000001482666 
5024       R2         3     32         1          50         1          0.000001452863 
5025       R2         3     32         1          50         1          0.000001996756 
5026       R2         3     32         1          50         1          0.000001944602 
5027       R2         3     32         1          50         1          0.000001169741 
5028       R2         3     32         1          50         1          0.000002056360 
5029       R2         3     32         1          50         1          0.000001378357 
5030       R2         3     32         1          50         1          0.000001668930 
5031       R2         3     32         1          50         1          0.000001296401 
5032       R2         3     32         1          50         1          0.000001691282 
5033       R2         3     32         1          50         1          0.000001460314 
5034       R2         3     32         1          50         1          0.000001452863 
5035       R2         3     32         1          50         1          0.000001698732 
5036       R2         3     32         1          50         1          0.000001691282 
5037       R2         3     32         1          50         1          0.000001557171 
5038       R2         3     32         1          50         1          0.000002339482 
5039       R2         3     32         1          50         1          0.000001773238 
5040       R2         3     32         1          50         1          0.000001505017 
5041       R2         3     32         1          50         1          0.000002108514 
5042       R2         3     32         1          50         1          0.000001288950 
5043       R2         3     32         1          50         1          0.000001683831 
5044       R2         3     32         1          50         1          0.000001557171 
5045       R2         3     32         1          50         1          0.000002034009 
5046       R2         3     32         1          50         1          0.000001370907 
5047       R2         3     32         1          50         1          0.000001326203 
5048       R2         3     32         1          50         1          0.000001914799 
5049       R2         3     32         1          50         1          0.000001437962 
5050       R2         3     32         1          50         1          0.000001199543 
5051       R2         3     32         1          50         1          0.000001788139 
5052       R2         3     64         1          50         1          0.000003300607 
5053       R2         3     64         1          50         1          0.000005111098 
5054       R2         3     64         1          50         1          0.000006146729 
5055       R2         3     64         1          50         1          0.000004105270 
5056       R2         3     64         1          50         1          0.000004291534 
5057       R2         3     64         1          50         1          0.000004135072 
5058       R2         3     64         1          50         1          0.000004768372 
5059       R2         3     64         1          50         1          0.000004924834 
5060       R2         3     64         1          50         1          0.000004105270 
5061       R2         3     64         1          50         1          0.000004276633 
5062       R2         3     64         1          50         1          0.000005744398 
5063       R2         3     64         1          50         1          0.000003919005 
5064       R2         3     64         1          50         1          0.000004321337 
5065       R2         3     64         1          50         1          0.000005945563 
5066       R2         3     64         1          50         1          0.000003851950 
5067       R2         3     64         1          50         1          0.000004313886 
5068       R2         3     64         1          50         1          0.000005252659 
5069       R2         3     64         1          50         1          0.000003553927 
5070       R2         3     64         1          50         1          0.000004522502 
5071       R2         3     64         1          50         1          0.000005722046 
5072       R2         3     64         1          50         1          0.000004515052 
5073       R2         3     64         1          50         1          0.000004626811 
5074       R2         3     64         1          50         1          0.000006191432 
5075       R2         3     64         1          50         1          0.000004276633 
5076       R2         3     64         1          50         1          0.000004813075 
5077       R2         3     64         1          50         1          0.000004552305 
5078       R2         3     64         1          50         1          0.000005476177 
5079       R2         3     64         1          50         1          0.000003978610 
5080       R2         3     64         1          50         1          0.000005044043 
5081       R2         3     64         1          50         1          0.000003904104 
5082       R2         3     64         1          50         1          0.000005118549 
5083       R2         3     64         1          50         1          0.000004261732 
5084       R2         3     64         1          50         1          0.000004112720 
5085       R2         3     64         1          50         1          0.000004783273 
5086       R2         3     64         1          50         1          0.000004015863 
5087       R2         3     64         1          50         1          0.000004418194 
5088       R2         3     64         1          50         1          0.000005237758 
5089       R2         3     64         1          50         1          0.000003874302 
5090       R2         3     64         1          50         1          0.000003866851 
5091       R2         3     64         1          50         1          0.000005677342 
5092       R2         3     64         1          50         1          0.000004418194 
5093       R2         3     64         1          50         1          0.000004507601 
5094       R2         3     64         1          50         1          0.000005282462 
5095       R2         3     64         1          50         1          0.000004105270 
5096       R2         3     64         1          50         1          0.000004015863 
5097       R2         3     64         1          50         1          0.000005468726 
5098       R2         3     64         1          50         1          0.000004135072 
5099       R2         3     64         1          50         1          0.000004671514 
5100       R2         3     64         1          50         1          0.000006265938 
5101       R2         3     64         1          50         1          0.000003881752 
5102       R2         3     128        1          50         1          0.000011764467 
5103       R2         3     128        1          50         1          0.000014580786 
5104       R2         3     128        1          50         1          0.000022195280 
5105       R2         3     128        1          50         1          0.000014007092 
5106       R2         3     128        1          50         1          0.000016249716 
5107       R2         3     128        1          50         1          0.000012934208 
5108       R2         3     128        1          50         1          0.000014789402 
5109       R2         3     128        1          50         1          0.000022307038 
5110       R2         3     128        1          50         1          0.000014208257 
5111       R2         3     128        1          50         1          0.000014550984 
5112       R2         3     128        1          50         1          0.000022381544 
5113       R2         3     128        1          50         1          0.000014126301 
5114       R2         3     128        1          50         1          0.000015214086 
5115       R2         3     128        1          50         1          0.000022985041 
5116       R2         3     128        1          50         1          0.000014282763 
5117       R2         3     128        1          50         1          0.000015914440 
5118       R2         3     128        1          50         1          0.000023193657 
5119       R2         3     128        1          50         1          0.000016525388 
5120       R2         3     128        1          50         1          0.000015422702 
5121       R2         3     128        1          50         1          0.000023700297 
5122       R2         3     128        1          50         1          0.000014521182 
5123       R2         3     128        1          50         1          0.000015199184 
5124       R2         3     128        1          50         1          0.000022612512 
5125       R2         3     128        1          50         1          0.000014238060 
5126       R2         3     128        1          50         1          0.000015057623 
5127       R2         3     128        1          50         1          0.000021204352 
5128       R2         3     128        1          50         1          0.000015713274 
5129       R2         3     128        1          50         1          0.000015534461 
5130       R2         3     128        1          50         1          0.000021286309 
5131       R2         3     128        1          50         1          0.000015348196 
5132       R2         3     128        1          50         1          0.000016033649 
5133       R2         3     128        1          50         1          0.000021360815 
5134       R2         3     128        1          50         1          0.000019043684 
5135       R2         3     128        1          50         1          0.000014543533 
5136       R2         3     128        1          50         1          0.000022366643 
5137       R2         3     128        1          50         1          0.000014908612 
5138       R2         3     128        1          50         1          0.000015318394 
5139       R2         3     128        1          50         1          0.000023409724 
5140       R2         3     128        1          50         1          0.000015228987 
5141       R2         3     128        1          50         1          0.000015415251 
5142       R2         3     128        1          50         1          0.000021718442 
5143       R2         3     128        1          50         1          0.000013999641 
5144       R2         3     128        1          50         1          0.000016249716 
5145       R2         3     128        1          50         1          0.000021785498 
5146       R2         3     128        1          50         1          0.000011660159 
5147       R2         3     128        1          50         1          0.000015355647 
5148       R2         3     128        1          50         1          0.000015683472 
5149       R2         3     128        1          50         1          0.000027187169 
5150       R2         3     128        1          50         1          0.000013999641 
5151       R2         3     128        1          50         1          0.000015519559 
5152       R2         3     256        1          50         1          0.000045523047 
5153       R2         3     256        1          50         1          0.000064410269 
5154       R2         3     256        1          50         1          0.000094406307 
