N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
12602      OMPGLBWS   5     16         1          50         1          0.000002801418 
12603      OMPGLBWS   5     16         1          50         1          0.000004746020 
12604      OMPGLBWS   5     16         1          50         1          0.000003732741 
12605      OMPGLBWS   5     16         1          50         1          0.000003591180 
12606      OMPGLBWS   5     16         1          50         1          0.000003680587 
12607      OMPGLBWS   5     16         1          50         1          0.000003658235 
12608      OMPGLBWS   5     16         1          50         1          0.000003539026 
12609      OMPGLBWS   5     16         1          50         1          0.000003777444 
12610      OMPGLBWS   5     16         1          50         1          0.000003769994 
12611      OMPGLBWS   5     16         1          50         1          0.000003255904 
12612      OMPGLBWS   5     16         1          50         1          0.000003084540 
12613      OMPGLBWS   5     16         1          50         1          0.000003524125 
12614      OMPGLBWS   5     16         1          50         1          0.000003457069 
12615      OMPGLBWS   5     16         1          50         1          0.000003248453 
12616      OMPGLBWS   5     16         1          50         1          0.000003553927 
12617      OMPGLBWS   5     16         1          50         1          0.000003144145 
12618      OMPGLBWS   5     16         1          50         1          0.000003628433 
12619      OMPGLBWS   5     16         1          50         1          0.000003837049 
12620      OMPGLBWS   5     16         1          50         1          0.000003904104 
12621      OMPGLBWS   5     16         1          50         1          0.000003620982 
12622      OMPGLBWS   5     16         1          50         1          0.000003419816 
12623      OMPGLBWS   5     16         1          50         1          0.000003591180 
12624      OMPGLBWS   5     16         1          50         1          0.000003412366 
12625      OMPGLBWS   5     16         1          50         1          0.000003322959 
12626      OMPGLBWS   5     16         1          50         1          0.000003628433 
12627      OMPGLBWS   5     16         1          50         1          0.000003799796 
12628      OMPGLBWS   5     16         1          50         1          0.000003427267 
12629      OMPGLBWS   5     16         1          50         1          0.000003442168 
12630      OMPGLBWS   5     16         1          50         1          0.000003568828 
12631      OMPGLBWS   5     16         1          50         1          0.000003501773 
12632      OMPGLBWS   5     16         1          50         1          0.000003375113 
12633      OMPGLBWS   5     16         1          50         1          0.000003434718 
12634      OMPGLBWS   5     16         1          50         1          0.000003352761 
12635      OMPGLBWS   5     16         1          50         1          0.000003270805 
12636      OMPGLBWS   5     16         1          50         1          0.000003680587 
12637      OMPGLBWS   5     16         1          50         1          0.000003442168 
12638      OMPGLBWS   5     16         1          50         1          0.000003345311 
12639      OMPGLBWS   5     16         1          50         1          0.000003278255 
12640      OMPGLBWS   5     16         1          50         1          0.000003188848 
12641      OMPGLBWS   5     16         1          50         1          0.000003308058 
12642      OMPGLBWS   5     16         1          50         1          0.000003322959 
12643      OMPGLBWS   5     16         1          50         1          0.000003546476 
12644      OMPGLBWS   5     16         1          50         1          0.000003404915 
12645      OMPGLBWS   5     16         1          50         1          0.000003263354 
12646      OMPGLBWS   5     16         1          50         1          0.000003390014 
12647      OMPGLBWS   5     16         1          50         1          0.000003576279 
12648      OMPGLBWS   5     16         1          50         1          0.000003345311 
12649      OMPGLBWS   5     16         1          50         1          0.000003308058 
12650      OMPGLBWS   5     16         1          50         1          0.000003442168 
