N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
15752      OMPLOCBB   6     16         1          50         1          0.000005610287 
15753      OMPLOCBB   6     16         1          50         1          0.000004783273 
15754      OMPLOCBB   6     16         1          50         1          0.000003702939 
15755      OMPLOCBB   6     16         1          50         1          0.000003740191 
15756      OMPLOCBB   6     16         1          50         1          0.000004224479 
15757      OMPLOCBB   6     16         1          50         1          0.000004015863 
15758      OMPLOCBB   6     16         1          50         1          0.000003755093 
15759      OMPLOCBB   6     16         1          50         1          0.000003598630 
15760      OMPLOCBB   6     16         1          50         1          0.000003762543 
15761      OMPLOCBB   6     16         1          50         1          0.000003762543 
15762      OMPLOCBB   6     16         1          50         1          0.000003695488 
15763      OMPLOCBB   6     16         1          50         1          0.000004038215 
15764      OMPLOCBB   6     16         1          50         1          0.000003889203 
15765      OMPLOCBB   6     16         1          50         1          0.000003591180 
15766      OMPLOCBB   6     16         1          50         1          0.000003606081 
15767      OMPLOCBB   6     16         1          50         1          0.000003837049 
15768      OMPLOCBB   6     16         1          50         1          0.000003747642 
15769      OMPLOCBB   6     16         1          50         1          0.000003650784 
15770      OMPLOCBB   6     16         1          50         1          0.000003673136 
15771      OMPLOCBB   6     16         1          50         1          0.000003844500 
15772      OMPLOCBB   6     16         1          50         1          0.000003658235 
15773      OMPLOCBB   6     16         1          50         1          0.000003568828 
15774      OMPLOCBB   6     16         1          50         1          0.000004202127 
15775      OMPLOCBB   6     16         1          50         1          0.000003628433 
15776      OMPLOCBB   6     16         1          50         1          0.000003889203 
15777      OMPLOCBB   6     16         1          50         1          0.000004127622 
15778      OMPLOCBB   6     16         1          50         1          0.000003606081 
15779      OMPLOCBB   6     16         1          50         1          0.000003516674 
15780      OMPLOCBB   6     16         1          50         1          0.000003688037 
15781      OMPLOCBB   6     16         1          50         1          0.000003620982 
15782      OMPLOCBB   6     16         1          50         1          0.000003874302 
15783      OMPLOCBB   6     16         1          50         1          0.000004008412 
15784      OMPLOCBB   6     16         1          50         1          0.000003635883 
15785      OMPLOCBB   6     16         1          50         1          0.000003635883 
15786      OMPLOCBB   6     16         1          50         1          0.000003568828 
15787      OMPLOCBB   6     16         1          50         1          0.000003851950 
15788      OMPLOCBB   6     16         1          50         1          0.000003717840 
15789      OMPLOCBB   6     16         1          50         1          0.000003620982 
15790      OMPLOCBB   6     16         1          50         1          0.000003874302 
15791      OMPLOCBB   6     16         1          50         1          0.000003948808 
15792      OMPLOCBB   6     16         1          50         1          0.000004433095 
15793      OMPLOCBB   6     16         1          50         1          0.000003866851 
15794      OMPLOCBB   6     16         1          50         1          0.000003673136 
15795      OMPLOCBB   6     16         1          50         1          0.000003747642 
15796      OMPLOCBB   6     16         1          50         1          0.000003650784 
15797      OMPLOCBB   6     16         1          50         1          0.000003583729 
15798      OMPLOCBB   6     16         1          50         1          0.000003889203 
15799      OMPLOCBB   6     16         1          50         1          0.000003837049 
15800      OMPLOCBB   6     16         1          50         1          0.000003598630 
15801      OMPLOCBB   6     16         1          50         1          0.000003598630 
15802      OMPLOCBB   6     16         1          50         2          0.000018581748 
15803      OMPLOCBB   6     16         1          50         2          0.000018991530 
15804      OMPLOCBB   6     16         1          50         2          0.000016413629 
15805      OMPLOCBB   6     16         1          50         2          0.000014714897 
15806      OMPLOCBB   6     16         1          50         2          0.000015281141 
15807      OMPLOCBB   6     16         1          50         2          0.000015266240 
15808      OMPLOCBB   6     16         1          50         2          0.000016398728 
15809      OMPLOCBB   6     16         1          50         2          0.000013820827 
15810      OMPLOCBB   6     16         1          50         2          0.000014886260 
15811      OMPLOCBB   6     16         1          50         2          0.000014491379 
15812      OMPLOCBB   6     16         1          50         2          0.000014759600 
15813      OMPLOCBB   6     16         1          50         2          0.000015214086 
15814      OMPLOCBB   6     16         1          50         2          0.000013001263 
15815      OMPLOCBB   6     16         1          50         2          0.000015065074 
15816      OMPLOCBB   6     16         1          50         2          0.000015139580 
15817      OMPLOCBB   6     16         1          50         2          0.000014089048 
15818      OMPLOCBB   6     16         1          50         2          0.000015124679 
15819      OMPLOCBB   6     16         1          50         2          0.000015616417 
15820      OMPLOCBB   6     16         1          50         2          0.000014342368 
15821      OMPLOCBB   6     16         1          50         2          0.000014804304 
15822      OMPLOCBB   6     16         1          50         2          0.000013805926 
15823      OMPLOCBB   6     16         1          50         2          0.000014580786 
15824      OMPLOCBB   6     16         1          50         2          0.000014156103 
15825      OMPLOCBB   6     16         1          50         2          0.000015795231 
15826      OMPLOCBB   6     16         1          50         2          0.000013165176 
15827      OMPLOCBB   6     16         1          50         2          0.000013999641 
15828      OMPLOCBB   6     16         1          50         2          0.000014565885 
15829      OMPLOCBB   6     16         1          50         2          0.000013120472 
15830      OMPLOCBB   6     16         1          50         2          0.000014007092 
15831      OMPLOCBB   6     16         1          50         2          0.000014930964 
15832      OMPLOCBB   6     16         1          50         2          0.000013671815 
15833      OMPLOCBB   6     16         1          50         2          0.000014007092 
15834      OMPLOCBB   6     16         1          50         2          0.000013202429 
15835      OMPLOCBB   6     16         1          50         2          0.000013574958 
15836      OMPLOCBB   6     16         1          50         2          0.000014670193 
15837      OMPLOCBB   6     16         1          50         2          0.000015214086 
15838      OMPLOCBB   6     16         1          50         2          0.000014558434 
15839      OMPLOCBB   6     16         1          50         2          0.000015519559 
15840      OMPLOCBB   6     16         1          50         2          0.000014603138 
15841      OMPLOCBB   6     16         1          50         2          0.000016048551 
15842      OMPLOCBB   6     16         1          50         2          0.000013589859 
15843      OMPLOCBB   6     16         1          50         2          0.000013716519 
15844      OMPLOCBB   6     16         1          50         2          0.000014208257 
15845      OMPLOCBB   6     16         1          50         2          0.000013597310 
15846      OMPLOCBB   6     16         1          50         2          0.000013701618 
15847      OMPLOCBB   6     16         1          50         2          0.000013105571 
15848      OMPLOCBB   6     16         1          50         2          0.000013373792 
15849      OMPLOCBB   6     16         1          50         2          0.000012837350 
15850      OMPLOCBB   6     16         1          50         2          0.000013962388 
15851      OMPLOCBB   6     16         1          50         2          0.000020921230 
15852      OMPLOCBB   6     16         1          50         4          0.000018835068 
15853      OMPLOCBB   6     16         1          50         4          0.000039689243 
15854      OMPLOCBB   6     16         1          50         4          0.009856812656 
15855      OMPLOCBB   6     16         1          50         4          0.000021472573 
15856      OMPLOCBB   6     16         1          50         4          0.000020973384 
15857      OMPLOCBB   6     16         1          50         4          0.000021666288 
15858      OMPLOCBB   6     16         1          50         4          0.000021561980 
15859      OMPLOCBB   6     16         1          50         4          0.000020876527 
15860      OMPLOCBB   6     16         1          50         4          0.000034257770 
15861      OMPLOCBB   6     16         1          50         4          0.000019155443 
15862      OMPLOCBB   6     16         1          50         4          0.000019662082 
15863      OMPLOCBB   6     16         1          50         4          0.000022515655 
15864      OMPLOCBB   6     16         1          50         4          0.000021710992 
15865      OMPLOCBB   6     16         1          50         4          0.000023864210 
15866      OMPLOCBB   6     16         1          50         4          0.000019609928 
15867      OMPLOCBB   6     16         1          50         4          0.000018373132 
15868      OMPLOCBB   6     16         1          50         4          0.000022485852 
15869      OMPLOCBB   6     16         1          50         4          0.000019423664 
15870      OMPLOCBB   6     16         1          50         4          0.000021971762 
15871      OMPLOCBB   6     16         1          50         4          0.000020012259 
15872      OMPLOCBB   6     16         1          50         4          0.000018499792 
15873      OMPLOCBB   6     16         1          50         4          0.000021442771 
15874      OMPLOCBB   6     16         1          50         4          0.000020951033 
15875      OMPLOCBB   6     16         1          50         4          0.000020764768 
15876      OMPLOCBB   6     16         1          50         4          0.000025138259 
15877      OMPLOCBB   6     16         1          50         4          0.000021792948 
15878      OMPLOCBB   6     16         1          50         4          0.000021636486 
15879      OMPLOCBB   6     16         1          50         4          0.000019520521 
15880      OMPLOCBB   6     16         1          50         4          0.000020004809 
15881      OMPLOCBB   6     16         1          50         4          0.000019982457 
15882      OMPLOCBB   6     16         1          50         4          0.000019513071 
15883      OMPLOCBB   6     16         1          50         4          0.000020056963 
15884      OMPLOCBB   6     16         1          50         4          0.000019766390 
15885      OMPLOCBB   6     16         1          50         4          0.000019751489 
15886      OMPLOCBB   6     16         1          50         4          0.000021427870 
15887      OMPLOCBB   6     16         1          50         4          0.000022068620 
15888      OMPLOCBB   6     16         1          50         4          0.000020980835 
15889      OMPLOCBB   6     16         1          50         4          0.000024557114 
15890      OMPLOCBB   6     16         1          50         4          0.000023812056 
15891      OMPLOCBB   6     16         1          50         4          0.000039115548 
15892      OMPLOCBB   6     16         1          50         4          0.000022411346 
15893      OMPLOCBB   6     16         1          50         4          0.000020675361 
15894      OMPLOCBB   6     16         1          50         4          0.000018820167 
15895      OMPLOCBB   6     16         1          50         4          0.000019676983 
15896      OMPLOCBB   6     16         1          50         4          0.000036478043 
15897      OMPLOCBB   6     16         1          50         4          0.000023886561 
15898      OMPLOCBB   6     16         1          50         4          0.000021353364 
15899      OMPLOCBB   6     16         1          50         4          0.000022202730 
15900      OMPLOCBB   6     16         1          50         4          0.000034056604 
15901      OMPLOCBB   6     16         1          50         4          0.000020317733 
15902      OMPLOCBB   6     16         1          50         8          0.000017978251 
15903      OMPLOCBB   6     16         1          50         8          0.000029064715 
15904      OMPLOCBB   6     16         1          50         8          0.000028282404 
15905      OMPLOCBB   6     16         1          50         8          0.000027753413 
15906      OMPLOCBB   6     16         1          50         8          0.000028826296 
15907      OMPLOCBB   6     16         1          50         8          0.000028260052 
15908      OMPLOCBB   6     16         1          50         8          0.000029288232 
15909      OMPLOCBB   6     16         1          50         8          0.000028170645 
15910      OMPLOCBB   6     16         1          50         8          0.000029519200 
15911      OMPLOCBB   6     16         1          50         8          0.000030115247 
15912      OMPLOCBB   6     16         1          50         8          0.000029407442 
15913      OMPLOCBB   6     16         1          50         8          0.000028215349 
15914      OMPLOCBB   6     16         1          50         8          0.000028364360 
15915      OMPLOCBB   6     16         1          50         8          0.000027082860 
15916      OMPLOCBB   6     16         1          50         8          0.000027261674 
15917      OMPLOCBB   6     16         1          50         8          0.000027552247 
15918      OMPLOCBB   6     16         1          50         8          0.000027649105 
15919      OMPLOCBB   6     16         1          50         8          0.000029511750 
15920      OMPLOCBB   6     16         1          50         8          0.000027716160 
15921      OMPLOCBB   6     16         1          50         8          0.000027857721 
15922      OMPLOCBB   6     16         1          50         8          0.000027038157 
15923      OMPLOCBB   6     16         1          50         8          0.000030040741 
15924      OMPLOCBB   6     16         1          50         8          0.000027254224 
15925      OMPLOCBB   6     16         1          50         8          0.000028274953 
15926      OMPLOCBB   6     16         1          50         8          0.000029392540 
15927      OMPLOCBB   6     16         1          50         8          0.000027962029 
15928      OMPLOCBB   6     16         1          50         8          0.000028826296 
15929      OMPLOCBB   6     16         1          50         8          0.000030569732 
15930      OMPLOCBB   6     16         1          50         8          0.000028349459 
