N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
380        OMPGLBBB   7     16         1          25         1          0.000003521517  0.000000975654  0.28       27.71     %
381        OMPGLBBB   7     16         1          25         2          0.000014467910  0.000000975654  0.07       3.37      %
382        OMPGLBBB   7     16         1          25         4          0.000019637868  0.000000975654  0.05       1.24      %
383        OMPGLBBB   7     16         1          25         8          0.000025660172  0.000000975654  0.04       0.48      %
384        OMPGLBBB   7     16         1          25         16         0.000036057457  0.000000975654  0.03       0.17      %
385        OMPGLBBB   7     16         1          25         32         0.000075563043  0.000000975654  0.01       0.04      %
386        OMPGLBBB   7     16         1          25         64         0.000896199793  0.000000975654  0.00       0.00      %
387        OMPGLBBB   7     32         1          25         1          0.000005152076  0.000003175810  0.62       61.64     %
388        OMPGLBBB   7     32         1          25         2          0.000012808666  0.000003175810  0.25       12.40     %
389        OMPGLBBB   7     32         1          25         4          0.000018717349  0.000003175810  0.17       4.24      %
390        OMPGLBBB   7     32         1          25         8          0.000027205423  0.000003175810  0.12       1.46      %
391        OMPGLBBB   7     32         1          25         16         0.000036911666  0.000003175810  0.09       0.54      %
392        OMPGLBBB   7     32         1          25         32         0.000075019896  0.000003175810  0.04       0.13      %
393        OMPGLBBB   7     32         1          25         64         0.000947228819  0.000003175810  0.00       0.01      %
394        OMPGLBBB   7     64         1          25         1          0.000013871491  0.000011002645  0.79       79.32     %
395        OMPGLBBB   7     64         1          25         2          0.000020509958  0.000011002645  0.54       26.82     %
396        OMPGLBBB   7     64         1          25         4          0.000023355708  0.000011002645  0.47       11.78     %
397        OMPGLBBB   7     64         1          25         8          0.000029290095  0.000011002645  0.38       4.70      %
398        OMPGLBBB   7     64         1          25         16         0.000038188696  0.000011002645  0.29       1.80      %
399        OMPGLBBB   7     64         1          25         32         0.000076335296  0.000011002645  0.14       0.45      %
400        OMPGLBBB   7     64         1          25         64         0.000878605992  0.000011002645  0.01       0.02      %
401        OMPGLBBB   7     128        1          25         1          0.000015505403  0.000048556924  3.13       313.16    %
402        OMPGLBBB   7     128        1          25         2          0.000028599426  0.000048556924  1.70       84.89     %
403        OMPGLBBB   7     128        1          25         4          0.000028411672  0.000048556924  1.71       42.73     %
404        OMPGLBBB   7     128        1          25         8          0.000033488870  0.000048556924  1.45       18.12     %
405        OMPGLBBB   7     128        1          25         16         0.000041437149  0.000048556924  1.17       7.32      %
406        OMPGLBBB   7     128        1          25         32         0.000080119818  0.000048556924  0.61       1.89      %
407        OMPGLBBB   7     128        1          25         64         0.000804672390  0.000048556924  0.06       0.09      %
408        OMPGLBBB   7     256        1          25         1          0.000049676001  0.000219093263  4.41       441.04    %
409        OMPGLBBB   7     256        1          25         2          0.000070542097  0.000219093263  3.11       155.29    %
410        OMPGLBBB   7     256        1          25         4          0.000048337504  0.000219093263  4.53       113.31    %
411        OMPGLBBB   7     256        1          25         8          0.000047067553  0.000219093263  4.65       58.19     %
412        OMPGLBBB   7     256        1          25         16         0.000051524863  0.000219093263  4.25       26.58     %
413        OMPGLBBB   7     256        1          25         32         0.000088587403  0.000219093263  2.47       7.73      %
414        OMPGLBBB   7     256        1          25         64         0.000747485831  0.000219093263  0.29       0.46      %
415        OMPGLBBB   7     512        1          25         1          0.000213059410  0.000700453296  3.29       328.76    %
416        OMPGLBBB   7     512        1          25         2          0.000276908651  0.000700453296  2.53       126.48    %
417        OMPGLBBB   7     512        1          25         4          0.000163611397  0.000700453296  4.28       107.03    %
418        OMPGLBBB   7     512        1          25         8          0.000132853910  0.000700453296  5.27       65.90     %
419        OMPGLBBB   7     512        1          25         16         0.000113819540  0.000700453296  6.15       38.46     %
420        OMPGLBBB   7     512        1          25         32         0.000143814832  0.000700453296  4.87       15.22     %
421        OMPGLBBB   7     512        1          25         64         0.000779018551  0.000700453296  0.90       1.40      %
422        OMPGLBBB   7     1024       1          25         1          0.000992571563  0.003146624938  3.17       317.02    %
423        OMPGLBBB   7     1024       1          25         2          0.001354436204  0.003146624938  2.32       116.16    %
424        OMPGLBBB   7     1024       1          25         4          0.000738697872  0.003146624938  4.26       106.49    %
425        OMPGLBBB   7     1024       1          25         8          0.000534466654  0.003146624938  5.89       73.59     %
426        OMPGLBBB   7     1024       1          25         16         0.000317897275  0.003146624938  9.90       61.86     %
427        OMPGLBBB   7     1024       1          25         32         0.000288046524  0.003146624938  10.92      34.14     %
428        OMPGLBBB   7     1024       1          25         64         0.000983801112  0.003146624938  3.20       5.00      %
429        OMPGLBBB   7     2048       1          25         1          0.012381792814  0.025994496420  2.10       209.94    %
430        OMPGLBBB   7     2048       1          25         2          0.007906556502  0.025994496420  3.29       164.39    %
431        OMPGLBBB   7     2048       1          25         4          0.004518074915  0.025994496420  5.75       143.84    %
432        OMPGLBBB   7     2048       1          25         8          0.002568695694  0.025994496420  10.12      126.50    %
433        OMPGLBBB   7     2048       1          25         16         0.001705617085  0.025994496420  15.24      95.25     %
434        OMPGLBBB   7     2048       1          25         32         0.001464738324  0.025994496420  17.75      55.46     %
435        OMPGLBBB   7     2048       1          25         64         0.002124766633  0.025994496420  12.23      19.12     %
436        OMPGLBBB   7     4096       1          25         1          0.067934279144  0.121359904483  1.79       178.64    %
437        OMPGLBBB   7     4096       1          25         2          0.037816248462  0.121359904483  3.21       160.46    %
438        OMPGLBBB   7     4096       1          25         4          0.019865440205  0.121359904483  6.11       152.73    %
439        OMPGLBBB   7     4096       1          25         8          0.011724129692  0.121359904483  10.35      129.39    %
440        OMPGLBBB   7     4096       1          25         16         0.008548393473  0.121359904483  14.20      88.73     %
441        OMPGLBBB   7     4096       1          25         32         0.007393760979  0.121359904483  16.41      51.29     %
442        OMPGLBBB   7     4096       1          25         64         0.012537821010  0.121359904483  9.68       15.12     %
821        OMPGLBBB   7     16         2          25         1          0.000003066286  0.000001522526  0.50       49.65     %
822        OMPGLBBB   7     16         2          25         2          0.000010101125  0.000001522526  0.15       7.54      %
823        OMPGLBBB   7     16         2          25         4          0.000024586543  0.000001522526  0.06       1.55      %
824        OMPGLBBB   7     16         2          25         8          0.000021649897  0.000001522526  0.07       0.88      %
825        OMPGLBBB   7     16         2          25         16         0.000029757991  0.000001522526  0.05       0.32      %
826        OMPGLBBB   7     16         2          25         32         0.000065848231  0.000001522526  0.02       0.07      %
827        OMPGLBBB   7     16         2          25         64         0.000525715947  0.000001522526  0.00       0.00      %
828        OMPGLBBB   7     32         2          25         1          0.000008564815  0.000003518164  0.41       41.08     %
829        OMPGLBBB   7     32         2          25         2          0.000012988970  0.000003518164  0.27       13.54     %
830        OMPGLBBB   7     32         2          25         4          0.000025019795  0.000003518164  0.14       3.52      %
831        OMPGLBBB   7     32         2          25         8          0.000026282668  0.000003518164  0.13       1.67      %
832        OMPGLBBB   7     32         2          25         16         0.000032579899  0.000003518164  0.11       0.67      %
833        OMPGLBBB   7     32         2          25         32         0.000067964941  0.000003518164  0.05       0.16      %
834        OMPGLBBB   7     32         2          25         64         0.000405100361  0.000003518164  0.01       0.01      %
835        OMPGLBBB   7     64         2          25         1          0.000009391829  0.000010454282  1.11       111.31    %
836        OMPGLBBB   7     64         2          25         2          0.000021761283  0.000010454282  0.48       24.02     %
837        OMPGLBBB   7     64         2          25         4          0.000028211623  0.000010454282  0.37       9.26      %
838        OMPGLBBB   7     64         2          25         8          0.000029912591  0.000010454282  0.35       4.37      %
839        OMPGLBBB   7     64         2          25         16         0.000037215650  0.000010454282  0.28       1.76      %
840        OMPGLBBB   7     64         2          25         32         0.000072805583  0.000010454282  0.14       0.45      %
841        OMPGLBBB   7     64         2          25         64         0.000496480614  0.000010454282  0.02       0.03      %
842        OMPGLBBB   7     128        2          25         1          0.000040514022  0.000037361681  0.92       92.22     %
