N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
191        OMPLOCWS   4     16         1          25         1          0.000006250292  0.000000975654  0.16       15.61     %
192        OMPLOCWS   4     16         1          25         2          0.000016355142  0.000000975654  0.06       2.98      %
193        OMPLOCWS   4     16         1          25         4          0.000023493171  0.000000975654  0.04       1.04      %
194        OMPLOCWS   4     16         1          25         8          0.000029482320  0.000000975654  0.03       0.41      %
195        OMPLOCWS   4     16         1          25         16         0.000039698929  0.000000975654  0.02       0.15      %
196        OMPLOCWS   4     16         1          25         32         0.000089156628  0.000000975654  0.01       0.03      %
197        OMPLOCWS   4     16         1          25         64         0.011043831334  0.000000975654  0.00       0.00      %
198        OMPLOCWS   4     32         1          25         1          0.000012164190  0.000003175810  0.26       26.11     %
199        OMPLOCWS   4     32         1          25         2          0.000018454716  0.000003175810  0.17       8.60      %
200        OMPLOCWS   4     32         1          25         4          0.000025388598  0.000003175810  0.13       3.13      %
201        OMPLOCWS   4     32         1          25         8          0.000028835610  0.000003175810  0.11       1.38      %
202        OMPLOCWS   4     32         1          25         16         0.000039768964  0.000003175810  0.08       0.50      %
203        OMPLOCWS   4     32         1          25         32         0.000083933771  0.000003175810  0.04       0.12      %
204        OMPLOCWS   4     32         1          25         64         0.001061262190  0.000003175810  0.00       0.00      %
205        OMPLOCWS   4     64         1          25         1          0.000017471239  0.000011002645  0.63       62.98     %
206        OMPLOCWS   4     64         1          25         2          0.000023071840  0.000011002645  0.48       23.84     %
207        OMPLOCWS   4     64         1          25         4          0.000028145686  0.000011002645  0.39       9.77      %
208        OMPLOCWS   4     64         1          25         8          0.000031157210  0.000011002645  0.35       4.41      %
209        OMPLOCWS   4     64         1          25         16         0.000040530413  0.000011002645  0.27       1.70      %
210        OMPLOCWS   4     64         1          25         32         0.000085047632  0.000011002645  0.13       0.40      %
211        OMPLOCWS   4     64         1          25         64         0.000924504921  0.000011002645  0.01       0.02      %
212        OMPLOCWS   4     128        1          25         1          0.000027471408  0.000048556924  1.77       176.75    %
213        OMPLOCWS   4     128        1          25         2          0.000039421394  0.000048556924  1.23       61.59     %
214        OMPLOCWS   4     128        1          25         4          0.000034639984  0.000048556924  1.40       35.04     %
