N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          SO0        1     16         1          25         1          0.000000975654  0.000000975654  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000003175810  0.000003175810  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000011002645  0.000011002645  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000048556924  0.000048556924  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000219093263  0.000219093263  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000700453296  0.000700453296  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.003146624938  0.003146624938  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.025994496420  0.025994496420  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.121359904483  0.121359904483  1.00       100.00    %
443        SO0        1     16         2          25         1          0.000001522526  0.000001522526  1.00       100.00    %
444        SO0        1     32         2          25         1          0.000003518164  0.000003518164  1.00       100.00    %
445        SO0        1     64         2          25         1          0.000010454282  0.000010454282  1.00       100.00    %
446        SO0        1     128        2          25         1          0.000037361681  0.000037361681  1.00       100.00    %
447        SO0        1     256        2          25         1          0.000143171847  0.000143171847  1.00       100.00    %
448        SO0        1     512        2          25         1          0.000710096583  0.000710096583  1.00       100.00    %
449        SO0        1     1024       2          25         1          0.004641919583  0.004641919583  1.00       100.00    %
450        SO0        1     2048       2          25         1          0.022467745095  0.022467745095  1.00       100.00    %
451        SO0        1     4096       2          25         1          0.100820304826  0.100820304826  1.00       100.00    %
884        SO0        1     16         3          25         1          0.000001991168  0.000001991168  1.00       100.00    %
885        SO0        1     32         3          25         1          0.000005415827  0.000005415827  1.00       100.00    %
886        SO0        1     64         3          25         1          0.000020641461  0.000020641461  1.00       100.00    %
887        SO0        1     128        3          25         1          0.000082484260  0.000082484260  1.00       100.00    %
888        SO0        1     256        3          25         1          0.000364045799  0.000364045799  1.00       100.00    %
889        SO0        1     512        3          25         1          0.001394154504  0.001394154504  1.00       100.00    %
890        SO0        1     1024       3          25         1          0.007707748935  0.007707748935  1.00       100.00    %
891        SO0        1     2048       3          25         1          0.051423042268  0.051423042268  1.00       100.00    %
892        SO0        1     4096       3          25         1          0.248707401007  0.248707401007  1.00       100.00    %
